best remembered for his understated performance as dr . hannibal lecter in michael mann's forensics thriller , manhunter , scottish character actor brian cox brings something special to every movie he works on . 	Translation	Positive	Negative	EmotionRationale
usually playing a bit role in some studio schlock ( he dies halfway through the long kiss goodnight ) , he's only occasionally given something meaty and substantial to do . 	usually playing a bit role in some studio schlock ( he dies halfway through the long kiss goodnight ) , he's only occasionally given something meaty and substantial to do .	3	-1	 usually[0] playing[1] a[0] bit[0] role[0] in[0] some[0] studio[0] schlock[0] he[0] dies[0] halfway[0] through[0] the[0] long[0] kiss[2] goodnight[0] he's[0] only[0] occasionally[0] given[0] something[0] meaty[0] and[0] substantial[0] to[0] do[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
if you want to see some brilliant acting , check out his work as a dogged police inspector opposite frances mcdormand in ken loach's hidden agenda . 	if you want to see some brilliant acting , check out his work as a dogged police inspector opposite frances mcdormand in ken loach's hidden agenda .	1	-1	 if[0] you[0] want[0] to[0] see[0] some[0] brilliant[1][-1 LastWordBoosterStrength] acting[0] check[0] out[0] his[0] work[0] as[0] a[0] dogged[0] police[0] inspector[0] opposite[0] frances[0] mcdormand[0] in[0] ken[0] loach's[0] hidden[0] agenda[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
cox plays the role of big john harrigan in the disturbing new indie flick l . i . e . , which lot 47 picked up at sundance when other distributors were scared to budge . 	cox plays the role of big john harrigan in the disturbing new indie flick l .<br> i .<br> e .<br> , which lot 47 picked up at sundance when other distributors were scared to budge .	2	-4	 cox[0] plays[1] the[0] role[0] of[0] big[0] john[0] harrigan[0] in[0] the[0] disturbing[-1] new[0] indie[0] flick[0] l[0] [[Sentence=-2,2=word max, 1-5]] i[0] [[Sentence=-1,1=word max, 1-5]] e[0] [[Sentence=-1,1=word max, 1-5]] which[0] lot[0] 47[0] picked[0] up[0] at[0] sundance[0] when[0] other[0] distributors[0] were[0] scared[-3] to[0] budge[0] [[Sentence=-4,1=word max, 1-5]][[[2,-4 max of sentences]]]
big john feels the love that dares not speak its name , but he expresses it through seeking out adolescents and bringing them back to his pad . 	big john feels the love that dares not speak its name , but he expresses it through seeking out adolescents and bringing them back to his pad .	3	-1	 big[0] john[0] feels[0] the[0] love[2] that[0] dares[0] not[0] speak[0] its[0] name[0] but[0] he[0] expresses[0] it[0] through[0] seeking[0] out[0] adolescents[0] and[0] bringing[0] them[0] back[0] to[0] his[0] pad[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
what bothered some audience members was the presentation of big john in an oddly empathetic light . 	what bothered some audience members was the presentation of big john in an oddly empathetic light .	1	-2	 what[0] bothered[-1] some[0] audience[0] members[0] was[0] the[0] presentation[0] of[0] big[0] john[0] in[0] an[0] oddly[0] empathetic[0] light[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he's an even-tempered , funny , robust old man who actually listens to the kids' problems ( as opposed to their parents and friends , both caught up in the high-wire act of their own confused lives . ) 	he's an even-tempered , funny , robust old man who actually listens to the kids' problems ( as opposed to their parents and friends , both caught up in the high-wire act of their own confused lives .<br> )	2	-2	 he's[0] an[0] even[0] tempered[0] funny[1] robust[0] old[0] man[0] who[0] actually[0] listens[0] to[0] the[0] kids'[0] problems[-1] as[0] opposed[0] to[0] their[0] parents[0] and[0] friends[1] both[0] caught[0] up[0] in[0] the[0] high[0] wire[0] act[0] of[0] their[0] own[0] confused[-1] lives[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
he'll have sex-for-pay with them only after an elaborate courtship , charming them with temptations from the grown-up world . 	he'll have sex-for-pay with them only after an elaborate courtship , charming them with temptations from the grown-up world .	2	-2	 he'll[0] have[0] sex[0] for[0] pay[0] with[0] them[0] only[0] after[0] an[0] elaborate[0] courtship[0] charming[1] them[0] with[0] temptations[-1] from[0] the[0] grown[0] up[0] world[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
l . i . e . stands for long island expressway , which slices through the strip malls and middle-class homes of suburbia . 	l .<br> i .<br> e .<br> stands for long island expressway , which slices through the strip malls and middle-class homes of suburbia .	1	-1	 l[0] [[Sentence=-1,1=word max, 1-5]] i[0] [[Sentence=-1,1=word max, 1-5]] e[0] [[Sentence=-1,1=word max, 1-5]] stands[0] for[0] long[0] island[0] expressway[0] which[0] slices[0] through[0] the[0] strip[0] malls[0] and[0] middle[0] class[0] homes[0] of[0] suburbia[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
filmmaker michael cuesta uses it as a ( pretty transparent ) metaphor of dangerous escape for his 15-year old protagonist , howie ( paul franklin dano ) . 	filmmaker michael cuesta uses it as a ( pretty transparent ) metaphor of dangerous escape for his 15-year old protagonist , howie ( paul franklin dano ) .	3	-2	 filmmaker[0] michael[0] cuesta[0] uses[0] it[0] as[0] a[0] pretty[2] transparent[0] metaphor[0] of[0] dangerous[-1] escape[0] for[0] his[0] 15[0] year[0] old[0] protagonist[0] howie[0] paul[0] franklin[0] dano[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
in his opening voice-over , howie reveals a morbid preoccupation with death on the road , citing the l . i . e . 	in his opening voice-over , howie reveals a morbid preoccupation with death on the road , citing the l .<br> i .<br> e .	1	-3	 in[0] his[0] opening[0] voice[0] over[0] howie[0] reveals[0] a[0] morbid[0] preoccupation[0] with[0] death[-2] on[0] the[0] road[0] citing[0] the[0] l[0] [[Sentence=-3,1=word max, 1-5]] i[0] [[Sentence=-1,1=word max, 1-5]] e[0] [[Sentence=-1,1=word max, 1-5]][[[1,-3 max of sentences]]]
