if the 70's nostalgia didn't make you feel old , the 80's nostalgia is bound to . 	Translation	Positive	Negative	EmotionRationale
one of the latter set , " the wedding singer , " seems to be written by someone who did not experience the 1980's directly but only read about them in an article in parade magazine . 	one of the latter set , " the wedding singer , " seems to be written by someone who did not experience the 1980's directly but only read about them in an article in parade magazine .	1	-1	 one[0] of[0] the[0] latter[0] set[0] the[0] wedding[0] singer[0] seems[0] to[0] be[0] written[0] by[0] someone[0] who[0] did[0] not[0] experience[0] the[0] 1980's[0] directly[0] but[0] only[0] read[0] about[0] them[0] in[0] an[0] article[0] in[0] parade[0] magazine[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the wacky fashions are here . 	the wacky fashions are here .	1	-1	 the[0] wacky[0] fashions[0] are[0] here[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 . 	 .	1	-1	[[[0,0 max of sentences]]]
 . 	 .	1	-1	[[[0,0 max of sentences]]]
and the music . 	and the music .	1	-1	 and[0] the[0] music[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 . 	 .	1	-1	[[[0,0 max of sentences]]]
 . 	 .	1	-1	[[[0,0 max of sentences]]]
and references aplenty to celebrities and signs of the times , but it all seems tediously-and too obviously-inserted for the didn't-we-dress-funny-back-then chuckle . 	and references aplenty to celebrities and signs of the times , but it all seems tediously-and too obviously-inserted for the didn't-we-dress-funny-back-then chuckle .	3	-3	 and[0] references[0] aplenty[0] to[0] celebrities[0] and[0] signs[0] of[0] the[0] times[0] but[0] it[0] all[0] seems[0] tediously[-2] and[0] too[0] obviously[0] inserted[0] for[0] the[0] didn't[0] we[0] dress[0] funny[1] back[0] then[0] chuckle[2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
the plot is standard romantic comedy with nothing original : robbie ( adam sandler ) is a wedding singer ; julia ( drew barrymore ) waits tables at weddings . 	the plot is standard romantic comedy with nothing original : robbie ( adam sandler ) is a wedding singer ; julia ( drew barrymore ) waits tables at weddings .	4	-1	 the[0] plot[0] is[0] standard[0] romantic[3] comedy[0] with[0] nothing[0] original[0] robbie[0] adam[0] sandler[0] is[0] a[0] wedding[0] singer[0] julia[0] drew[0] barrymore[0] waits[0] tables[0] at[0] weddings[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
both are engaged ; however , robbie's fiance ( angela featherstone ) dumps him at the altar , and julia's fiance ( matthew glave ) is a skirt-chasing speculator in junk bonds . 	both are engaged ; however , robbie's fiance ( angela featherstone ) dumps him at the altar , and julia's fiance ( matthew glave ) is a skirt-chasing speculator in junk bonds .	1	-2	 both[0] are[0] engaged[0] however[0] robbie's[0] fiance[0] angela[0] featherstone[0] dumps[-1] him[0] at[0] the[0] altar[0] and[0] julia's[0] fiance[0] matthew[0] glave[0] is[0] a[0] skirt[0] chasing[0] speculator[0] in[0] junk[-1] bonds[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
robbie and julia go through the expected ups-and-downs as they realize they were meant to be together . 	robbie and julia go through the expected ups-and-downs as they realize they were meant to be together .	1	-1	 robbie[0] and[0] julia[0] go[0] through[0] the[0] expected[0] ups[0] and[0] downs[0] as[0] they[0] realize[0] they[0] were[0] meant[0] to[0] be[0] together[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i'll fess up-i've never found adam sandler funny . 	i'll fess up-i've never found adam sandler funny .	2	-1	 i'll[0] fess[0] up[0] i've[0] never[0] found[0] adam[0] sandler[0] funny[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
whatever his appeal is , i've missed it . 	whatever his appeal is , i've missed it .	1	-2	 whatever[0] his[0] appeal[0] is[0] i've[0] missed[-1] it[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 ( other comedians i don't get include pauly shore and pee wee herman-make your own judgments ) . 	 ( other comedians i don't get include pauly shore and pee wee herman-make your own judgments ) .	1	-2	 other[0] comedians[0] i[0] don't[0] get[0] include[0] pauly[0] shore[0] and[0] pee[0] wee[-1] herman[0] make[0] your[0] own[0] judgments[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
