it is movies like these that make a jaded movie viewer thankful for the invention of the timex indiglo watch . 	Translation	Positive	Negative	EmotionRationale
based on the late 1960's television show by the same name , the mod squad tells the tale of three reformed criminals under the employ of the police to go undercover . 	based on the late 1960's television show by the same name , the mod squad tells the tale of three reformed criminals under the employ of the police to go undercover .	1	-2	 based[0] on[0] the[0] late[0] 1960's[0] television[0] show[0] by[0] the[0] same[0] name[0] the[0] mod[0] squad[0] tells[0] the[0] tale[0] of[0] three[0] reformed[0] criminals[-1] under[0] the[0] employ[0] of[0] the[0] police[0] to[0] go[0] undercover[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
however , things go wrong as evidence gets stolen and they are immediately under suspicion . 	however , things go wrong as evidence gets stolen and they are immediately under suspicion .	1	-2	 however[0] things[0] go[0] wrong[-1] as[0] evidence[0] gets[0] stolen[-1] and[0] they[0] are[0] immediately[0] under[0] suspicion[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
of course , the ads make it seem like so much more . 	of course , the ads make it seem like so much more .	2	-1	 of[0] course[0] the[0] ads[0] make[0] it[0] seem[0] like[1] so[0] much[0] more[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
quick cuts , cool music , claire dane's nice hair and cute outfits , car chases , stuff blowing up , and the like . 	quick cuts , cool music , claire dane's nice hair and cute outfits , car chases , stuff blowing up , and the like .	2	-2	 quick[0] cuts[0] cool[1] music[0] claire[0] dane's[0] nice[1] hair[0] and[0] cute[1] outfits[0] car[0] chases[-1] stuff[0] blowing[0] up[0] and[0] the[0] like[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
sounds like a cool movie , does it not ? 	sounds like a cool movie , does it not ?	2	-1	 sounds[0] like[1] a[0] cool[1] movie[0] does[0] it[0] not[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
after the first fifteen minutes , it quickly becomes apparent that it is not . 	after the first fifteen minutes , it quickly becomes apparent that it is not .	1	-1	 after[0] the[0] first[0] fifteen[0] minutes[0] it[0] quickly[0] becomes[0] apparent[0] that[0] it[0] is[0] not[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the mod squad is certainly a slick looking production , complete with nice hair and costumes , but that simply isn't enough . 	the mod squad is certainly a slick looking production , complete with nice hair and costumes , but that simply isn't enough .	2	-1	 the[0] mod[0] squad[0] is[0] certainly[0] a[0] slick[0] looking[0] production[0] complete[0] with[0] nice[1] hair[0] and[0] costumes[0] but[0] that[0] simply[0] isn't[0] enough[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the film is best described as a cross between an hour-long cop show and a music video , both stretched out into the span of an hour and a half . 	the film is best described as a cross between an hour-long cop show and a music video , both stretched out into the span of an hour and a half .	2	-2	 the[0] film[0] is[0] best[1] described[0] as[0] a[0] cross[-1] between[0] an[0] hour[0] long[0] cop[0] show[0] and[0] a[0] music[0] video[0] both[0] stretched[0] out[0] into[0] the[0] span[0] of[0] an[0] hour[0] and[0] a[0] half[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
and with it comes every single clich ? . 	and with it comes every single clich ?<br> .	1	-1	 and[0] with[0] it[0] comes[0] every[0] single[0] clich[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it doesn't really matter that the film is based on a television show , as most of the plot elements have been recycled from everything we've already seen . 	it doesn't really matter that the film is based on a television show , as most of the plot elements have been recycled from everything we've already seen .	1	-1	 it[0] doesn't[0] really[0] matter[0] that[0] the[0] film[0] is[0] based[0] on[0] a[0] television[0] show[0] as[0] most[0] of[0] the[0] plot[0] elements[0] have[0] been[0] recycled[0] from[0] everything[0] we've[0] already[0] seen[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the characters and acting is nothing spectacular , sometimes even bordering on wooden . 	the characters and acting is nothing spectacular , sometimes even bordering on wooden .	1	-1	 the[0] characters[0] and[0] acting[0] is[0] nothing[0] spectacular[0] sometimes[0] even[0] bordering[0] on[0] wooden[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
claire danes and omar epps deliver their lines as if they are bored , which really transfers onto the audience . 	claire danes and omar epps deliver their lines as if they are bored , which really transfers onto the audience .	1	-2	 claire[0] danes[0] and[0] omar[0] epps[0] deliver[0] their[0] lines[0] as[0] if[0] they[0] are[0] bored[-1] which[0] really[0] transfers[0] onto[0] the[0] audience[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the only one to escape relatively unscathed is giovanni ribisi , who plays the resident crazy man , ultimately being the only thing worth watching . 	the only one to escape relatively unscathed is giovanni ribisi , who plays the resident crazy man , ultimately being the only thing worth watching .	2	-2	 the[0] only[0] one[0] to[0] escape[0] relatively[0] unscathed[0] is[0] giovanni[0] ribisi[0] who[0] plays[1] the[0] resident[0] crazy[-1] man[0] ultimately[0] being[0] the[0] only[0] thing[0] worth[0] watching[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
unfortunately , even he's not enough to save this convoluted mess , as all the characters don't do much apart from occupying screen time . 	unfortunately , even he's not enough to save this convoluted mess , as all the characters don't do much apart from occupying screen time .	2	-2	 unfortunately[-1] even[0] he's[0] not[0] enough[0] to[0] save[1] this[0] convoluted[0] mess[0] as[0] all[0] the[0] characters[0] don't[0] do[0] much[0] apart[0] from[0] occupying[0] screen[0] time[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
with the young cast , cool clothes , nice hair , and hip soundtrack , it appears that the film is geared towards the teenage mindset . 	with the young cast , cool clothes , nice hair , and hip soundtrack , it appears that the film is geared towards the teenage mindset .	2	-1	 with[0] the[0] young[0] cast[0] cool[1] clothes[0] nice[1] hair[0] and[0] hip[0] soundtrack[0] it[0] appears[0] that[0] the[0] film[0] is[0] geared[0] towards[0] the[0] teenage[0] mindset[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
despite an american 'r' rating ( which the content does not justify ) , the film is way too juvenile for the older mindset . 	despite an american 'r' rating ( which the content does not justify ) , the film is way too juvenile for the older mindset .	1	-1	 despite[0] an[0] american[0] 'r'[0] rating[0] which[0] the[0] content[0] does[0] not[0] justify[0] the[0] film[0] is[0] way[0] too[0] juvenile[0] for[0] the[0] older[0] mindset[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
information on the characters is literally spoon-fed to the audience ( would it be that hard to show us instead of telling us ? ) , dialogue is poorly written , and the plot is extremely predictable . 	information on the characters is literally spoon-fed to the audience ( would it be that hard to show us instead of telling us ?<br> ) , dialogue is poorly written , and the plot is extremely predictable .	1	-2	 information[0] on[0] the[0] characters[0] is[0] literally[0] spoon[0] fed[0] to[0] the[0] audience[0] would[0] it[0] be[0] that[0] hard[0] to[0] show[0] us[0] instead[0] of[0] telling[0] us[0] [[Sentence=-1,1=word max, 1-5]] dialogue[0] is[0] poorly[-1] written[0] and[0] the[0] plot[0] is[0] extremely[0] predictable[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the way the film progresses , you likely won't even care if the heroes are in any jeopardy , because you'll know they aren't . 	the way the film progresses , you likely won't even care if the heroes are in any jeopardy , because you'll know they aren't .	3	-2	 the[0] way[0] the[0] film[0] progresses[0] you[0] likely[0] won't[0] even[0] care[1][NegatedDueToPreviousWord] if[0] the[0] heroes[2] are[0] in[0] any[0] jeopardy[-1] because[0] you'll[0] know[0] they[0] aren't[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
basing the show on a 1960's television show that nobody remembers is of questionable wisdom , especially when one considers the target audience and the fact that the number of memorable films based on television shows can be counted on one hand ( even one that's missing a finger or two ) . 	basing the show on a 1960's television show that nobody remembers is of questionable wisdom , especially when one considers the target audience and the fact that the number of memorable films based on television shows can be counted on one hand ( even one that's missing a finger or two ) .	1	-2	 basing[0] the[0] show[0] on[0] a[0] 1960's[0] television[0] show[0] that[0] nobody[0] remembers[0] is[0] of[0] questionable[-1] wisdom[0] especially[0] when[0] one[0] considers[0] the[0] target[0] audience[0] and[0] the[0] fact[0] that[0] the[0] number[0] of[0] memorable[0] films[0] based[0] on[0] television[0] shows[0] can[0] be[0] counted[0] on[0] one[0] hand[0] even[0] one[0] that's[0] missing[0] a[0] finger[0] or[0] two[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the number of times that i checked my watch ( six ) is a clear indication that this film is not one of them . 	the number of times that i checked my watch ( six ) is a clear indication that this film is not one of them .	1	-1	 the[0] number[0] of[0] times[0] that[0] i[0] checked[0] my[0] watch[0] six[0] is[0] a[0] clear[0] indication[0] that[0] this[0] film[0] is[0] not[0] one[0] of[0] them[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it is clear that the film is nothing more than an attempt to cash in on the teenage spending dollar , judging from the rash of really awful teen-flicks that we've been seeing as of late . 	it is clear that the film is nothing more than an attempt to cash in on the teenage spending dollar , judging from the rash of really awful teen-flicks that we've been seeing as of late .	1	-5	 it[0] is[0] clear[0] that[0] the[0] film[0] is[0] nothing[0] more[0] than[0] an[0] attempt[0] to[0] cash[0] in[0] on[0] the[0] teenage[0] spending[0] dollar[0] judging[0] from[0] the[0] rash[-1] of[0] really[0] awful[-3][-1 LastWordBoosterStrength] teen[0] flicks[0] that[0] we've[0] been[0] seeing[0] as[0] of[0] late[0] [[Sentence=-5,1=word max, 1-5]][[[1,-5 max of sentences]]]
avoid this film at all costs . 	avoid this film at all costs .	1	-2	 avoid[-1] this[0] film[0] at[0] all[0] costs[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
