terrence malick made an excellent 90 minute film adaptation of james jones' world war ii novel . 	Translation	Positive	Negative	EmotionRationale
unfortunately , he buried it within an overlong and overreaching 3-hour long pseudo-epic . 	unfortunately , he buried it within an overlong and overreaching 3-hour long pseudo-epic .	1	-3	 unfortunately[-1] he[0] buried[-2] it[0] within[0] an[0] overlong[0] and[0] overreaching[0] 3[0] hour[0] long[0] pseudo[0] epic[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
this is a shame because the film features an outstanding performance by nick nolte . 	this is a shame because the film features an outstanding performance by nick nolte .	3	-3	 this[0] is[0] a[0] shame[-2] because[0] the[0] film[0] features[0] an[0] outstanding[2] performance[0] by[0] nick[0] nolte[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
the best scene is when nick nolte's character , lt . col . tall , is forced to deal with the direct refusal by capt . staros ( elias koteas ) to execute an order . 	the best scene is when nick nolte's character , lt .<br> col .<br> tall , is forced to deal with the direct refusal by capt .<br> staros ( elias koteas ) to execute an order .	2	-2	 the[0] best[1] scene[0] is[0] when[0] nick[0] nolte's[0] character[0] lt[0] [[Sentence=-1,2=word max, 1-5]] col[0] [[Sentence=-1,1=word max, 1-5]] tall[0] is[0] forced[0] to[0] deal[0] with[0] the[0] direct[0] refusal[-1] by[0] capt[0] [[Sentence=-2,1=word max, 1-5]] staros[0] elias[0] koteas[0] to[0] execute[-1] an[0] order[0] [[Sentence=-2,1=word max, 1-5]][[[2,-2 max of sentences]]]
nolte's reaction and transformation may be the best work of his career . 	nolte's reaction and transformation may be the best work of his career .	2	-1	 nolte's[0] reaction[0] and[0] transformation[0] may[0] be[0] the[0] best[1] work[0] of[0] his[0] career[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
had terrence malick concentrated on the great performances of nolte and koteas as well as those by sean penn , woody harrelson , and john cusack , he could have made a truly great film . 	had terrence malick concentrated on the great performances of nolte and koteas as well as those by sean pen , woody harrelson , and john cusack , he could have made a truly great film .	3	-1	 had[0] terrence[0] malick[0] concentrated[0] on[0] the[0] great[2] performances[0] of[0] nolte[0] and[0] koteas[0] as[0] well[0] as[0] those[0] by[0] sean[0] penn/pen[0] woody[0] harrelson[0] and[0] john[0] cusack[0] he[0] could[0] have[0] made[0] a[0] truly[1] great[2] film[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
instead , malick saddled the film with plodding pacing , unnecessary flashbacks , and a voice-over narration all designed to telegraph the great philosophical underpinnings of the story . 	instead , malick saddled the film with plodding pacing , unnecessary flashbacks , and a voice-over narration all designed to telegraph the great philosophical underpinnings of the story .	3	-2	 instead[0] malick[0] saddled[0] the[0] film[0] with[0] plodding[0] pacing[0] unnecessary[-1] flashbacks[0] and[0] a[0] voice[0] over[0] narration[0] all[0] designed[0] to[0] telegraph[0] the[0] great[2] philosophical[0] underpinnings[0] of[0] the[0] story[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the narration was especially annoying as much of it sounded like very bad high school poetry . 	the narration was especially annoying as much of it sounded like very bad high school poetry .	2	-4	 the[0] narration[0] was[0] especially[0] annoying[-2][-1 LastWordBoosterStrength] as[0] much[0] of[0] it[0] sounded[0] like[1] very[0] bad[-1][-1 LastWordBoosterStrength] high[0] school[0] poetry[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
with a lot of editing , the core story could be transformed into a truly classic war film . 	with a lot of editing , the core story could be transformed into a truly classic war film .	2	-3	 with[0] a[0] lot[0] of[0] editing[0] the[0] core[0] story[0] could[0] be[0] transformed[0] into[0] a[0] truly[1] classic[0] war[-2] film[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
hopefully , the dvd version of this film will feature options to suppress the narration , and perhaps will even provide for an alternate , shorter version of the film . 	hopefully , the dvd version of this film will feature options to suppress the narration , and perhaps will even provide for an alternate , shorter version of the film .	1	-2	 hopefully[0] the[0] dvd[0] version[0] of[0] this[0] film[0] will[0] feature[0] options[0] to[0] suppress[-1] the[0] narration[0] and[0] perhaps[0] will[0] even[0] provide[0] for[0] an[0] alternate[0] shorter[0] version[0] of[0] the[0] film[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i give this film . 	i give this film .	1	-1	 i[0] give[0] this[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
