plot : lara croft is british , rich and kicks a lot of ass . 	Translation	Positive	Negative	EmotionRationale
she also likes to raid tombs but when the illuminata discover that all nine planets are about to stand in alignment for the first time in 5000 years , and that lara holds the key to time , well , needless to say , they want to nab it from her . 	she also likes to raid tombs but when the illuminata discover that all nine planets are about to stand in alignment for the first time in 500 years , and that lara holds the key to time , well , needless to say , they want to nab it from her .	3	-2	 she[0] also[0] likes[2] to[0] raid[-1] tombs[0] but[0] when[0] the[0] illuminata[0] discover[0] that[0] all[0] nine[0] planets[0] are[0] about[0] to[0] stand[0] in[0] alignment[0] for[0] the[0] first[0] time[0] in[0] 5000/500[0] years[0] and[0] that[0] lara[0] holds[0] the[0] key[0] to[0] time[0] well[0] needless[0] to[0] say[0] they[0] want[0] to[0] nab[0] it[0] from[0] her[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
oh yeah , lara also likes to sport a lot of tight shirts . . . hummana-hummana-hummana . . . 	oh yeah , lara also likes to sport a lot of tight shirts .<br> .<br> .<br> hummana-hummana-hummana .<br> .<br> .	3	-1	 oh[0] yeah[0] lara[0] also[0] likes[2] to[0] sport[0] a[0] lot[0] of[0] tight[0] shirts[0] [[Sentence=-1,3=word max, 1-5]] hummana[0] hummana[0] hummana[0] [[Sentence=-1,1=word max, 1-5]][[[3,-1 max of sentences]]]
critique : angelina jolie was great in this movie . 	critique : angelina jolie was great in this movie .	3	-1	 critique[0] angelina[0] jolie[0] was[0] great[2] in[0] this[0] movie[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
there were also about three " action scenes " that were pretty cool to look at in this film . 	there were also about three " action scenes " that were pretty cool to look at in this film .	3	-1	 there[0] were[0] also[0] about[0] three[0] action[0] scenes[0] that[0] were[0] pretty[2] cool[1] to[0] look[0] at[0] in[0] this[0] film[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
uhhhhhm , unfortunately the rest of the movie sucked ! 	uhm , unfortunately the rest of the movie sucked !	2	-2	 uhhhhhm/uhm[0][+0.6 MultipleLetters] unfortunately[-1] the[0] rest[0] of[0] the[0] movie[0] sucked[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
bad dialogue , generic sidekicks and bad guys , a lame mystery , yoda-esque moments with mumbo-jumbo being sprouted about and even some crappy cgi near the end . 	bad dialogue , generic sidekicks and bad guys , a lame mystery , yoda-esque moments with mumbo-jumbo being sprouted about and even some crappy cgi near the end .	1	-3	 bad[-1] dialogue[0] generic[0] sidekicks[0] and[0] bad[-1] guys[0] a[0] lame[-2] mystery[0] yoda[0] esque[0] moments[0] with[0] mumbo[0] jumbo[0] being[0] sprouted[0] about[0] and[0] even[0] some[0] crappy[-2][--1 LastWordBoosterStrength] cgi[0] near[0] the[0] end[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
all in all , this movie wasn't the horror show that some of the early reviews had warned us about , especially since every other scene does feature jolie's torpedoes begging to burst out of her lucky shirts , but it was quite the letdown nonetheless , especially when you consider the major opportunity that the filmmakers had here to create a cool , hip woman hero , based on a popular video game . 	all in all , this movie wasn't the horror show that some of the early reviews had warned us about , especially since every other scene does feature jolie's torpedoes begging to burst out of her lucky shirts , but it was quite the letdown nonetheless , especially when you consider the major opportunity that the filmmakers had here to create a cool , hip woman hero , based on a popular video game .	3	-4	 all[0] in[0] all[0] this[0] movie[0] wasn't[0] the[0] horror[-3] show[0] that[0] some[0] of[0] the[0] early[0] reviews[0] had[0] warned[0] us[0] about[0] especially[0] since[0] every[0] other[0] scene[0] does[0] feature[0] jolie's[0] torpedoes[0] begging[0] to[0] burst[0] out[0] of[0] her[0] lucky[1] shirts[0] but[0] it[0] was[0] quite[0] the[0] letdown[0] nonetheless[0] especially[0] when[0] you[0] consider[0] the[0] major[0] opportunity[0] that[0] the[0] filmmakers[0] had[0] here[0] to[0] create[0] a[0] cool[1] hip[0] woman[0] hero[2] based[0] on[0] a[0] popular[0] video[0] game[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
i don't know , i guess you have to put most of the blame on director simon west , who didn't really tie the whole movie together all that well . 	i don't know , i guess you have to put most of the blame on director simon west , who didn't really tie the whole movie together all that well .	1	-2	 i[0] don't[0] know[0] i[0] guess[0] you[0] have[0] to[0] put[0] most[0] of[0] the[0] blame[-1] on[0] director[0] simon[0] west[0] who[0] didn't[0] really[0] tie[0] the[0] whole[0] movie[0] together[0] all[0] that[0] well[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the film lacked energy , a consistent pace and well . . . a 	the film lacked energy , a consistent pace and well .<br> .<br> .<br> a	1	-1	 the[0] film[0] lacked[0] energy[0] a[0] consistent[0] pace[0] and[0] well[0] [[Sentence=-1,1=word max, 1-5]] a[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
fun time ! 	fun time !	2	-1	 fun[1] time[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i felt kinda depressed while watching this movie . 	i felt kinda depressed while watching this movie .	1	-4	 i[0] felt[0] kinda[0] depressed[-3] while[0] watching[0] this[0] movie[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
all that " father " crap was horrible and the dialogue given to poor john voight to recite was just plain embarrassing ( and i'm not even gonna mention his moustache . . . hehehe ) . 	all that " father " crap was horrible and the dialogue given to poor john voight to recite was just plain embarrassing ( and i'm not even gonna mention his moustache .<br> .<br> .<br> hehehe ) .	2	-4	 all[0] that[0] father[0] crap[-2] was[0] horrible[-3] and[0] the[0] dialogue[0] given[0] to[0] poor[-1] john[0] voight[0] to[0] recite[0] was[0] just[0] plain[0] embarrassing[-2] and[0] i'm[0] not[0] even[0] gonna[0] mention[0] his[0] moustache[0] [[Sentence=-4,1=word max, 1-5]] hehehe[1] [[Sentence=-1,2=word max, 1-5]][[[2,-4 max of sentences]]]
why have this shite in the movie at all ? ! ? 	why have this shite in the movie at all ?<br> !<br> ?	1	-2	 why[0] have[0] this[0] shite[-1] in[0] the[0] movie[0] at[0] all[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i especially hated the scenes in which some ghost-like figure , friend or child would ramble on about lara croft's father while all the time , i'm not giving one ounce of crap as to what they're talking about . 	i especially hated the scenes in which some ghost-like figure , friend or child would ramble on about lara croft's father while all the time , i'm not giving one ounce of crap as to what they're talking about .	2	-5	 i[0] especially[0] hated[-3][-1 LastWordBoosterStrength] the[0] scenes[0] in[0] which[0] some[0] ghost[0] like[1] figure[0] friend[1] or[0] child[0] would[0] ramble[-1][--1 LastWordBoosterStrength] on[0] about[0] lara[0] croft's[0] father[0] while[0] all[0] the[0] time[0] i'm[0] not[0] giving[0] one[0] ounce[0] of[0] crap[-2] as[0] to[0] what[0] they're[0] talking[0] about[0] [[Sentence=-5,2=word max, 1-5]][[[2,-5 max of sentences]]]
