beware of movies with the director's name in the title . 	Translation	Positive	Negative	EmotionRationale
take " john carpenter's ghosts of mars " ( please ) . 	take " john carpenter's ghosts of mars " ( please ) .	2	-1	 take[0] john[0] carpenter's[0] ghosts[0] of[0] mars[0] please[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
if the carpenter brand name wasn't superglued to the title , this embarrassment would surely have bypassed theaters entirely and gone straight to its proper home on the usa network . 	if the carpenter brand name wasn't superglued to the title , this embarrassment would surely have bypassed theaters entirely and gone straight to its proper home on the usa network .	1	-3	 if[0] the[0] carpenter[0] brand[0] name[0] wasn't[0] superglued[0] to[0] the[0] title[0] this[0] embarrassment[-2] would[0] surely[0] have[0] bypassed[0] theaters[0] entirely[0] and[0] gone[0] straight[0] to[0] its[0] proper[0] home[0] on[0] the[0] usa[0] network[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
and i would have been spared a headache . 	and i would have been spared a headache .	1	-2	 and[0] i[0] would[0] have[0] been[0] spared[0] a[0] headache[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the latest from the director of " starman , " " halloween " and " escape from new york " is a lousy western all gussied up to look like a futuristic horror flick . 	the latest from the director of " starman , " " halloween " and " escape from new york " is a lousy western all gussied up to look like a futuristic horror flick .	2	-4	 the[0] latest[0] from[0] the[0] director[0] of[0] starman[0] halloween[0] and[0] escape[0] from[0] new[0] york[0] is[0] a[0] lousy[-2] western[0] all[0] gussied[0] up[0] to[0] look[0] like[1] a[0] futuristic[0] horror[-3] flick[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
the production is set on mars in 2176 , where humanity looks for relief from the overpopulation strangling their home world . 	the production is set on mars in 2176 , where humanity looks for relief from the overpopulation strangling their home world .	2	-1	 the[0] production[0] is[0] set[0] on[0] mars[0] in[0] 2176[0] where[0] humanity[0] looks[0] for[0] relief[1] from[0] the[0] overpopulation[0] strangling[0] their[0] home[0] world[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
six hundred and forty thousand people in a matriarchal society live and work at outposts all over the red planet , terra-forming to make it more hospitable for future generations . 	six hundred and forty thousand people in a matriarchal society live and work at outposts all over the red planet , terra-forming to make it more hospitable for future generations .	1	-1	 six[0] hundred[0] and[0] forty[0] thousand[0] people[0] in[0] a[0] matriarchal[0] society[0] live[0] and[0] work[0] at[0] outposts[0] all[0] over[0] the[0] red[0] planet[0] terra[0] forming[0] to[0] make[0] it[0] more[0] hospitable[0] for[0] future[0] generations[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a matriarchal society . 	a matriarchal society .	1	-1	 a[0] matriarchal[0] society[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
terra-forming . 	terra-forming .	1	-1	 terra[0] forming[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
sounds pretty intriguing , eh ? 	sounds pretty intriguing , eh ?	3	-1	 sounds[0] pretty[2] intriguing[0] eh[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
well , don't get your hopes up . 	well , don't get your hopes up .	2	-1	 well[0] don't[0] get[0] your[0] hopes[1] up[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
