i've never written a review for a movie i haven't watched all the way through , but i had to make an exception with powder . 	Translation	Positive	Negative	EmotionRationale
i was about forty-five minutes into this one at a friend's house when he and his brother got into a huge shouting match that would have ended in violence had we not left the house . 	i was about forty-five minutes into this one at a friend's house when he and his brother got into a huge shouting match that would have ended in violence had we not left the house .	2	-4	 i[0] was[0] about[0] forty[0] five[0] minutes[0] into[0] this[0] one[0] at[0] a[0] friend's[1] house[0] when[0] he[0] and[0] his[0] brother[0] got[0] into[0] a[0] huge[0] shouting[0] match[0] that[0] would[0] have[0] ended[0] in[0] violence[-3] had[0] we[0] not[0] left[0] the[0] house[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
so i never got to finish the movie and i'm sure as hell not going to pay three more bucks to watch half of a bad movie . 	so i never got to finish the movie and i'm sure as hell not going to pay three more bucks to watch half of a bad movie .	1	-2	 so[0] i[0] never[0] got[0] to[0] finish[0] the[0] movie[0] and[0] i'm[0] sure[0] as[0] hell[-1] not[0] going[0] to[0] pay[0] three[0] more[0] bucks[0] to[0] watch[0] half[0] of[0] a[0] bad[-1] movie[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but i can at least get a partial review out of it , because i saw enough to know this one wasn't worth finishing in the first place . 	but i can at least get a partial review out of it , because i saw enough to know this one wasn't worth finishing in the first place .	1	-1	 but[0] i[0] can[0] at[0] least[0] get[0] a[0] partial[0] review[0] out[0] of[0] it[0] because[0] i[0] saw[0] enough[0] to[0] know[0] this[0] one[0] wasn't[0] worth[0] finishing[0] in[0] the[0] first[0] place[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the movie centers around a freaky teenager who's spent his entire life living in the cellar of his grandparents' house . 	the movie centers around a freaky teenager who's spent his entire life living in the cellar of his grandparents' house .	1	-2	 the[0] movie[0] centers[0] around[0] a[0] freaky[-1] teenager[0] who's[0] spent[0] his[0] entire[0] life[0] living[0] in[0] the[0] cellar[0] of[0] his[0] grandparents'[0] house[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
when grandpa dies ( taking his department store down with him ) , social worker mary steenburgen has to take powder ( first and middle names ? 	when grandpa dies ( taking his department store down with him ) , social worker mary steenburgen has to take powder ( first and middle names ?	1	-1	 when[0] grandpa[0] dies[0] taking[0] his[0] department[0] store[0] down[0] with[0] him[0] social[0] worker[0] mary[0] steenburgen[0] has[0] to[0] take[0] powder[0] first[0] and[0] middle[0] names[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
gold bond ) to a state home , where we find out he's a different from the other kids . 	gold bond ) to a state home , where we find out he's a different from the other kids .	1	-1	 gold[0] bond[0] to[0] a[0] state[0] home[0] where[0] we[0] find[0] out[0] he's[0] a[0] different[0] from[0] the[0] other[0] kids[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
actually , we find out he's different when we first see him , because he's the most pale individual we've ever seen and moreover he has no body hair whatsoever . 	actually , we find out he's different when we first see him , because he's the most pale individual we've ever seen and moreover he has no body hair whatsoever .	1	-1	 actually[0] we[0] find[0] out[0] he's[0] different[0] when[0] we[0] first[0] see[0] him[0] because[0] he's[0] the[0] most[0] pale[0] individual[0] we've[0] ever[0] seen[0] and[0] moreover[0] he[0] has[0] no[0] body[0] hair[0] whatsoever[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
when powder is born in the opening minutes of the movie , the father takes one look at him and says " he's not my son . " 	when powder is born in the opening minutes of the movie , the father takes one look at him and says " he's not my son .<br> "	1	-1	 when[0] powder[0] is[0] born[0] in[0] the[0] opening[0] minutes[0] of[0] the[0] movie[0] the[0] father[0] takes[0] one[0] look[0] at[0] him[0] and[0] says[0] he's[0] not[0] my[0] son[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
obviously . 	obviously .	1	-1	 obviously[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
all i want to know is where the pillsbury dough boy was nine months ago . 	all i want to know is where the pillsbury dough boy was nine months ago .	1	-1	 all[0] i[0] want[0] to[0] know[0] is[0] where[0] the[0] pillsbury[0] dough[0] boy[0] was[0] nine[0] months[0] ago[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
