one of the most respected names in american independent filmmaking is john sayles . 	Translation	Positive	Negative	EmotionRationale
he has built a strong reputation with films like matewan and the secret of roan inish , and one of his best was his last film , lone star . 	he has built a strong reputation with films like matewan and the secret of roan inish , and one of his best was his last film , lone star .	2	-2	 he[0] has[0] built[0] a[0] strong[0] reputation[0] with[0] films[0] like[1] matewan[0] and[0] the[0] secret[0] of[0] roan[0] inish[0] and[0] one[0] of[0] his[0] best[1] was[0] his[0] last[0] film[0] lone[-1] star[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
after sayles gave us this complex and unconventional look at ethnic tensions on the us-mexico border , expectation ran high for his next film . 	after sayles gave us this complex and unconventional look at ethnic tensions on the us-mexico border , expectation ran high for his next film .	1	-3	 after[0] sayles[0] gave[0] us[0] this[0] complex[0] and[0] unconventional[0] look[0] at[0] ethnic[0] tensions[-2] on[0] the[0] us[0] mexico[0] border[0] expectation[0] ran[0] high[0] for[0] his[0] next[0] film[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
unfortunately , his men with guns is not the film anyone was hoping for . 	unfortunately , his men with guns is not the film anyone was hoping for .	2	-2	 unfortunately[-1] his[0] men[0] with[0] guns[-1] is[0] not[0] the[0] film[0] anyone[0] was[0] hoping[1] for[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
we are essentially told in the first reel where the film is going to go and what it is going to do . 	we are essentially told in the first reel where the film is going to go and what it is going to do .	1	-1	 we[0] are[0] essentially[0] told[0] in[0] the[0] first[0] reel[0] where[0] the[0] film[0] is[0] going[0] to[0] go[0] and[0] what[0] it[0] is[0] going[0] to[0] do[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
then the film does exactly what it promised , a painful as that is . 	then the film does exactly what it promised , a painful as that is .	2	-4	 then[0] the[0] film[0] does[0] exactly[0] what[0] it[0] promised[1] a[0] painful[-3] as[0] that[0] is[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
the plot of men with guns can be summarized " in a central or south american country things are really bad for everybody in the mountains where the army clashes with the guerrillas . 	the plot of men with guns can be summarized " in a central or south american country things are really bad for everybody in the mountains where the army clashes with the guerrillas .	1	-3	 the[0] plot[0] of[0] men[0] with[0] guns[-1] can[0] be[0] summarized[0] in[0] a[0] central[0] or[0] south[0] american[0] country[0] things[0] are[0] really[0] bad[-1][-1 LastWordBoosterStrength] for[0] everybody[0] in[0] the[0] mountains[0] where[0] the[0] army[0] clashes[0] with[0] the[0] guerrillas[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
dr . fuentes did not believe how bad things were so he went . 	dr .<br> fuentes did not believe how bad things were so he went .	1	-2	 dr[0] [[Sentence=-1,1=word max, 1-5]] fuentes[0] did[0] not[0] believe[0] how[0] bad[-1] things[0] were[0] so[0] he[0] went[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
and he found out again and again and again . " 	and he found out again and again and again .<br> "	1	-1	 and[0] he[0] found[0] out[0] again[0] and[0] again[0] and[0] again[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
of course it is perfectly true that in many places in that region armed conflicts have turned life into a living hell . 	of course it is perfectly true that in many places in that region armed conflicts have turned life into a living hell .	2	-2	 of[0] course[0] it[0] is[0] perfectly[1] true[1] that[0] in[0] many[0] places[0] in[0] that[0] region[0] armed[0] conflicts[-1] have[0] turned[0] life[0] into[0] a[0] living[0] hell[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
a guerrilla war is always bad for civilians . 	a guerrilla war is always bad for civilians .	1	-3	 a[0] guerrilla[-1] war[-2] is[0] always[0] bad[-1] for[0] civilians[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
but the film talks down to the viewer . 	but the film talks down to the viewer .	1	-1	 but[0] the[0] film[0] talks[0] down[0] to[0] the[0] viewer[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
dr . fuentes ( played by federico luppi ) teaches medicine in the capital city of his country . 	dr .<br> fuentes ( played by federico luppi ) teaches medicine in the capital city of his country .	1	-1	 dr[0] [[Sentence=-1,1=word max, 1-5]] fuentes[0] played[0] by[0] federico[0] luppi[0] teaches[0] medicine[0] in[0] the[0] capital[0] city[0] of[0] his[0] country[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he has , as a great humanitarian gesture , trained and inspired some of his best students to go into the mountains and make the world a little better for the poor indios . 	he has , as a great humanitarian gesture , trained and inspired some of his best students to go into the mountains and make the world a little better for the poor indios .	3	-2	 he[0] has[0] as[0] a[0] great[2] humanitarian[0] gesture[0] trained[0] and[0] inspired[2] some[0] of[0] his[0] best[1] students[0] to[0] go[0] into[0] the[0] mountains[0] and[0] make[0] the[0] world[0] a[0] little[0] better[0] for[0] the[0] poor[-1] indios[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
fuentes believe the students to be up there doing humanitarian service . 	fuentes believe the students to be up there doing humanitarian service .	1	-1	 fuentes[0] believe[0] the[0] students[0] to[0] be[0] up[0] there[0] doing[0] humanitarian[0] service[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
then he discovers one of his best students has instead returned to the city and runs a squalid private pharmacy . 	then he discovers one of his best students has instead returned to the city and runs a squalid private pharmacy .	2	-1	 then[0] he[0] discovers[0] one[0] of[0] his[0] best[1] students[0] has[0] instead[0] returned[0] to[0] the[0] city[0] and[0] runs[0] a[0] squalid[0] private[0] pharmacy[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
