after the recent animated debacles of , " a rugrats movie , " and " a bug's life , " i am seriously considering raising my highly negative rating on dreamworks' other insect film from october , " antz . " 	Translation	Positive	Negative	EmotionRationale
i hated that movie , and yet , it is so much better than these latest two excursions . 	i hated that movie , and yet , it is so much better than these latest two excursions .	1	-4	 i[0] hated[-3] that[0] movie[0] and[0] yet[0] it[0] is[0] so[0] much[0] better[0] than[0] these[0] latest[0] two[0] excursions[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
 " a bug's life , " is the second animated insect film in the last two months , and i hoped for the best , considering it was done in the wonderful style of pixar's last film , 1995's " toy story , " but in no way does , " a bug's life , " even remotely match up to that . 	 " a bug's life , " is the second animated insect film in the last two months , and i hoped for the best , considering it was done in the wonderful style of pixar's last film , 1995's " toy story , " but in no way does , " a bug's life , " even remotely match up to that .	3	-1	 a[0] bug's[0] life[0] is[0] the[0] second[0] animated[0] insect[0] film[0] in[0] the[0] last[0] two[0] months[0] and[0] i[0] hoped[1] for[0] the[0] best[1] considering[0] it[0] was[0] done[0] in[0] the[0] wonderful[2] style[0] of[0] pixar's[0] last[0] film[0] 1995's[0] toy[0] story[0] but[0] in[0] no[0] way[0] does[0] a[0] bug's[0] life[0] even[0] remotely[0] match[0] up[0] to[0] that[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
flik ( david foley ) , an ant , who along with his many comrades , has the job every year of gathering up the seasonal harvest , only to have to give half of it away to the dominating grasshoppers , led by hopper ( kevin spacey ) . 	flik ( david foley ) , an ant , who along with his many comrades , has the job every year of gathering up the seasonal harvest , only to have to give half of it away to the dominating grasshoppers , led by hopper ( kevin spacey ) .	1	-1	 flik[0] david[0] foley[0] an[0] ant[0] who[0] along[0] with[0] his[0] many[0] comrades[0] has[0] the[0] job[0] every[0] year[0] of[0] gathering[0] up[0] the[0] seasonal[0] harvest[0] only[0] to[0] have[0] to[0] give[0] half[0] of[0] it[0] away[0] to[0] the[0] dominating[0] grasshoppers[0] led[0] by[0] hopper[0] kevin[0] spacey[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
flik , however , feels all alone and unwanted in the world , especially after he accidentally loses all of their food , and the ants are threated by hopper to gather up a whole other season's load by the time the last summer leaf falls from the trees . 	flik , however , feels all alone and unwanted in the world , especially after he accidentally loses all of their food , and the ants are threated by hopper to gather up a whole other season's load by the time the last summer leaf falls from the trees .	1	-3	 flik[0] however[0] feels[0] all[0] alone[0] and[0] unwanted[0] in[0] the[0] world[0] especially[0] after[0] he[0] accidentally[-1] loses[-1] all[0] of[0] their[0] food[0] and[0] the[0] ants[0] are[0] threated[-2] by[0] hopper[0] to[0] gather[0] up[0] a[0] whole[0] other[0] season's[0] load[0] by[0] the[0] time[0] the[0] last[0] summer[0] leaf[0] falls[0] from[0] the[0] trees[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
banished from ant island , flik leaves the colony in search of some strong reinforcement to help out , but through a misunderstanding , returns with a handful of helpless circus bugs , including a walking stick ( david hyde pierce ) , a dung beetle ( brad garrett ) , a gypsy moth ( madeline kahn ) , a male ladybug ( denis leary ) , and a caterpillar ( joe ranft ) . 	banished from ant island , flik leaves the colony in search of some strong reinforcement to help out , but through a misunderstanding , returns with a handful of helpless circus bugs , including a walking stick ( david hyde pierce ) , a dung beetle ( brad garret ) , a gypsy moth ( madeline kahn ) , a male ladybug ( denis leary ) , and a caterpillar ( joe ranft ) .	1	-2	 banished[-1] from[0] ant[0] island[0] flik[0] leaves[0] the[0] colony[0] in[0] search[0] of[0] some[0] strong[0] reinforcement[0] to[0] help[0] out[0] but[0] through[0] a[0] misunderstanding[-1] returns[0] with[0] a[0] handful[0] of[0] helpless[-1] circus[0] bugs[0] including[0] a[0] walking[0] stick[0] david[0] hyde[0] pierce[0] a[0] dung[0] beetle[0] brad[0] garrett/garret[0] a[0] gypsy[0] moth[0] madeline[0] kahn[0] a[0] male[0] ladybug[0] denis[0] leary[0] and[0] a[0] caterpillar[0] joe[0] ranft[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 " a bug's life , " has one thing going for it . 	 " a bug's life , " has one thing going for it .	1	-1	 a[0] bug's[0] life[0] has[0] one[0] thing[0] going[0] for[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
only one thing . 	only one thing .	1	-1	 only[0] one[0] thing[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
with its glorious , bright colors , the computer-generated animation is a spectacle to look at . 	with its glorious , bright colors , the computer-generated animation is a spectacle to look at .	2	-1	 with[0] its[0] glorious[1] bright[0] colors[0] the[0] computer[0] generated[0] animation[0] is[0] a[0] spectacle[0] to[0] look[0] at[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the film itself , unfortunately , is a lifeless , unamusing contraption without any of the flair or excitement of , " toy story . " 	the film itself , unfortunately , is a lifeless , unamusing contraption without any of the flair or excitement of , " toy story .<br> "	3	-2	 the[0] film[0] itself[0] unfortunately[-1] is[0] a[0] lifeless[-1] unamusing[0] contraption[0] without[0] any[0] of[0] the[0] flair[0] or[0] excitement[2] of[0] toy[0] story[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the characters in , " a bug's life , " are an assortment of either unlikable or dull insects without any charm or personality , other than to stand around and recite arbitrary and thoroughly unfunny one-liners . 	the characters in , " a bug's life , " are an assortment of either unlikable or dull insects without any charm or personality , other than to stand around and recite arbitrary and thoroughly unfunny one-liners .	2	-2	 the[0] characters[0] in[0] a[0] bug's[0] life[0] are[0] an[0] assortment[0] of[0] either[0] unlikable[0] or[0] dull[-1] insects[0] without[0] any[0] charm[1] or[0] personality[0] other[0] than[0] to[0] stand[0] around[0] and[0] recite[0] arbitrary[-1] and[0] thoroughly[0] unfunny[0] one[0] liners[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
