remember back in the mid 1990s when crime and macabre movies were all the rage ? 	Translation	Positive	Negative	EmotionRationale
 " pulp fiction " and " fargo " both managed to get oscar nominations for the best picture , and not surprisingly , a slew of rip-offs followed in the years thereafter . 	 " pulp fiction " and " fargo " both managed to get oscar nominations for the best picture , and not surprisingly , a slew of rip-offs followed in the years thereafter .	2	-2	 pulp[0] fiction[0] and[0] fargo[0] both[0] managed[0] to[0] get[0] oscar[0] nominations[0] for[0] the[0] best[1] picture[0] and[0] not[0] surprisingly[0] a[0] slew[0] of[0] rip[-1] offs[0] followed[0] in[0] the[0] years[0] thereafter[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
that fad seems to be over but here comes christopher mcquarrie writing and directing " the way of the gun " that at first glance looks like another of those wanna-be's but upon closer inspection doesn't look like anything comprehendable . 	that fad seems to be over but here comes christopher mcquarrie writing and directing " the way of the gun " that at first glance looks like another of those wanna-be's but upon closer inspection doesn't look like anything comprehendable .	2	-2	 that[0] fad[0] seems[0] to[0] be[0] over[0] but[0] here[0] comes[0] christopher[0] mcquarrie[0] writing[0] and[0] directing[0] the[0] way[0] of[0] the[0] gun[-1] that[0] at[0] first[0] glance[0] looks[0] like[1] another[0] of[0] those[0] wanna[0] be's[0] but[0] upon[0] closer[0] inspection[0] doesn't[0] look[0] like[1] anything[0] comprehendable[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
it's a crime story so wrapped up in its own little world it has a claustrophobic atmosphere - a film that won't allow the story much room to expand outside its handful of characters and somehow still manages to turn a simple premise into something so complex its ridiculous . 	it's a crime story so wrapped up in its own little world it has a claustrophobic atmosphere - a film that won't allow the story much room to expand outside its handful of characters and somehow still manages to turn a simple premise into something so complex its ridiculous .	1	-3	 it's[0] a[0] crime[-1] story[0] so[0] wrapped[0] up[0] in[0] its[0] own[0] little[0] world[0] it[0] has[0] a[0] claustrophobic[0] atmosphere[0] a[0] film[0] that[0] won't[0] allow[0] the[0] story[0] much[0] room[0] to[0] expand[0] outside[0] its[0] handful[0] of[0] characters[0] and[0] somehow[0] still[0] manages[0] to[0] turn[0] a[0] simple[0] premise[0] into[0] something[0] so[0] complex[0] its[0] ridiculous[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
complexity should come as no surprise to anyone who's familiar with mcquarrie , he wrote " the usual suspects , " which has become a cult favorite despite little critical acclaim . 	complexity should come as no surprise to anyone who's familiar with mcquarrie , he wrote " the usual suspects , " which has become a cult favorite despite little critical acclaim .	2	-2	 complexity[0] should[0] come[0] as[0] no[0] surprise[0] to[0] anyone[0] who's[0] familiar[0] with[0] mcquarrie[0] he[0] wrote[0] the[0] usual[0] suspects[0] which[0] has[0] become[0] a[0] cult[0] favorite[1] despite[0] little[0] critical[-1] acclaim[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
that film had a great story and was well directed but had such an elaborate , confusing screenplay it leaves many viewers scratching their heads after repeated viewings . 	that film had a great story and was well directed but had such an elaborate , confusing screenplay it leaves many viewers scratching their heads after repeated viewings .	3	-2	 that[0] film[0] had[0] a[0] great[2] story[0] and[0] was[0] well[0] directed[0] but[0] had[0] such[0] an[0] elaborate[0] confusing[-1] screenplay[0] it[0] leaves[0] many[0] viewers[0] scratching[0] their[0] heads[0] after[0] repeated[0] viewings[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
you have to wonder if mcquarrie really had everything mapped out or if he was going for the hollywood idea that " if it's really confusing and about criminals and cops that makes it fascinating . " 	you have to wonder if mcquarrie really had everything mapped out or if he was going for the hollywood idea that " if it's really confusing and about criminals and cops that makes it fascinating .<br> "	1	-3	 you[0] have[0] to[0] wonder[0] if[0] mcquarrie[0] really[0] had[0] everything[0] mapped[0] out[0] or[0] if[0] he[0] was[0] going[0] for[0] the[0] hollywood[0] idea[0] that[0] if[0] it's[0] really[0] confusing[-1][-1 LastWordBoosterStrength] and[0] about[0] criminals[-1] and[0] cops[0] that[0] makes[0] it[0] fascinating[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
with " the way of the gun " mcquarrie seems to be capitalizing on the same idea , but this time the story is far less commercial - a shame because maybe that would have helped . 	with " the way of the gun " mcquarrie seems to be capitalizing on the same idea , but this time the story is far less commercial - a shame because maybe that would have helped .	1	-3	 with[0] the[0] way[0] of[0] the[0] gun[-1] mcquarrie[0] seems[0] to[0] be[0] capitalizing[0] on[0] the[0] same[0] idea[0] but[0] this[0] time[0] the[0] story[0] is[0] far[0] less[0] commercial[0] a[0] shame[-2] because[0] maybe[0] that[0] would[0] have[0] helped[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the film tells the story of two drifters with no ambition and barely a reason to live but aren't hell-bent on death either ( played by ryan phillipie and benecio del toro ) . 	the film tells the story of two drifters with no ambition and barely a reason to live but aren't hell-bent on death either ( played by ryan phillipie and benecio del toro ) .	2	-3	 the[0] film[0] tells[0] the[0] story[0] of[0] two[0] drifters[0] with[0] no[0] ambition[0] and[0] barely[0] a[0] reason[0] to[0] live[0] but[0] aren't[0] hell[-1][NegatedDueToPreviousWord] bent[0] on[0] death[-2] either[0] played[0] by[0] ryan[0] phillipie[0] and[0] benecio[0] del[0] toro[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
they get lucky when they hear about a scheme between a big-shot exec guy and his trophy wife who are going to have a baby through in vitro fertilization . 	they get lucky when they hear about a scheme between a big-shot exec guy and his trophy wife who are going to have a baby through in vitro fertilization .	2	-2	 they[0] get[0] lucky[1] when[0] they[0] hear[0] about[0] a[0] scheme[0] between[0] a[0] big[0] shot[-1] exec[0] guy[0] and[0] his[0] trophy[0] wife[0] who[0] are[0] going[0] to[0] have[0] a[0] baby[1] through[0] in[0] vitro[0] fertilization[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
they figure they can kidnap the surrogate mother ( played by juliette lewis ) and get a nice ransom . 	they figure they can kidnap the surrogate mother ( played by juliette lewis ) and get a nice ransom .	2	-2	 they[0] figure[0] they[0] can[0] kidnap[-1] the[0] surrogate[0] mother[0] played[0] by[0] juliette[0] lewis[0] and[0] get[0] a[0] nice[1] ransom[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
