 " ladybugs " is a typical comedy that relies on three supposed guarantees : the pathetic team who beats the champs ; cross dressing ; and the presence of rodney dangerfield . 	Translation	Positive	Negative	EmotionRationale
this picture doesn't play like a comedy for children , so who is it aimed at ? 	this picture doesn't play like a comedy for children , so who is it aimed at ?	2	-1	 this[0] picture[0] doesn't[0] play[0] like[1] a[0] comedy[0] for[0] children[0] so[0] who[0] is[0] it[0] aimed[0] at[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
and why is it told like a 91-minute sit-com instead of a feature film ? 	and why is it told like a 91-minute sit-com instead of a feature film ?	2	-1	 and[0] why[0] is[0] it[0] told[0] like[1] a[0] 91[0] minute[0] sit[0] com[0] instead[0] of[0] a[0] feature[0] film[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
rodney dangerfield stars as chester lee , a total schmuck working at a huge corporation . 	rodney dangerfield stars as chester lee , a total schmuck working at a huge corporation .	1	-2	 rodney[0] dangerfield[-1] stars[0] as[0] chester[0] lee[0] a[0] total[0] schmuck[0] working[0] at[0] a[0] huge[0] corporation[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he obviously doesn't have a lot of self esteem and thinks he has to kiss up to get ahead , which he does by volunteering to coach the company's girls' soccer team . 	he obviously doesn't have a lot of self esteem and thinks he has to kiss up to get ahead , which he does by volunteering to coach the company's girls' soccer team .	3	-1	 he[0] obviously[0] doesn't[0] have[0] a[0] lot[0] of[0] self[0] esteem[0] and[0] thinks[0] he[0] has[0] to[0] kiss[2] up[0] to[0] get[0] ahead[0] which[0] he[0] does[0] by[0] volunteering[0] to[0] coach[0] the[0] company's[0] girls'[0] soccer[0] team[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
what a shock to learn chester and his assistant julie ( jackee ) know absolutely nothing about the game , and the players seem to know even less . 	what a shock to learn chester and his assistant julie ( jackee ) know absolutely nothing about the game , and the players seem to know even less .	1	-3	 what[0] a[0] shock[-2] to[0] learn[0] chester[0] and[0] his[0] assistant[0] julie[0] jackee[0] know[0] absolutely[0] nothing[0] about[0] the[0] game[0] and[0] the[0] players[0] seem[0] to[0] know[0] even[0] less[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
i didn't laugh , but for some reason it didn't annoy me that much . 	i didn't laugh , but for some reason it didn't annoy me that much .	2	-3	 i[0] didn't[0] laugh[1] but[0] for[0] some[0] reason[0] it[0] didn't[0] annoy[-2] me[0] that[0] much[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
chester's fiancee bess ( graff ) thinks he got a promotion in addition to the coaching position , and of course she has a slacker for a son who is doing poorly in school and is kicked off the sports teams . 	chester's fiancee bess ( graff ) thinks he got a promotion in addition to the coaching position , and of course she has a slacker for a son who is doing poorly in school and is kicked off the sports teams .	1	-2	 chester's[0] fiancee[0] bess[0] graff[0] thinks[0] he[0] got[0] a[0] promotion[0] in[0] addition[0] to[0] the[0] coaching[0] position[0] and[0] of[0] course[0] she[0] has[0] a[0] slacker[0] for[0] a[0] son[0] who[0] is[0] doing[0] poorly[-1] in[0] school[0] and[0] is[0] kicked[-1] off[0] the[0] sports[0] teams[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
jonathon brandis is a nice surprise as matthew , who agrees to dress up as a girl named martha to help out chester ( probably because the girl he has a crush on plays on the team - what original story ideas ! ) . 	jonathon brandis is a nice surprise as matthew , who agrees to dress up as a girl named martha to help out chester ( probably because the girl he has a crush on plays on the team - what original story ideas !<br> ) .	2	-2	 jonathon[0] brandis[0] is[0] a[0] nice[1] surprise[0] as[0] matthew[0] who[0] agrees[0] to[0] dress[0] up[0] as[0] a[0] girl[0] named[0] martha[0] to[0] help[0] out[0] chester[0] probably[0] because[0] the[0] girl[0] he[0] has[0] a[0] crush[-1] on[0] plays[1] on[0] the[0] team[0] what[0] original[0] story[0] ideas[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
what we get is just another retread of the " underdog sports team " mixed with some cross dressing . 	what we get is just another retread of the " underdog sports team " mixed with some cross dressing .	1	-1	 what[0] we[0] get[0] is[0] just[0] another[0] retread[0] of[0] the[0] underdog[0] sports[0] team[0] mixed[0] with[0] some[0] cross[-1][--1 LastWordBoosterStrength] dressing[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
unfortunately , the film isn't smart enough to play upon the drag aspect . 	unfortunately , the film isn't smart enough to play upon the drag aspect .	1	-2	 unfortunately[-1] the[0] film[0] isn't[0] smart[1][NegatedDueToPreviousWord] enough[0] to[0] play[0] upon[0] the[0] drag[-1] aspect[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in fact , it downplays it so heavily it's totally unbelievable . 	in fact , it downplays it so heavily it's totally unbelievable .	1	-3	 in[0] fact[0] it[0] downplays[0] it[0] so[0] heavily[0] it's[0] totally[0] unbelievable[-1][-1 LastWordBoosterStrength] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
could it be any more obvious martha is a boy ? 	could it be any more obvious martha is a boy ?	1	-1	 could[0] it[0] be[0] any[0] more[0] obvious[0] martha[0] is[0] a[0] boy[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he only wears a girl's wig , without any makeup , and they don't even give him falsies . 	he only wears a girl's wig , without any makeup , and they don't even give him falsies .	1	-1	 he[0] only[0] wears[0] a[0] girl's[0] wig[0] without[0] any[0] makeup[0] and[0] they[0] don't[0] even[0] give[0] him[0] falsies[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
brandis doesn't bother to mimic a girl's voice either . 	brandis doesn't bother to mimic a girl's voice either .	1	-2	 brandis[0] doesn't[0] bother[-1] to[0] mimic[0] a[0] girl's[0] voice[0] either[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
then there is a pointless scene where chester and matthew shop for a dress , but for what reason ? 	then there is a pointless scene where chester and matthew shop for a dress , but for what reason ?	1	-2	 then[0] there[0] is[0] a[0] pointless[-1] scene[0] where[0] chester[0] and[0] matthew[0] shop[0] for[0] a[0] dress[0] but[0] for[0] what[0] reason[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
martha is only seen on the soccer field , why would they buy a dress for her ? 	martha is only seen on the soccer field , why would they buy a dress for her ?	1	-1	 martha[0] is[0] only[0] seen[0] on[0] the[0] soccer[0] field[0] why[0] would[0] they[0] buy[0] a[0] dress[0] for[0] her[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
just when we think the martha character is going to be useful , she disappears , and the story wanders aimlessly looking for a new plot to pick up on . 	just when we think the martha character is going to be useful , she disappears , and the story wanders aimlessly looking for a new plot to pick up on .	2	-2	 just[0] when[0] we[0] think[0] the[0] martha[0] character[0] is[0] going[0] to[0] be[0] useful[1] she[0] disappears[0] and[0] the[0] story[0] wanders[0] aimlessly[-1] looking[0] for[0] a[0] new[0] plot[0] to[0] pick[0] up[0] on[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
when bess discovers what's really going on she breaks up with chester , and the relationship is forgotten about and the film focuses on the soccer team and the tension between chester and his boss . 	when bess discovers what's really going on she breaks up with chester , and the relationship is forgotten about and the film focuses on the soccer team and the tension between chester and his boss .	1	-3	 when[0] bess[0] discovers[0] what's[0] really[0] going[0] on[0] she[0] breaks[0] up[0] with[0] chester[0] and[0] the[0] relationship[0] is[0] forgotten[0] about[0] and[0] the[0] film[0] focuses[0] on[0] the[0] soccer[0] team[0] and[0] the[0] tension[-2] between[0] chester[0] and[0] his[0] boss[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
this film could've been less bad had it been the cliche sports comedy , but it feels the need to go off on tangents that are completely unnecessary ( and bad at that ) . 	this film could've been less bad had it been the cliche sports comedy , but it feels the need to go off on tangents that are completely unnecessary ( and bad at that ) .	1	-3	 this[0] film[0] could've[0] been[0] less[0] bad[-1] had[0] it[0] been[0] the[0] cliche[0] sports[0] comedy[0] but[0] it[0] feels[0] the[0] need[0] to[0] go[0] off[0] on[0] tangents[0] that[0] are[0] completely[0] unnecessary[-1][-1 LastWordBoosterStrength] and[0] bad[-1] at[0] that[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
there's just too much of a sit-com feel here , especially during the so-called serious moments , and all the confusion between the characters . 	there's just too much of a sit-com feel here , especially during the so-called serious moments , and all the confusion between the characters .	1	-2	 there's[0] just[0] too[0] much[0] of[0] a[0] sit[0] com[0] feel[0] here[0] especially[0] during[0] the[0] so[0] called[0] serious[-1] moments[0] and[0] all[0] the[0] confusion[-1] between[0] the[0] characters[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i've seen worse movies than " ladybugs , " but for some reason it contained some sort of bizarre charm , so even when it turns sour it doesn't seem as bad as it is . 	i've seen worse movies than " ladybugs , " but for some reason it contained some sort of bizarre charm , so even when it turns sour it doesn't seem as bad as it is .	2	-3	 i've[0] seen[0] worse[-2] movies[0] than[0] ladybugs[0] but[0] for[0] some[0] reason[0] it[0] contained[0] some[0] sort[0] of[0] bizarre[-1] charm[1] so[0] even[0] when[0] it[0] turns[0] sour[-1] it[0] doesn't[0] seem[0] as[0] bad[-1] as[0] it[0] is[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
dangerfield finally gets his respect in the end , but at what a price . 	dangerfield finally gets his respect in the end , but at what a price .	3	-2	 dangerfield[-1] finally[0] gets[0] his[0] respect[2] in[0] the[0] end[0] but[0] at[0] what[0] a[0] price[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
