star wars : ? episode i -- the phantom menace ( 1999 ) 	Translation	Positive	Negative	EmotionRationale
director : george lucas cast : liam neeson , ewan mcgregor , natalie portman , jake lloyd , ian mcdiarmid , samuel l . jackson , oliver ford davies , terence stamp , pernilla august , frank oz , ahmed best , kenny baker , anthony daniels screenplay : george lucas producers : rick mccallum runtime : 131 min . 	director : george lucas cast : liam neeson , ewan mcgregor , natalie portman , jake lloyd , ian mcdiarmid , samuel l .<br> jackson , oliver ford davies , terence stamp , pernilla august , frank oz , ahmed best , kenny baker , anthony daniels screenplay : george lucas producers : rick mccallum runtime : 131 min .	2	-1	 director[0] george[0] lucas[0] cast[0] liam[0] neeson[0] ewan[0] mcgregor[0] natalie[0] portman[0] jake[0] lloyd[0] ian[0] mcdiarmid[0] samuel[0] l[0] [[Sentence=-1,1=word max, 1-5]] jackson[0] oliver[0] ford[0] davies[0] terence[0] stamp[0] pernilla[0] august[0] frank[0] oz[0] ahmed[0] best[1] kenny[0] baker[0] anthony[0] daniels[0] screenplay[0] george[0] lucas[0] producers[0] rick[0] mccallum[0] runtime[0] 131[0] min[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
us distribution : 20th century fox rated pg : mild violence , thematic elements 	us distribution : 20th century fox rated pg : mild violence , thematic elements	1	-4	 us[0] distribution[0] 20th[0] century[0] fox[0] rated[0] pg[0] mild[0] violence[-3] thematic[0] elements[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
copyright 1999 nathaniel r . atcheson 	copyright 199 nathaniel are .<br> atcheson	1	-1	 copyright[0] 1999/199[0] nathaniel[0] r[0] [[Sentence=-1,1=word max, 1-5]] atcheson[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a fellow critic once stated his belief that a reviewer should not speak of himself in his own review . 	a fellow critic once stated his belief that a reviewer should not speak of himself in his own review .	1	-2	 a[0] fellow[0] critic[-1] once[0] stated[0] his[0] belief[0] that[0] a[0] reviewer[0] should[0] not[0] speak[0] of[0] himself[0] in[0] his[0] own[0] review[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i've attempted to obey this rule in recent months , but to do so would be impossible in this case . 	i've attempted to obey this rule in recent months , but to do so would be impossible in this case .	1	-1	 i've[0] attempted[0] to[0] obey[0] this[0] rule[0] in[0] recent[0] months[0] but[0] to[0] do[0] so[0] would[0] be[0] impossible[0] in[0] this[0] case[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the fact is , nearly every person who goes to see the phantom menace brings baggage in with them . 	the fact is , nearly every person who goes to see the phantom menace brings baggage in with them .	1	-3	 the[0] fact[0] is[0] nearly[0] every[0] person[0] who[0] goes[0] to[0] see[0] the[0] phantom[0] menace[-2] brings[0] baggage[0] in[0] with[0] them[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the original star wars trilogy means so much to so many people . 	the original star wars trilogy means so much to so many people .	1	-3	 the[0] original[0] star[0] wars[-2] trilogy[0] means[0] so[0] much[0] to[0] so[0] many[0] people[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
for me , they calibrated my creativity as a child ; they are masterful , original works of art that mix moving stories with what were astonishing special effects at the time ( and they still hold up pretty darn well ) . 	for me , they calibrated my creativity as a child ; they are masterful , original works of art that mix moving stories with what were astonishing special effects at the time ( and they still hold up pretty darn well ) .	3	-2	 for[0] me[0] they[0] calibrated[0] my[0] creativity[0] as[0] a[0] child[0] they[0] are[0] masterful[0] original[0] works[0] of[0] art[0] that[0] mix[0] moving[0] stories[0] with[0] what[0] were[0] astonishing[0] special[1] effects[0] at[0] the[0] time[0] and[0] they[0] still[0] hold[0] up[0] pretty[2] darn[-1] well[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
i am too young to have seen star wars in the theater during its original release , but that doesn't make me any less dedicated to it . 	i am too young to have seen star wars in the theater during its original release , but that doesn't make me any less dedicated to it .	1	-3	 i[0] am[0] too[0] young[0] to[0] have[0] seen[0] star[0] wars[-2] in[0] the[0] theater[0] during[0] its[0] original[0] release[0] but[0] that[0] doesn't[0] make[0] me[0] any[0] less[0] dedicated[0] to[0] it[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
on the contrary , the star wars trilogy -- and the empire strikes back in particular -- are three items on a very short list of why i love movies . 	on the contrary , the star wars trilogy - and the empire strikes back in particular - are three items on a very short list of why i love movies .	3	-3	 on[0] the[0] contrary[-1] the[0] star[0] wars[-2] trilogy[0] and[0] the[0] empire[0] strikes[0] back[0] in[0] particular[0] are[0] three[0] items[0] on[0] a[0] very[0] short[0] list[0] of[0] why[0] i[0] love[2] movies[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
when i heard that george lucas would be making the first trilogy in the nine-film series , i got exited . 	when i heard that george lucas would be making the first trilogy in the nine-film series , i got exited .	1	-1	 when[0] i[0] heard[0] that[0] george[0] lucas[0] would[0] be[0] making[0] the[0] first[0] trilogy[0] in[0] the[0] nine[0] film[0] series[0] i[0] got[0] exited[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
when i first saw screenshots from the film , well over a year ago , i embarked on a year-long drool of anticipation . 	when i first saw screenshots from the film , well over a year ago , i embarked on a year-long drool of anticipation .	1	-1	 when[0] i[0] first[0] saw[0] screenshots[0] from[0] the[0] film[0] well[0] over[0] a[0] year[0] ago[0] i[0] embarked[0] on[0] a[0] year[0] long[0] drool[0] of[0] anticipation[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
