if you're debating whether or not to see _breakfast_of_champions_ , ask yourself one simple question : do you want to see nick nolte in lingerie ? 	Translation	Positive	Negative	EmotionRationale
the only people who would get much enjoyment from alan rudolph's chaotic adaptation of the kurt vonnegut novel is the cross-section of the population with the unhealthy urge to see that unpleasant sight . 	the only people who would get much enjoyment from alan rudolph's chaotic adaptation of the kurt vonnegut novel is the cross-section of the population with the unhealthy urge to see that unpleasant sight .	3	-3	 the[0] only[0] people[0] who[0] would[0] get[0] much[0] enjoyment[2] from[0] alan[0] rudolph's[0] chaotic[-1] adaptation[0] of[0] the[0] kurt[0] vonnegut[0] novel[0] is[0] the[0] cross[-1] section[0] of[0] the[0] population[0] with[0] the[0] unhealthy[-1] urge[0] to[0] see[0] that[0] unpleasant[-2] sight[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
everyone else--and i'm hoping that's most people--would be wise to steer clear of this excrutiatingly unfunny mess . 	everyone else-and i'm hoping that's most people-would be wise to steer clear of this excrutiatingly unfunny mess .	2	-1	 everyone[0] else[0] and[0] i'm[0] hoping[1] that's[0] most[0] people[0] would[0] be[0] wise[0] to[0] steer[0] clear[0] of[0] this[0] excrutiatingly[0] unfunny[0] mess[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
actually , though , the sight of nolte in high heels is one of the more amusing things about this muddle , which focuses dwayne hoover ( bruce willis ) , the owner of dwayne hoover's exit 11 motor village in midland city . 	actually , though , the sight of nolte in high heels is one of the more amusing things about this muddle , which focuses dwayne hoover ( bruce willis ) , the owner of dwayne hoover's exit 11 motor village in midland city .	2	-2	 actually[0] though[0] the[0] sight[0] of[0] nolte[0] in[0] high[0] heels[0] is[0] one[0] of[0] the[0] more[0] amusing[1] things[0] about[0] this[0] muddle[-1] which[0] focuses[0] dwayne[0] hoover[0] bruce[0] willis[0] the[0] owner[0] of[0] dwayne[0] hoover's[0] exit[-1] 11[0] motor[0] village[0] in[0] midland[0] city[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
not only is he a huge success as a businessman , he's also something of a celebrity , his face made recognizable by an ongoing series of television commercials . 	not only is he a huge success as a businessman , he's also something of a celebrity , his face made recognizable by an ongoing series of television commercials .	3	-1	 not[0] only[0] is[0] he[0] a[0] huge[0] success[2] as[0] a[0] businessman[0] he's[0] also[0] something[0] of[0] a[0] celebrity[0] his[0] face[0] made[0] recognizable[0] by[0] an[0] ongoing[0] series[0] of[0] television[0] commercials[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
with a nice home and family to boot , dwayne appears to have it all the ingredients to be happy--yet he's not . 	with a nice home and family to boot , dwayne appears to have it all the ingredients to be happy-yet he's not .	2	-1	 with[0] a[0] nice[1] home[0] and[0] family[0] to[0] boot[0] dwayne[0] appears[0] to[0] have[0] it[0] all[0] the[0] ingredients[0] to[0] be[0] happy[1] yet[0] he's[0] not[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
his wife celia ( barbara hershey ) is perpetually in a pill-induced haze ; his son george ( lukas haas ) is a flamboyant lounge singer who goes by the stage name " bunny . " 	his wife celia ( barbara hershey ) is perpetually in a pill-induced haze ; his son george ( lukas has ) is a flamboyant lounge singer who goes by the stage name " bunny .<br> "	1	-1	 his[0] wife[0] celia[0] barbara[0] hershey[0] is[0] perpetually[0] in[0] a[0] pill[0] induced[0] haze[0] his[0] son[0] george[0] lukas[0] haas/has[0] is[0] a[0] flamboyant[0] lounge[0] singer[0] who[0] goes[0] by[0] the[0] stage[0] name[0] bunny[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
not only that , the environmental protection agency is on dwayne's ass over a building development project . 	not only that , the environmental protection agency is on dwayne's ass over a building development project .	1	-1	 not[0] only[0] that[0] the[0] environmental[0] protection[0] agency[0] is[0] on[0] dwayne's[0] ass[0] over[0] a[0] building[0] development[0] project[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's enough to send dwayne on a nervous breakdown--that is , if he doesn't succeed in blowing his brains out first . 	it's enough to send dwayne on a nervous breakdown-that is , if he doesn't succeed in blowing his brains out first .	3	-3	 it's[0] enough[0] to[0] send[0] dwayne[0] on[0] a[0] nervous[-2] breakdown[-1] that[0] is[0] if[0] he[0] doesn't[0] succeed[2] in[0] blowing[0] his[0] brains[0] out[0] first[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
meanwhile , midland city is about to host a fine arts festival , and the guest of honor is one kilgore trout ( albert finney ) , a writer who is far from the renowned author the festival's organizer ( buck henry ) was led to believe--in fact , he's a penniless hack who writes second-rate sci-fi that appears in porn magazines . 	meanwhile , midland city is about to host a fine arts festival , and the guest of honor is one kilgore trout ( albert finney ) , a writer who is far from the renowned author the festival's organizer ( buck henry ) was led to believe-in fact , he's a penniless hack who writes second-rate sci-fi that appears in porn magazines .	3	-2	 meanwhile[0] midland[0] city[0] is[0] about[0] to[0] host[0] a[0] fine[2] arts[0] festival[0] and[0] the[0] guest[0] of[0] honor[0] is[0] one[0] kilgore[0] trout[0] albert[0] finney[0] a[0] writer[0] who[0] is[0] far[0] from[0] the[0] renowned[0] author[0] the[0] festival's[0] organizer[0] buck[0] henry[0] was[0] led[0] to[0] believe[0] in[0] fact[0] he's[0] a[0] penniless[0] hack[-1] who[0] writes[0] second[0] rate[0] sci[0] fi[0] that[0] appears[0] in[0] porn[0] magazines[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
his trek to midland city is also a spiritual journey , one that reaches its apex after meeting dwayne , who for some reason thinks that trout will hold for him all of life's answers . 	his trek to midland city is also a spiritual journey , one that reaches its apex after meeting dwayne , who for some reason thinks that trout will hold for him all of life's answers .	1	-1	 his[0] trek[0] to[0] midland[0] city[0] is[0] also[0] a[0] spiritual[0] journey[0] one[0] that[0] reaches[0] its[0] apex[0] after[0] meeting[0] dwayne[0] who[0] for[0] some[0] reason[0] thinks[0] that[0] trout[0] will[0] hold[0] for[0] him[0] all[0] of[0] life's[0] answers[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the above is already a longer plot synopsis than i usually give in my reviews , but , ironically , i have barely scratched the surface . 	the above is already a longer plot synopsis than i usually give in my reviews , but , ironically , i have barely scratched the surface .	1	-2	 the[0] above[0] is[0] already[0] a[0] longer[0] plot[0] synopsis[0] than[0] i[0] usually[0] give[0] in[0] my[0] reviews[0] but[0] ironically[-1] i[0] have[0] barely[0] scratched[0] the[0] surface[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i haven't yet mentioned wayne hoobler ( omar epps ) , an ex-con with an obsessive admiration for the similarly-named dwayne . 	i haven't yet mentioned wayne hoobler ( omar epps ) , an ex-con with an obsessive admiration for the similarly-named dwayne .	3	-3	 i[0] haven't[0] yet[0] mentioned[0] wayne[0] hoobler[0] omar[0] epps[0] an[0] ex[0] con[0] with[0] an[0] obsessive[-2] admiration[2] for[0] the[0] similarly[0] named[0] dwayne[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
then there's the matter of francine ( glenne headly ) , dwayne's devoted secretary . 	then there's the matter of francine ( glenne headly ) , dwayne's devoted secretary .	3	-1	 then[0] there's[0] the[0] matter[0] of[0] francine[0] glenne[0] headly[0] dwayne's[0] devoted[2] secretary[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
