i wonder if budget is at all a criterion for whether or not a movie can be considered an exploitation flick . 	Translation	Positive	Negative	EmotionRationale
take the professional , for example . 	take the professional , for example .	1	-1	 take[0] the[0] professional[0] for[0] example[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it boasts extremely glossy cinematography , a couple of recognizable name actors , and a couple of fairly impressive explosions . 	it boasts extremely glossy cinematography , a couple of recognizable name actors , and a couple of fairly impressive explosions .	2	-2	 it[0] boasts[-1] extremely[0] glossy[0] cinematography[0] a[0] couple[0] of[0] recognizable[0] name[0] actors[0] and[0] a[0] couple[0] of[0] fairly[0] impressive[1] explosions[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
it's also basically about violence and cheap titilation , and features a central relationship between a middle-aged man and a twelve-year-old girl with a decidedly ambiguous sexual dimension . 	it's also basically about violence and cheap titilation , and features a central relationship between a middle-aged man and a twelve-year-old girl with a decidedly ambiguous sexual dimension .	1	-4	 it's[0] also[0] basically[0] about[0] violence[-3] and[0] cheap[-1] titilation[0] and[0] features[0] a[0] central[0] relationship[0] between[0] a[0] middle[0] aged[0] man[0] and[0] a[0] twelve[0] year[0] old[0] girl[0] with[0] a[0] decidedly[0] ambiguous[-1] sexual[0] dimension[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the professional is all over the map , and its pretensions of being about anything more than its most unpleasant elements simply make it all the more unpleasant . 	the professional is all over the map , and its pretensions of being about anything more than its most unpleasant elements simply make it all the more unpleasant .	1	-3	 the[0] professional[0] is[0] all[0] over[0] the[0] map[0] and[0] its[0] pretensions[0] of[0] being[0] about[0] anything[0] more[0] than[0] its[0] most[0] unpleasant[-2] elements[0] simply[0] make[0] it[0] all[0] the[0] more[0] unpleasant[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the professional of the title is a new york hit man named leon ( jean reno ) , brutally efficient but also very isolated . 	the professional of the title is a new york hit man named leon ( jean reno ) , brutally efficient but also very isolated .	1	-3	 the[0] professional[0] of[0] the[0] title[0] is[0] a[0] new[0] york[0] hit[0] man[0] named[0] leon[0] jean[0] reno[0] brutally[-2] efficient[0] but[0] also[0] very[0] isolated[-1][-1 LastWordBoosterStrength] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
one day he is forced to let someone into his life when a girl from his apartment building knocks on his door . 	one day he is forced to let someone into his life when a girl from his apartment building knocks on his door .	1	-1	 one[0] day[0] he[0] is[0] forced[0] to[0] let[0] someone[0] into[0] his[0] life[0] when[0] a[0] girl[0] from[0] his[0] apartment[0] building[0] knocks[0] on[0] his[0] door[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
her name is matilda ( natalie portman ) , and the rest of her family has just been killed by crooked and very wired d . e . a . 	her name is matilda ( natalie portman ) , and the rest of her family has just been killed by crooked and very wired d .<br> e .<br> a .	1	-4	 her[0] name[0] is[0] matilda[0] natalie[0] portman[0] and[0] the[0] rest[0] of[0] her[0] family[0] has[0] just[0] been[0] killed[-3] by[0] crooked[-1] and[0] very[0] wired[0] d[0] [[Sentence=-4,1=word max, 1-5]] e[0] [[Sentence=-1,1=word max, 1-5]] a[0] [[Sentence=-1,1=word max, 1-5]][[[1,-4 max of sentences]]]
agent norman stansfield ( gary oldman ) after matilda's father tried to rip him off . 	agent norman stansfield ( gary oldman ) after matilda's father tried to rip him off .	1	-2	 agent[0] norman[0] stansfield[0] gary[0] oldman[0] after[0] matilda's[0] father[0] tried[0] to[0] rip[-1] him[0] off[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
leon reluctantly takes matilda in , then begins to teach her his profession when she says that she wants to avenge the murder of her young brother . 	leon reluctantly takes matilda in , then begins to teach her his profession when she says that she wants to avenge the murder of her young brother .	1	-4	 leon[0] reluctantly[-1] takes[0] matilda[0] in[0] then[0] begins[0] to[0] teach[0] her[0] his[0] profession[0] when[0] she[0] says[0] that[0] she[0] wants[0] to[0] avenge[-1] the[0] murder[-3] of[0] her[0] young[0] brother[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the two become closer , which makes them all the more vulnerable when stansfield learns that they know too much , and sets out to eliminate them both . 	the two become closer , which makes them all the more vulnerable when stansfield learns that they know too much , and sets out to eliminate them both .	1	-3	 the[0] two[0] become[0] closer[0] which[0] makes[0] them[0] all[0] the[0] more[0] vulnerable[-2] when[0] stansfield[0] learns[0] that[0] they[0] know[0] too[0] much[0] and[0] sets[0] out[0] to[0] eliminate[-1] them[0] both[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
writer/director luc besson has gone this route before with his popular french import la femme nikita , a slick potboiler about a female assassin . 	writer/director luc besson has gone this route before with his popular french import la femme nikita , a slick potboiler about a female assassin .	1	-3	 writer/director[0] luc[0] besson[0] has[0] gone[0] this[0] route[0] before[0] with[0] his[0] popular[0] french[0] import[0] la[0] femme[0] nikita[0] a[0] slick[0] potboiler[0] about[0] a[0] female[0] assassin[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
there is no question that besson can make a great * looking * film ; with the assistance of cinematographer thierry arbogast , he has created a film chock full of moody close-ups and evocative lighting . 	there is no question that besson can make a great * looking * film ; with the assistance of cinematographer thierry arbogast , he has created a film chock full of moody close-ups and evocative lighting .	3	-3	 there[0] is[0] no[0] question[0] that[0] besson[0] can[0] make[0] a[0] great[2] looking[0] film[0] with[0] the[0] assistance[0] of[0] cinematographer[0] thierry[0] arbogast[0] he[0] has[0] created[0] a[0] film[0] chock[0] full[0] of[0] moody[-2] close[0] ups[0] and[0] evocative[0] lighting[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
but beneath the shiny wrapper , there isn't nearly as much going on as besson would like us to believe . 	but beneath the shiny wrapper , there isn't nearly as much going on as besson would like us to believe .	1	-1	 but[0] beneath[0] the[0] shiny[0] wrapper[0] there[0] isn't[0] nearly[0] as[0] much[0] going[0] on[0] as[0] besson[0] would[0] like[1][-1 LastWordBoosterStrength] us[0] to[0] believe[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the relationship between leon and matilda never clicks because neither one is given a character to develop . 	the relationship between leon and matilda never clicks because neither one is given a character to develop .	1	-1	 the[0] relationship[0] between[0] leon[0] and[0] matilda[0] never[0] clicks[0] because[0] neither[0] one[0] is[0] given[0] a[0] character[0] to[0] develop[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
