topless women talk about their lives falls into that category that i mentioned in the devil's advocate : movies that have a brilliant beginning but don't know how to end . 	Translation	Positive	Negative	EmotionRationale
it begins by introducing us to a selection of characters who all know each other . 	it begins by introducing us to a selection of characters who all know each other .	1	-1	 it[0] begins[0] by[0] introducing[0] us[0] to[0] a[0] selection[0] of[0] characters[0] who[0] all[0] know[0] each[0] other[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there is liz , who oversleeps and so is running late for her appointment , prue who is getting married , geoff , liz's boyfriend , neil , her previous boyfriend , ant who has written a screenplay . 	there is liz , who oversleeps and so is running late for her appointment , prue who is getting married , geoff , liz's boyfriend , neil , her previous boyfriend , ant who has written a screenplay .	1	-1	 there[0] is[0] liz[0] who[0] oversleeps[0] and[0] so[0] is[0] running[0] late[0] for[0] her[0] appointment[0] prue[0] who[0] is[0] getting[0] married[0] geoff[0] liz's[0] boyfriend[0] neil[0] her[0] previous[0] boyfriend[0] ant[0] who[0] has[0] written[0] a[0] screenplay[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
for the first hour , we get to know these people through everyday activities , as they talk on the phone , go out to dinner , hang clothes on the line . 	for the first hour , we get to know these people through everyday activities , as they talk on the phone , go out to dinner , hang clothes on the line .	1	-2	 for[0] the[0] first[0] hour[0] we[0] get[0] to[0] know[0] these[0] people[0] through[0] everyday[0] activities[0] as[0] they[0] talk[0] on[0] the[0] phone[0] go[0] out[0] to[0] dinner[0] hang[-1] clothes[0] on[0] the[0] line[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the interactions seem so truthful and guileless that it is almost as if the film-makers hid cameras around the place and filmed these people unbeknownst to them . 	the interactions seem so truthful and guileless that it is almost as if the film-makers hid cameras around the place and filmed these people unbeknownst to them .	2	-1	 the[0] interactions[0] seem[0] so[0] truthful[1] and[0] guileless[0] that[0] it[0] is[0] almost[0] as[0] if[0] the[0] film[0] makers[0] hid[0] cameras[0] around[0] the[0] place[0] and[0] filmed[0] these[0] people[0] unbeknownst[0] to[0] them[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
at times , the events border on the ridiculous , like the screening of the film , but they still seem in keeping with the characters and their lives . 	at times , the events border on the ridiculous , like the screening of the film , but they still seem in keeping with the characters and their lives .	2	-3	 at[0] times[0] the[0] events[0] border[0] on[0] the[0] ridiculous[-2] like[1] the[0] screening[0] of[0] the[0] film[0] but[0] they[0] still[0] seem[0] in[0] keeping[0] with[0] the[0] characters[0] and[0] their[0] lives[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
this doesn't sound like a brilliant premise for a film - " we just follow a lot of people around who are vaguely related " - but it's the execution of the idea that makes topless women talk about their lives so engrossing . 	this doesn't sound like a brilliant premise for a film - " we just follow a lot of people around who are vaguely related " - but it's the execution of the idea that makes topless women talk about their lives so engrossing .	2	-2	 this[0] doesn't[0] sound[0] like[1] a[0] brilliant[1] premise[0] for[0] a[0] film[0] we[0] just[0] follow[0] a[0] lot[0] of[0] people[0] around[0] who[0] are[0] vaguely[-1] related[0] but[0] it's[0] the[0] execution[0] of[0] the[0] idea[0] that[0] makes[0] topless[0] women[0] talk[0] about[0] their[0] lives[0] so[0] engrossing[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
unfortunately this level of honesty isn't maintained . 	unfortunately this level of honesty isn't maintained .	2	-2	 unfortunately[-1] this[0] level[0] of[0] honesty[1] isn't[0] maintained[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
with about half an hour to go , a sense of impending doom invades topless women talk about their lives and from there is descends into melodrama . 	with about half an hour to go , a sense of impending doom invades topless women talk about their lives and from there is descends into melodrama .	1	-2	 with[0] about[0] half[0] an[0] hour[0] to[0] go[0] a[0] sense[0] of[0] impending[0] doom[-1] invades[-1] topless[0] women[0] talk[0] about[0] their[0] lives[0] and[0] from[0] there[0] is[0] descends[0] into[0] melodrama[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
such a disappointment after such a brilliant start . 	such a disappointment after such a brilliant start .	2	-2	 such[0] a[0] disappointment[-1] after[0] such[0] a[0] brilliant[1] start[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the actors are all quite good with ms . danielle cormack as liz being particularly impressive . 	the actors are all quite good with ms .<br> danielle cormack as liz being particularly impressive .	2	-1	 the[0] actors[0] are[0] all[0] quite[0] good[1] with[0] ms[0] [[Sentence=-1,2=word max, 1-5]] danielle[0] cormack[0] as[0] liz[0] being[0] particularly[0] impressive[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the energy of her character is palpable and is a major reason the movie is so watchable . 	the energy of her character is palpable and is a major reason the movie is so watchable .	1	-1	 the[0] energy[0] of[0] her[0] character[0] is[0] palpable[0] and[0] is[0] a[0] major[0] reason[0] the[0] movie[0] is[0] so[0] watchable[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a lot of the performances are a bit rough around the edges but this suits totally the documentary feel of the film . 	a lot of the performances are a bit rough around the edges but this suits totally the documentary feel of the film .	1	-2	 a[0] lot[0] of[0] the[0] performances[0] are[0] a[0] bit[0] rough[-1] around[0] the[0] edges[0] but[0] this[0] suits[0] totally[0] the[0] documentary[0] feel[0] of[0] the[0] film[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it seems like these are real people we are watching rather than actors playing roles . 	it seems like these are real people we are watching rather than actors playing roles .	2	-1	 it[0] seems[0] like[1] these[0] are[0] real[0] people[0] we[0] are[0] watching[0] rather[0] than[0] actors[0] playing[1] roles[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
that is why the melodramatic turn of events comes as such a shock . 	that is why the melodramatic turn of events comes as such a shock .	1	-3	 that[0] is[0] why[0] the[0] melodramatic[-1] turn[0] of[0] events[0] comes[0] as[0] such[0] a[0] shock[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
up till that point , i was transported to this world where these real but mildly insane events were taking place . 	up till that point , i was transported to this world where these real but mildly insane events were taking place .	1	-2	 up[0] till[0] that[0] point[0] i[0] was[0] transported[0] to[0] this[0] world[0] where[0] these[0] real[0] but[0] mildly[0] insane[-1] events[0] were[0] taking[0] place[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
while the final half hour is not beyond the realms of possibility , it's unlikely in a way that is jarring to someone caught up in the world of the film . 	while the final half hour is not beyond the realms of possibility , it's unlikely in a way that is jarring to someone caught up in the world of the film .	1	-1	 while[0] the[0] final[0] half[0] hour[0] is[0] not[0] beyond[0] the[0] realms[0] of[0] possibility[0] it's[0] unlikely[0] in[0] a[0] way[0] that[0] is[0] jarring[0] to[0] someone[0] caught[0] up[0] in[0] the[0] world[0] of[0] the[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
not just the events , but also the tone of some of the end is wrong , clashing strongly with the sense of fun that has preceded it . 	not just the events , but also the tone of some of the end is wrong , clashing strongly with the sense of fun that has preceded it .	2	-2	 not[0] just[0] the[0] events[0] but[0] also[0] the[0] tone[0] of[0] some[0] of[0] the[0] end[0] is[0] wrong[-1] clashing[0] strongly[0] with[0] the[0] sense[0] of[0] fun[1] that[0] has[0] preceded[0] it[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
this is not to say that topless women talk about their lives is not a good film . 	this is not to say that topless women talk about their lives is not a good film .	1	-2	 this[0] is[0] not[0] to[0] say[0] that[0] topless[0] women[0] talk[0] about[0] their[0] lives[0] is[0] not[0] a[0] good[1][NegatedDueToPreviousWord] film[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
as stated above , the first hour is superb and even the end is above average . 	as stated above , the first hour is superb and even the end is above average .	1	-1	 as[0] stated[0] above[0] the[0] first[0] hour[0] is[0] superb[0] and[0] even[0] the[0] end[0] is[0] above[0] average[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it just takes a turn which means that an otherwise brilliant movie loses some of its gloss . 	it just takes a turn which means that an otherwise brilliant movie loses some of its gloss .	2	-2	 it[0] just[0] takes[0] a[0] turn[0] which[0] means[0] that[0] an[0] otherwise[0] brilliant[1] movie[0] loses[-1] some[0] of[0] its[0] gloss[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
