by phil curtolo " madonna - antonio banderas - jonathan price - in an alan parker film - with music from andrew lloyd weber - and lyrics by tim rice - evita . " 	Translation	Positive	Negative	EmotionRationale
now i have to admit , the trailer for this rock-opera-turned-major motion picture is almost breath-taking for some . 	now i have to admit , the trailer for this rock-opera-turned-major motion picture is almost breath-taking for some .	2	-1	 now[0] i[0] have[0] to[0] admit[0] the[0] trailer[0] for[0] this[0] rock[1] opera[0] turned[0] major[0] motion[0] picture[0] is[0] almost[0] breath[0] taking[0] for[0] some[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the soundtrack is wonderful to listen to . 	the soundtrack is wonderful to listen to .	3	-1	 the[0] soundtrack[0] is[0] wonderful[2] to[0] listen[0] to[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
so why wouldn't the movie be wonderful to see . 	so why wouldn't the movie be wonderful to see .	3	-1	 so[0] why[0] wouldn't[0] the[0] movie[0] be[0] wonderful[2] to[0] see[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
simple , a little over 2 hours of constant singing can almost drive you insane . 	simple , a little over 2 hours of constant singing can almost drive you insane .	1	-2	 simple[0] a[0] little[0] over[0] 2[0] hours[0] of[0] constant[0] singing[0] can[0] almost[0] drive[0] you[0] insane[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the story of eva duarte ( madonna ) , evita is full of drama that's trapped inside by all the notes and chords . 	the story of eva duarte ( madonna ) , evita is full of drama that's trapped inside by all the notes and chords .	1	-1	 the[0] story[0] of[0] eva[0] duarte[0] madonna[0] evita[0] is[0] full[0] of[0] drama[0] that's[0] trapped[0] inside[0] by[0] all[0] the[0] notes[0] and[0] chords[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
she was an orphaned child who ends up becoming a hooker , then goes into the field of acting , and finally meets juan peron ( price ) , the soon-to-be first president of argentina . 	she was an orphaned child who ends up becoming a hooker , then goes into the field of acting , and finally meets juan peron ( price ) , the soon-to-be first president of argentina .	1	-1	 she[0] was[0] an[0] orphaned[0] child[0] who[0] ends[0] up[0] becoming[0] a[0] hooker[0] then[0] goes[0] into[0] the[0] field[0] of[0] acting[0] and[0] finally[0] meets[0] juan[0] peron[0] price[0] the[0] soon[0] to[0] be[0] first[0] president[0] of[0] argentina[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they fall in love and eventually marry . 	they fall in love and eventually marry .	3	-1	 they[0] fall[0] in[0] love[2] and[0] eventually[0] marry[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
sounds pretty good , doesn't it . 	sounds pretty good , doesn't it .	3	-1	 sounds[0] pretty[2] good[1] doesn't[0] it[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
well the story gets better , as eva goes on the " rainbow tour " across europe , trying to win respect . 	well the story gets better , as eva goes on the " rainbow tour " across europe , trying to win respect .	3	-1	 well[0] the[0] story[0] gets[0] better[0] as[0] eva[0] goes[0] on[0] the[0] rainbow[0] tour[0] across[0] europe[0] trying[0] to[0] win[0] respect[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
eva duarte was a wonderful lady . 	eva duarte was a wonderful lady .	3	-1	 eva[0] duarte[0] was[0] a[0] wonderful[2] lady[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
however , all of the drama-packed moments above were never understood because the actors and actresses sang to fast to be understood . 	however , all of the drama-packed moments above were never understood because the actors and actresses sang to fast to be understood .	1	-1	 however[0] all[0] of[0] the[0] drama[0] packed[0] moments[0] above[0] were[0] never[0] understood[0] because[0] the[0] actors[0] and[0] actresses[0] sang[0] to[0] fast[0] to[0] be[0] understood[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i went into theater 4 at magic cinemas with the attitude that evita was going to be terribly boring and i left with happy , because i was right . 	i went into theater 4 at magic cinemas with the attitude that evita was going to be terribly boring and i left with happy , because i was right .	2	-4	 i[0] went[0] into[0] theater[0] 4[0] at[0] magic[0] cinemas[0] with[0] the[0] attitude[0] that[0] evita[0] was[0] going[0] to[0] be[0] terribly[-3] boring[-1] and[0] i[0] left[0] with[0] happy[1] because[0] i[0] was[0] right[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
they only thing that kept me awake during the movie was the loud bangs of the drums and strums of the guitar . 	they only thing that kept me awake during the movie was the loud bangs of the drums and strums of the guitar .	1	-1	 they[0] only[0] thing[0] that[0] kept[0] me[0] awake[0] during[0] the[0] movie[0] was[0] the[0] loud[0] bangs[0] of[0] the[0] drums[0] and[0] strums[0] of[0] the[0] guitar[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
