reading the cast and director for the new mobster comedy , " analyze this , " i asked myself , " how could this miss ? " 	Translation	Positive	Negative	EmotionRationale
robert de niro ( " taxi driver , " " raging bull " ) , billy crystal ( " city slickers " ) , lisa kudrow ( " the opposite of sex " ) , and director harold ramis ( " national lampoon's vacation " ) . 	robert de niro ( " taxi driver , " " raging bull " ) , billy crystal ( " city slickers " ) , lisa kudrow ( " the opposite of sex " ) , and director harold ramis ( " national lampoon's vacation " ) .	1	-4	 robert[0] de[0] niro[0] taxi[-1] driver[0] raging[-3] bull[0] billy[0] crystal[0] city[0] slickers[0] lisa[0] kudrow[0] the[0] opposite[0] of[0] sex[0] and[0] director[0] harold[0] ramis[0] national[0] lampoon's[0] vacation[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
these are usually reliable filmmakers ( well , okay , crystal has been in a sizable slump lately ) , and tellingly , the first half-hour of " analyze this " was very funny . 	these are usually reliable filmmakers ( well , okay , crystal has been in a sizable slump lately ) , and tellingly , the first half-hour of " analyze this " was very funny .	3	-2	 these[0] are[0] usually[0] reliable[0] filmmakers[0] well[0] okay[0] crystal[0] has[0] been[0] in[0] a[0] sizable[0] slump[-1] lately[0] and[0] tellingly[0] the[0] first[0] half[0] hour[0] of[0] analyze[0] this[0] was[0] very[0] funny[1][1 LastWordBoosterStrength] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
unfortunately , as the running time ticked away , i began to think that the first thirty minutes had , unbeknownst to me , been rewound and were being replayed another two-and-a-half times . 	unfortunately , as the running time ticked away , i began to think that the first thirty minutes had , unbeknownst to me , been rewound and were being replayed another two-and-a-half times .	1	-2	 unfortunately[-1] as[0] the[0] running[0] time[0] ticked[0] away[0] i[0] began[0] to[0] think[0] that[0] the[0] first[0] thirty[0] minutes[0] had[0] unbeknownst[0] to[0] me[0] been[0] rewound[0] and[0] were[0] being[0] replayed[0] another[0] two[0] and[0] a[0] half[0] times[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the film has obtained a clever premise , but does not have any idea what to do with it as it progressively becomes more and more repetitive until i finally stopped enjoying or caring about what was happening on the screen . 	the film has obtained a clever premise , but does not have any idea what to do with it as it progressively becomes more and more repetitive until i finally stopped enjoying or caring about what was happening on the screen .	3	-1	 the[0] film[0] has[0] obtained[0] a[0] clever[0] premise[0] but[0] does[0] not[0] have[0] any[0] idea[0] what[0] to[0] do[0] with[0] it[0] as[0] it[0] progressively[0] becomes[0] more[0] and[0] more[0] repetitive[0] until[0] i[0] finally[0] stopped[0] enjoying[2] or[0] caring[2] about[0] what[0] was[0] happening[0] on[0] the[0] screen[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
middle-aged psychoanalyst ben sobel's ( billy crystal ) life is finally going very well . 	middle-aged psychoanalyst ben sobel's ( billy crystal ) life is finally going very well .	1	-1	 middle[0] aged[0] psychoanalyst[0] ben[0] sobel's[0] billy[0] crystal[0] life[0] is[0] finally[0] going[0] very[0] well[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
although he has never gotten along with his own uncaring parents , especially his father , who is also a psychiatrist , ben has an easy-going teenage son ( kyle sabihy ) and is about to travel down to miami to get married to his tv news reporter girlfriend , laura ( lisa kudrow ) . 	although he has never gotten along with his own uncaring parents , especially his father , who is also a psychiatrist , ben has an easy-going teenage son ( kyle sabihy ) and is about to travel down to miami to get married to his tv news reporter girlfriend , laura ( lisa kudrow ) .	1	-1	 although[0] he[0] has[0] never[0] gotten[0] along[0] with[0] his[0] own[0] uncaring[0] parents[0] especially[0] his[0] father[0] who[0] is[0] also[0] a[0] psychiatrist[0] ben[0] has[0] an[0] easy[0] going[0] teenage[0] son[0] kyle[0] sabihy[0] and[0] is[0] about[0] to[0] travel[0] down[0] to[0] miami[0] to[0] get[0] married[0] to[0] his[0] tv[0] news[0] reporter[0] girlfriend[0] laura[0] lisa[0] kudrow[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in little but a flash , however , ben suddenly sees his plans ruined when he accidentally hits the car of the mob and subsequently gets paid a visit from famed mafia guy paul vitti ( robert de niro ) , who desperately wants counseling , even though he himself won't even admit to having anxiety attacks . 	in little but a flash , however , ben suddenly sees his plans ruined when he accidentally hits the car of the mob and subsequently gets paid a visit from famed mafia guy paul vitti ( robert de niro ) , who desperately wants counseling , even though he himself won't even admit to having anxiety attacks .	1	-4	 in[0] little[0] but[0] a[0] flash[0] however[0] ben[0] suddenly[0] sees[0] his[0] plans[0] ruined[-1] when[0] he[0] accidentally[-1] hits[0] the[0] car[0] of[0] the[0] mob[0] and[0] subsequently[0] gets[0] paid[0] a[0] visit[0] from[0] famed[0] mafia[0] guy[0] paul[0] vitti[0] robert[0] de[0] niro[0] who[0] desperately[-2] wants[0] counseling[0] even[0] though[0] he[0] himself[0] won't[0] even[0] admit[0] to[0] having[0] anxiety[-2] attacks[-2][-1 MultiplePositiveWords] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
ben tries to help paul , mostly so he will get him off his back , but the plot gets more complicated when paul follows ben to his wedding , which ends with a man dropping eight stories to his death . 	ben tries to help paul , mostly so he will get him off his back , but the plot gets more complicated when paul follows ben to his wedding , which ends with a man dropping eight stories to his death .	1	-3	 ben[0] tries[0] to[0] help[0] paul[0] mostly[0] so[0] he[0] will[0] get[0] him[0] off[0] his[0] back[0] but[0] the[0] plot[0] gets[0] more[0] complicated[-1] when[0] paul[0] follows[0] ben[0] to[0] his[0] wedding[0] which[0] ends[0] with[0] a[0] man[0] dropping[0] eight[0] stories[0] to[0] his[0] death[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it seems to ben that no matter what he does , paul vitti will not go away , and the more they become involved , the more ben's potentially happy life gets into danger . 	it seems to ben that no matter what he does , paul vitti will not go away , and the more they become involved , the more ben's potentially happy life gets into danger .	2	-2	 it[0] seems[0] to[0] ben[0] that[0] no[0] matter[0] what[0] he[0] does[0] paul[0] vitti[0] will[0] not[0] go[0] away[0] and[0] the[0] more[0] they[0] become[0] involved[0] the[0] more[0] ben's[0] potentially[0] happy[1] life[0] gets[0] into[0] danger[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
 " analyze this " has a few laughs sprinkled throughout ( mostly in the first half ) , but i always had the nagging thought that what director ramis and writers peter tolan , ramis , and kenneth lonergan had done was thought of one joke ( robert de niro lightly spoofing his serious past mafia roles , while terrorizing and becoming buddies with comic billy crystal ) and then tiresomely recycled it for the duration of the 106-minute running time . 	 " analyze this " has a few laughs sprinkled throughout ( mostly in the first half ) , but i always had the nagging thought that what director ramis and writers peter tolan , ramis , and kenneth lonergan had done was thought of one joke ( robert de niro lightly spoofing his serious past mafia roles , while terrorizing and becoming buddies with comic billy crystal ) and then tiresomely recycled it for the duration of the 106-minute running time .	2	-3	 analyze[0] this[0] has[0] a[0] few[0] laughs[1] sprinkled[0] throughout[0] mostly[0] in[0] the[0] first[0] half[0] but[0] i[0] always[0] had[0] the[0] nagging[-1] thought[0] that[0] what[0] director[0] ramis[0] and[0] writers[0] peter[0] tolan[0] ramis[0] and[0] kenneth[0] lonergan[-1] had[0] done[0] was[0] thought[0] of[0] one[0] joke[1] robert[0] de[0] niro[0] lightly[0] spoofing[0] his[0] serious[-1] past[0] mafia[0] roles[0] while[0] terrorizing[-2] and[0] becoming[0] buddies[0] with[0] comic[0] billy[0] crystal[0] and[0] then[0] tiresomely[-1] recycled[0] it[0] for[0] the[0] duration[0] of[0] the[0] 106[0] minute[0] running[0] time[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
admittedly , de niro is very funny here ( and i can't remember the last time you could use that adjective to describe him ) , and crystal is in top-form , but the whole movie is weighed down directly on their shoulders with nothing else to support them , including a substantial plotline . 	admittedly , de niro is very funny here ( and i can't remember the last time you could use that adjective to describe him ) , and crystal is in top-form , but the whole movie is weighed down directly on their shoulders with nothing else to support them , including a substantial plotline .	3	-1	 admittedly[0] de[0] niro[0] is[0] very[0] funny[1][1 LastWordBoosterStrength] here[0] and[0] i[0] can't[0] remember[0] the[0] last[0] time[0] you[0] could[0] use[0] that[0] adjective[0] to[0] describe[0] him[0] and[0] crystal[0] is[0] in[0] top[0] form[0] but[0] the[0] whole[0] movie[0] is[0] weighed[0] down[0] directly[0] on[0] their[0] shoulders[0] with[0] nothing[0] else[0] to[0] support[1] them[0] including[0] a[0] substantial[0] plotline[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
since " analyze this " bills not one , not two , but three writers , you'd think that they would have been able to work together to fix the noticably large flaws , but they must have all been on auto-pilot . 	since " analyze this " bills not one , not two , but three writers , you'd think that they would have been able to work together to fix the noticably large flaws , but they must have all been on auto-pilot .	1	-1	 since[0] analyze[0] this[0] bills[0] not[0] one[0] not[0] two[0] but[0] three[0] writers[0] you'd[0] think[0] that[0] they[0] would[0] have[0] been[0] able[0] to[0] work[0] together[0] to[0] fix[0] the[0] noticably[0] large[0] flaws[0] but[0] they[0] must[0] have[0] all[0] been[0] on[0] auto[0] pilot[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
one of the most disappointing and wasted opportunities in the film is the way the movie deals with the supporting characters , all of which have next to nothing to do and aren't even given multi-dimensional characters to attempt to develop . 	one of the most disappointing and wasted opportunities in the film is the way the movie deals with the supporting characters , all of which have next to nothing to do and aren't even given multi-dimensional characters to attempt to develop .	2	-2	 one[0] of[0] the[0] most[0] disappointing[-1] and[0] wasted[-1] opportunities[0] in[0] the[0] film[0] is[0] the[0] way[0] the[0] movie[0] deals[0] with[0] the[0] supporting[1] characters[0] all[0] of[0] which[0] have[0] next[0] to[0] nothing[0] to[0] do[0] and[0] aren't[0] even[0] given[0] multi[0] dimensional[0] characters[0] to[0] attempt[0] to[0] develop[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
coming off of her oscar-caliber work in two of last year's best films , " clockwatchers " and " the opposite of sex , " lisa kudrow's throwaway " girlfriend " role is an incredible step down . 	coming off of her oscar-caliber work in two of last year's best films , " clockwatchers " and " the opposite of sex , " lisa kudrow's throwaway " girlfriend " role is an incredible step down .	2	-1	 coming[0] off[0] of[0] her[0] oscar[0] caliber[0] work[0] in[0] two[0] of[0] last[0] year's[0] best[1] films[0] clockwatchers[0] and[0] the[0] opposite[0] of[0] sex[0] lisa[0] kudrow's[0] throwaway[0] girlfriend[0] role[0] is[0] an[0] incredible[0] step[0] down[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
sure , kudrow's fellow " friend " jennifer aniston did the same thing two weeks ago in " office space , " but at least we got to spend a little time with aniston . 	sure , kudrow's fellow " friend " jennifer aniston did the same thing two weeks ago in " office space , " but at least we got to spend a little time with aniston .	2	-1	 sure[0] kudrow's[0] fellow[0] friend[1] jennifer[0] aniston[0] did[0] the[0] same[0] thing[0] two[0] weeks[0] ago[0] in[0] office[0] space[0] but[0] at[0] least[0] we[0] got[0] to[0] spend[0] a[0] little[0] time[0] with[0] aniston[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
kudrow , meanwhile , mostly just stands around , no doubt wondering why she agreed to appear in this film in the first place . 	kudrow , meanwhile , mostly just stands around , no doubt wondering why she agreed to appear in this film in the first place .	1	-2	 kudrow[0] meanwhile[0] mostly[0] just[0] stands[0] around[0] no[0] doubt[-1] wondering[0] why[0] she[0] agreed[0] to[0] appear[0] in[0] this[0] film[0] in[0] the[0] first[0] place[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
chazz palminteri , as rival gangster primo , fares even worse , in a role that plays more like an afterthought than an actual character . 	chaz palminteri , as rival gangster primo , fares even worse , in a role that plays more like an afterthought than an actual character .	2	-3	 chazz/chaz[0] palminteri[0] as[0] rival[-1] gangster[0] primo[0] fares[0] even[0] worse[-2] in[0] a[0] role[0] that[0] plays[1] more[0] like[1] an[0] afterthought[0] than[0] an[0] actual[0] character[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
finally , molly shannon ( rising film star and cast member on " saturday night live " ) has a rousingly hilarious one-scene cameo right at the beginning as one of crystal's patients and then completely disappears . 	finally , molly shannon ( rising film star and cast member on " saturday night live " ) has a rousingly hilarious one-scene cameo right at the beginning as one of crystal's patients and then completely disappears .	3	-1	 finally[0] molly[0] shannon[0] rising[0] film[0] star[0] and[0] cast[0] member[0] on[0] saturday[0] night[0] live[0] has[0] a[0] rousingly[0] hilarious[2] one[0] scene[0] cameo[0] right[0] at[0] the[0] beginning[0] as[0] one[0] of[0] crystal's[0] patients[0] and[0] then[0] completely[0] disappears[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
