renowned hong kong action director tsui hark first teamed with jean-claude van damme on the action star's 1997 pairing with dennis rodman , _double_team_ , and managed to make what initially appeared to be a disaster into a slick , stylish , and somewhat diverting action timekiller . 	Translation	Positive	Negative	EmotionRationale
tsui continues to energetically pile on the visual razzle dazzle in his latest collaboration with the muscles from brussels , _knock_off_ , but this time around , style neither save a script that is at best ridiculous , and at worst incomprehensible ; nor hide a host of truly lousy performances . 	tsui continues to energetically pile on the visual razle dazle in his latest collaboration with the muscles from brussels , _knock_off_ , but this time around , style neither save a script that is at best ridiculous , and at worst incomprehensible ; nor hide a host of truly lousy performances .	2	-3	 tsui[0] continues[0] to[0] energetically[0] pile[0] on[0] the[0] visual[0] razzle/razle[0] dazzle/dazle[0] in[0] his[0] latest[0] collaboration[0] with[0] the[0] muscles[0] from[0] brussels[0] _knock_off_[0] but[0] this[0] time[0] around[0] style[0] neither[0] save[1] a[0] script[0] that[0] is[0] at[0] best[1] ridiculous[-2] and[0] at[0] worst[-2] incomprehensible[0] nor[0] hide[0] a[0] host[0] of[0] truly[1] lousy[-2] performances[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
writer steven e . desouza's fairly straightforward plotline isn't as outre as _double_team_'s strange yarn involving a secret think tank/prison , but it makes about as much sense , which is little . 	writer steven e .<br> desouza's fairly straightforward plotline isn't as outre as _double_team_'s strange yarn involving a secret think tank/prison , but it makes about as much sense , which is little .	1	-1	 writer[0] steven[0] e[0] [[Sentence=-1,1=word max, 1-5]] desouza's[0] fairly[0] straightforward[0] plotline[0] isn't[0] as[0] outre[0] as[0] _double_team_'s[0] strange[0] yarn[0] involving[0] a[0] secret[0] think[0] tank/prison[0] but[0] it[0] makes[0] about[0] as[0] much[0] sense[0] which[0] is[0] little[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
van damme plays marcus ray , a hong kong-based sales rep for a jeans company ( ! ) who stumbles upon a russian terrorist scheme to implant powerful microchip-sized bombs in hk product exports to the u . s . --dolls , electronic equipment , and , yes , jeans . 	van dame plays marcus ray , a hong kong-based sales rep for a jeans company ( !<br> ) who stumbles upon a russian terrorist scheme to implant powerful microchip-sized bombs in hk product exports to the you .<br> s .<br> -dolls , electronic equipment , and , yes , jeans .	2	-3	 van[0] damme/dame[0] plays[1] marcus[0] ray[0] a[0] hong[0] kong[0] based[0] sales[0] rep[0] for[0] a[0] jeans[0] company[0] [[Sentence=-1,2=word max, 1-5]] who[0] stumbles[0] upon[0] a[0] russian[0] terrorist[-2] scheme[0] to[0] implant[0] powerful[0] microchip[0] sized[0] bombs[-1] in[0] hk[0] product[0] exports[0] to[0] the[0] u[0] [[Sentence=-3,1=word max, 1-5]] s[0] [[Sentence=-1,1=word max, 1-5]] dolls[0] electronic[0] equipment[0] and[0] yes[0] jeans[0] [[Sentence=-1,1=word max, 1-5]][[[2,-3 max of sentences]]]
it's all part of some type of ransom scheme , but all i remember is--and i kid you not--graphics on a cia computer screen showing a map of the world , bombs detonating , and an hat-wearing figure on the other side of the world bursting out into laughter . . . 	it's all part of some type of ransom scheme , but all i remember is-and i kid you not-graphics on a cia computer screen showing a map of the world , bombs detonating , and an hat-wearing figure on the other side of the world bursting out into laughter .<br> .<br> .	2	-2	 it's[0] all[0] part[0] of[0] some[0] type[0] of[0] ransom[0] scheme[0] but[0] all[0] i[0] remember[0] is[0] and[0] i[0] kid[0] you[0] not[0] graphics[0] on[0] a[0] cia[0] computer[0] screen[0] showing[0] a[0] map[0] of[0] the[0] world[0] bombs[-1] detonating[0] and[0] an[0] hat[0] wearing[0] figure[0] on[0] the[0] other[0] side[0] of[0] the[0] world[0] bursting[0] out[0] into[0] laughter[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
 . . . which is what the crowd at the showing i attended spontaneously did throughout _knock_off_ . 	 .<br> .<br> .<br> which is what the crowd at the showing i attended spontaneously did throughout _knock_off_ .	1	-1	 which[0] is[0] what[0] the[0] crowd[0] at[0] the[0] showing[0] i[0] attended[0] spontaneously[0] did[0] throughout[0] _knock_off_[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
while all of van damme's films have its share of unintentional laughs , mostly due to the stiff acting " skills " of the physically agile van damme , _knock_off_ delivers more than usual ( though not as many as van damme's embarrassing directorial effort , 1996's _the_quest_ ) . 	while all of van damme's films have its share of unintentional laughs , mostly due to the stiff acting " skills " of the physically agile van dame , _knock_off_ delivers more than usual ( though not as many as van damme's embarrassing directorial effort , 1996's _the_quest_ ) .	2	-3	 while[0] all[0] of[0] van[0] damme's[0] films[0] have[0] its[0] share[0] of[0] unintentional[0] laughs[1] mostly[0] due[0] to[0] the[0] stiff[0] acting[0] skills[0] of[0] the[0] physically[0] agile[0] van[0] damme/dame[0] _knock_off_[0] delivers[0] more[0] than[0] usual[0] though[0] not[0] as[0] many[0] as[0] van[0] damme's[0] embarrassing[-2] directorial[0] effort[0] 1996's[0] _the_quest_[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
a lot of the laughs are earned by some particularly painful lines by desouza : " i smoked that badass like a roman candle ! " 	a lot of the laughs are earned by some particularly painful lines by desouza : " i smoked that badass like a roman candle !<br> "	2	-4	 a[0] lot[0] of[0] the[0] laughs[1] are[0] earned[0] by[0] some[0] particularly[0] painful[-3] lines[0] by[0] desouza[0] i[0] smoked[0] that[0] badass[0] like[1] a[0] roman[0] candle[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
and " entrepreneurship , babycakes ! " 	and " entrepreneurship , babycakes !<br> "	1	-1	 and[0] entrepreneurship[0] babycakes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
standing out among my favorites . 	standing out among my favorites .	2	-1	 standing[0] out[0] among[0] my[0] favorites[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but it is indeed the pathetic performances that provide the bulk of _knock_off_'s laughs . 	but it is indeed the pathetic performances that provide the bulk of _knock_off_'s laughs .	2	-3	 but[0] it[0] is[0] indeed[0] the[0] pathetic[-2] performances[0] that[0] provide[0] the[0] bulk[0] of[0] _knock_off_'s[0] laughs[1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
van damme is true to laughable form , perhaps even worse than usual . 	van dame is true to laughable form , perhaps even worse than usual .	2	-3	 van[0] damme/dame[0] is[0] true[1] to[0] laughable[-1] form[0] perhaps[0] even[0] worse[-2] than[0] usual[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
early scenes actually _require_ him to make funny with co-star rob schneider ( improbably cast as a deep cover cia agent posing as marcus's business partner ) , and the sight and sound of the still-heavily-accented van damme haplessly trying to drop punchlines is hilarious in the wrong way . 	early scenes actually _require_ him to make funny with co-star rob schneider ( improbably cast as a deep cover cia agent posing as marcus's business partner ) , and the sight and sound of the still-heavily-accented van dame haplessly trying to drop punchlines is hilarious in the wrong way .	3	-2	 early[0] scenes[0] actually[0] _require_[0] him[0] to[0] make[0] funny[1] with[0] co[0] star[0] rob[0] schneider[0] improbably[0] cast[0] as[0] a[0] deep[0] cover[0] cia[0] agent[0] posing[0] as[0] marcus's[0] business[0] partner[0] and[0] the[0] sight[0] and[0] sound[0] of[0] the[0] still[0] heavily[0] accented[0] van[0] damme/dame[0] haplessly[-1] trying[0] to[0] drop[-1] punchlines[-1] is[0] hilarious[2] in[0] the[0] wrong[-1] way[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
even typically good actors are not immune to the bad acting bug . 	even typically good actors are not immune to the bad acting bug .	2	-2	 even[0] typically[0] good[1] actors[0] are[0] not[0] immune[0] to[0] the[0] bad[-1] acting[0] bug[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
paul sorvino is unconvincing and terribly overwrought as schneider's cia superior ; and lela rochon , playing an investigator for the jeans company , spends the entire movie in perpetual snarl mode . 	paul sorvino is unconvincing and terribly overwrought as schneider's cia superior ; and lela rochon , playing an investigator for the jeans company , spends the entire movie in perpetual snarl mode .	3	-4	 paul[0] sorvino[0] is[0] unconvincing[0] and[0] terribly[-3] overwrought[0] as[0] schneider's[0] cia[0] superior[2] and[0] lela[0] rochon[0] playing[1] an[0] investigator[0] for[0] the[0] jeans[0] company[0] spends[0] the[0] entire[0] movie[0] in[0] perpetual[0] snarl[-3] mode[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
in rochon's defense , though , her role requires her to do little more than display her toned legs , exquisite bone structure , and perky bosoms , the latter coming in handy for one key scene where she must fish for microbombs stuck in her ample cleavage . 	in rochon's defense , though , her role requires her to do little more than display her toned legs , exquisite bone structure , and perky bosoms , the latter coming in handy for one key scene where she must fish for microbombs stuck in her ample cleavage .	1	-1	 in[0] rochon's[0] defense[0] though[0] her[0] role[0] requires[0] her[0] to[0] do[0] little[0] more[0] than[0] display[0] her[0] toned[0] legs[0] exquisite[0] bone[0] structure[0] and[0] perky[0] bosoms[0] the[0] latter[0] coming[0] in[0] handy[0] for[0] one[0] key[0] scene[0] where[0] she[0] must[0] fish[0] for[0] microbombs[0] stuck[0] in[0] her[0] ample[0] cleavage[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
tsui picks up where he left off visually in _double_team_ , juicing up the proceedings with inventive camera work . 	tsui picks up where he left off visually in _double_team_ , juicing up the proceedings with inventive camera work .	1	-1	 tsui[0] picks[0] up[0] where[0] he[0] left[0] off[0] visually[0] in[0] _double_team_[0] juicing[0] up[0] the[0] proceedings[0] with[0] inventive[0] camera[0] work[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
here , though , tsui's visual razzle dazzle borders on over kill , coming off as desperate attempts to shield the inanity of the entire enterprise . 	here , though , tsui's visual razle dazle borders on over kill , coming off as desperate attempts to shield the inanity of the entire enterprise .	1	-3	 here[0] though[0] tsui's[0] visual[0] razzle/razle[0] dazzle/dazle[0] borders[0] on[0] over[0] kill[-1] coming[0] off[0] as[0] desperate[-2] attempts[0] to[0] shield[0] the[0] inanity[0] of[0] the[0] entire[0] enterprise[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
for each nifty trick tsui pulls off , such as a recurring visual theme that has the camera literally going through the circuitry of electronic devices , there are others that are completely superfluous . 	for each nifty trick tsui pulls off , such as a recurring visual theme that has the camera literally going through the circuitry of electronic devices , there are others that are completely superfluous .	1	-3	 for[0] each[0] nifty[0] trick[-1] tsui[0] pulls[0] off[0] such[0] as[0] a[0] recurring[0] visual[0] theme[0] that[0] has[0] the[0] camera[0] literally[0] going[0] through[0] the[0] circuitry[0] of[0] electronic[0] devices[0] there[0] are[0] others[0] that[0] are[0] completely[0] superfluous[-1][-1 LastWordBoosterStrength] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
this is especially disconcerting when the trick in question could be clever when used in the right context . 	this is especially disconcerting when the trick in question could be clever when used in the right context .	1	-2	 this[0] is[0] especially[0] disconcerting[0] when[0] the[0] trick[-1] in[0] question[0] could[0] be[0] clever[0] when[0] used[0] in[0] the[0] right[0] context[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
for instance , one scene early on has marcus putting his hand in a box . 	for instance , one scene early on has marcus putting his hand in a box .	1	-1	 for[0] instance[0] one[0] scene[0] early[0] on[0] has[0] marcus[0] putting[0] his[0] hand[0] in[0] a[0] box[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as he puts his hand in , the same action is shown from an overhead camera angle in a rectangle at the corner of the screen . 	as he puts his hand in , the same action is shown from an overhead camera angle in a rectangle at the corner of the screen .	1	-1	 as[0] he[0] puts[0] his[0] hand[0] in[0] the[0] same[0] action[0] is[0] shown[0] from[0] an[0] overhead[0] camera[0] angle[0] in[0] a[0] rectangle[0] at[0] the[0] corner[0] of[0] the[0] screen[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's undoubtedly an interesting visual , but it would have been nice if its use actually amounted to something . 	it's undoubtedly an interesting visual , but it would have been nice if its use actually amounted to something .	2	-1	 it's[0] undoubtedly[0] an[0] interesting[1] visual[0] but[0] it[0] would[0] have[0] been[0] nice[1] if[0] its[0] use[0] actually[0] amounted[0] to[0] something[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the test of a van damme movie boils down to the action sequences , but surprisingly , those in _knock_off_ leave much to be desired . 	the test of a van dame movie boils down to the action sequences , but surprisingly , those in _knock_off_ leave much to be desired .	1	-1	 the[0] test[0] of[0] a[0] van[0] damme/dame[0] movie[0] boils[0] down[0] to[0] the[0] action[0] sequences[0] but[0] surprisingly[0] those[0] in[0] _knock_off_[0] leave[0] much[0] to[0] be[0] desired[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
tsui does what he can to make something of them , employing freeze frames , blurred motion , and unconventional camera angles , but there is nothing fundamentally special about the fairly generic chase and fight sequences written by desouza . 	tsui does what he can to make something of them , employing freeze frames , blurred motion , and unconventional camera angles , but there is nothing fundamentally special about the fairly generic chase and fight sequences written by desouza .	2	-3	 tsui[0] does[0] what[0] he[0] can[0] to[0] make[0] something[0] of[0] them[0] employing[0] freeze[0] frames[0] blurred[-1] motion[0] and[0] unconventional[0] camera[0] angles[0] but[0] there[0] is[0] nothing[0] fundamentally[0] special[1] about[0] the[0] fairly[0] generic[0] chase[-1] and[0] fight[-2] sequences[0] written[0] by[0] desouza[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
there isn't anything as preposterously amusing as the climactic tiger/land mine fight in _double_team_ , let alone anything remotely close to tsui's legendary hong kong works ( but that's a given going in ) . 	there isn't anything as preposterously amusing as the climactic tiger/land mine fight in _double_team_ , let alone anything remotely close to tsui's legendary hong kong works ( but that's a given going in ) .	2	-3	 there[0] isn't[0] anything[0] as[0] preposterously[-1] amusing[1] as[0] the[0] climactic[0] tiger/land[0] mine[0] fight[-2] in[0] _double_team_[0] let[0] alone[0] anything[0] remotely[0] close[0] to[0] tsui's[0] legendary[0] hong[0] kong[0] works[0] but[0] that's[0] a[0] given[0] going[0] in[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
if tsui has any hope of approaching his countryman john woo's stateside success , he would do best to break free from van damme . . . 	if tsui has any hope of approaching his countryman john woo's stateside success , he would do best to break free from van dame .<br> .<br> .	3	-1	 if[0] tsui[0] has[0] any[0] hope[2] of[0] approaching[0] his[0] countryman[0] john[0] woo's[0] stateside[0] success[2] he[0] would[0] do[0] best[1] to[0] break[0] free[0] from[0] van[0] damme/dame[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
before it's too late . 	before it's too late .	1	-1	 before[0] it's[0] too[0] late[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
if he continues his involvement with b-grade movies such as _knock_off_ , the respect he has from hk action fans will continue to diminish . . . 	if he continues his involvement with b-grade movies such as _knock_off_ , the respect he has from hk action fans will continue to diminish .<br> .<br> .	3	-1	 if[0] he[0] continues[0] his[0] involvement[0] with[0] b[0] grade[0] movies[0] such[0] as[0] _knock_off_[0] the[0] respect[2] he[0] has[0] from[0] hk[0] action[0] fans[0] will[0] continue[0] to[0] diminish[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
that is , if it hasn't already disappeared entirely after this fiasco . 	that is , if it hasn't already disappeared entirely after this fiasco .	1	-2	 that[0] is[0] if[0] it[0] hasn't[0] already[0] disappeared[0] entirely[0] after[0] this[0] fiasco[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
