this is your definitive " hollywood " movie , extremely predictable , following the basic formula ( a horrible ending ) , overzealous writing ( meaning the writing was bad and seemed as if it were trying too hard to make it exciting , therefore making it look as if many things were merely tossed in there to fill space ) and if tommy lee jones and his lovable wise-ass character ( of which we've seen before in the fugitive and quite frankly , wasn't used enough here ) , i'm afraid the film would have been completely unbearable . 	Translation	Positive	Negative	EmotionRationale
in this film , ashley judd plays a women who is wrongfully convicted of killing her husband while out sailing for a weekend . 	in this film , ashley judd plays a women who is wrongfully convicted of killing her husband while out sailing for a weekend .	2	-3	 in[0] this[0] film[0] ashley[0] judd[0] plays[1] a[0] women[0] who[0] is[0] wrongfully[-2] convicted[-1] of[0] killing[-1] her[0] husband[0] while[0] out[0] sailing[0] for[0] a[0] weekend[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
while in jail she finds out that her husband really is alive and that he framed the murder on her . 	while in jail she finds out that her husband really is alive and that he framed the murder on her .	1	-4	 while[0] in[0] jail[-1] she[0] finds[0] out[0] that[0] her[0] husband[0] really[0] is[0] alive[0] and[0] that[0] he[0] framed[0] the[0] murder[-3] on[0] her[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
over money ( how original ) . 	over money ( how original ) .	1	-1	 over[0] money[0] how[0] original[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
while in jail she works out , exercises and basically does her best to get into near perfect condition . 	while in jail she works out , exercises and basically does her best to get into near perfect condition .	2	-2	 while[0] in[0] jail[-1] she[0] works[0] out[0] exercises[0] and[0] basically[0] does[0] her[0] best[1] to[0] get[0] into[0] near[0] perfect[1] condition[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
now she has learned about a law titled " double jeopardy " stating that if she serves her full sentence and get out she could kill her husband and the law could not touch her ( although there has been talk that this is not the way the actual law works ) . 	now she has learned about a law titled " double jeopardy " stating that if she serves her full sentence and get out she could kill her husband and the law could not touch her ( although there has been talk that this is not the way the actual law works ) .	1	-2	 now[0] she[0] has[0] learned[0] about[0] a[0] law[0] titled[0] double[0] jeopardy[-1] stating[0] that[0] if[0] she[0] serves[0] her[0] full[0] sentence[0] and[0] get[0] out[0] she[0] could[0] kill[-1][--1 LastWordBoosterStrength] her[0] husband[0] and[0] the[0] law[0] could[0] not[0] touch[0] her[0] although[0] there[0] has[0] been[0] talk[0] that[0] this[0] is[0] not[0] the[0] way[0] the[0] actual[0] law[0] works[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
now her po ( parole officer ) , and a bunch of cops are chasing after her and are conflicted whether or not to believe her claims . 	now her po ( parole officer ) , and a bunch of cops are chasing after her and are conflicted whether or not to believe her claims .	1	-2	 now[0] her[0] po[0] parole[0] officer[0] and[0] a[0] bunch[0] of[0] cops[0] are[0] chasing[0] after[0] her[0] and[0] are[0] conflicted[-1] whether[0] or[0] not[0] to[0] believe[0] her[0] claims[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
skipping over to the acting : the fact that judd is more of a looker than an actress ( no offense , she has been good [simon birch] and even very good to great [kiss the girls] at times , in the past and i believe may have the potential to be better . . . 	skipping over to the acting : the fact that judd is more of a looker than an actress ( no offense , she has been good [simon birch] and even very good to great [kiss the girls] at times , in the past and i believe may have the potential to be better .<br> .<br> .	3	-3	 skipping[0] over[0] to[0] the[0] acting[0] the[0] fact[0] that[0] judd[0] is[0] more[0] of[0] a[0] looker[0] than[0] an[0] actress[0] no[0] offense[-2] she[0] has[0] been[0] good[1] [simon[0] birch][0] and[0] even[0] very[0] good[1][1 LastWordBoosterStrength] to[0] great[2] [kiss[0] the[0] girls][0] at[0] times[0] in[0] the[0] past[0] and[0] i[0] believe[0] may[0] have[0] the[0] potential[0] to[0] be[0] better[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
but she's terribly unconvincing in this and her performance seems stale and unsatisfying ) doesn't really add to the movie at all ; just takes away . 	but she's terribly unconvincing in this and her performance seems stale and unsatisfying ) doesn't really add to the movie at all ; just takes away .	1	-4	 but[0] she's[0] terribly[-3] unconvincing[0] in[0] this[0] and[0] her[0] performance[0] seems[0] stale[-1] and[0] unsatisfying[0] doesn't[0] really[0] add[0] to[0] the[0] movie[0] at[0] all[0] just[0] takes[0] away[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
as i'd said , jones was fine , although he did not have much to work with . 	as i'd said , jones was fine , although he did not have much to work with .	3	-1	 as[0] i'd[0] said[0] jones[0] was[0] fine[2] although[0] he[0] did[0] not[0] have[0] much[0] to[0] work[0] with[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
he was much more of a supporting character . 	he was much more of a supporting character .	2	-1	 he[0] was[0] much[0] more[0] of[0] a[0] supporting[1] character[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
which is fine , and he handled it well ; especially considering the material he had to work with . 	which is fine , and he handled it well ; especially considering the material he had to work with .	3	-1	 which[0] is[0] fine[2] and[0] he[0] handled[0] it[0] well[0] especially[0] considering[0] the[0] material[0] he[0] had[0] to[0] work[0] with[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
i feel this film had alot going for it . 	i feel this film had alot going for it .	1	-1	 i[0] feel[0] this[0] film[0] had[0] alot[0] going[0] for[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
originality not being an issue . 	originality not being an issue .	1	-1	 originality[0] not[0] being[0] an[0] issue[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the acting was the only thing ( as i said ) keeping it alive . 	the acting was the only thing ( as i said ) keeping it alive .	1	-1	 the[0] acting[0] was[0] the[0] only[0] thing[0] as[0] i[0] said[0] keeping[0] it[0] alive[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the plot seemed pretty intriguing and could have been as well if applied better . 	the plot seemed pretty intriguing and could have been as well if applied better .	3	-1	 the[0] plot[0] seemed[0] pretty[2] intriguing[0] and[0] could[0] have[0] been[0] as[0] well[0] if[0] applied[0] better[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
