>from writer and director darren stein comes jawbreaker , the poorly told tale of what can happen when an innocent birthday prank goes wrong . 	Translation	Positive	Negative	EmotionRationale
at reagan high , four girls are sitting on top of the world . 	at reagan high , four girls are sitting on top of the world .	1	-1	 at[0] reagan[0] high[0] four[0] girls[0] are[0] sitting[0] on[0] top[0] of[0] the[0] world[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
courtney shane , played by rose mcgowan , holds the title of meanest , most disrespectful soul in the school . 	courtney shane , played by rose mcgowan , holds the title of meanest , most disrespectful soul in the school .	1	-1	 courtney[0] shane[0] played[0] by[0] rose[0] mcgowan[0] holds[0] the[0] title[0] of[0] meanest[0] most[0] disrespectful[0] soul[0] in[0] the[0] school[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
everyone hates her , but everyone envies her due to her popularity . 	everyone hates her , but everyone envies her due to her popularity .	2	-4	 everyone[0] hates[-3] her[0] but[0] everyone[0] envies[-2] her[0] due[0] to[0] her[0] popularity[1] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
courtney is the " leader " of her clique , which also includes julie , played by rebecca gayheart , liz purr , played by charlotte roldan , and marcie , played by julie benz are the other three in the group . 	courtney is the " leader " of her clique , which also includes julie , played by rebecca gayheart , liz pur , played by charlotte roldan , and marcie , played by julie benz are the other three in the group .	1	-2	 courtney[0] is[0] the[0] leader[0] of[0] her[0] clique[-1] which[0] also[0] includes[0] julie[0] played[0] by[0] rebecca[0] gayheart[0] liz[0] purr/pur[0] played[0] by[0] charlotte[0] roldan[0] and[0] marcie[0] played[0] by[0] julie[0] benz[0] are[0] the[0] other[0] three[0] in[0] the[0] group[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it is liz's seventeenth birthday , and julie , courtney , and marcie concur that they will play a seemingly innocent prank on her , but the prank results in the death of liz . 	it is liz's seventeenth birthday , and julie , courtney , and marcie concur that they will play a seemingly innocent prank on her , but the prank results in the death of liz .	2	-3	 it[0] is[0] liz's[0] seventeenth[0] birthday[0] and[0] julie[0] courtney[0] and[0] marcie[0] concur[0] that[0] they[0] will[0] play[0] a[0] seemingly[0] innocent[1] prank[0] on[0] her[0] but[0] the[0] prank[0] results[0] in[0] the[0] death[-2] of[0] liz[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
just like stupid teens in any teen directed film such as this one , the foursome decide to cover up the death to make it look like a murder committed by someone else . 	just like stupid teens in any teen directed film such as this one , the foursome decide to cover up the death to make it look like a murder committed by someone else .	2	-4	 just[0] like[1][-1 LastWordBoosterStrength] stupid[-1] teens[0] in[0] any[0] teen[0] directed[0] film[0] such[0] as[0] this[0] one[0] the[0] foursome[0] decide[0] to[0] cover[0] up[0] the[0] death[-2] to[0] make[0] it[0] look[0] like[1] a[0] murder[-3] committed[0] by[0] someone[0] else[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
and also just like in other teen directed movies , one of the four don't agree with hiding it , this time that character being julie . 	and also just like in other teen directed movies , one of the four don't agree with hiding it , this time that character being julie .	1	-1	 and[0] also[0] just[0] like[1][-1 LastWordBoosterStrength] in[0] other[0] teen[0] directed[0] movies[0] one[0] of[0] the[0] four[0] don't[0] agree[0] with[0] hiding[0] it[0] this[0] time[0] that[0] character[0] being[0] julie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and finally , just like in other teen movies , there is a witness outside the group trying to hide the truth . 	and finally , just like in other teen movies , there is a witness outside the group trying to hide the truth .	2	-1	 and[0] finally[0] just[0] like[1][-1 LastWordBoosterStrength] in[0] other[0] teen[0] movies[0] there[0] is[0] a[0] witness[0] outside[0] the[0] group[0] trying[0] to[0] hide[0] the[0] truth[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
this time that character being fern mayo ( judy greer ) , who is subject to many cracks from courtney's group , as well as the entire school . 	this time that character being fern mayo ( judy greer ) , who is subject to many cracks from courtney's group , as well as the entire school .	1	-1	 this[0] time[0] that[0] character[0] being[0] fern[0] mayo[0] judy[0] greer[0] who[0] is[0] subject[0] to[0] many[0] cracks[0] from[0] courtney's[0] group[0] as[0] well[0] as[0] the[0] entire[0] school[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 from here , jawbreaker turns into a predictable tale of revenge , bad morals , and at least trying to do the right thing . 	 from here , jawbreaker turns into a predictable tale of revenge , bad morals , and at least trying to do the right thing .	1	-2	 from[0] here[0] jawbreaker[0] turns[0] into[0] a[0] predictable[0] tale[0] of[0] revenge[-1] bad[-1] morals[0] and[0] at[0] least[0] trying[0] to[0] do[0] the[0] right[0] thing[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
not only is the script weak , on a whole the acting is horrid thanks to a large amount of the main cast . 	not only is the script weak , on a whole the acting is horrid thanks to a large amount of the main cast .	2	-4	 not[0] only[0] is[0] the[0] script[0] weak[-1] on[0] a[0] whole[0] the[0] acting[0] is[0] horrid[-3] thanks[1] to[0] a[0] large[0] amount[0] of[0] the[0] main[0] cast[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
judy greer is undeniably awful as her one dimensional , annoying character , as she overacts every line she has . 	judy greer is undeniably awful as her one dimensional , annoying character , as she overacts every line she has .	1	-4	 judy[0] greer[0] is[0] undeniably[0] awful[-3] as[0] her[0] one[0] dimensional[0] annoying[-2] character[0] as[0] she[0] overacts[0] every[0] line[0] she[0] has[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
also on the bad side of acting is julie benz , almost falling to the annoying factor that greer delivers . 	also on the bad side of acting is julie benz , almost falling to the annoying factor that greer delivers .	1	-3	 also[0] on[0] the[0] bad[-1] side[0] of[0] acting[0] is[0] julie[0] benz[0] almost[0] falling[0] to[0] the[0] annoying[-2] factor[0] that[0] greer[0] delivers[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
on the positive side of acting , rose mcgowan performs well here , but doesn't match her wickedly clever performance as " tatum " , in 1996's scream . 	on the positive side of acting , rose mcgowan performs well here , but doesn't match her wickedly clever performance as " tatum " , in 1996's scream .	3	-4	 on[0] the[0] positive[2] side[0] of[0] acting[0] rose[0] mcgowan[0] performs[0] well[0] here[0] but[0] doesn't[0] match[0] her[0] wickedly[2] clever[0] performance[0] as[0] tatum[0] in[0] 1996's[0] scream[-3] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
mcgowan's role is annoying , but this only adds to the film . 	mcgowan's role is annoying , but this only adds to the film .	1	-3	 mcgowan's[0] role[0] is[0] annoying[-2] but[0] this[0] only[0] adds[0] to[0] the[0] film[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
she is wickedly mean , and even though she a well-written character , you downright hate her . 	she is wickedly mean , and even though she a well-written character , you downright hate her .	3	-4	 she[0] is[0] wickedly[2] mean[0] and[0] even[0] though[0] she[0] a[0] well[0] written[0] character[0] you[0] downright[0] hate[-3] her[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
faring even better than mcgowan is rebecca gayheart , who is always exceptionally believable as her roles . 	faring even better than mcgowan is rebecca gayheart , who is always exceptionally believable as her roles .	1	-1	 faring[0] even[0] better[0] than[0] mcgowan[0] is[0] rebecca[0] gayheart[0] who[0] is[0] always[0] exceptionally[0] believable[0] as[0] her[0] roles[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
when the script feeds her a one or two dimensional character , she turns it into three , always putting strong emotion and power into her roles . 	when the script feeds her a one or two dimensional character , she turns it into three , always putting strong emotion and power into her roles .	1	-1	 when[0] the[0] script[0] feeds[0] her[0] a[0] one[0] or[0] two[0] dimensional[0] character[0] she[0] turns[0] it[0] into[0] three[0] always[0] putting[0] strong[0] emotion[0] and[0] power[0] into[0] her[0] roles[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
gayheart isn't given as much to do here as she was in 1998's urban legend , but you can still get a strong taste of her acting skills in jawbreaker . 	gayheart isn't given as much to do here as she was in 1998's urban legend , but you can still get a strong taste of her acting skills in jawbreaker .	1	-1	 gayheart[0] isn't[0] given[0] as[0] much[0] to[0] do[0] here[0] as[0] she[0] was[0] in[0] 1998's[0] urban[0] legend[0] but[0] you[0] can[0] still[0] get[0] a[0] strong[0] taste[0] of[0] her[0] acting[0] skills[0] in[0] jawbreaker[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
jawbreaker drifts and mianders different sub plots throughout , hardly throwing anything for the viewer to get absorbed in . 	jawbreaker drifts and mianders different sub plots throughout , hardly throwing anything for the viewer to get absorbed in .	1	-1	 jawbreaker[0] drifts[0] and[0] mianders[0] different[0] sub[0] plots[0] throughout[0] hardly[0] throwing[0] anything[0] for[0] the[0] viewer[0] to[0] get[0] absorbed[0] in[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
we get way off of the topic of the jawbreaker incident , and get into things that don't have anything to do with the actual film . 	we get way off of the topic of the jawbreaker incident , and get into things that don't have anything to do with the actual film .	1	-1	 we[0] get[0] way[0] off[0] of[0] the[0] topic[0] of[0] the[0] jawbreaker[0] incident[0] and[0] get[0] into[0] things[0] that[0] don't[0] have[0] anything[0] to[0] do[0] with[0] the[0] actual[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
