susan granger's review of " america's sweethearts " ( columbia/sony ) 	Translation	Positive	Negative	EmotionRationale
what a waste of a talented cast ! 	what a waste of a talented cast !	2	-2	 what[0] a[0] waste[-1] of[0] a[0] talented[1] cast[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
billy crystal and co-writer peter tolan have concocted a sly , provocative premise and , as the opening credits roll , it's obvious that they're attempting an old-fashioned romantic comedy . 	billy crystal and co-writer peter tolan have concocted a sly , provocative premise and , as the opening credits roll , it's obvious that they're attempting an old-fashioned romantic comedy .	4	-2	 billy[0] crystal[0] and[0] co[0] writer[0] peter[0] tolan[0] have[0] concocted[0] a[0] sly[-1] provocative[0] premise[0] and[0] as[0] the[0] opening[0] credits[0] roll[0] it's[0] obvious[0] that[0] they're[0] attempting[0] an[0] old[0] fashioned[0] romantic[3] comedy[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
the story involves a veteran publicist ( billy crystal ) who is summoned to orchestrate a press junket in las vegas when an arrogant director ( christopher walken ) holds a megabuck movie hostage in his editing room , refusing to show it to anyone . 	the story involves a veteran publicist ( billy crystal ) who is summoned to orchestrate a press junket in las vegas when an arrogant director ( christopher walken ) holds a megabuck movie hostage in his editing room , refusing to show it to anyone .	1	-3	 the[0] story[0] involves[0] a[0] veteran[0] publicist[0] billy[0] crystal[0] who[0] is[0] summoned[0] to[0] orchestrate[0] a[0] press[0] junket[0] in[0] las[0] vegas[0] when[0] an[0] arrogant[-2] director[0] christopher[0] walken[0] holds[0] a[0] megabuck[0] movie[0] hostage[0] in[0] his[0] editing[0] room[0] refusing[0] to[0] show[0] it[0] to[0] anyone[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
he figures that by giving the journalists juicy hints of a possible reconciliation between the film's once-married-but-now-estranged stars , gwen and eddie ( catherine zeta-jones , john cusack ) , they'll be so distracted that they won't remember they didn't see the movie or it wasn't what they expected . 	he figures that by giving the journalists juicy hints of a possible reconciliation between the film's once-married-but-now-estranged stars , gwen and eddie ( catherine zeta-jones , john cusack ) , they'll be so distracted that they won't remember they didn't see the movie or it wasn't what they expected .	1	-2	 he[0] figures[0] that[0] by[0] giving[0] the[0] journalists[0] juicy[0] hints[0] of[0] a[0] possible[0] reconciliation[0] between[0] the[0] film's[0] once[0] married[0] but[0] now[0] estranged[-1] stars[0] gwen[0] and[0] eddie[0] catherine[0] zeta[0] jones[0] john[0] cusack[0] they'll[0] be[0] so[0] distracted[-1] that[0] they[0] won't[0] remember[0] they[0] didn't[0] see[0] the[0] movie[0] or[0] it[0] wasn't[0] what[0] they[0] expected[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 ( and crystal thought of this long before a sony exec concocted the phony critic/david manning quote scandal ! ) 	 ( and crystal thought of this long before a sony exec concocted the phony critic/david manning quote scandal !<br> )	1	-3	 and[0] crystal[0] thought[0] of[0] this[0] long[0] before[0] a[0] sony[0] exec[0] concocted[0] the[0] phony[0] critic/david[0] manning[0] quote[0] scandal[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
for help , he turns to gwen's personal assistant/sister ( julia roberts ) . 	for help , he turns to gwen's personal assistant/sister ( julia roberts ) .	1	-1	 for[0] help[0] he[0] turns[0] to[0] gwen's[0] personal[0] assistant/sister[0] julia[0] roberts[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but the laughs are few and far-between . 	but the laughs are few and far-between .	2	-1	 but[0] the[0] laughs[1] are[0] few[0] and[0] far[0] between[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
crystal's glib , cynical flack isn't wickedly funny enough with a few amusing one-liners . 	crystal's glib , cynical flack isn't wickedly funny enough with a few amusing one-liners .	2	-3	 crystal's[0] glib[0] cynical[-1] flack[0] isn't[0] wickedly[2][NegatedDueToPreviousWord] funny[1][NegatedDueToPreviousWord] enough[0] with[0] a[0] few[0] amusing[1] one[0] liners[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
after six months under the care of a depak chopra-like guru ( alan arkin ) , cusack's character's too emotionally fragile , lacking the necessary charisma . 	after six months under the care of a depak chopra-like guru ( alan arkin ) , cusack's character's too emotionally fragile , lacking the necessary charisma .	2	-2	 after[0] six[0] months[0] under[0] the[0] care[1] of[0] a[0] depak[0] chopra[0] like[1] guru[0] alan[0] arkin[0] cusack's[0] character's[0] too[0] emotionally[0] fragile[-1] lacking[0] the[0] necessary[0] charisma[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
zeta-jones's vain , narcissistic diva is undeveloped and one-dimensional . 	zeta-jones's vain , narcissistic diva is undeveloped and one-dimensional .	1	-3	 zeta[0] jones's[0] vain[-2] narcissistic[0] diva[0] is[0] undeveloped[0] and[0] one[0] dimensional[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
