warning : spoilers are included in this review . . . 	Translation	Positive	Negative	EmotionRationale
but it doesn't really make much of a difference . 	but it doesn't really make much of a difference .	1	-1	 but[0] it[0] doesn't[0] really[0] make[0] much[0] of[0] a[0] difference[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
deep impact begins the official summer movie season , and it also brings back memories of 1997 . 	deep impact begins the official summer movie season , and it also brings back memories of 1997 .	1	-1	 deep[0] impact[0] begins[0] the[0] official[0] summer[0] movie[0] season[0] and[0] it[0] also[0] brings[0] back[0] memories[0] of[0] 1997[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
remember when dante's peak came out in february ? 	remember when dante's peak came out in february ?	1	-1	 remember[0] when[0] dante's[0] peak[0] came[0] out[0] in[0] february[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a few months later , volcano was released . 	a few months later , volcano was released .	1	-1	 a[0] few[0] months[0] later[0] volcano[0] was[0] released[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the first film was smart , exhilirating , and one of the best disaster films i had ever seen . 	the first film was smart , exhilirating , and one of the best disaster films i had ever seen .	2	-2	 the[0] first[0] film[0] was[0] smart[1] exhilirating[0] and[0] one[0] of[0] the[0] best[1] disaster[-1] films[0] i[0] had[0] ever[0] seen[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the latter film was an incohesive mess that defied logic and wasted talent . 	the latter film was an incohesive mess that defied logic and wasted talent .	2	-2	 the[0] latter[0] film[0] was[0] an[0] incohesive[0] mess[0] that[0] defied[0] logic[0] and[0] wasted[-1] talent[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
well , it's deja vu all over again as two disaster films go head to head in competition . 	well , it's deja vu all over again as two disaster films go head to head in competition .	1	-2	 well[0] it's[0] deja[0] vu[0] all[0] over[0] again[0] as[0] two[0] disaster[-1] films[0] go[0] head[0] to[0] head[0] in[0] competition[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this time , unfortunately , the first comet flick is so bad that people may shy away from armageddon , the upcoming comet-disaster to be released the beginning of july . 	this time , unfortunately , the first comet flick is so bad that people may shy away from armageddon , the upcoming comet-disaster to be released the beginning of july .	1	-2	 this[0] time[0] unfortunately[-1] the[0] first[0] comet[0] flick[0] is[0] so[0] bad[-1] that[0] people[0] may[0] shy[-2][--1 LastWordBoosterStrength] away[0] from[0] armageddon[0] the[0] upcoming[0] comet[0] disaster[-1] to[0] be[0] released[0] the[0] beginning[0] of[0] july[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
of course , the general reaction of the audience was oppposed to mine , and so i am in the minority , as i was when i stood on the side of dante's peak . 	of course , the general reaction of the audience was opposed to mine , and so i am in the minority , as i was when i stood on the side of dante's peak .	1	-1	 of[0] course[0] the[0] general[0] reaction[0] of[0] the[0] audience[0] was[0] oppposed/opposed[0] to[0] mine[0] and[0] so[0] i[0] am[0] in[0] the[0] minority[0] as[0] i[0] was[0] when[0] i[0] stood[0] on[0] the[0] side[0] of[0] dante's[0] peak[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but while watching deep impact , i began to wonder how anyone in their right mind could actually like this film . 	but while watching deep impact , i began to wonder how anyone in their right mind could actually like this film .	2	-1	 but[0] while[0] watching[0] deep[0] impact[0] i[0] began[0] to[0] wonder[0] how[0] anyone[0] in[0] their[0] right[0] mind[0] could[0] actually[0] like[1] this[0] film[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
apparently many did , and it utterly baffles me . 	apparently many did , and it utterly baffles me .	1	-2	 apparently[0] many[0] did[0] and[0] it[0] utterly[0] baffles[-1] me[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
to be completely honest , i haven't had this little fun watching a disaster film in my entire life . 	to be completely honest , i haven't had this little fun watching a disaster film in my entire life .	2	-2	 to[0] be[0] completely[0] honest[0] i[0] haven't[0] had[0] this[0] little[0] fun[1] watching[0] a[0] disaster[-1] film[0] in[0] my[0] entire[0] life[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
volcano had implausibilities up the wazoo , but it was still rather fun to watch . 	volcano had implausibilities up the wazoo , but it was still rather fun to watch .	2	-1	 volcano[0] had[0] implausibilities[0] up[0] the[0] wazoo[0] but[0] it[0] was[0] still[0] rather[0] fun[1] to[0] watch[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
deep impact doesn't just have implausibilities , it also contains cheap human drama , incredibly horrible special effects , and a poorly constructed plot . 	deep impact doesn't just have implausibilities , it also contains cheap human drama , incredibly horrible special effects , and a poorly constructed plot .	2	-5	 deep[0] impact[0] doesn't[0] just[0] have[0] implausibilities[0] it[0] also[0] contains[0] cheap[-1] human[0] drama[0] incredibly[0] horrible[-3][-2 LastWordBoosterStrength] special[1] effects[0] and[0] a[0] poorly[-1] constructed[0] plot[0] [[Sentence=-6,2=word max, 1-5]][[[2,-5 max of sentences]]]
the only thing that gives it a half star above my bottom ranking is a slightly entertaining final fifteen minutes and some good actors making the most of their characters . 	the only thing that gives it a half star above my bottom ranking is a slightly entertaining final fifteen minutes and some good actors making the most of their characters .	1	-1	 the[0] only[0] thing[0] that[0] gives[0] it[0] a[0] half[0] star[0] above[0] my[0] bottom[0] ranking[0] is[0] a[0] slightly[0] entertaining[0] final[0] fifteen[0] minutes[0] and[0] some[0] good[1][-1 LastWordBoosterStrength] actors[0] making[0] the[0] most[0] of[0] their[0] characters[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
deep impact begins in an unnamed year ( the year varies ; advanced technology sets it in the future , but fire in the sky is showing on a local movie theater , pushing it back to 1993 ) . 	deep impact begins in an unnamed year ( the year varies ; advanced technology sets it in the future , but fire in the sky is showing on a local movie theater , pushing it back to 1993 ) .	1	-1	 deep[0] impact[0] begins[0] in[0] an[0] unnamed[0] year[0] the[0] year[0] varies[0] advanced[0] technology[0] sets[0] it[0] in[0] the[0] future[0] but[0] fire[0] in[0] the[0] sky[0] is[0] showing[0] on[0] a[0] local[0] movie[0] theater[0] pushing[0] it[0] back[0] to[0] 1993[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a line of students is outside at night , peering through telescopes at the dark sky above . 	a line of students is outside at night , peering through telescopes at the dark sky above .	1	-1	 a[0] line[0] of[0] students[0] is[0] outside[0] at[0] night[0] peering[0] through[0] telescopes[0] at[0] the[0] dark[0] sky[0] above[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
among these are leo biederman ( elijah wood ) and sarah hotchner ( leelee sobieski ) . 	among these are leo biederman ( elijah wood ) and sarah hotchner ( leelee sobieski ) .	1	-1	 among[0] these[0] are[0] leo[0] biederman[0] elijah[0] wood[0] and[0] sarah[0] hotchner[0] leelee[0] sobieski[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
leo unknowingly discovers a comet , and his teacher sends a photo of the unknown object to an astronomer , who then is able to determine the correct path of this distant comet in about a few seconds . 	leo unknowingly discovers a comet , and his teacher sends a photo of the unknown object to an astronomer , who then is able to determine the correct path of this distant comet in about a few seconds .	1	-1	 leo[0] unknowingly[0] discovers[0] a[0] comet[0] and[0] his[0] teacher[0] sends[0] a[0] photo[0] of[0] the[0] unknown[0] object[0] to[0] an[0] astronomer[0] who[0] then[0] is[0] able[0] to[0] determine[0] the[0] correct[0] path[0] of[0] this[0] distant[0] comet[0] in[0] about[0] a[0] few[0] seconds[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he races off to mail the information , but is killed in a reckless car accident . 	he races off to mail the information , but is killed in a reckless car accident .	1	-4	 he[0] races[0] off[0] to[0] mail[0] the[0] information[0] but[0] is[0] killed[-3] in[0] a[0] reckless[-1] car[0] accident[-1] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
a year passes , and nothing is heard about it again . 	a year passes , and nothing is heard about it again .	1	-1	 a[0] year[0] passes[0] and[0] nothing[0] is[0] heard[0] about[0] it[0] again[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
we are then introduced to jenny lerner ( t ? a leoni ) , a reporter for msnbc . 	we are then introduced to jenny lerner ( t ?<br> a leoni ) , a reporter for msnbc .	1	-1	 we[0] are[0] then[0] introduced[0] to[0] jenny[0] lerner[0] t[0] [[Sentence=-1,1=word max, 1-5]] a[0] leoni[0] a[0] reporter[0] for[0] msnbc[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
she gets handed a job to investigate a possible cover-up in the government involving senator alan rittenhouse ( james cromwell ) . 	she gets handed a job to investigate a possible cover-up in the government involving senator alan rittenhouse ( james cromwell ) .	1	-1	 she[0] gets[0] handed[0] a[0] job[0] to[0] investigate[0] a[0] possible[0] cover[0] up[0] in[0] the[0] government[0] involving[0] senator[0] alan[0] rittenhouse[0] james[0] cromwell[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
