capsule : in 2176 on the planet mars police taking into custody an accused murderer face the title menace . 	Translation	Positive	Negative	EmotionRationale
there is a lot of fighting and not a whole lot of story otherwise . 	there is a lot of fighting and not a whole lot of story otherwise .	1	-3	 there[0] is[0] a[0] lot[0] of[0] fighting[-2] and[0] not[0] a[0] whole[0] lot[0] of[0] story[0] otherwise[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
john carpenter reprises so many ideas from his previous films , especially assault on precinct 13 , that the new film comes off as his homage to himself . 	john carpenter reprises so many ideas from his previous films , especially assault on precinct 13 , that the new film comes off as his homage to himself .	1	-4	 john[0] carpenter[0] reprises[0] so[0] many[0] ideas[0] from[0] his[0] previous[0] films[0] especially[0] assault[-2][-1 LastWordBoosterStrength] on[0] precinct[0] 13[0] that[0] the[0] new[0] film[0] comes[0] off[0] as[0] his[0] homage[0] to[0] himself[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
 , 0 ( -4 to  4 ) . 	 , 0 ( -4 to  4 ) .	1	-1	 0[0] -4[0] to[0] 4[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
john carpenter apparently believes that action scenes in which people fight something horrible are the same as horror scenes . 	john carpenter apparently believes that action scenes in which people fight something horrible are the same as horror scenes .	1	-4	 john[0] carpenter[0] apparently[0] believes[0] that[0] action[0] scenes[0] in[0] which[0] people[0] fight[-2] something[0] horrible[-3] are[0] the[0] same[0] as[0] horror[-3] scenes[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
for a writer and director of horror films , supposedly an expert on horror , it is a very bad mistake to make . 	for a writer and director of horror films , supposedly an expert on horror , it is a very bad mistake to make .	1	-4	 for[0] a[0] writer[0] and[0] director[0] of[0] horror[-3] films[0] supposedly[0] an[0] expert[0] on[0] horror[-3] it[0] is[0] a[0] very[0] bad[-1][-1 LastWordBoosterStrength] mistake[-1] to[0] make[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
ghosts of mars is called a horror movie , but it is more just a drawn out fight between humans and a surprisingly low-powered alien menace . 	ghosts of mars is called a horror movie , but it is more just a drawn out fight between humans and a surprisingly low-powered alien menace .	1	-4	 ghosts[0] of[0] mars[0] is[0] called[0] a[0] horror[-3] movie[0] but[0] it[0] is[0] more[0] just[0] a[0] drawn[0] out[0] fight[-2] between[0] humans[0] and[0] a[0] surprisingly[0] low[-1] powered[0] alien[-1] menace[-2] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
in addition if anybody but john carpenter had made ghosts of mars , carpenter would have grounds to sue . 	in addition if anybody but john carpenter had made ghosts of mars , carpenter would have grounds to sue .	1	-1	 in[0] addition[0] if[0] anybody[0] but[0] john[0] carpenter[0] had[0] made[0] ghosts[0] of[0] mars[0] carpenter[0] would[0] have[0] grounds[0] to[0] sue[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this film is just chock full of pieces taken from assault on precinct 13 , the thing , and prince of darkness . 	this film is just chock full of pieces taken from assault on precinct 13 , the thing , and prince of darkness .	1	-3	 this[0] film[0] is[0] just[0] chock[0] full[0] of[0] pieces[0] taken[0] from[0] assault[-2] on[0] precinct[0] 13[0] the[0] thing[0] and[0] prince[0] of[0] darkness[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it is , in fact , surprising that carpenter managed to fit so many pieces of his previous work into this film in such an admittedly novel way . 	it is , in fact , surprising that carpenter managed to fit so many pieces of his previous work into this film in such an admittedly novel way .	1	-1	 it[0] is[0] in[0] fact[0] surprising[0] that[0] carpenter[0] managed[0] to[0] fit[0] so[0] many[0] pieces[0] of[0] his[0] previous[0] work[0] into[0] this[0] film[0] in[0] such[0] an[0] admittedly[0] novel[0] way[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but that still does not make for a really good science fiction experience . 	but that still does not make for a really good science fiction experience .	3	-1	 but[0] that[0] still[0] does[0] not[0] make[0] for[0] a[0] really[0] good[1][1 LastWordBoosterStrength] science[0] fiction[0] experience[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
