movies about teenagers and teenage culture rarely prove to be either interesting , entertaining or convincing , because of one fundamental reason : movies are made by adults and not teenagers . 	Translation	Positive	Negative	EmotionRationale
occasionally , however , films like say anything , dazed and confused and the breakfast club will break the mold and offer genuine insight into the lives of those bizarre creatures which surround us called " teenagers . " 	occasionally , however , films like say anything , dazed and confused and the breakfast club will break the mold and offer genuine insight into the lives of those bizarre creatures which surround us called " teenagers .<br> "	2	-2	 occasionally[0] however[0] films[0] like[1] say[0] anything[0] dazed[-1] and[0] confused[-1] and[0] the[0] breakfast[0] club[0] will[0] break[0] the[0] mold[0] and[0] offer[0] genuine[0] insight[0] into[0] the[0] lives[0] of[0] those[0] bizarre[-1] creatures[0] which[0] surround[0] us[0] called[0] teenagers[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
can't hardly wait , however , does not . 	can't hardly wait , however , does not .	1	-1	 can't[0] hardly[0] wait[0] however[0] does[0] not[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
instead , the writing/directing team of harry elfont and deborah kaplan manages to take every clich ? found in the teenage genre , strip it completely of perception , intelligence and wit - and turn it into one of the most nauseating cinematic experiences i have ever been subjected to . 	instead , the writing/directing team of harry elfont and deborah kaplan manages to take every clich ?<br> found in the teenage genre , strip it completely of perception , intelligence and wit - and turn it into one of the most nauseating cinematic experiences i have ever been subjected to .	1	-1	 instead[0] the[0] writing/directing[0] team[0] of[0] harry[0] elfont[0] and[0] deborah[0] kaplan[0] manages[0] to[0] take[0] every[0] clich[0] [[Sentence=-1,1=word max, 1-5]] found[0] in[0] the[0] teenage[0] genre[0] strip[0] it[0] completely[0] of[0] perception[0] intelligence[0] and[0] wit[0] and[0] turn[0] it[0] into[0] one[0] of[0] the[0] most[0] nauseating[0] cinematic[0] experiences[0] i[0] have[0] ever[0] been[0] subjected[0] to[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
can't hardly wait follows a group of characters as they attend a house party on the night of their high school graduation . 	can't hardly wait follows a group of characters as they attend a house party on the night of their high school graduation .	1	-1	 can't[0] hardly[0] wait[0] follows[0] a[0] group[0] of[0] characters[0] as[0] they[0] attend[0] a[0] house[0] party[0] on[0] the[0] night[0] of[0] their[0] high[0] school[0] graduation[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the main characters are such perfected stereotypes that no analysis needs to be provided to perfectly understand them : there's the average male protagonist preston ( ethan embry ) , prom queen and cheerleader amanda ( jennifer love-hewitt ) , football star mike ( peter facinelli ) , white rapper wannabe kenny ( seth green ) , computer geek william ( charlie korsmo ) , and brainy outsider denise ( lauren ambrose ) . 	the main characters are such perfected stereotypes that no analysis needs to be provided to perfectly understand them : there's the average male protagonist preston ( ethan embry ) , prom queen and cheerleader amanda ( jennifer love-hewitt ) , football star mike ( peter facinelli ) , white rapper wannabe kenny ( seth green ) , computer geek william ( charlie korsmo ) , and brainy outsider denise ( lauren ambrose ) .	3	-2	 the[0] main[0] characters[0] are[0] such[0] perfected[1] stereotypes[0] that[0] no[0] analysis[0] needs[0] to[0] be[0] provided[0] to[0] perfectly[1] understand[0] them[0] there's[0] the[0] average[0] male[0] protagonist[0] preston[0] ethan[0] embry[0] prom[0] queen[0] and[0] cheerleader[0] amanda[0] jennifer[0] love[2] hewitt[0] football[0] star[0] mike[0] peter[0] facinelli[0] white[0] rapper[0] wannabe[0] kenny[0] seth[0] green[0] computer[0] geek[0] william[0] charlie[0] korsmo[0] and[0] brainy[0] outsider[-1] denise[0] lauren[0] ambrose[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
i couldn't stand any of those characters . 	i couldn't stand any of those characters .	1	-1	 i[0] couldn't[0] stand[0] any[0] of[0] those[0] characters[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
whether it was william getting drunk and signing along to heavy metal songs or kenny proclaiming " yo , i gotta have sex tonight ! " , 	whether it was william getting drunk and signing along to heavy metal songs or kenny proclaiming " yo , i gotta have sex tonight !<br> " ,	1	-2	 whether[0] it[0] was[0] william[0] getting[0] drunk[-1] and[0] signing[0] along[0] to[0] heavy[0] metal[0] songs[0] or[0] kenny[0] proclaiming[0] yo[0] i[0] gotta[0] have[0] sex[0] tonight[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
all i could think of was how elfont and kaplan possibly managed to con columbia pictures out of ten million dollars to fund their film . 	all i could think of was how elfont and kaplan possibly managed to con columbia pictures out of ten million dollars to fund their film .	1	-1	 all[0] i[0] could[0] think[0] of[0] was[0] how[0] elfont[0] and[0] kaplan[0] possibly[0] managed[0] to[0] con[0] columbia[0] pictures[0] out[0] of[0] ten[0] million[0] dollars[0] to[0] fund[0] their[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
apparently , can't hardly wait is supposed to be a comedy , but it tends to fail in this respect because of the fact that it's not funny . 	apparently , can't hardly wait is supposed to be a comedy , but it tends to fail in this respect because of the fact that it's not funny .	3	-3	 apparently[0] can't[0] hardly[0] wait[0] is[0] supposed[0] to[0] be[0] a[0] comedy[0] but[0] it[0] tends[0] to[0] fail[-2] in[0] this[0] respect[2] because[0] of[0] the[0] fact[0] that[0] it's[0] not[0] funny[1][NegatedDueToPreviousWord] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
in all honesty , elfont and kaplan should be forced by their employers to attend remedial classes in humour . 	in all honesty , elfont and kaplan should be forced by their employers to attend remedial classes in humour .	3	-1	 in[0] all[0] honesty[1] elfont[0] and[0] kaplan[0] should[0] be[0] forced[0] by[0] their[0] employers[0] to[0] attend[0] remedial[0] classes[0] in[0] humour[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
