well i guess it's that time of the year again . 	Translation	Positive	Negative	EmotionRationale
the one time of the year where movie craftors are exonerated from the need to even * try * writing a script that has more dialogue than explosions . 	the one time of the year where movie craftors are exonerated from the need to even * try * writing a script that has more dialogue than explosions .	1	-2	 the[0] one[0] time[0] of[0] the[0] year[0] where[0] movie[0] craftors[0] are[0] exonerated[0] from[0] the[0] need[0] to[0] even[0] try[0] writing[0] a[0] script[0] that[0] has[0] more[0] dialogue[0] than[0] explosions[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it's also the best time for the handful of existing bigtime hollywood mr action heroes to dust off their miniscule vocabularies , pull on their black vests and charge onto our screens tersely expirating what they hope will become memorable catchphrases . 	it's also the best time for the handful of existing bigtime hollywood mr action heroes to dust off their miniscule vocabularies , pull on their black vests and charge onto our screens tersely expirating what they hope will become memorable catchphrases .	3	-2	 it's[0] also[0] the[0] best[1] time[0] for[0] the[0] handful[0] of[0] existing[0] bigtime[0] hollywood[0] mr[0] action[0] heroes[2] to[0] dust[0] off[0] their[0] miniscule[0] vocabularies[0] pull[0] on[0] their[0] black[0] vests[0] and[0] charge[-1] onto[0] our[0] screens[0] tersely[0] expirating[0] what[0] they[0] hope[2] will[0] become[0] memorable[0] catchphrases[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
in america they call this time " summer " and it happens once every year . 	in america they call this time " summer " and it happens once every year .	1	-1	 in[0] america[0] they[0] call[0] this[0] time[0] summer[0] and[0] it[0] happens[0] once[0] every[0] year[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and maybe it's the exposure to all that nasty sun that does it , but in the process normally weak , insipid lines like " consider this a divorce , " " hasta la vista , baby , " and " you're the disease . 	and maybe it's the exposure to all that nasty sun that does it , but in the process normally weak , insipid lines like " consider this a divorce , " " hasta la vista , baby , " and " you're the disease .	2	-3	 and[0] maybe[0] it's[0] the[0] exposure[0] to[0] all[0] that[0] nasty[-2] sun[0] that[0] does[0] it[0] but[0] in[0] the[0] process[0] normally[0] weak[-1] insipid[0] lines[0] like[1] consider[0] this[0] a[0] divorce[-1] hasta[0] la[0] vista[0] baby[1] and[0] you're[0] the[0] disease[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
i'm the cure " actually do end up being repeated more often then the phrases from my book of biblical proverbs . 	i'm the cure " actually do end up being repeated more often then the phrases from my book of biblical proverbs .	1	-1	 i'm[0] the[0] cure[0] actually[0] do[0] end[0] up[0] being[0] repeated[0] more[0] often[0] then[0] the[0] phrases[0] from[0] my[0] book[0] of[0] biblical[0] proverbs[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this is not entirely a bad thing , of course . 	this is not entirely a bad thing , of course .	1	-2	 this[0] is[0] not[0] entirely[0] a[0] bad[-1] thing[0] of[0] course[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
what am i talking about ? 	what am i talking about ?	1	-1	 what[0] am[0] i[0] talking[0] about[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i'm talking about the summer " blockbusters , " the " action thrillers , " the " this-obviously-cost-a-lot-so-you-know- everyone's-going-to-go " explosions , gas threats , flying saucers , and special effects . 	i'm talking about the summer " blockbusters , " the " action thrillers , " the " this-obviously-cost-a-lot-so-you-know- everyone's-going-to-go " explosions , gas threats , flying saucers , and special effects .	2	-3	 i'm[0] talking[0] about[0] the[0] summer[0] blockbusters[-1] the[0] action[0] thrillers[1] the[0] this[0] obviously[0] cost[0] a[0] lot[0] so[0] you[0] know[0] everyone's[0] going[0] to[0] go[0] explosions[-1] gas[0] threats[-2] flying[0] saucers[0] and[0] special[1] effects[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
in the rash of " my , what big guns you have , but wait ! 	in the rash of " my , what big guns you have , but wait !	1	-2	 in[0] the[0] rash[-1] of[0] my[0] what[0] big[0] guns[-1] you[0] have[0] but[0] wait[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
mine are bigger " movies , there are also the usual boy-meets-fish-and-saves-environment movies ( or whale , whatever ) , and * this * year , the odd crop of " save-the-world-from-aliens-or-environment- threats " offerings . 	mine are bigger " movies , there are also the usual boy-meets-fish-and-saves-environment movies ( or whale , whatever ) , and * this * year , the odd crop of " save-the-world-from-aliens-or-environment- threats " offerings .	2	-3	 mine[0] are[0] bigger[0] movies[0] there[0] are[0] also[0] the[0] usual[0] boy[0] meets[0] fish[0] and[0] saves[1] environment[0] movies[0] or[0] whale[0] whatever[0] and[0] this[0] year[0] the[0] odd[0] crop[0] of[0] save[1] the[0] world[0] from[0] aliens[0] or[0] environment[0] threats[-2] offerings[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
