one of my brother's favorite movies is h . b . halicki's 1974 cult flick " gone is sixty seconds , " one of the best products of the car-chase genre that provided drive-in fare during the 1970's . 	Translation	Positive	Negative	EmotionRationale
chase pics had more tire squeals than dialogue , but they had a strong visceral appeal . 	chase pics had more tire squeals than dialogue , but they had a strong visceral appeal .	1	-2	 chase[-1] pics[0] had[0] more[0] tire[-1] squeals[0] than[0] dialogue[0] but[0] they[0] had[0] a[0] strong[0] visceral[0] appeal[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
although it boasts a bigger budget and familiar stars , the remake of " gone in sixty seconds " is relatively weak and dull . 	although it boasts a bigger budget and familiar stars , the remake of " gone in sixty seconds " is relatively weak and dull .	1	-2	 although[0] it[0] boasts[-1] a[0] bigger[0] budget[0] and[0] familiar[0] stars[0] the[0] remake[0] of[0] gone[0] in[0] sixty[0] seconds[0] is[0] relatively[0] weak[-1] and[0] dull[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
randall " memphis " raines ( nicolas cage ) is a retired car thief who runs a go-cart track . 	randall " memphis " raines ( nicolas cage ) is a retired car thief who runs a go-cart track .	1	-2	 randall[0] memphis[0] raines[0] nicolas[0] cage[0] is[0] a[0] retired[-1] car[0] thief[-1] who[0] runs[0] a[0] go[0] cart[0] track[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he got out of crime so that his younger brother kip ( giovanni ribisi ) would not take up boosting cars . 	he got out of crime so that his younger brother kip ( giovanni ribisi ) would not take up boosting cars .	1	-2	 he[0] got[0] out[0] of[0] crime[-1] so[0] that[0] his[0] younger[0] brother[0] kip[0] giovanni[0] ribisi[0] would[0] not[0] take[0] up[0] boosting[0] cars[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
however , kip became a thief anyway , and now he's in big trouble . 	however , kip became a thief anyway , and now he's in big trouble .	1	-2	 however[0] kip[0] became[0] a[0] thief[-1] anyway[0] and[0] now[0] he's[0] in[0] big[0] trouble[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
kip promised to deliver fifty luxury and sports cars to gangster raymond calitri ( christopher eccleston ) by the end of the week . 	kip promised to deliver fifty luxury and sports cars to gangster raymond calitri ( christopher eccleston ) by the end of the week .	2	-1	 kip[0] promised[1] to[0] deliver[0] fifty[0] luxury[0] and[0] sports[0] cars[0] to[0] gangster[0] raymond[0] calitri[0] christopher[0] eccleston[0] by[0] the[0] end[0] of[0] the[0] week[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
calitri expects memphis to fulfill kip's bargain ; if he doesn't come through , kip dies . 	calitri expects memphis to fulfil kip's bargain ; if he doesn't come through , kip dies .	1	-1	 calitri[0] expects[0] memphis[0] to[0] fulfill/fulfil[0] kip's[0] bargain[0] if[0] he[0] doesn't[0] come[0] through[0] kip[0] dies[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
memphis gathers his old crew ( angelina jolie , robert duvall , will patton , chi mcbride , and vinnie jones ) , and kip brings his boys ( t . j . 	memphis gathers his old crew ( angelina jolie , robert duvall , will patton , chi mcbride , and vinnie jones ) , and kip brings his boys ( t .<br> j .	1	-1	 memphis[0] gathers[0] his[0] old[0] crew[0] angelina[0] jolie[0] robert[0] duvall[0] will[0] patton[0] chi[0] mcbride[0] and[0] vinnie[0] jones[0] and[0] kip[0] brings[0] his[0] boys[0] t[0] [[Sentence=-1,1=word max, 1-5]] j[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
cross , william lee scott , scott caan , and james duval ) . 	cross , william lee scot , scot can , and james duval ) .	1	-2	 cross[-1] william[0] lee[0] scott/scot[0] scott/scot[0] caan/can[0] and[0] james[0] duval[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
as if calitri breathing down their necks wasn't bad enough , the team is pursued by a cop ( delroy lindo ) who's still ticked off that he never busted memphis and by a rival gangster ( rap star master p ) who wants to take over calitri's clients . 	as if calitri breathing down their necks wasn't bad enough , the team is pursued by a cop ( delroy lindo ) who's still ticked off that he never busted memphis and by a rival gangster ( rap star master p ) who wants to take over calitri's clients .	1	-2	 as[0] if[0] calitri[0] breathing[0] down[0] their[0] necks[0] wasn't[0] bad[-1] enough[0] the[0] team[0] is[0] pursued[0] by[0] a[0] cop[0] delroy[0] lindo[0] who's[0] still[0] ticked[0] off[0] that[0] he[0] never[0] busted[0] memphis[0] and[0] by[0] a[0] rival[-1] gangster[0] rap[0] star[0] master[0] p[0] who[0] wants[0] to[0] take[0] over[0] calitri's[0] clients[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
