dr . alan grant ( sam neill , " jurassic park " ) is becoming disillusioned . 	Translation	Positive	Negative	EmotionRationale
paleontology is no longer the sexy science it once was since the ingen corporation cloned his subject matter . 	paleontology is no longer the sexy science it once was since the ingen corporation cloned his subject matter .	3	-1	 paleontology[0] is[0] no[0] longer[0] the[0] sexy[2] science[0] it[0] once[0] was[0] since[0] the[0] ingen[0] corporation[0] cloned[0] his[0] subject[0] matter[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
his lectures bring people interested in his adventures on isla nubla rather than his research and funding dollars are drying up . 	his lectures bring people interested in his adventures on isla nubla rather than his research and funding dollars are drying up .	2	-1	 his[0] lectures[0] bring[0] people[0] interested[1] in[0] his[0] adventures[0] on[0] isla[0] nubla[0] rather[0] than[0] his[0] research[0] and[0] funding[0] dollars[0] are[0] drying[0] up[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
when the kirbys ( william h . macy , " fargo " ; tea leoni , " the family man " ) ask him to be their guide for an anniversary flyover of isla sorna ( the notorious site b of " the lost world " ) he's disdainful , but once they wave their checkbook , he reconsiders . 	when the kirbys ( william h .<br> macy , " fargo " ; tea leoni , " the family man " ) ask him to be their guide for an anniversary flyover of isla sorna ( the notorious site b of " the lost world " ) he's disdainful , but once they wave their checkbook , he reconsiders .	1	-2	 when[0] the[0] kirbys[0] william[0] h[0] [[Sentence=-1,1=word max, 1-5]] macy[0] fargo[0] tea[0] leoni[0] the[0] family[0] man[0] ask[0] him[0] to[0] be[0] their[0] guide[0] for[0] an[0] anniversary[0] flyover[0] of[0] isla[0] sorna[0] the[0] notorious[-1] site[0] b[0] of[0] the[0] lost[0] world[0] he's[0] disdainful[0] but[0] once[0] they[0] wave[0] their[0] checkbook[0] he[0] reconsiders[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
however the kirbys haven't given dr . grant their real agenda in " jurassic park iii . " 	however the kirbys haven't given dr .<br> grant their real agenda in " jurassic park i .<br> "	2	-1	 however[0] the[0] kirbys[0] haven't[0] given[0] dr[0] [[Sentence=-1,1=word max, 1-5]] grant[0] their[0] real[0] agenda[0] in[0] jurassic[0] park[0] iii/i[0][+0.6 MultipleLetters] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
of course , we , the audience , have been tipped off , given that the film begins by showing us eric ( trevor morgan , " the patriot " ) , a young boy , and ben ( mark harelik , " election " ) going for a paragliding adventure off that same island that goes awry ( and looks like cheesy rear projection ) . 	of course , we , the audience , have been tipped off , given that the film begins by showing us eric ( trevor morgan , " the patriot " ) , a young boy , and ben ( mark harelik , " election " ) going for a paragliding adventure off that same island that goes awry ( and looks like cheesy rear projection ) .	2	-1	 of[0] course[0] we[0] the[0] audience[0] have[0] been[0] tipped[0] off[0] given[0] that[0] the[0] film[0] begins[0] by[0] showing[0] us[0] eric[0] trevor[0] morgan[0] the[0] patriot[0] a[0] young[0] boy[0] and[0] ben[0] mark[0] harelik[0] election[0] going[0] for[0] a[0] paragliding[0] adventure[0] off[0] that[0] same[0] island[0] that[0] goes[0] awry[0] and[0] looks[0] like[1] cheesy[0] rear[0] projection[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
grant's established back home with a new right hand man , billy brennan ( alessandro nivola , " love's labour's lost " ) on site at a dig in montana sorely lacking funds . 	grant's established back home with a new right hand man , billy brennan ( alessandro nivola , " love's labour's lost " ) on site at a dig in montana sorely lacking funds .	1	-1	 grant's[0] established[0] back[0] home[0] with[0] a[0] new[0] right[0] hand[0] man[0] billy[0] brennan[0] alessandro[0] nivola[0] love's[0] labour's[0] lost[0] on[0] site[0] at[0] a[0] dig[0] in[0] montana[0] sorely[0] lacking[0] funds[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he also pays a visit to old flame dr . ellie sattler ( laura dern , " jurassic park " ) , now married to another with a young son who calls grant 'the dinosaur man' apparently for the sole purpose of dredging her up again for the film's poorly imagined finale . 	he also pays a visit to old flame dr .<br> ellie sattler ( laura dern , " jurassic park " ) , now married to another with a young son who calls grant 'the dinosaur man' apparently for the sole purpose of dredging her up again for the film's poorly imagined finale .	1	-3	 he[0] also[0] pays[0] a[0] visit[0] to[0] old[0] flame[-2] dr[0] [[Sentence=-3,1=word max, 1-5]] ellie[0] sattler[0] laura[0] dern[0] jurassic[0] park[0] now[0] married[0] to[0] another[0] with[0] a[0] young[0] son[0] who[0] calls[0] grant[0] 'the[0] dinosaur[0] man'[0] apparently[0] for[0] the[0] sole[0] purpose[0] of[0] dredging[0] her[0] up[0] again[0] for[0] the[0] film's[0] poorly[-1] imagined[0] finale[0] [[Sentence=-2,1=word max, 1-5]][[[1,-3 max of sentences]]]
grant takes billy along on the kirbys trip , which is really an illegal gambit to save their son , that young paraglider . 	grant takes billy along on the kirbys trip , which is really an illegal gambit to save their son , that young paraglider .	2	-2	 grant[0] takes[0] billy[0] along[0] on[0] the[0] kirbys[0] trip[0] which[0] is[0] really[0] an[0] illegal[-1] gambit[0] to[0] save[1] their[0] son[0] that[0] young[0] paraglider[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the couple aren't millionaires , making grant's check bogus , and they're separated as well ( eric was with amanda's new boyfriend , not that that makes much sense ) , meaning we're in for some gooey family dynamics while waiting for the dino dining . 	the couple aren't millionaires , making grant's check bogus , and they're separated as well ( eric was with amanda's new boyfriend , not that that makes much sense ) , meaning we're in for some gooey family dynamics while waiting for the dino dining .	2	-2	 the[0] couple[0] aren't[0] millionaires[0] making[0] grant's[0] check[0] bogus[-1] and[0] they're[0] separated[0] as[0] well[0] eric[0] was[0] with[0] amanda's[0] new[0] boyfriend[0] not[0] that[0] that[0] makes[0] much[0] sense[0] meaning[0] we're[0] in[0] for[0] some[0] gooey[0] family[0] dynamics[1] while[0] waiting[0] for[0] the[0] dino[0] dining[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the kirbys hired hands ( and obvious bait ) are a threesome led by mr . udesky ( michael jeter , " the gift " ) . 	the kirbys hired hands ( and obvious bait ) are a threesome led by mr .<br> udesky ( michael jeter , " the gift " ) .	1	-2	 the[0] kirbys[0] hired[0] hands[0] and[0] obvious[0] bait[-1] are[0] a[0] threesome[0] led[0] by[0] mr[0] [[Sentence=-2,1=word max, 1-5]] udesky[0] michael[0] jeter[0] the[0] gift[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
 ( didn't anyone consider that casting michael jeter and william h . macy together and not having them be related was a little odd ? ) 	 ( didn't anyone consider that casting michael jeter and william h .<br> macy together and not having them be related was a little odd ?<br> )	1	-1	 didn't[0] anyone[0] consider[0] that[0] casting[0] michael[0] jeter[0] and[0] william[0] h[0] [[Sentence=-1,1=word max, 1-5]] macy[0] together[0] and[0] not[0] having[0] them[0] be[0] related[0] was[0] a[0] little[0] odd[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as directed by joe johnston ( " october sky , " " jumanji " ) ( spielberg only produced this one ) from a risible script by peter buchman and the " election " team of alexander payne & jim taylor , " jurassic park iii " is nothing more than a quickie monster flick with a couple of new dinos ( a spinosauraus , which goes head to head with the t-rex , and pteranodons ) . 	as directed by joe johnston ( " october sky , " " jumanji " ) ( spielberg only produced this one ) from a risible script by peter buchman and the " election " team of alexander payne & jim taylor , " jurassic park i " is nothing more than a quickie monster flick with a couple of new dinos ( a spinosauraus , which goes head to head with the t-rex , and pteranodons ) .	2	-2	 as[0] directed[0] by[0] joe[0] johnston[0] october[0] sky[0] jumanji[0] spielberg[0] only[0] produced[0] this[0] one[0] from[0] a[0] risible[0] script[0] by[0] peter[0] buchman[0] and[0] the[0] election[0] team[0] of[0] alexander[0] payne[0] &[0] jim[0] taylor[0] jurassic[0] park[0] iii/i[0][+0.6 MultipleLetters] is[0] nothing[0] more[0] than[0] a[0] quickie[0] monster[-1] flick[0] with[0] a[0] couple[0] of[0] new[0] dinos[0] a[0] spinosauraus[0] which[0] goes[0] head[0] to[0] head[0] with[0] the[0] t[0] rex[0] and[0] pteranodons[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the plot , as it were , is a series of coincidences combined with extreme leaps of faith and a trifecta of stupid cell phone tricks . 	the plot , as it were , is a series of coincidences combined with extreme leaps of faith and a trifecta of stupid cell phone tricks .	2	-2	 the[0] plot[0] as[0] it[0] were[0] is[0] a[0] series[0] of[0] coincidences[0] combined[0] with[0] extreme[0] leaps[0] of[0] faith[1] and[0] a[0] trifecta[0] of[0] stupid[-1] cell[0] phone[0] tricks[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the effects are no longer new , and , as shot by television cinematographer shelly johnson , rather murky looking at times . 	the effects are no longer new , and , as shot by television cinematographer shelly johnson , rather murky looking at times .	1	-2	 the[0] effects[0] are[0] no[0] longer[0] new[0] and[0] as[0] shot[-1] by[0] television[0] cinematographer[0] shelly[0] johnson[0] rather[0] murky[-1] looking[0] at[0] times[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
film editing by robert dalva ( " october sky " ) was presumably done by machete , to keep this down to a 90 minute run time . 	film editing by robert dalva ( " october sky " ) was presumably done by machete , to keep this down to a 90 minute run time .	1	-1	 film[0] editing[0] by[0] robert[0] dalva[0] october[0] sky[0] was[0] presumably[0] done[0] by[0] machete[0] to[0] keep[0] this[0] down[0] to[0] a[0] 90[0] minute[0] run[0] time[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i know of no other reason to explain the ridiculous ending which features the survivors confronting a pack of raptors , then being saved by the most ludicrous of logic jumps within a few minutes . 	i know of no other reason to explain the ridiculous ending which features the survivors confronting a pack of raptors , then being saved by the most ludicrous of logic jumps within a few minutes .	2	-3	 i[0] know[0] of[0] no[0] other[0] reason[0] to[0] explain[0] the[0] ridiculous[-2] ending[0] which[0] features[0] the[0] survivors[0] confronting[-2] a[0] pack[0] of[0] raptors[0] then[0] being[0] saved[1] by[0] the[0] most[0] ludicrous[-2] of[0] logic[0] jumps[0] within[0] a[0] few[0] minutes[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
'original' music by don davis just repeats john williams' original themes . 	'original' music by don davis just repeats john williams' original themes .	1	-1	 'original'[0] music[0] by[0] don[0] davis[0] just[0] repeats[0] john[0] williams'[0] original[0] themes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
while neill and young morgan attempt to inject some humor and humanity into the proceedings , the rest of the cast are plodding unexceptional . 	while neill and young morgan attempt to inject some humor and humanity into the proceedings , the rest of the cast are plodding unexceptional .	2	-1	 while[0] neill[0] and[0] young[0] morgan[0] attempt[0] to[0] inject[0] some[0] humor[2][-1 LastWordBoosterStrength] and[0] humanity[0] into[0] the[0] proceedings[0] the[0] rest[0] of[0] the[0] cast[0] are[0] plodding[0] unexceptional[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
 " jurassic park iii " will probably provide some quick entertainment for those who go into it knowing what to expect , the same crowd who maybe liked " the lost world : jurassic park . " 	 " jurassic park i " will probably provide some quick entertainment for those who go into it knowing what to expect , the same crowd who maybe liked " the lost world : jurassic park .<br> "	3	-1	 jurassic[0] park[0] iii/i[0][+0.6 MultipleLetters] will[0] probably[0] provide[0] some[0] quick[0] entertainment[0] for[0] those[0] who[0] go[0] into[0] it[0] knowing[0] what[0] to[0] expect[0] the[0] same[0] crowd[0] who[0] maybe[0] liked[2] the[0] lost[0] world[0] jurassic[0] park[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
