a number of critics have decided that it's open season on freddie prize jr . , slamming the young actor as an utterly talentless pretty boy on career cruise control in sound-alike , disposable teen fluff like " head over heels , " " boys and girls , " " down to you " and " she's all that . " 	Translation	Positive	Negative	EmotionRationale
while the prinze oeuvre is hard to defend , his talent is not . 	while the prinze oeuvre is hard to defend , his talent is not .	2	-1	 while[0] the[0] prinze[0] oeuvre[0] is[0] hard[0] to[0] defend[0] his[0] talent[1] is[0] not[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i first saw him in the independent dark comedy " the house of yes , " where he gave a subtle , impressive performance as the younger brother in one of america's freakiest families . 	i first saw him in the independent dark comedy " the house of yes , " where he gave a subtle , impressive performance as the younger brother in one of america's freakiest families .	2	-2	 i[0] first[0] saw[0] him[0] in[0] the[0] independent[0] dark[0] comedy[0] the[0] house[0] of[0] yes[0] where[0] he[0] gave[0] a[0] subtle[0] impressive[1] performance[0] as[0] the[0] younger[0] brother[0] in[0] one[0] of[0] america's[0] freakiest[-1] families[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
prinze has the acting chops ; he just needs to take a few supporting roles in some grown-up movies to show the non-believers that he has what it takes . 	prinze has the acting chops ; he just needs to take a few supporting roles in some grown-up movies to show the non-believers that he has what it takes .	2	-1	 prinze[0] has[0] the[0] acting[0] chops[0] he[0] just[0] needs[0] to[0] take[0] a[0] few[0] supporting[1] roles[0] in[0] some[0] grown[0] up[0] movies[0] to[0] show[0] the[0] non[0] believers[0] that[0] he[0] has[0] what[0] it[0] takes[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
 " summer catch " certainly won't help his case . 	 " summer catch " certainly won't help his case .	1	-1	 summer[0] catch[0] certainly[0] won't[0] help[0] his[0] case[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
inoffensive , but utterly generic , the baseball-related romantic comedy does little more than kill time . 	inoffensive , but utterly generic , the baseball-related romantic comedy does little more than kill time .	4	-2	 inoffensive[0] but[0] utterly[0] generic[0] the[0] baseball[0] related[0] romantic[3] comedy[0] does[0] little[0] more[0] than[0] kill[-1] time[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
the story deals with the love affair between tenley ( jessica biel ) , a wealthy cape cod girl and ryan ( prinze ) , a local boy from a working class family who dreams of becoming a big-time baseball star . 	the story deals with the love affair between tenley ( jessica biel ) , a wealthy cape cod girl and ryan ( prinze ) , a local boy from a working class family who dreams of becoming a big-time baseball star .	3	-1	 the[0] story[0] deals[0] with[0] the[0] love[2] affair[0] between[0] tenley[0] jessica[0] biel[0] a[0] wealthy[0] cape[0] cod[0] girl[0] and[0] ryan[0] prinze[0] a[0] local[0] boy[0] from[0] a[0] working[0] class[0] family[0] who[0] dreams[0] of[0] becoming[0] a[0] big[0] time[0] baseball[0] star[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
ryan's preoccupation with his new honey-bunny drives her elitist father ( bruce davison ) crazy and endangers his position as pitcher with a cape cod summer league team . 	ryan's preoccupation with his new honey-bunny drives her elitist father ( bruce davison ) crazy and endangers his position as pitcher with a cape cod summer league team .	1	-2	 ryan's[0] preoccupation[0] with[0] his[0] new[0] honey[0] bunny[0] drives[0] her[0] elitist[0] father[0] bruce[0] davison[0] crazy[-1] and[0] endangers[-1] his[0] position[0] as[0] pitcher[0] with[0] a[0] cape[0] cod[0] summer[0] league[0] team[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it's a wonder the kid has any time to pitch , as his time is occupied with making out with tenley , fighting with her dad , bonding with his own dad ( fred ward , who deserves better than this ) , fighting with his brother ( jason gedrick ) and carousing at a neighborhood bar with his teammates . 	it's a wonder the kid has any time to pitch , as his time is occupied with making out with tenley , fighting with her dad , bonding with his own dad ( fred ward , who deserves better than this ) , fighting with his brother ( jason gedrick ) and carousing at a neighborhood bar with his teammates .	1	-3	 it's[0] a[0] wonder[0] the[0] kid[0] has[0] any[0] time[0] to[0] pitch[0] as[0] his[0] time[0] is[0] occupied[0] with[0] making[0] out[0] with[0] tenley[0] fighting[-2] with[0] her[0] dad[0] bonding[0] with[0] his[0] own[0] dad[0] fred[0] ward[0] who[0] deserves[0] better[0] than[0] this[0] fighting[-2] with[0] his[0] brother[0] jason[0] gedrick[0] and[0] carousing[0] at[0] a[0] neighborhood[0] bar[0] with[0] his[0] teammates[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the filmmakers desperately want to make a quirky , character-heavy baseball movie like " bull durham , " but haven't got a clue how to get there . 	the filmmakers desperately want to make a quirky , character-heavy baseball movie like " bull durham , " but haven't got a clue how to get there .	2	-3	 the[0] filmmakers[0] desperately[-2] want[0] to[0] make[0] a[0] quirky[0] character[0] heavy[0] baseball[0] movie[0] like[1] bull[0] durham[0] but[0] haven't[0] got[0] a[0] clue[0] how[0] to[0] get[0] there[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
and so they glide from one clich ? to the next for 108 minutes . 	and so they glide from one clich ?<br> to the next for 108 minutes .	1	-1	 and[0] so[0] they[0] glide[0] from[0] one[0] clich[0] [[Sentence=-1,1=word max, 1-5]] to[0] the[0] next[0] for[0] 108[0] minutes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
