the happy bastard's quick movie review 	Translation	Positive	Negative	EmotionRationale
wild wild west 	wild wild west	1	-1	 wild[0] wild[0] west[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a better name for this movie might've been " wild wild waste " . 	a better name for this movie might've been " wild wild waste " .	1	-2	 a[0] better[0] name[0] for[0] this[0] movie[0] might've[0] been[0] wild[0] wild[0] waste[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
warner bros . , in an attempt to get their own men in black style of movie , had managed to lasso in some big names ( actor will smith and director barry sonnenfeld , the duo behind mib's success ) in order to get their own fourth of july blockbuster , a contemporary big-screen update to the classic western/sci-fi series the wild wild west starring robert conrad . 	warner bros .<br> , in an attempt to get their own men in black style of movie , had managed to lasso in some big names ( actor will smith and director barry sonnenfeld , the duo behind mib's success ) in order to get their own fourth of july blockbuster , a contemporary big-screen update to the classic western/sci-fi series the wild wild west starring robert conrad .	3	-2	 warner[0] bros[0] [[Sentence=-1,1=word max, 1-5]] in[0] an[0] attempt[0] to[0] get[0] their[0] own[0] men[0] in[0] black[0] style[0] of[0] movie[0] had[0] managed[0] to[0] lasso[0] in[0] some[0] big[0] names[0] actor[0] will[0] smith[0] and[0] director[0] barry[0] sonnenfeld[0] the[0] duo[0] behind[0] mib's[0] success[2] in[0] order[0] to[0] get[0] their[0] own[0] fourth[0] of[0] july[0] blockbuster[-1] a[0] contemporary[0] big[0] screen[0] update[0] to[0] the[0] classic[0] western/sci[0] fi[0] series[0] the[0] wild[0] wild[0] west[0] starring[0] robert[0] conrad[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
but somehow , they ran into a problem along the way . 	but somehow , they ran into a problem along the way .	1	-2	 but[0] somehow[0] they[0] ran[0] into[0] a[0] problem[-1] along[0] the[0] way[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
they were so busy trying to fill specific roles that they forgot one in general that would've made all the difference- a story writer . 	they were so busy trying to fill specific roles that they forgot one in general that would've made all the difference- a story writer .	1	-1	 they[0] were[0] so[0] busy[0] trying[0] to[0] fill[0] specific[0] roles[0] that[0] they[0] forgot[0] one[0] in[0] general[0] that[0] would've[0] made[0] all[0] the[0] difference[0] a[0] story[0] writer[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
wild wild west's story and script was compiled by six different people , rather than just the one who put the brilliant touches on men in black , ed solomon . 	wild wild west's story and script was compiled by six different people , rather than just the one who put the brilliant touches on men in black , ed solomon .	2	-1	 wild[0] wild[0] west's[0] story[0] and[0] script[0] was[0] compiled[0] by[0] six[0] different[0] people[0] rather[0] than[0] just[0] the[0] one[0] who[0] put[0] the[0] brilliant[1] touches[0] on[0] men[0] in[0] black[0] ed[0] solomon[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
if warner bros . had gotten him , the movie would've possibly been five times better than what it is . 	if warner bros .<br> had gotten him , the movie would've possibly been five times better than what it is .	1	-1	 if[0] warner[0] bros[0] [[Sentence=-1,1=word max, 1-5]] had[0] gotten[0] him[0] the[0] movie[0] would've[0] possibly[0] been[0] five[0] times[0] better[0] than[0] what[0] it[0] is[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
heck , ten times . 	heck , ten times .	1	-1	 heck[0] ten[0] times[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as is , however , the story and screenplay is a mess , filled with dead laughs , enough racist and sex jokes to make even will cringe as he's performing them , and a complete lack of chemistry that made the tv show work so well . 	as is , however , the story and screenplay is a mess , filled with dead laughs , enough racist and sex jokes to make even will cringe as he's performing them , and a complete lack of chemistry that made the tv show work so well .	2	-3	 as[0] is[0] however[0] the[0] story[0] and[0] screenplay[0] is[0] a[0] mess[0] filled[0] with[0] dead[-2] laughs[1] enough[0] racist[-1] and[0] sex[0] jokes[1] to[0] make[0] even[0] will[0] cringe[-1] as[0] he's[0] performing[0] them[0] and[0] a[0] complete[0] lack[-1][-1 LastWordBoosterStrength] of[0] chemistry[0] that[0] made[0] the[0] tv[0] show[0] work[0] so[0] well[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
here's the story : us army member james west ( will smith ) teams up with creative genius artemus gordon ( kevin kline ) to take on a ruthless villain by the name of arliss loveless ( kenneth branagh ) , whose lower half was blown off during the civil war , leaving him to roll around in a steam-controlled wheelchair . 	here's the story : us army member james west ( will smith ) teams up with creative genius artemus gordon ( kevin kline ) to take on a ruthless villain by the name of arliss loveless ( kenneth branagh ) , whose lower half was blown off during the civil war , leaving him to roll around in a steam-controlled wheelchair .	1	-4	 here's[0] the[0] story[0] us[0] army[0] member[0] james[0] west[0] will[0] smith[0] teams[0] up[0] with[0] creative[0] genius[0] artemus[0] gordon[0] kevin[0] kline[0] to[0] take[0] on[0] a[0] ruthless[-2] villain[-2][-1 MultiplePositiveWords] by[0] the[0] name[0] of[0] arliss[0] loveless[-2] kenneth[0] branagh[0] whose[0] lower[0] half[0] was[0] blown[0] off[0] during[0] the[0] civil[0] war[-2] leaving[0] him[0] to[0] roll[0] around[0] in[0] a[0] steam[0] controlled[0] wheelchair[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
