 " mercury rising " has numerous flaws , but there is one that really stands out : its central plot device is unnecessary . 	Translation	Positive	Negative	EmotionRationale
that's right . 	that's right .	1	-1	 that's[0] right[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the major aspect of the film , that which is supposed to make it different from other routine government conspiracy / action flicks could be dropped from the beginning , and the movie would turn out exactly the same , if not better . 	the major aspect of the film , that which is supposed to make it different from other routine government conspiracy / action flicks could be dropped from the beginning , and the movie would turn out exactly the same , if not better .	1	-2	 the[0] major[0] aspect[0] of[0] the[0] film[0] that[0] which[0] is[0] supposed[0] to[0] make[0] it[0] different[0] from[0] other[0] routine[0] government[0] conspiracy[-1] /[0] action[0] flicks[0] could[0] be[0] dropped[0] from[0] the[0] beginning[0] and[0] the[0] movie[0] would[0] turn[0] out[0] exactly[0] the[0] same[0] if[0] not[0] better[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this central device is the fact that a nine-year-old boy is autistic . 	this central device is the fact that a nine-year-old boy is autistic .	1	-1	 this[0] central[0] device[0] is[0] the[0] fact[0] that[0] a[0] nine[0] year[0] old[0] boy[0] is[0] autistic[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
his name is simon , and an evil government bureaucrat named nicholas kudrow ( alec baldwin ) wants him dead because he unknowingly cracked a supersecret government code slipped into the back of a puzzle magazine by its programmers just to see if someone could beat it . 	his name is simon , and an evil government bureaucrat named nicholas kudrow ( alec baldwin ) wants him dead because he unknowingly cracked a supersecret government code slipped into the back of a puzle magazine by its programmers just to see if someone could beat it .	1	-3	 his[0] name[0] is[0] simon[0] and[0] an[0] evil[-2] government[0] bureaucrat[0] named[0] nicholas[0] kudrow[0] alec[0] baldwin[0] wants[0] him[0] dead[-2] because[0] he[0] unknowingly[0] cracked[0] a[0] supersecret[0] government[0] code[0] slipped[0] into[0] the[0] back[0] of[0] a[0] puzzle/puzle[0] magazine[0] by[0] its[0] programmers[0] just[0] to[0] see[0] if[0] someone[0] could[0] beat[0] it[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
simon is intended to be the heart and soul of the film , and we are supposed to feel for him because he is a poor handicapped child thrown into a violent , unfair world against his will , with only a renegade fbi agent played by bruce willis to protect him . 	simon is intended to be the heart and soul of the film , and we are supposed to feel for him because he is a poor handicapped child thrown into a violent , unfair world against his will , with only a renegade fbi agent played by bruce willis to protect him .	1	-3	 simon[0] is[0] intended[0] to[0] be[0] the[0] heart[0] and[0] soul[0] of[0] the[0] film[0] and[0] we[0] are[0] supposed[0] to[0] feel[0] for[0] him[0] because[0] he[0] is[0] a[0] poor[-1] handicapped[0] child[0] thrown[0] into[0] a[0] violent[-2] unfair[-1] world[0] against[-1] his[0] will[0] with[0] only[0] a[0] renegade[0] fbi[0] agent[0] played[0] by[0] bruce[0] willis[0] to[0] protect[0] him[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the fact that he is autistic does nothing for the emotional intensity or the plot necessities of " mercury rising . " 	the fact that he is autistic does nothing for the emotional intensity or the plot necessities of " mercury rising .<br> "	1	-2	 the[0] fact[0] that[0] he[0] is[0] autistic[0] does[0] nothing[0] for[0] the[0] emotional[-1] intensity[0] or[0] the[0] plot[0] necessities[0] of[0] mercury[0] rising[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i suppose the original novel upon which the movie was based did much more with this aspect of simon's character and his relationship with willis , but here it is lost . 	i suppose the original novel upon which the movie was based did much more with this aspect of simon's character and his relationship with willis , but here it is lost .	1	-1	 i[0] suppose[0] the[0] original[0] novel[0] upon[0] which[0] the[0] movie[0] was[0] based[0] did[0] much[0] more[0] with[0] this[0] aspect[0] of[0] simon's[0] character[0] and[0] his[0] relationship[0] with[0] willis[0] but[0] here[0] it[0] is[0] lost[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
miko hughes , the young actor who plays simon , goes through the prescribed motions of being autistic : he walks slowly , drawls his words , kicks and screams when he's touched , and has a hard time looking at other people . 	miko hughes , the young actor who plays simon , goes through the prescribed motions of being autistic : he walks slowly , drawls his words , kicks and screams when he's touched , and has a hard time looking at other people .	2	-4	 miko[0] hughes[0] the[0] young[0] actor[0] who[0] plays[1] simon[0] goes[0] through[0] the[0] prescribed[0] motions[0] of[0] being[0] autistic[0] he[0] walks[0] slowly[0] drawls[0] his[0] words[0] kicks[-1] and[0] screams[-3] when[0] he's[0] touched[0] and[0] has[0] a[0] hard[0] time[0] looking[0] at[0] other[0] people[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
it's a difficult role for an adult , much less a young child , to play , and unfortunately hughes never convinces us that he isn't playing like he's autistic . 	it's a difficult role for an adult , much less a young child , to play , and unfortunately hughes never convinces us that he isn't playing like he's autistic .	1	-2	 it's[0] a[0] difficult[-1] role[0] for[0] an[0] adult[0] much[0] less[0] a[0] young[0] child[0] to[0] play[0] and[0] unfortunately[-1] hughes[0] never[0] convinces[0] us[0] that[0] he[0] isn't[0] playing[1][NegatedDueToPreviousWord] like[1][NegatedDueToPreviousWord] he's[0] autistic[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
unlike dustin hoffman's performance in " rain man " or leonardo dicaprio's in " what's eating gilbert grape , " we are always painfully aware that hughes is acting . 	unlike dustin hoffman's performance in " rain man " or leonardo dicaprio's in " what's eating gilbert grape , " we are always painfully aware that hughes is acting .	1	-4	 unlike[0] dustin[0] hoffman's[0] performance[0] in[0] rain[0] man[0] or[0] leonardo[0] dicaprio's[0] in[0] what's[0] eating[0] gilbert[0] grape[0] we[0] are[0] always[0] painfully[-3] aware[0] that[0] hughes[0] is[0] acting[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
