synopsis : lifelong friends rafe ( affleck ) and danny ( hartnett ) join the us air force and are stationed at pearl harbor , hawaii . 	Translation	Positive	Negative	EmotionRationale
rafe goes to england to fight alongside british pilots and is seemingly killed in action . 	rafe goes to england to fight alongside british pilots and is seemingly killed in action .	1	-4	 rafe[0] goes[0] to[0] england[0] to[0] fight[-2] alongside[0] british[0] pilots[0] and[0] is[0] seemingly[0] killed[-3] in[0] action[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
danny falls in love with rafe's girlfriend , evelyn ( beckinsale ) , but rafe survives and returns to confront his former friend . 	danny falls in love with rafe's girlfriend , evelyn ( beckinsale ) , but rafe survives and returns to confront his former friend .	3	-3	 danny[0] falls[0] in[0] love[2] with[0] rafe's[0] girlfriend[0] evelyn[0] beckinsale[0] but[0] rafe[0] survives[0] and[0] returns[0] to[0] confront[-2] his[0] former[0] friend[1] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
meanwhile , the japanese sneak attack is imminent . . . 	meanwhile , the japanese sneak attack is imminent .<br> .<br> .	1	-3	 meanwhile[0] the[0] japanese[0] sneak[-1] attack[-2] is[0] imminent[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
review : " pearl harbor " is a perfect example of movies as product rather than as art . 	review : " pearl harbor " is a perfect example of movies as product rather than as art .	2	-1	 review[0] pearl[0] harbor[0] is[0] a[0] perfect[1] example[0] of[0] movies[0] as[0] product[0] rather[0] than[0] as[0] art[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it is little more than a crassly-calculated attempt to woo the masses , enticing them with big stars , big effects , and a big setting -- but no heart . 	it is little more than a crassly-calculated attempt to woo the masses , enticing them with big stars , big effects , and a big setting - but no heart .	1	-1	 it[0] is[0] little[0] more[0] than[0] a[0] crassly[0] calculated[0] attempt[0] to[0] woo[0] the[0] masses[0] enticing[0] them[0] with[0] big[0] stars[0] big[0] effects[0] and[0] a[0] big[0] setting[0] but[0] no[0] heart[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it is difficult to criticise the actors , because they do everything the movie demands of them . 	it is difficult to criticise the actors , because they do everything the movie demands of them .	1	-2	 it[0] is[0] difficult[-1] to[0] criticise[-1] the[0] actors[0] because[0] they[0] do[0] everything[0] the[0] movie[0] demands[0] of[0] them[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
sadly , this amounts to barely more than reciting dialogue of such sheer banality that it makes one eager to see the script randall wallace wrote with his right hand at the same time as he was writing " pearl harbor " with his left . 	sadly , this amounts to barely more than reciting dialogue of such sheer banality that it makes one eager to see the script randall wallace wrote with his right hand at the same time as he was writing " pearl harbor " with his left .	1	-2	 sadly[-1] this[0] amounts[0] to[0] barely[0] more[0] than[0] reciting[0] dialogue[0] of[0] such[0] sheer[0] banality[-1] that[0] it[0] makes[0] one[0] eager[0] to[0] see[0] the[0] script[0] randall[0] wallace[0] wrote[0] with[0] his[0] right[0] hand[0] at[0] the[0] same[0] time[0] as[0] he[0] was[0] writing[0] pearl[0] harbor[0] with[0] his[0] left[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the plot here is pure cliche , and the wartime setting simply a convenient backdrop . 	the plot here is pure cliche , and the wartime setting simply a convenient backdrop .	1	-1	 the[0] plot[0] here[0] is[0] pure[0] cliche[0] and[0] the[0] wartime[0] setting[0] simply[0] a[0] convenient[0] backdrop[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there is no genuine exploration of what pearl harbor meant to the united states , and no insight into its vital role in inciting that country to join world war ii . 	there is no genuine exploration of what pearl harbor meant to the united states , and no insight into its vital role in inciting that country to join world war i .	1	-3	 there[0] is[0] no[0] genuine[0] exploration[0] of[0] what[0] pearl[0] harbor[0] meant[0] to[0] the[0] united[0] states[0] and[0] no[0] insight[0] into[0] its[0] vital[0] role[0] in[0] inciting[0] that[0] country[0] to[0] join[0] world[0] war[-2] ii/i[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
instead , there is just an assembly-line love triangle , some empty patriotic rhetoric , and a laughable attempt to placate japanese viewers via the inclusion of some reticent imperial commanders ( when one intones , " i fear all we have done is to awaken a sleeping giant " , i nearly fell out of my seat ) . 	instead , there is just an assembly-line love triangle , some empty patriotic rhetoric , and a laughable attempt to placate japanese viewers via the inclusion of some reticent imperial commanders ( when one intones , " i fear all we have done is to awaken a sleeping giant " , i nearly fell out of my seat ) .	3	-4	 instead[0] there[0] is[0] just[0] an[0] assembly[0] line[0] love[2] triangle[0] some[0] empty[0] patriotic[0] rhetoric[0] and[0] a[0] laughable[-1] attempt[0] to[0] placate[0] japanese[0] viewers[0] via[0] the[0] inclusion[0] of[0] some[0] reticent[0] imperial[0] commanders[0] when[0] one[0] intones[0] i[0] fear[-3] all[0] we[0] have[0] done[0] is[0] to[0] awaken[0] a[0] sleeping[0] giant[0] i[0] nearly[0] fell[0] out[0] of[0] my[0] seat[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
