there's a good , and timely , story trapped deep within the excess of murder in the first , a new movie about the abuses of our prison system . 	Translation	Positive	Negative	EmotionRationale
with a country wrapped up in feverish debate over the crime issue and the rights of the accused and the incarcerated in jeopardy , this expose would offer something rare to recent american movies--a point of view . 	with a country wrapped up in feverish debate over the crime issue and the rights of the accused and the incarcerated in jeopardy , this expose would offer something rare to recent american movies-a point of view .	1	-2	 with[0] a[0] country[0] wrapped[0] up[0] in[0] feverish[-1] debate[0] over[0] the[0] crime[-1] issue[0] and[0] the[0] rights[0] of[0] the[0] accused[-1] and[0] the[0] incarcerated[0] in[0] jeopardy[-1] this[0] expose[-1] would[0] offer[0] something[0] rare[0] to[0] recent[0] american[0] movies[0] a[0] point[0] of[0] view[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but director marc rocco makes it clear from the beginning that pretentious , often nauseating , camera movements and slick , mtv- style lighting and editing are far more important . 	but director marc rocco makes it clear from the beginning that pretentious , often nauseating , camera movements and slick , mtv- style lighting and editing are far more important .	1	-2	 but[0] director[0] marc[0] rocco[0] makes[0] it[0] clear[0] from[0] the[0] beginning[0] that[0] pretentious[-1] often[0] nauseating[0] camera[0] movements[0] and[0] slick[0] mtv[0] style[0] lighting[0] and[0] editing[0] are[0] far[0] more[0] important[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
there's not a moment in the picture where he surrenders technique for pure storytelling . 	there's not a moment in the picture where he surrenders technique for pure storytelling .	1	-1	 there's[0] not[0] a[0] moment[0] in[0] the[0] picture[0] where[0] he[0] surrenders[0] technique[0] for[0] pure[0] storytelling[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and everything suffers . 	and everything suffers .	1	-4	 and[0] everything[0] suffers[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
christian slater and kevin bacon star as defense attorney and alcatraz inmate , respectively . 	christian slater and kevin bacon star as defense attorney and alcatraz inmate , respectively .	3	-1	 christian[0] slater[0] and[0] kevin[0] bacon[0] star[0] as[0] defense[0] attorney[0] and[0] alcatraz[0] inmate[0] respectively[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
after spending an unprecedented amount of time in an isolated cell for attempting to escape , bacon murders another prisoner and faces trial . 	after spending an unprecedented amount of time in an isolated cell for attempting to escape , bacon murders another prisoner and faces trial .	1	-4	 after[0] spending[0] an[0] unprecedented[0] amount[0] of[0] time[0] in[0] an[0] isolated[-1] cell[0] for[0] attempting[0] to[0] escape[0] bacon[0] murders[-3] another[0] prisoner[-1] and[0] faces[0] trial[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
his young lawyer ( slater ) is fresh out of law school but determined to " put alcatraz on trial " for the abuses of it warden ( gary oldman ) . 	his young lawyer ( slater ) is fresh out of law school but determined to " put alcatraz on trial " for the abuses of it warden ( gary oldman ) .	1	-4	 his[0] young[0] lawyer[0] slater[0] is[0] fresh[0] out[0] of[0] law[0] school[0] but[0] determined[0] to[0] put[0] alcatraz[0] on[0] trial[0] for[0] the[0] abuses[-3] of[0] it[0] warden[0] gary[0] oldman[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the result is the usual courtroom theatrics- imagine a stanley kramer production shot by hyperactive film school students . 	the result is the usual courtroom theatrics- imagine a stanley kramer production shot by hyperactive film school students .	1	-2	 the[0] result[0] is[0] the[0] usual[0] courtroom[0] theatrics[0] imagine[0] a[0] stanley[0] kramer[0] production[0] shot[-1] by[0] hyperactive[0] film[0] school[0] students[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
there's very little to praise here outside of kevin bacon's earnest overacting and the appropriate story . 	there's very little to praise here outside of kevin bacon's earnest overacting and the appropriate story .	3	-1	 there's[0] very[0] little[0] to[0] praise[2] here[0] outside[0] of[0] kevin[0] bacon's[0] earnest[0] overacting[0] and[0] the[0] appropriate[0] story[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
there's a lot of overacting from everyone--you know you're in trouble right away when r . lee ermey ( the drill sergeant in full metal jacket ) is cast as a judge , the center of reason and moderation . 	there's a lot of overacting from everyone-you know you're in trouble right away when are .<br> lee ermey ( the drill sergeant in full metal jacket ) is cast as a judge , the center of reason and moderation .	1	-2	 there's[0] a[0] lot[0] of[0] overacting[0] from[0] everyone[0] you[0] know[0] you're[0] in[0] trouble[-1] right[0] away[0] when[0] r[0] [[Sentence=-2,1=word max, 1-5]] lee[0] ermey[0] the[0] drill[0] sergeant[0] in[0] full[0] metal[0] jacket[0] is[0] cast[0] as[0] a[0] judge[0] the[0] center[0] of[0] reason[0] and[0] moderation[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
slater has never been convincing and certainly isn't here and oldman is on a bad streak of hammy performances . 	slater has never been convincing and certainly isn't here and oldman is on a bad streak of hammy performances .	1	-2	 slater[0] has[0] never[0] been[0] convincing[0] and[0] certainly[0] isn't[0] here[0] and[0] oldman[0] is[0] on[0] a[0] bad[-1] streak[0] of[0] hammy[0] performances[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but the worst feeling you get while watching murder in the first is that the man behind the camera could care less about telling a good story . 	but the worst feeling you get while watching murder in the first is that the man behind the camera could care less about telling a good story .	2	-4	 but[0] the[0] worst[-2] feeling[0] you[0] get[0] while[0] watching[0] murder[-3] in[0] the[0] first[0] is[0] that[0] the[0] man[0] behind[0] the[0] camera[0] could[0] care[1][-1 LastWordBoosterStrength] less[0] about[0] telling[0] a[0] good[1] story[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
there are long exchanges of dialogue where the camera is not even moving near the characters , let alone with them . 	there are long exchanges of dialogue where the camera is not even moving near the characters , let alone with them .	1	-1	 there[0] are[0] long[0] exchanges[0] of[0] dialogue[0] where[0] the[0] camera[0] is[0] not[0] even[0] moving[0] near[0] the[0] characters[0] let[0] alone[0] with[0] them[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
how frustrating it must be for actors to work under these conditions . 	how frustrating it must be for actors to work under these conditions .	1	-3	 how[0] frustrating[-2] it[0] must[0] be[0] for[0] actors[0] to[0] work[0] under[0] these[0] conditions[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
if there's anything that has alway distinguished american films over the rest of the world , it is our ability to tell a good story . 	if there's anything that has alway distinguished american films over the rest of the world , it is our ability to tell a good story .	2	-1	 if[0] there's[0] anything[0] that[0] has[0] alway[0] distinguished[0] american[0] films[0] over[0] the[0] rest[0] of[0] the[0] world[0] it[0] is[0] our[0] ability[0] to[0] tell[0] a[0] good[1] story[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
have we forgotten ? 	have we forgotten ?	1	-1	 have[0] we[0] forgotten[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
