synopsis : al simmons , top-notch assasin with a guilty conscience , dies in a fiery explosion and goes to hell . 	Translation	Positive	Negative	EmotionRationale
making a pact with malebolgia , a chief demon there , simmons returns to earth 5 years later reborn as spawn , a general in hell's army donning a necroplasmic costume replete with knives , chains , and a morphing cape . 	making a pact with malebolgia , a chief demon there , simmons returns to earth 5 years later reborn as spawn , a general in hell's army donning a necroplasmic costume replete with knives , chains , and a morphing cape .	1	-2	 making[0] a[0] pact[0] with[0] malebolgia[0] a[0] chief[0] demon[-1] there[0] simmons[0] returns[0] to[0] earth[0] 5[0] years[0] later[0] reborn[0] as[0] spawn[0] a[0] general[0] in[0] hell's[0] army[0] donning[0] a[0] necroplasmic[0] costume[0] replete[0] with[0] knives[0] chains[0] and[0] a[0] morphing[0] cape[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
sullen , wise cogliostro and flatulating , wisecracking violator vy for spawn's attention . 	sullen , wise cogliostro and flatulating , wisecracking violator vy for spawn's attention .	1	-4	 sullen[-1] wise[0] cogliostro[0] and[0] flatulating[0] wisecracking[0] violator[-3] vy[0] for[0] spawn's[0] attention[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
comments : when todd mcfarlane left marvel comics ( where he had made a name for himself as a first-rate comic book penciller on the " spider-man " titles ) to join the newly-formed , creator-owned image comics , a new comic book legend was born : spawn . 	comments : when todd mcfarlane left marvel comics ( where he had made a name for himself as a first-rate comic book penciller on the " spider-man " titles ) to join the newly-formed , creator-owned image comics , a new comic book legend was born : spawn .	1	-1	 comments[0] when[0] todd[0] mcfarlane[0] left[0] marvel[0] comics[0] where[0] he[0] had[0] made[0] a[0] name[0] for[0] himself[0] as[0] a[0] first[0] rate[0] comic[0] book[0] penciller[0] on[0] the[0] spider[0] man[0] titles[0] to[0] join[0] the[0] newly[0] formed[0] creator[0] owned[0] image[0] comics[0] a[0] new[0] comic[0] book[0] legend[0] was[0] born[0] spawn[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
mcfarlane's " spawn " immediately became a commercial and critical success and a defining comic book series of the 1990s . 	mcfarlane's " spawn " immediately became a commercial and critical success and a defining comic book series of the 1990s .	3	-2	 mcfarlane's[0] spawn[0] immediately[0] became[0] a[0] commercial[0] and[0] critical[-1] success[2] and[0] a[0] defining[0] comic[0] book[0] series[0] of[0] the[0] 1990s[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
mcfarlane created a hero who was not only original but visually intricate , allowing mcfarlane to utilize his knack for artistic detail to the max . 	mcfarlane created a hero who was not only original but visually intricate , allowing mcfarlane to utilize his knack for artistic detail to the max .	3	-1	 mcfarlane[0] created[0] a[0] hero[2] who[0] was[0] not[0] only[0] original[0] but[0] visually[0] intricate[0] allowing[0] mcfarlane[0] to[0] utilize[0] his[0] knack[0] for[0] artistic[0] detail[0] to[0] the[0] max[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the early " spawn " issues brilliantly capture mcfarlane's genius at illustration and show his early attempts at writing . 	the early " spawn " issues brilliantly capture mcfarlane's genius at illustration and show his early attempts at writing .	2	-2	 the[0] early[0] spawn[0] issues[0] brilliantly[1] capture[-1] mcfarlane's[0] genius[0] at[0] illustration[0] and[0] show[0] his[0] early[0] attempts[0] at[0] writing[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
with the popularity of " spawn " and the success of the current warner bros . 's batman film franchise , a movie version of some sort seemed inevitable for spawn . 	with the popularity of " spawn " and the success of the current warner bros .<br> 's batman film franchise , a movie version of some sort seemed inevitable for spawn .	3	-1	 with[0] the[0] popularity[1] of[0] spawn[0] and[0] the[0] success[2] of[0] the[0] current[0] warner[0] bros[0] [[Sentence=-1,3=word max, 1-5]] 's[0] batman[0] film[0] franchise[0] a[0] movie[0] version[0] of[0] some[0] sort[0] seemed[0] inevitable[0] for[0] spawn[0] [[Sentence=-1,1=word max, 1-5]][[[3,-1 max of sentences]]]
in the summer of 1997 , hence , new line cinema released spawn , a live-action film based on the groundbreaking series . 	in the summer of 1997 , hence , new line cinema released spawn , a live-action film based on the groundbreaking series .	1	-1	 in[0] the[0] summer[0] of[0] 1997[0] hence[0] new[0] line[0] cinema[0] released[0] spawn[0] a[0] live[0] action[0] film[0] based[0] on[0] the[0] groundbreaking[0] series[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this topheavy exercise in violence and special effects unfortunately topples quickly and leaves fans of the comic book , like me , numbed by how much spawn misses the mark . 	this topheavy exercise in violence and special effects unfortunately topples quickly and leaves fans of the comic book , like me , numbed by how much spawn misses the mark .	2	-4	 this[0] topheavy[0] exercise[0] in[0] violence[-3] and[0] special[1] effects[0] unfortunately[-1] topples[0] quickly[0] and[0] leaves[0] fans[0] of[0] the[0] comic[0] book[0] like[1] me[0] numbed[-1] by[0] how[0] much[0] spawn[0] misses[-2] the[0] mark[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
what happened ? 	what happened ?	1	-1	 what[0] happened[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
