i'm not sure if silvio horta wrote urban legend before or after the success of scream , but i'm guessing after just because it seems he may not have had time to write a second draft . 	Translation	Positive	Negative	EmotionRationale
seriously , this idea--a psycho bumping off people in the style of urban legends--is a great one and i wish it could have been pulled off . 	seriously , this idea-a psycho bumping off people in the style of urban legends-is a great one and i wish it could have been pulled off .	3	-1	 seriously[0] this[0] idea[0] a[0] psycho[0] bumping[0] off[0] people[0] in[0] the[0] style[0] of[0] urban[0] legends[0] is[0] a[0] great[2] one[0] and[0] i[0] wish[0] it[0] could[0] have[0] been[0] pulled[0] off[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the first sign of trouble comes with the painfully insipid dialogue . 	the first sign of trouble comes with the painfully insipid dialogue .	1	-4	 the[0] first[0] sign[0] of[0] trouble[-1] comes[0] with[0] the[0] painfully[-3] insipid[0] dialogue[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
an example : " that [car crash] must've been awful . . . for 	an example : " that [car crash] must've been awful .<br> .<br> .<br> for	1	-4	 an[0] example[0] that[0] [car[0] crash][0] must've[0] been[0] awful[-3] [[Sentence=-4,1=word max, 1-5]] for[0] [[Sentence=-1,1=word max, 1-5]][[[1,-4 max of sentences]]]
everyone involved . " 	everyone involved .<br> "	1	-1	 everyone[0] involved[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
you can tell that the writer intended that something a little more airy was supposed to have been said , just no one figured out what . 	you can tell that the writer intended that something a little more airy was supposed to have been said , just no one figured out what .	1	-1	 you[0] can[0] tell[0] that[0] the[0] writer[0] intended[0] that[0] something[0] a[0] little[0] more[0] airy[0] was[0] supposed[0] to[0] have[0] been[0] said[0] just[0] no[0] one[0] figured[0] out[0] what[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i know in slasher movies there isn't supposed to be a lot of great characterization and i myself don't mind cardboard cutouts , but please don't let the cutouts be so damn bland . 	i know in slasher movies there isn't supposed to be a lot of great characterization and i myself don't mind cardboard cutouts , but please don't let the cutouts be so damn bland .	3	-2	 i[0] know[0] in[0] slasher[-1] movies[0] there[0] isn't[0] supposed[0] to[0] be[0] a[0] lot[0] of[0] great[2] characterization[0] and[0] i[0] myself[0] don't[0] mind[0] cardboard[0] cutouts[0] but[0] please[1] don't[0] let[0] the[0] cutouts[0] be[0] so[0] damn[-1] bland[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
one reason movies like scream , star wars and diva have become so treasured is because they feature charismatic actors playing interesting characters . 	one reason movies like scream , star wars and diva have become so treasured is because they feature charismatic actors playing interesting characters .	2	-4	 one[0] reason[0] movies[0] like[1] scream[-3] star[0] wars[-2] and[0] diva[0] have[0] become[0] so[0] treasured[1] is[0] because[0] they[0] feature[0] charismatic[0] actors[0] playing[1] interesting[1] characters[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
aside from jared leto and joshua jackson ( who aren't on the screen long enough ) no one in urban legend makes the grade . 	aside from jared leto and joshua jackson ( who aren't on the screen long enough ) no one in urban legend makes the grade .	1	-1	 aside[0] from[0] jared[0] leto[0] and[0] joshua[0] jackson[0] who[0] aren't[0] on[0] the[0] screen[0] long[0] enough[0] no[0] one[0] in[0] urban[0] legend[0] makes[0] the[0] grade[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
alicia witt shows none of the acerbity or wit she displayed on cybill , rebecca gayheart actually looks unattractive ( not to mention as dumb as a post through 3/4 of the film ) and robert englund just cruises on auto pilot . 	alicia wit shows none of the acerbity or wit she displayed on cybill , rebecca gayheart actually looks unattractive ( not to mention as dumb as a post through 3/4 of the film ) and robert englund just cruises on auto pilot .	1	-3	 alicia[0] witt/wit[0] shows[0] none[0] of[0] the[0] acerbity[0] or[0] wit[0] she[0] displayed[0] on[0] cybill[0] rebecca[0] gayheart[0] actually[0] looks[0] unattractive[-2] not[0] to[0] mention[0] as[0] dumb[-1] as[0] a[0] post[0] through[0] 3/4[0] of[0] the[0] film[0] and[0] robert[0] englund[0] just[0] cruises[0] on[0] auto[0] pilot[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
good thing brad dourif is here , but wait . . . he's only in the movie for five minutes _and_ he's just redoing his good-natured stuttering character from one flew over the cuckoo's nest . 	good thing brad dourif is here , but wait .<br> .<br> .<br> he's only in the movie for five minutes _and_ he's just redoing his good-natured stuttering character from one flew over the cuckoo's nest .	2	-2	 good[1] thing[0] brad[0] dourif[0] is[0] here[0] but[0] wait[0] [[Sentence=-1,2=word max, 1-5]] he's[0] only[0] in[0] the[0] movie[0] for[0] five[0] minutes[0] _and_[0] he's[0] just[0] redoing[0] his[0] good[1] natured[0] stuttering[-1] character[0] from[0] one[0] flew[0] over[0] the[0] cuckoo's[0] nest[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
