okay , i just don't know why , but i seem to be getting this diversion to disney-made real-life actors movies . . . as 	Translation	Positive	Negative	EmotionRationale
well as real-life acting tim allen movies . 	well as real-life acting tim allen movies .	1	-1	 well[0] as[0] real[0] life[0] acting[0] tim[0] allen[0] movies[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i couldn't even make it through " the santa clause , " so why did i even see this ? 	i couldn't even make it through " the santa clause , " so why did i even see this ?	1	-1	 i[0] couldn't[0] even[0] make[0] it[0] through[0] the[0] santa[0] clause[0] so[0] why[0] did[0] i[0] even[0] see[0] this[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 ( just to make an idle point , i did like " toy story , " but that was good ) also , i have this aversion to bad french farces , and if they remake them into american films . 	 ( just to make an idle point , i did like " toy story , " but that was good ) also , i have this aversion to bad french farces , and if they remake them into american films .	2	-3	 just[0] to[0] make[0] an[0] idle[0] point[0] i[0] did[0] like[1][-1 LastWordBoosterStrength] toy[0] story[0] but[0] that[0] was[0] good[1] also[0] i[0] have[0] this[0] aversion[-2] to[0] bad[-1] french[0] farces[0] and[0] if[0] they[0] remake[0] them[0] into[0] american[0] films[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
well , this is my excuse : it was prom night , i'm not a prom person , my best friend and i impulsively went to the drive-ins where they were playing " grosse pointe blank " - wouldn't mind seeing it again - but i had to suffer through this first . 	well , this is my excuse : it was prom night , i'm not a prom person , my best friend and i impulsively went to the drive-ins where they were playing " grosse pointe blank " - wouldn't mind seeing it again - but i had to suffer through this first .	2	-4	 well[0] this[0] is[0] my[0] excuse[0] it[0] was[0] prom[0] night[0] i'm[0] not[0] a[0] prom[0] person[0] my[0] best[1] friend[1] and[0] i[0] impulsively[0] went[0] to[0] the[0] drive[0] ins[0] where[0] they[0] were[0] playing[1] grosse[-1] pointe[0] blank[0] wouldn't[0] mind[0] seeing[0] it[0] again[0] but[0] i[0] had[0] to[0] suffer[-3] through[0] this[0] first[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
i agreed to go . 	i agreed to go .	1	-1	 i[0] agreed[0] to[0] go[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
ugh . 	ugh .	1	-3	 ugh[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
in all fairness , i can say that at least this inane plot wasn't dreamed by an american . 	in all fairness , i can say that at least this inane plot wasn't dreamed by an american .	1	-2	 in[0] all[0] fairness[0] i[0] can[0] say[0] that[0] at[0] least[0] this[0] inane[-1] plot[0] wasn't[0] dreamed[0] by[0] an[0] american[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it was originally a french film released in america under the pseudonym of " little indian , big city " ( french title - " un indien dans la ville " ) . 	it was originally a french film released in america under the pseudonym of " little indian , big city " ( french title - " un indien dans la vile " ) .	1	-4	 it[0] was[0] originally[0] a[0] french[0] film[0] released[0] in[0] america[0] under[0] the[0] pseudonym[0] of[0] little[0] indian[0] big[0] city[0] french[0] title[0] un[0] indien[0] dans[0] la[0] ville/vile[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
i stayed away from it like it was limburgher , and according to roger ebert , that was a good idea . 	i stayed away from it like it was limburgher , and according to roger ebert , that was a good idea .	2	-1	 i[0] stayed[0] away[0] from[0] it[0] like[1] it[0] was[0] limburgher[0] and[0] according[0] to[0] roger[0] ebert[0] that[0] was[0] a[0] good[1] idea[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but i can only imagine how bad that must be if this is an improvement . 	but i can only imagine how bad that must be if this is an improvement .	2	-2	 but[0] i[0] can[0] only[0] imagine[0] how[0] bad[-1] that[0] must[0] be[0] if[0] this[0] is[0] an[0] improvement[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
