an 80-year old woman jumps enthusiastically on her couch , wearing tight-fitting leather , as she cheers on her favorite tv wrestler by calling his opponent a `pump-bitch' . 	Translation	Positive	Negative	EmotionRationale
two men messily eat fast food as their septic truck leaks raw sewage directly behind them . 	two men messily eat fast food as their septic truck leaks raw sewage directly behind them .	1	-1	 two[0] men[0] messily[0] eat[0] fast[0] food[0] as[0] their[0] septic[0] truck[0] leaks[0] raw[0] sewage[0] directly[0] behind[0] them[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and roughly 17 people are booted in the crotch . 	and roughly 17 people are booted in the crotch .	1	-2	 and[0] roughly[-1] 17[0] people[0] are[0] booted[0] in[0] the[0] crotch[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
welcome to  ready to rumble' . 	welcome to  ready to rumble' .	2	-1	 welcome[1] to[0] ready[0] to[0] rumble'[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
judging from the fact that potty-mouth adam sandler is the reigning box-office comedy champion , you realize -- albeit while shaking your head -- that yes , there is an audience for this sort of thing . 	judging from the fact that potty-mouth adam sandler is the reigning box-office comedy champion , you realize - albeit while shaking your head - that yes , there is an audience for this sort of thing .	1	-2	 judging[0] from[0] the[0] fact[0] that[0] potty[0] mouth[0] adam[0] sandler[0] is[0] the[0] reigning[0] box[0] office[0] comedy[0] champion[0] you[0] realize[0] albeit[0] while[0] shaking[-1] your[0] head[0] that[0] yes[0] there[0] is[0] an[0] audience[0] for[0] this[0] sort[0] of[0] thing[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
ladies and gentlemen , i weep for society . 	ladies and gentlemen , i weep for society .	1	-3	 ladies[0] and[0] gentlemen[0] i[0] weep[-2] for[0] society[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
mind you , when executed with style and comic ingenuity , jokes like an alarming bodily fluid mistaken for hair gel (  there's something about mary' ) and a laxative-induced attack of explosive diarrhea (  dumb and dumber' ) can be extremely funny . 	mind you , when executed with style and comic ingenuity , jokes like an alarming bodily fluid mistaken for hair gel (  there's something about mary' ) and a laxative-induced attack of explosive diarrhea (  dumb and dumber' ) can be extremely funny .	4	-3	 mind[0] you[0] when[0] executed[-1] with[0] style[0] and[0] comic[0] ingenuity[0] jokes[1] like[1] an[0] alarming[-2] bodily[0] fluid[0] mistaken[-1] for[0] hair[0] gel[0] there's[0] something[0] about[0] mary'[0] and[0] a[0] laxative[0] induced[0] attack[-2] of[0] explosive[-1] diarrhea[0] dumb[-1] and[0] dumber'[-1] can[0] be[0] extremely[0] funny[1][2 LastWordBoosterStrength] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
unfortunately ,  ready to rumble' is not being helmed by the farrelly brothers , nor is it bolstered by a script that accommodates the viewer with anything even remotely clever or inspired . 	unfortunately ,  ready to rumble' is not being helmed by the farrelly brothers , nor is it bolstered by a script that accommodates the viewer with anything even remotely clever or inspired .	3	-2	 unfortunately[-1] ready[0] to[0] rumble'[0] is[0] not[0] being[0] helmed[0] by[0] the[0] farrelly[0] brothers[0] nor[0] is[0] it[0] bolstered[0] by[0] a[0] script[0] that[0] accommodates[0] the[0] viewer[0] with[0] anything[0] even[0] remotely[0] clever[0] or[0] inspired[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
 ready to rumble' is built around the dedicated fan-base of professional wrestling . . . . 	 ready to rumble' is built around the dedicated fan-base of professional wrestling .<br> .<br> .<br> .	1	-1	 ready[0] to[0] rumble'[0] is[0] built[0] around[0] the[0] dedicated[0] fan[0] base[0] of[0] professional[0] wrestling[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
which , in fact , sounded like a fine concept for a goofball comedy . 	which , in fact , sounded like a fine concept for a goofball comedy .	3	-1	 which[0] in[0] fact[0] sounded[0] like[1] a[0] fine[2] concept[0] for[0] a[0] goofball[0] comedy[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
but director brian robbins and screenwriter steven brill handcuff themselves , and limited to a stampede of asinine , humdrum bathroom humor , basically the only thing they manage is to evoke memories of pauly shore and  bio dome' . 	but director brian robins and screenwriter steven brill handcuff themselves , and limited to a stampede of asinine , humdrum bathroom humor , basically the only thing they manage is to evoke memories of pauly shore and  bio dome' .	3	-2	 but[0] director[0] brian[0] robbins/robins[0] and[0] screenwriter[0] steven[0] brill[0] handcuff[0] themselves[0] and[0] limited[0] to[0] a[0] stampede[0] of[0] asinine[-1] humdrum[0] bathroom[0] humor[2] basically[0] the[0] only[0] thing[0] they[0] manage[0] is[0] to[0] evoke[0] memories[0] of[0] pauly[0] shore[0] and[0] bio[0] dome'[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
gordie boggs ( david arquette ) and sean dawkins ( scott caan ) take pride in being hardcore wcw wrestling fanatics . 	gordie bogs ( david arquette ) and sean dawkins ( scot can ) take pride in being hardcore wcw wrestling fanatics .	2	-2	 gordie[0] boggs/bogs[0] david[0] arquette[0] and[0] sean[0] dawkins[0] scott/scot[0] caan/can[0] take[0] pride[1] in[0] being[0] hardcore[0] wcw[0] wrestling[0] fanatics[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
by day , they transport raw sewage . 	by day , they transport raw sewage .	1	-1	 by[0] day[0] they[0] transport[0] raw[0] sewage[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
