jessica lange is one of the most inconsistent actresses working today . 	Translation	Positive	Negative	EmotionRationale
from time-to-time , she blows away audiences with powerful , intense performances . 	from time-to-time , she blows away audiences with powerful , intense performances .	1	-1	 from[0] time[0] to[0] time[0] she[0] blows[0] away[0] audiences[0] with[0] powerful[0] intense[0] performances[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
on the other hand , this is the same woman who made her jaw-droppingly awful feature debut in dino delaurentiis' king kong . 	on the other hand , this is the same woman who made her jaw-droppingly awful feature debut in dino delaurentis' king kong .	1	-4	 on[0] the[0] other[0] hand[0] this[0] is[0] the[0] same[0] woman[0] who[0] made[0] her[0] jaw[0] droppingly[0] awful[-3] feature[0] debut[0] in[0] dino[0] delaurentiis'/delaurentis'[0] king[0] kong[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
and , much as lange would probably prefer movie-goers to develop amnesia regarding that particular entry on her resume , every once in a while she does work that is reminiscent of it , if only in quality . 	and , much as lange would probably prefer movie-goers to develop amnesia regarding that particular entry on her resume , every once in a while she does work that is reminiscent of it , if only in quality .	1	-1	 and[0] much[0] as[0] lange[0] would[0] probably[0] prefer[0] movie[0] goers[0] to[0] develop[0] amnesia[0] regarding[0] that[0] particular[0] entry[0] on[0] her[0] resume[0] every[0] once[0] in[0] a[0] while[0] she[0] does[0] work[0] that[0] is[0] reminiscent[0] of[0] it[0] if[0] only[0] in[0] quality[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
hush is one such example . 	hush is one such example .	1	-1	 hush[0] is[0] one[0] such[0] example[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
lange is so bad here that she might have been fun to watch if the rest of the film wasn't such a prime example of motion picture tedium . 	lange is so bad here that she might have been fun to watch if the rest of the film wasn't such a prime example of motion picture tedium .	2	-2	 lange[0] is[0] so[0] bad[-1] here[0] that[0] she[0] might[0] have[0] been[0] fun[1] to[0] watch[0] if[0] the[0] rest[0] of[0] the[0] film[0] wasn't[0] such[0] a[0] prime[0] example[0] of[0] motion[0] picture[0] tedium[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the film opens , as many so-called " psychological thrillers " do , by posing as a light drama . 	the film opens , as many so-called " psychological thrillers " do , by posing as a light drama .	2	-1	 the[0] film[0] opens[0] as[0] many[0] so[0] called[0] psychological[0] thrillers[1] do[0] by[0] posing[0] as[0] a[0] light[0] drama[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
we are introduced to jackson ( johnathon schaech , last encounter in tom hanks' that thing you do ! ) and helen ( gwyneth paltrow ) , a picture perfect young couple who are very much in love . 	we are introduced to jackson ( johnathon schaech , last encounter in tom hanks' that thing you do !<br> ) and helen ( gwyneth paltrow ) , a picture perfect young couple who are very much in love .	3	-1	 we[0] are[0] introduced[0] to[0] jackson[0] johnathon[0] schaech[0] last[0] encounter[0] in[0] tom[0] hanks'[0] that[0] thing[0] you[0] do[0] [[Sentence=-1,1=word max, 1-5]] and[0] helen[0] gwyneth[0] paltrow[0] a[0] picture[0] perfect[1] young[0] couple[0] who[0] are[0] very[0] much[0] in[0] love[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
jackson is taking helen home for the holidays so she can meet his mother , martha ( lange ) . 	jackson is taking helen home for the holidays so she can meet his mother , martha ( lange ) .	1	-1	 jackson[0] is[0] taking[0] helen[0] home[0] for[0] the[0] holidays[0] so[0] she[0] can[0] meet[0] his[0] mother[0] martha[0] lange[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the moment i first saw martha , i started looking for fangs . 	the moment i first saw martha , i started looking for fangs .	1	-1	 the[0] moment[0] i[0] first[0] saw[0] martha[0] i[0] started[0] looking[0] for[0] fangs[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
soon , the wicked witch of the east is plotting a way for her son to get helen pregnant ( this involves poking a hole in a diaphragm ) . 	soon , the wicked witch of the east is plotting a way for her son to get helen pregnant ( this involves poking a hole in a diaphragm ) .	3	-1	 soon[0] the[0] wicked[2] witch[0] of[0] the[0] east[0] is[0] plotting[0] a[0] way[0] for[0] her[0] son[0] to[0] get[0] helen[0] pregnant[0] this[0] involves[0] poking[0] a[0] hole[0] in[0] a[0] diaphragm[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
