arriving in a barrage of hype , the blair witch project is one of the biggest box office success of the year . 	Translation	Positive	Negative	EmotionRationale
however , like the golden child , although blair witch has made a lot of money , it's not very good . 	however , like the golden child , although blair witch has made a lot of money , it's not very good .	2	-3	 however[0] like[1] the[0] golden[0] child[0] although[0] blair[0] witch[0] has[0] made[0] a[0] lot[0] of[0] money[0] it's[0] not[0] very[0] good[1][1 LastWordBoosterStrength][NegatedDueToPreviousWord] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
donahue , williams and leonard play themselves as three students who set out to make a documentary about the blair witch myth . 	donahue , williams and leonard play themselves as three students who set out to make a documentary about the blair witch myth .	1	-1	 donahue[0] williams[0] and[0] leonard[0] play[0] themselves[0] as[0] three[0] students[0] who[0] set[0] out[0] to[0] make[0] a[0] documentary[0] about[0] the[0] blair[0] witch[0] myth[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the film is made up of the camcorder footage they recorded , which means grainy footage and woozy camera angles . 	the film is made up of the camcorder footage they recorded , which means grainy footage and woozy camera angles .	1	-1	 the[0] film[0] is[0] made[0] up[0] of[0] the[0] camcorder[0] footage[0] they[0] recorded[0] which[0] means[0] grainy[0] footage[0] and[0] woozy[0] camera[0] angles[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
although events start of normal , they get weird pretty quickly , while the threesome argue more and more as the journey goes on . 	although events start of normal , they get weird pretty quickly , while the threesome argue more and more as the journey goes on .	3	-2	 although[0] events[0] start[0] of[0] normal[0] they[0] get[0] weird[-1] pretty[2] quickly[0] while[0] the[0] threesome[0] argue[-1] more[0] and[0] more[0] as[0] the[0] journey[0] goes[0] on[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
although an interesting premise , the blair witch project amounts to nothing more than a missed opportunity . 	although an interesting premise , the blair witch project amounts to nothing more than a missed opportunity .	2	-2	 although[0] an[0] interesting[1] premise[0] the[0] blair[0] witch[0] project[0] amounts[0] to[0] nothing[0] more[0] than[0] a[0] missed[-1] opportunity[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the biggest mistake the film makes is to let three mediocre actors the chance to improvise . 	the biggest mistake the film makes is to let three mediocre actors the chance to improvise .	1	-2	 the[0] biggest[0] mistake[-1] the[0] film[0] makes[0] is[0] to[0] let[0] three[0] mediocre[-1] actors[0] the[0] chance[0] to[0] improvise[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
most of the dialogue is ad-libbed , and still manages to sound like a poor b-movie . 	most of the dialogue is ad-libbed , and still manages to sound like a poor b-movie .	2	-2	 most[0] of[0] the[0] dialogue[0] is[0] ad[0] libbed[0] and[0] still[0] manages[0] to[0] sound[0] like[1] a[0] poor[-1] b[0] movie[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the 'script' eventually degenerates into shouting matches , with the f-word included a lot to sound like students . 	the 'script' eventually degenerates into shouting matches , with the f-word included a lot to sound like students .	2	-2	 the[0] 'script'[0] eventually[0] degenerates[-1] into[0] shouting[0] matches[0] with[0] the[0] f[0] word[0] included[0] a[0] lot[0] to[0] sound[0] like[1] students[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
there are breaks in these arguments where some creepy events occur , but then it's back to the shouting and swearing , which gets very tiresome very quickly . 	there are breaks in these arguments where some creepy events occur , but then it's back to the shouting and swearing , which gets very tiresome very quickly .	1	-3	 there[0] are[0] breaks[0] in[0] these[0] arguments[-1] where[0] some[0] creepy[0] events[0] occur[0] but[0] then[0] it's[0] back[0] to[0] the[0] shouting[0] and[0] swearing[0] which[0] gets[0] very[0] tiresome[-1][-1 LastWordBoosterStrength] very[0] quickly[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
if i wanted to see three people get lost in the woods , shout a lot and swear , i'd go on scout camp . 	if i wanted to see three people get lost in the woods , shout a lot and swear , i'd go on scout camp .	1	-2	 if[0] i[0] wanted[0] to[0] see[0] three[0] people[0] get[0] lost[0] in[0] the[0] woods[0] shout[0] a[0] lot[0] and[0] swear[-1] i'd[0] go[0] on[0] scout[0] camp[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but no , the audience is meant to get some entertainment factor out of this , but i'm not quite sure how . 	but no , the audience is meant to get some entertainment factor out of this , but i'm not quite sure how .	1	-1	 but[0] no[0] the[0] audience[0] is[0] meant[0] to[0] get[0] some[0] entertainment[0] factor[0] out[0] of[0] this[0] but[0] i'm[0] not[0] quite[0] sure[0] how[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the supernatural parts of the film are actually interesting , especially if close attention is paid to the story developing first twenty minutes . 	the supernatural parts of the film are actually interesting , especially if close attention is paid to the story developing first twenty minutes .	2	-1	 the[0] supernatural[0] parts[0] of[0] the[0] film[0] are[0] actually[0] interesting[1] especially[0] if[0] close[0] attention[0] is[0] paid[0] to[0] the[0] story[0] developing[0] first[0] twenty[0] minutes[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
with no music and no budget to work with , the film has to depend on natural , psychological scares , which are sometimes well delivered , sometimes not . 	with no music and no budget to work with , the film has to depend on natural , psychological scares , which are sometimes well delivered , sometimes not .	1	-4	 with[0] no[0] music[0] and[0] no[0] budget[0] to[0] work[0] with[0] the[0] film[0] has[0] to[0] depend[0] on[0] natural[0] psychological[0] scares[-3] which[0] are[0] sometimes[0] well[0] delivered[0] sometimes[0] not[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
i never really felt truly scared during any part of the film , although there is a small sense of fear underlying throughout the film . 	i never really felt truly scared during any part of the film , although there is a small sense of fear underlying throughout the film .	1	-4	 i[0] never[0] really[0] felt[0] truly[1][NegatedDueToPreviousWord] scared[-3] during[0] any[0] part[0] of[0] the[0] film[0] although[0] there[0] is[0] a[0] small[0] sense[0] of[0] fear[-3] underlying[0] throughout[0] the[0] film[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
however , because the actors are so irritating , the scares are lost when it eventually reverts back to heather saying 'what the f * ck is that ? ' 	however , because the actors are so irritating , the scares are lost when it eventually reverts back to heather saying 'what the f * ck is that ?<br> '	1	-4	 however[0] because[0] the[0] actors[0] are[0] so[0] irritating[-2] the[0] scares[-3] are[0] lost[0] when[0] it[0] eventually[0] reverts[-1] back[0] to[0] heather[0] saying[0] 'what[0] the[0] f[0] ck[0] is[0] that[0] [[Sentence=-4,1=word max, 1-5]] '[0] [[Sentence=-1,1=word max, 1-5]][[[1,-4 max of sentences]]]
a lot , and mike giggling like a loony . 	a lot , and mike giggling like a loony .	3	-1	 a[0] lot[0] and[0] mike[0] giggling[2] like[1] a[0] loony[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
