lengthy and lousy are two words to describe the boring drama the english patient . 	Translation	Positive	Negative	EmotionRationale
great acting , music and cinematography were nice , but too many dull sub-plots and characters made the film hard to follow . 	great acting , music and cinematography were nice , but too many dull sub-plots and characters made the film hard to follow .	3	-2	 great[2] acting[0] music[0] and[0] cinematography[0] were[0] nice[1] but[0] too[0] many[0] dull[-1] sub[0] plots[0] and[0] characters[0] made[0] the[0] film[0] hard[0] to[0] follow[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
ralph fiennes ( strange days , schindler's list ) gives a gripping performance as count laszlo almasy , a victim of amnesia and horrible burns after world war ii in italy . 	ralph fiennes ( strange days , schindler's list ) gives a gripping performance as count laszlo almasy , a victim of amnesia and horrible burns after world war i in italy .	1	-4	 ralph[0] fiennes[0] strange[0] days[0] schindler's[0] list[0] gives[0] a[0] gripping[0] performance[0] as[0] count[0] laszlo[0] almasy[0] a[0] victim[-2] of[0] amnesia[0] and[0] horrible[-3] burns[-1] after[0] world[0] war[-2] ii/i[0] in[0] italy[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the story revolves around his past , in flashback form , making it even more confusing . 	the story revolves around his past , in flashback form , making it even more confusing .	1	-2	 the[0] story[0] revolves[0] around[0] his[0] past[0] in[0] flashback[0] form[0] making[0] it[0] even[0] more[0] confusing[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
anyway , he is taken in by hana ( juliette binoche , the horseman on the roof ) , a boring war-torn nurse . 	anyway , he is taken in by hana ( juliette binoche , the horseman on the roof ) , a boring war-torn nurse .	1	-3	 anyway[0] he[0] is[0] taken[0] in[0] by[0] hana[0] juliette[0] binoche[0] the[0] horseman[0] on[0] the[0] roof[0] a[0] boring[-1] war[-2] torn[0] nurse[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
she was never really made into anything , until she met an indian towards the end , developing yet another sub-plot . 	she was never really made into anything , until she met an indian towards the end , developing yet another sub-plot .	1	-1	 she[0] was[0] never[0] really[0] made[0] into[0] anything[0] until[0] she[0] met[0] an[0] indian[0] towards[0] the[0] end[0] developing[0] yet[0] another[0] sub[0] plot[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
count almasy begins to remember what happened to him as it is explained by a stranger ( willem dafoe , basquiat ) . 	count almasy begins to remember what happened to him as it is explained by a stranger ( willem dafoe , basquiat ) .	1	-1	 count[0] almasy[0] begins[0] to[0] remember[0] what[0] happened[0] to[0] him[0] as[0] it[0] is[0] explained[0] by[0] a[0] stranger[0] willem[0] dafoe[0] basquiat[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
his love ( kirstin scott thomas , mission impossible ) was severely injured in a plane crash , and eventually died in a cave . 	his love ( kirstin scot thomas , mission impossible ) was severely injured in a plane crash , and eventually died in a cave .	3	-2	 his[0] love[2] kirstin[0] scott/scot[0] thomas[0] mission[0] impossible[0] was[0] severely[-1] injured[0] in[0] a[0] plane[0] crash[0] and[0] eventually[0] died[0] in[0] a[0] cave[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
he returned to find her dead and was heart-broken . 	he returned to find her dead and was heart-broken .	1	-3	 he[0] returned[0] to[0] find[0] her[0] dead[-2] and[0] was[0] heart[0] broken[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
so he flew her dead body somewhere , but was shot down from the ground . 	so he flew her dead body somewhere , but was shot down from the ground .	1	-3	 so[0] he[0] flew[0] her[0] dead[-2] body[0] somewhere[0] but[0] was[0] shot[-1] down[0] from[0] the[0] ground[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
don't get the wrong idea , it may sound good and the trailer may be tempting , but good is the last thing this film is . 	don't get the wrong idea , it may sound good and the trailer may be tempting , but good is the last thing this film is .	2	-2	 don't[0] get[0] the[0] wrong[-1] idea[0] it[0] may[0] sound[0] good[1] and[0] the[0] trailer[0] may[0] be[0] tempting[0] but[0] good[1] is[0] the[0] last[0] thing[0] this[0] film[0] is[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
maybe if it were an hour less , it may have been tolerable , but 2 hours and 40 minutes of talking is too much to handle . 	maybe if it were an hour less , it may have been tolerable , but 2 hours and 40 minutes of talking is too much to handle .	1	-1	 maybe[0] if[0] it[0] were[0] an[0] hour[0] less[0] it[0] may[0] have[0] been[0] tolerable[0] but[0] 2[0] hours[0] and[0] 40[0] minutes[0] of[0] talking[0] is[0] too[0] much[0] to[0] handle[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
