according to hitchcock and various other filmmakers , isolated motels , diners , gas stations and similar establishments in american southwest can be rather dangerous place for weary travellers . 	Translation	Positive	Negative	EmotionRationale
at the beginning of eye of the storm , 1991 german- american thriller directed by yuri zeltser , one of such places becomes deadly for their owners who get murdered during the stick up . 	at the beginning of eye of the storm , 1991 german- american thriller directed by yuri zeltser , one of such places becomes deadly for their owners who get murdered during the stick up .	2	-4	 at[0] the[0] beginning[0] of[0] eye[0] of[0] the[0] storm[-1] 1991[0] german[-1] american[0] thriller[1] directed[0] by[0] yuri[0] zeltser[0] one[0] of[0] such[0] places[0] becomes[0] deadly[-1] for[0] their[0] owners[0] who[0] get[0] murdered[-3] during[0] the[0] stick[0] up[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
ten years later their son steven ( played by bradley gregg ) , who was blinded during the incident , still runs motel together with his older brother ray ( played by craig sheffer ) . 	ten years later their son steven ( played by bradley gregg ) , who was blinded during the incident , still runs motel together with his older brother ray ( played by craig sheffer ) .	1	-2	 ten[0] years[0] later[0] their[0] son[0] steven[0] played[0] by[0] bradley[0] gregg[0] who[0] was[0] blinded[-1] during[0] the[0] incident[0] still[0] runs[0] motel[0] together[0] with[0] his[0] older[0] brother[0] ray[0] played[0] by[0] craig[0] sheffer[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
hardly anything happens there until alcoholic and abusive william gladstone ( played by dennis hopper ) gets stranded there with his attractive wife sandra ( played by lara flynn boyle ) . 	hardly anything happens there until alcoholic and abusive william gladstone ( played by dennis hopper ) gets stranded there with his attractive wife sandra ( played by lara flyn boyle ) .	2	-4	 hardly[0] anything[0] happens[0] there[0] until[0] alcoholic[0] and[0] abusive[-3] william[0] gladstone[0] played[0] by[0] dennis[0] hopper[0] gets[0] stranded[0] there[0] with[0] his[0] attractive[1] wife[0] sandra[0] played[0] by[0] lara[0] flynn/flyn[0] boyle[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
their unexpected presence creates the chain of the events that would end in bloodshed . 	their unexpected presence creates the chain of the events that would end in bloodshed .	1	-2	 their[0] unexpected[0] presence[0] creates[0] the[0] chain[0] of[0] the[0] events[0] that[0] would[0] end[0] in[0] bloodshed[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
yuri zeltser , author of this film , was obviously inspired by hitchcock's psycho , but he chose to add some new and potentially interesting elements to the original plot . 	yuri zeltser , author of this film , was obviously inspired by hitchcock's psycho , but he chose to add some new and potentially interesting elements to the original plot .	3	-1	 yuri[0] zeltser[0] author[0] of[0] this[0] film[0] was[0] obviously[0] inspired[2] by[0] hitchcock's[0] psycho[0] but[0] he[0] chose[0] to[0] add[0] some[0] new[0] and[0] potentially[0] interesting[1] elements[0] to[0] the[0] original[0] plot[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
instead of norman bates we have two brothers - one of them traumatised physically , another mentally . 	instead of norman bates we have two brothers - one of them traumatised physically , another mentally .	1	-4	 instead[0] of[0] norman[0] bates[0] we[0] have[0] two[0] brothers[0] one[0] of[0] them[0] traumatised[-3] physically[0] another[0] mentally[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
sexual tension between beautiful female patron and shy motel clerk is heightened with the presence of alcoholic husband . 	sexual tension between beautiful female patron and shy motel clerk is heightened with the presence of alcoholic husband .	3	-3	 sexual[0] tension[-2] between[0] beautiful[2] female[0] patron[0] and[0] shy[-2] motel[0] clerk[0] is[0] heightened[0] with[0] the[0] presence[0] of[0] alcoholic[0] husband[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
eye of the storm is impressive in visual sense , with photography by karl walter lindenlaub providing a lot of claustrophobic atmosphere . 	eye of the storm is impressive in visual sense , with photography by karl walter lindenlaub providing a lot of claustrophobic atmosphere .	2	-2	 eye[0] of[0] the[0] storm[-1] is[0] impressive[1] in[0] visual[0] sense[0] with[0] photography[0] by[0] karl[0] walter[0] lindenlaub[0] providing[0] a[0] lot[0] of[0] claustrophobic[0] atmosphere[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the acting is fine - hopper , gregg and boyle are comfortable with their roles , but sheffer at times overacts his psycho routine . 	the acting is fine - hopper , gregg and boyle are comfortable with their roles , but sheffer at times overacts his psycho routine .	3	-1	 the[0] acting[0] is[0] fine[2] hopper[0] gregg[0] and[0] boyle[0] are[0] comfortable[1] with[0] their[0] roles[0] but[0] sheffer[0] at[0] times[0] overacts[0] his[0] psycho[0] routine[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
unfortunately , eye of the storm , which was supposed to be intense psychological drama , deteriorates into cheap and predictable slasher flick during melodramatic finale . 	unfortunately , eye of the storm , which was supposed to be intense psychological drama , deteriorates into cheap and predictable slasher flick during melodramatic finale .	1	-2	 unfortunately[-1] eye[0] of[0] the[0] storm[-1] which[0] was[0] supposed[0] to[0] be[0] intense[0] psychological[0] drama[0] deteriorates[0] into[0] cheap[-1] and[0] predictable[0] slasher[-1] flick[0] during[0] melodramatic[-1] finale[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
