at times , you'd think edtv would be an entertaining film . 	Translation	Positive	Negative	EmotionRationale
i mean , who can resist the story of your average joe becomming a celebrity by having his life filmed every minute of every day ? 	i mean , who can resist the story of your average joe becoming a celebrity by having his life filmed every minute of every day ?	1	-1	 i[0] mean[0] who[0] can[0] resist[0] the[0] story[0] of[0] your[0] average[0] joe[0] becomming/becoming[0] a[0] celebrity[0] by[0] having[0] his[0] life[0] filmed[0] every[0] minute[0] of[0] every[0] day[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but this average joe , ed perkuny , ( matthew mcconaughay ) , is a sappy , lifeless creation that wanders around , trying to solve everyone's problems and settle his own . 	but this average joe , ed perkuny , ( matthew mcconaughay ) , is a sappy , lifeless creation that wanders around , trying to solve everyone's problems and settle his own .	1	-2	 but[0] this[0] average[0] joe[0] ed[0] perkuny[0] matthew[0] mcconaughay[0] is[0] a[0] sappy[0] lifeless[-1] creation[0] that[0] wanders[0] around[0] trying[0] to[0] solve[0] everyone's[0] problems[-1] and[0] settle[0] his[0] own[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
mcconaughay is awful , especially because he is trying to pull off his usual hollywood charm with a 3 week beard and torn jeans . 	mcconaughay is awful , especially because he is trying to pull off his usual hollywood charm with a 3 week beard and torn jeans .	2	-4	 mcconaughay[0] is[0] awful[-3] especially[0] because[0] he[0] is[0] trying[0] to[0] pull[0] off[0] his[0] usual[0] hollywood[0] charm[1] with[0] a[0] 3[0] week[0] beard[0] and[0] torn[0] jeans[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
frankly , he had more charm in the devestating flop the newton boys . 	frankly , he had more charm in the devestating flop the newton boys .	2	-1	 frankly[0] he[0] had[0] more[0] charm[1] in[0] the[0] devestating[0] flop[0] the[0] newton[0] boys[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
he overacts in every way : his overexaggerant body language , obsession with kissing women every second he gets the chance , and that cliched scene where he loses someone in his life , and drops to his knee and cries . 	he overacts in every way : his overexaggerant body language , obsession with kissing women every second he gets the chance , and that cliched scene where he loses someone in his life , and drops to his knee and cries .	3	-3	 he[0] overacts[0] in[0] every[0] way[0] his[0] overexaggerant[0] body[0] language[0] obsession[-2] with[0] kissing[2] women[0] every[0] second[0] he[0] gets[0] the[0] chance[0] and[0] that[0] cliched[0] scene[0] where[0] he[0] loses[-1] someone[0] in[0] his[0] life[0] and[0] drops[0] to[0] his[0] knee[0] and[0] cries[-2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
the rest of the cast is very good ; especially martin landau ( as ed's step-father ) , who plays a cute role as the close-to-death old guy that makes all the witty comments . 	the rest of the cast is very good ; especially martin landau ( as ed's step-father ) , who plays a cute role as the close-to-death old guy that makes all the witty comments .	3	-3	 the[0] rest[0] of[0] the[0] cast[0] is[0] very[0] good[1][1 LastWordBoosterStrength] especially[0] martin[0] landau[0] as[0] ed's[0] step[0] father[0] who[0] plays[1] a[0] cute[1] role[0] as[0] the[0] close[0] to[0] death[-2] old[0] guy[0] that[0] makes[0] all[0] the[0] witty[0] comments[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
jenna elfman is good , ( but a little overemotional ) ; her main problem is that she keeps getting sucked into bad films , i . e . 	jenna elfman is good , ( but a little overemotional ) ; her main problem is that she keeps getting sucked into bad films , i .<br> e .	2	-2	 jenna[0] elfman[0] is[0] good[1] but[0] a[0] little[0] overemotional[0] her[0] main[0] problem[-1] is[0] that[0] she[0] keeps[0] getting[0] sucked[-1] into[0] bad[-1] films[0] i[0] [[Sentence=-2,2=word max, 1-5]] e[0] [[Sentence=-1,1=word max, 1-5]][[[2,-2 max of sentences]]]
can't hardly wait , and krippendorf's tribe . 	can't hardly wait , and krippendorf's tribe .	1	-1	 can't[0] hardly[0] wait[0] and[0] krippendorf's[0] tribe[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
woody harrelson , as ed's brother ray , does his usual egg-headed role , with his comic wit as well ( he wrote a book entitled , " my brother pissed on me . " ) 	woody harrelson , as ed's brother ray , does his usual egg-headed role , with his comic wit as well ( he wrote a book entitled , " my brother pissed on me .<br> " )	1	-3	 woody[0] harrelson[0] as[0] ed's[0] brother[0] ray[0] does[0] his[0] usual[0] egg[0] headed[0] role[0] with[0] his[0] comic[0] wit[0] as[0] well[0] he[0] wrote[0] a[0] book[0] entitled[0] my[0] brother[0] pissed[-2] on[0] me[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
elizabeth hurley is perfectly cast as the easy slut , and dennis hopper , in a quick cameo as ed's biological father , is a nice choice ( ironically coming after the role he turned down as christof in the truman show ) . 	elizabeth hurley is perfectly cast as the easy slut , and dennis hopper , in a quick cameo as ed's biological father , is a nice choice ( ironically coming after the role he turned down as christof in the truman show ) .	2	-3	 elizabeth[0] hurley[0] is[0] perfectly[1] cast[0] as[0] the[0] easy[0] slut[-2] and[0] dennis[0] hopper[0] in[0] a[0] quick[0] cameo[0] as[0] ed's[0] biological[0] father[0] is[0] a[0] nice[1] choice[0] ironically[-1] coming[0] after[0] the[0] role[0] he[0] turned[0] down[0] as[0] christof[0] in[0] the[0] truman[0] show[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
