funny how your expectations can be defeated , and not in good ways . 	Translation	Positive	Negative	EmotionRationale
the ghost and the darkness promised ( at least , it seemed to me to promise ) a hemingwayesque showdown between men and nature . 	the ghost and the darkness promised ( at least , it seemed to me to promise ) a hemingwayesque showdown between men and nature .	2	-1	 the[0] ghost[0] and[0] the[0] darkness[0] promised[1] at[0] least[0] it[0] seemed[0] to[0] me[0] to[0] promise[1] a[0] hemingwayesque[0] showdown[0] between[0] men[0] and[0] nature[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
what it delivered was mystery science theater 3000-level material -- an inadvertently hilarious story that made me scream advice at the characters . 	what it delivered was mystery science theater 300-level material - an inadvertently hilarious story that made me scream advice at the characters .	3	-4	 what[0] it[0] delivered[0] was[0] mystery[0] science[0] theater[0] 3000/300[0] level[0] material[0] an[0] inadvertently[0] hilarious[2] story[0] that[0] made[0] me[0] scream[-3] advice[0] at[0] the[0] characters[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
 " get new jobs ! " 	 " get new jobs !<br> "	1	-1	 get[0] new[0] jobs[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
was one line , if i remember correctly . 	was one line , if i remember correctly .	1	-1	 was[0] one[0] line[0] if[0] i[0] remember[0] correctly[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
at the end of the 19th century , col . patterson ( val kilmer , whose irish accent comes and goes like an african zephyr ) is an engineer who has been hired to build a british railway bridge across the tsavo river in uganda . 	at the end of the 19th century , col .<br> patterson ( val kilmer , whose irish accent comes and goes like an african zephyr ) is an engineer who has been hired to build a british railway bridge across the tsavo river in uganda .	2	-1	 at[0] the[0] end[0] of[0] the[0] 19th[0] century[0] col[0] [[Sentence=-1,1=word max, 1-5]] patterson[0] val[0] kilmer[0] whose[0] irish[0] accent[0] comes[0] and[0] goes[0] like[1] an[0] african[0] zephyr[0] is[0] an[0] engineer[0] who[0] has[0] been[0] hired[0] to[0] build[0] a[0] british[0] railway[0] bridge[0] across[0] the[0] tsavo[0] river[0] in[0] uganda[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
he is having immensely stereotypical problems : the natives are restless , his boss is a jerk , and now two man-eating lions are stalking the work camp and killing people off . 	he is having immensely stereotypical problems : the natives are restless , his boss is a jerk , and now two man-eating lions are stalking the work camp and killing people off .	1	-3	 he[0] is[0] having[0] immensely[0] stereotypical[0] problems[-1] the[0] natives[0] are[0] restless[-1] his[0] boss[0] is[0] a[0] jerk[-2] and[0] now[0] two[0] man[0] eating[0] lions[0] are[0] stalking[0] the[0] work[0] camp[0] and[0] killing[-1] people[0] off[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
patterson tries to handle the situation himself , incompetently , and then turns to charles remington ( michael douglas ) , a hunter of world reknown ( or something like that ) . 	patterson tries to handle the situation himself , incompetently , and then turns to charles remington ( michael douglas ) , a hunter of world reknown ( or something like that ) .	2	-3	 patterson[0] tries[0] to[0] handle[0] the[0] situation[0] himself[0] incompetently[-2] and[0] then[0] turns[0] to[0] charles[0] remington[0] michael[0] douglas[0] a[0] hunter[-1] of[0] world[0] reknown[0] or[0] something[0] like[1] that[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the movie stacks the deck so heavily in favor of the lions , they should have gotten top billing and co-starred with siegfried and roy . 	the movie stacks the deck so heavily in favor of the lions , they should have gotten top billing and co-starred with siegfried and roy .	2	-1	 the[0] movie[0] stacks[0] the[0] deck[0] so[0] heavily[0] in[0] favor[1] of[0] the[0] lions[0] they[0] should[0] have[0] gotten[0] top[0] billing[0] and[0] co[0] starred[0] with[0] siegfried[0] and[0] roy[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
they are nigh-invulnerable , as one comic book put it , and this is of course just the excuse the movie needs to have one native after another stepping forth to solmenly recite lines about the power of nature . 	they are nigh-invulnerable , as one comic book put it , and this is of course just the excuse the movie needs to have one native after another stepping forth to solmenly recite lines about the power of nature .	1	-1	 they[0] are[0] nigh[0] invulnerable[0] as[0] one[0] comic[0] book[0] put[0] it[0] and[0] this[0] is[0] of[0] course[0] just[0] the[0] excuse[0] the[0] movie[0] needs[0] to[0] have[0] one[0] native[0] after[0] another[0] stepping[0] forth[0] to[0] solmenly[0] recite[0] lines[0] about[0] the[0] power[0] of[0] nature[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
give me a break . 	give me a break .	1	-1	 give[0] me[0] a[0] break[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
