there are movies that pose a question in its first five minutes and spend the rest of the time trying to answer it . 	Translation	Positive	Negative	EmotionRationale
then there are movies that spend the whole time posing questions and try to answer it all in the last five minutes . 	then there are movies that spend the whole time posing questions and try to answer it all in the last five minutes .	1	-1	 then[0] there[0] are[0] movies[0] that[0] spend[0] the[0] whole[0] time[0] posing[0] questions[0] and[0] try[0] to[0] answer[0] it[0] all[0] in[0] the[0] last[0] five[0] minutes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
writer-director john herzfeld's two days in the valley falls into the latter category . 	writer-director john herzfeld's two days in the valley falls into the latter category .	1	-1	 writer[0] director[0] john[0] herzfeld's[0] two[0] days[0] in[0] the[0] valley[0] falls[0] into[0] the[0] latter[0] category[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
weaving together a grabbag of seemingly unrelated characters , herzfeld's tries very hard to keep the audience guessing with a altmanesque series of parallel stories . 	weaving together a grabbag of seemingly unrelated characters , herzfeld's tries very hard to keep the audience guessing with a altmanesque series of parallel stories .	1	-2	 weaving[0] together[0] a[0] grabbag[-1] of[0] seemingly[0] unrelated[0] characters[0] herzfeld's[0] tries[0] very[0] hard[0] to[0] keep[0] the[0] audience[0] guessing[0] with[0] a[0] altmanesque[0] series[0] of[0] parallel[0] stories[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
hitmen lee ( james spader ) and his partner dosmo ( danny aiello ) pop a guy in bed while leaving his drugged wife becky fox ( teri hatcher ) lying next to him showing the audience where on her behind she got nicely pricked . 	hitmen lee ( james spader ) and his partner dosmo ( danny aiello ) pop a guy in bed while leaving his drugged wife becky fox ( teri hatcher ) lying next to him showing the audience where on her behind she got nicely pricked .	2	-4	 hitmen[0] lee[0] james[0] spader[0] and[0] his[0] partner[0] dosmo[0] danny[0] aiello[0] pop[0] a[0] guy[0] in[0] bed[0] while[0] leaving[0] his[0] drugged[0] wife[0] becky[0] fox[0] teri[0] hatcher[0] lying[-3] next[0] to[0] him[0] showing[0] the[0] audience[0] where[0] on[0] her[0] behind[0] she[0] got[0] nicely[1] pricked[-2] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
an understandeably shocked becky runs out of the house the next morning before hailing down a couple of vice cops , ( jeff daniels ) and wes ( eric stoltz ) . 	an understandeably shocked becky runs out of the house the next morning before hailing down a couple of vice cops , ( jeff daniels ) and wes ( eric stoltz ) .	1	-3	 an[0] understandeably[0] shocked[-2] becky[0] runs[0] out[0] of[0] the[0] house[0] the[0] next[0] morning[0] before[0] hailing[0] down[0] a[0] couple[0] of[0] vice[-1] cops[0] jeff[0] daniels[0] and[0] wes[0] eric[0] stoltz[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
a murder is not vice territory , flirting with asian prostitues is , but wes would rather play inquisitive detective . 	a murder is not vice territory , flirting with asian prostitues is , but wes would rather play inquisitive detective .	2	-4	 a[0] murder[-3] is[0] not[0] vice[-1][NegatedDueToPreviousWord] territory[0] flirting[1] with[0] asian[0] prostitues[0] is[0] but[0] wes[0] would[0] rather[0] play[0] inquisitive[0] detective[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
meanwhile , washed-up director , teddy ( paul mazursky ) is about to end his life . 	meanwhile , washed-up director , teddy ( paul mazursky ) is about to end his life .	1	-1	 meanwhile[0] washed[0] up[0] director[0] teddy[0] paul[0] mazursky[0] is[0] about[0] to[0] end[0] his[0] life[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but before he can do that , he must find a good home for his dog . 	but before he can do that , he must find a good home for his dog .	2	-1	 but[0] before[0] he[0] can[0] do[0] that[0] he[0] must[0] find[0] a[0] good[1] home[0] for[0] his[0] dog[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
enter nurse audrey ( marsha mason ) , who takes the dog and teddy for a ride . 	enter nurse audrey ( marsha mason ) , who takes the dog and teddy for a ride .	1	-1	 enter[0] nurse[0] audrey[0] marsha[0] mason[0] who[0] takes[0] the[0] dog[0] and[0] teddy[0] for[0] a[0] ride[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
stuffy art dealer , allan hopper ( greg cruttwell ) has kidney stones . 	stuffy art dealer , allan hopper ( greg cruttwell ) has kidney stones .	1	-2	 stuffy[-1] art[0] dealer[0] allan[0] hopper[0] greg[0] cruttwell[0] has[0] kidney[0] stones[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
while struggling about his fancy house , he switches between moaning in self-pity and dropping condescending hints about his loyal secretary's ( glenne headly ) plain appearance . 	while struggling about his fancy house , he switches between moaning in self-pity and dropping condescending hints about his loyal secretary's ( glenne headly ) plain appearance .	2	-3	 while[0] struggling[-1] about[0] his[0] fancy[0] house[0] he[0] switches[0] between[0] moaning[0] in[0] self[0] pity[-1] and[0] dropping[0] condescending[-2] hints[0] about[0] his[0] loyal[1] secretary's[0] glenne[0] headly[0] plain[0] appearance[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
don't be surprised if you find yourself asking more than once just what the hell is going on . 	don't be surprised if you find yourself asking more than once just what the hell is going on .	1	-2	 don't[0] be[0] surprised[0] if[0] you[0] find[0] yourself[0] asking[0] more[0] than[0] once[0] just[0] what[0] the[0] hell[-1] is[0] going[0] on[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
you might like that feeling of cluelessness . 	you might like that feeling of cluelessness .	1	-1	 you[0] might[0] like[1][-1 LastWordBoosterStrength] that[0] feeling[0] of[0] cluelessness[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
herzfeld does answer all the questions in the course of time and pieces it all rather neatly in the last five minutes . 	herzfeld does answer all the questions in the course of time and pieces it all rather neatly in the last five minutes .	1	-1	 herzfeld[0] does[0] answer[0] all[0] the[0] questions[0] in[0] the[0] course[0] of[0] time[0] and[0] pieces[0] it[0] all[0] rather[0] neatly[0] in[0] the[0] last[0] five[0] minutes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the jigsaw puzzle assembled isn't stunning by any means though . 	the jigsaw puzle assembled isn't stunning by any means though .	1	-1	 the[0] jigsaw[0] puzzle/puzle[0] assembled[0] isn't[0] stunning[0] by[0] any[0] means[0] though[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the characters lack the stature or moral complexity of altman's real-life heroes in short cuts , even though they are interesting and funny . 	the characters lack the stature or moral complexity of altman's real-life heroes in short cuts , even though they are interesting and funny .	3	-2	 the[0] characters[0] lack[-1] the[0] stature[0] or[0] moral[0] complexity[0] of[0] altman's[0] real[0] life[0] heroes[2] in[0] short[0] cuts[0] even[0] though[0] they[0] are[0] interesting[1] and[0] funny[1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
funny , that is if you aren't comparing them to the likes of tarantino's pulp chcaracters . 	funny , that is if you aren't comparing them to the likes of tarantino's pulp chcaracters .	3	-1	 funny[1] that[0] is[0] if[0] you[0] aren't[0] comparing[0] them[0] to[0] the[0] likes[2] of[0] tarantino's[0] pulp[0] chcaracters[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the tie-up is tidy but nowhere near the squeaky clean resolution of ( director's name ? 	the tie-up is tidy but nowhere near the squeaky clean resolution of ( director's name ?	1	-1	 the[0] tie[0] up[0] is[0] tidy[0] but[0] nowhere[0] near[0] the[0] squeaky[0] clean[0] resolution[0] of[0] director's[0] name[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
guy who also did last seduction ) red rock west . 	guy who also did last seduction ) red rock west .	2	-1	 guy[0] who[0] also[0] did[0] last[0] seduction[0] red[0] rock[1] west[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
two days isn't a bad movie but there isn't much else to it than the screenplay novelty of the linkage of seemingly unrelated characters . 	two days isn't a bad movie but there isn't much else to it than the screenplay novelty of the linkage of seemingly unrelated characters .	2	-1	 two[0] days[0] isn't[0] a[0] bad[-1][NegatedDueToPreviousWord] movie[0] but[0] there[0] isn't[0] much[0] else[0] to[0] it[0] than[0] the[0] screenplay[0] novelty[0] of[0] the[0] linkage[0] of[0] seemingly[0] unrelated[0] characters[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it'll keep you guessing alright but you won't remember the answers five minutes after the credits . 	it'll keep you guessing alright but you won't remember the answers five minutes after the credits .	1	-1	 it'll[0] keep[0] you[0] guessing[0] alright[0] but[0] you[0] won't[0] remember[0] the[0] answers[0] five[0] minutes[0] after[0] the[0] credits[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the flying inkpot rating system : * wait for the tv2 broadcast . 	the flying inkpot rating system : * wait for the tv2 broadcast .	1	-1	 the[0] flying[0] inkpot[0] rating[0] system[0] wait[0] for[0] the[0] tv2[0] broadcast[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 * * a little creaky , but still better than staying at home with gotcha ! 	 * * a little creaky , but still better than staying at home with gotcha !	1	-1	 a[0] little[0] creaky[0] but[0] still[0] better[0] than[0] staying[0] at[0] home[0] with[0] gotcha[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 * * * pretty good , bring a friend . 	 * * * pretty good , bring a friend .	3	-1	 pretty[2] good[1] bring[0] a[0] friend[1] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
 * * * * amazing , potent stuff . 	 * * * * amazing , potent stuff .	3	-1	 amazing[2] potent[0] stuff[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
 * * * * * perfection . 	 * * * * * perfection .	2	-1	 perfection[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
see it twice . 	see it twice .	1	-1	 see[0] it[0] twice[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
