it's a sad state of affairs when the back box blurb is more exciting than the movie contained within it . 	Translation	Positive	Negative	EmotionRationale
such is the case for the 1990 paul mayersberg film _the last samurai_ . 	such is the case for the 1990 paul mayersberg film _the last samurai_ .	1	-1	 such[0] is[0] the[0] case[0] for[0] the[0] 1990[0] paul[0] mayersberg[0] film[0] _the[0] last[0] samurai_[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
though the blurb alludes to " a jungle filled with political intrigue , uneasy alliances , and murderous enemies at every turn , " the story of the movie is actually quite simple ( and prosaic ) : a middle-aged japanese businessman named endo ( played by john fujioka ) and his assistant , both of whom have samurai aspirations , travel to africa in search of his ancestor , who went to bring buddhism to africa . 	though the blurb alludes to " a jungle filled with political intrigue , uneasy alliances , and murderous enemies at every turn , " the story of the movie is actually quite simple ( and prosaic ) : a middle-aged japanese businessman named endo ( played by john fujioka ) and his assistant , both of whom have samurai aspirations , travel to africa in search of his ancestor , who went to bring buddhism to africa .	1	-4	 though[0] the[0] blurb[-1] alludes[0] to[0] a[0] jungle[0] filled[0] with[0] political[0] intrigue[0] uneasy[-1] alliances[0] and[0] murderous[-3] enemies[-1] at[0] every[0] turn[0] the[0] story[0] of[0] the[0] movie[0] is[0] actually[0] quite[0] simple[0] and[0] prosaic[0] a[0] middle[0] aged[0] japanese[0] businessman[0] named[0] endo[0] played[0] by[0] john[0] fujioka[0] and[0] his[0] assistant[0] both[0] of[0] whom[0] have[0] samurai[0] aspirations[0] travel[0] to[0] africa[0] in[0] search[0] of[0] his[0] ancestor[0] who[0] went[0] to[0] bring[0] buddhism[0] to[0] africa[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
he hires the services of down-at-the-heels vietnam veteran pilot johnny congo ( the redoubtable lance henriksen ) and his girlfriend ( arabella holzbog ) , and travels to the camp of an arms-merchant-cum-safari-host- cum-islamic-missionary ( john saxon ) and his wife ( lisa eilbacher ) . 	he hires the services of down-at-the-heels vietnam veteran pilot johnny congo ( the redoubtable lance henriksen ) and his girlfriend ( arabella holzbog ) , and travels to the camp of an arms-merchant-cum-safari-host- cum-islamic-missionary ( john saxon ) and his wife ( lisa eilbacher ) .	1	-1	 he[0] hires[0] the[0] services[0] of[0] down[0] at[0] the[0] heels[0] vietnam[0] veteran[0] pilot[0] johnny[0] congo[0] the[0] redoubtable[0] lance[0] henriksen[0] and[0] his[0] girlfriend[0] arabella[0] holzbog[0] and[0] travels[0] to[0] the[0] camp[0] of[0] an[0] arms[0] merchant[0] cum[0] safari[0] host[0] cum[0] islamic[0] missionary[0] john[0] saxon[0] and[0] his[0] wife[0] lisa[0] eilbacher[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they are all kidnapped by an african revolutionary guerilla with witch-doctor aspirations to conceal a pre-arranged arms deal , which subsequently falls through . 	they are all kidnapped by an african revolutionary guerilla with witch-doctor aspirations to conceal a pre-arranged arms deal , which subsequently falls through .	1	-2	 they[0] are[0] all[0] kidnapped[0] by[0] an[0] african[0] revolutionary[-1] guerilla[0] with[0] witch[0] doctor[0] aspirations[0] to[0] conceal[-1] a[0] pre[0] arranged[0] arms[0] deal[0] which[0] subsequently[0] falls[0] through[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
congo escapes , finds endo's ancestor's sword , and comes back , guns blazing , to free the rest of them , and endo kills the revolutionary with the sword . 	congo escapes , finds endo's ancestor's sword , and comes back , guns blazing , to free the rest of them , and endo kills the revolutionary with the sword .	1	-2	 congo[0] escapes[0] finds[0] endo's[0] ancestor's[0] sword[0] and[0] comes[0] back[0] guns[-1] blazing[0] to[0] free[0] the[0] rest[0] of[0] them[0] and[0] endo[0] kills[0] the[0] revolutionary[-1] with[0] the[0] sword[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the end . 	the end .	1	-1	 the[0] end[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
_the last samurai_ is one of those movies that is neither bad enough nor good enough to be enjoyable . 	_the last samurai_ is one of those movies that is neither bad enough nor good enough to be enjoyable .	3	-2	 _the[0] last[0] samurai_[0] is[0] one[0] of[0] those[0] movies[0] that[0] is[0] neither[0] bad[-1] enough[0] nor[0] good[1] enough[0] to[0] be[0] enjoyable[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
it is merely _there_ . 	it is merely _there_ .	1	-1	 it[0] is[0] merely[0] _there_[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the murky plot is filled with subtexts that are never elaborated , subplots that are never explained , and many scenes that make very little sense at all . 	the murky plot is filled with subtexts that are never elaborated , subplots that are never explained , and many scenes that make very little sense at all .	1	-2	 the[0] murky[-1] plot[0] is[0] filled[0] with[0] subtexts[0] that[0] are[0] never[0] elaborated[0] subplots[0] that[0] are[0] never[0] explained[0] and[0] many[0] scenes[0] that[0] make[0] very[0] little[0] sense[0] at[0] all[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the film is shot through with all the tired old " inscrutable japanese samurai " and zen stereotypes that are to be expected from an american movie . 	the film is shot through with all the tired old " inscrutable japanese samurai " and zen stereotypes that are to be expected from an american movie .	1	-2	 the[0] film[0] is[0] shot[-1] through[0] with[0] all[0] the[0] tired[-1] old[0] inscrutable[0] japanese[0] samurai[0] and[0] zen[0] stereotypes[0] that[0] are[0] to[0] be[0] expected[0] from[0] an[0] american[0] movie[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
