before the remake of psycho appears , we've got to suffer through this remake of an earlier hitchcock film , dial m for murder . 	Translation	Positive	Negative	EmotionRationale
as usual , hollywood has filled it with glitz and big name stars , and it all amounts to a loud sounding nothing . 	as usual , hollywood has filled it with glitz and big name stars , and it all amounts to a loud sounding nothing .	1	-1	 as[0] usual[0] hollywood[0] has[0] filled[0] it[0] with[0] glitz[0] and[0] big[0] name[0] stars[0] and[0] it[0] all[0] amounts[0] to[0] a[0] loud[0] sounding[0] nothing[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the film opens with emily ( paltrow ) and david ( viggo mortensen ) 'having fun' in an loft apartment . 	the film opens with emily ( paltrow ) and david ( viggo mortensen ) 'having fun' in an loft apartment .	1	-1	 the[0] film[0] opens[0] with[0] emily[0] paltrow[0] and[0] david[0] viggo[0] mortensen[0] 'having[0] fun'[0] in[0] an[0] loft[0] apartment[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the problem is , paltrow is married to stephen ( douglas ) , who is not too happy when he discovers this affair . 	the problem is , paltrow is married to stephen ( douglas ) , who is not too happy when he discovers this affair .	1	-2	 the[0] problem[-1] is[0] paltrow[0] is[0] married[0] to[0] stephen[0] douglas[0] who[0] is[0] not[0] too[0] happy[1][NegatedDueToPreviousWord] when[0] he[0] discovers[0] this[0] affair[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
if i was paltrow , though , i'd definitely go with mortensen . 	if i was paltrow , though , i'd definitely go with mortensen .	1	-1	 if[0] i[0] was[0] paltrow[0] though[0] i'd[0] definitely[0] go[0] with[0] mortensen[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
less wrinkles . 	less wrinkles .	1	-1	 less[0] wrinkles[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
anyhow , stephen approaches david with an interesting proposition : he'll pay him to kill his lovely wife . 	anyhow , stephen approaches david with an interesting proposition : he'll pay him to kill his lovely wife .	2	-2	 anyhow[0] stephen[0] approaches[0] david[0] with[0] an[0] interesting[1] proposition[0] he'll[0] pay[0] him[0] to[0] kill[-1] his[0] lovely[1] wife[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
mortensen agrees , but the murder goes awry , and the twists keep on coming as the film progresses . 	mortensen agrees , but the murder goes awry , and the twists keep on coming as the film progresses .	1	-4	 mortensen[0] agrees[0] but[0] the[0] murder[-3] goes[0] awry[0] and[0] the[0] twists[0] keep[0] on[0] coming[0] as[0] the[0] film[0] progresses[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
unfortunately , the film dosen't progress very fast . 	unfortunately , the film dosen't progress very fast .	1	-2	 unfortunately[-1] the[0] film[0] dosen't[0] progress[0] very[0] fast[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in fact , it moves like a tortoise with arthritis ( read : very , very s-l-o-w . ) 	in fact , it moves like a tortoise with arthritis ( read : very , very s-l-o-w .<br> )	2	-1	 in[0] fact[0] it[0] moves[0] like[1] a[0] tortoise[0] with[0] arthritis[0] read[0] very[0] very[0] s[0] l[0] o[0] w[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the plot moves nowhere fast , and only becomes exciting in very short bursts . 	the plot moves nowhere fast , and only becomes exciting in very short bursts .	3	-1	 the[0] plot[0] moves[0] nowhere[0] fast[0] and[0] only[0] becomes[0] exciting[2] in[0] very[0] short[0] bursts[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
