 * * the following review contains spoilers * * 	Translation	Positive	Negative	EmotionRationale
 " please someone stop joel schumacher before he vomits into a film canister again and tries to pass it off as a movie . " 	 " please someone stop joel schumacher before he vomits into a film canister again and tries to pass it off as a movie .<br> "	2	-3	 please[1] someone[0] stop[0] joel[0] schumacher[0] before[0] he[0] vomits[-2] into[0] a[0] film[0] canister[0] again[0] and[0] tries[0] to[0] pass[0] it[0] off[0] as[0] a[0] movie[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
-- chuck dowling , the jacksonville film journal 	- chuck dowling , the jacksonville film journal	1	-1	 chuck[0] dowling[0] the[0] jacksonville[0] film[0] journal[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i wrote the above sentence in my review for 1997's batman and robin . 	i wrote the above sentence in my review for 1997's batman and robin .	1	-1	 i[0] wrote[0] the[0] above[0] sentence[0] in[0] my[0] review[0] for[0] 1997's[0] batman[0] and[0] robin[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
apparently , no one heard my words . 	apparently , no one heard my words .	1	-1	 apparently[0] no[0] one[0] heard[0] my[0] words[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
oh , how i wish you had heard them . 	oh , how i wish you had heard them .	1	-1	 oh[0] how[0] i[0] wish[0] you[0] had[0] heard[0] them[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
oh how i wish someone had stopped him . . . 	oh how i wish someone had stopped him .<br> .<br> .	1	-1	 oh[0] how[0] i[0] wish[0] someone[0] had[0] stopped[0] him[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
because he's done it again . 	because he's done it again .	1	-1	 because[0] he's[0] done[0] it[0] again[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the plot of 8mm is similar to the 1977 paul schrader film hardcore , a surprisingly decent and engrossing tale . 	the plot of 8m is similar to the 1977 paul schrader film hardcore , a surprisingly decent and engrossing tale .	1	-1	 the[0] plot[0] of[0] 8mm/8m[0] is[0] similar[0] to[0] the[0] 1977[0] paul[0] schrader[0] film[0] hardcore[0] a[0] surprisingly[0] decent[0] and[0] engrossing[0] tale[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in fact , it was everything that 8mm is not . 	in fact , it was everything that 8m is not .	1	-1	 in[0] fact[0] it[0] was[0] everything[0] that[0] 8mm/8m[0] is[0] not[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in the opening minutes of 8mm , we see private detective tom welles ( nicolas cage ) working on a case for a prestigious member of the u . s . government . 	in the opening minutes of 8m , we see private detective tom welles ( nicolas cage ) working on a case for a prestigious member of the you .<br> s .<br> government .	2	-1	 in[0] the[0] opening[0] minutes[0] of[0] 8mm/8m[0] we[0] see[0] private[0] detective[0] tom[0] welles[1] nicolas[0] cage[0] working[0] on[0] a[0] case[0] for[0] a[0] prestigious[0] member[0] of[0] the[0] u[0] [[Sentence=-1,2=word max, 1-5]] s[0] [[Sentence=-1,1=word max, 1-5]] government[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
