boy , what a great movie ! ! 	Translation	Positive	Negative	EmotionRationale
keanu reeves and morgan freeman acting together , the director of the fugitive ( andrew davis ) back again to give us another thriller , and the beautiful rachel stealing beauty weisz thrown in to boot . 	keanu reeves and morgan freeman acting together , the director of the fugitive ( andrew davis ) back again to give us another thriller , and the beautiful rachel stealing beauty weisz thrown in to boot .	3	-3	 keanu[0] reeves[0] and[0] morgan[0] freeman[0] acting[0] together[0] the[0] director[0] of[0] the[0] fugitive[-1] andrew[0] davis[0] back[0] again[0] to[0] give[0] us[0] another[0] thriller[1] and[0] the[0] beautiful[2] rachel[0] stealing[-2] beauty[2] weisz[0] thrown[0] in[0] to[0] boot[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
how could this not be a blockbuster ? 	how could this not be a blockbuster ?	1	-2	 how[0] could[0] this[0] not[0] be[0] a[0] blockbuster[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
all die-hard keanu reeves fans , read on . 	all die-hard keanu reeves fans , read on .	1	-1	 all[0] die[0] hard[0] keanu[0] reeves[0] fans[0] read[0] on[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
ol " much ado about nothing " plays eddie kasalivich , a machinist studying at the university of chicago . 	ol " much ado about nothing " plays eddie kasalivich , a machinist studying at the university of chicago .	2	-1	 ol[0] much[0] ado[0] about[0] nothing[0] plays[1] eddie[0] kasalivich[0] a[0] machinist[0] studying[0] at[0] the[0] university[0] of[0] chicago[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
to help pay for the rent , he takes on this job making the machinery for a hydrogen project being conducted by the university . 	to help pay for the rent , he takes on this job making the machinery for a hydrogen project being conducted by the university .	1	-1	 to[0] help[0] pay[0] for[0] the[0] rent[0] he[0] takes[0] on[0] this[0] job[0] making[0] the[0] machinery[0] for[0] a[0] hydrogen[0] project[0] being[0] conducted[0] by[0] the[0] university[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
by happy coincidence , he also happens to stumble on the solution to the final problem and thus is the only one who knows the key to performing this feat of miracle physics . 	by happy coincidence , he also happens to stumble on the solution to the final problem and thus is the only one who knows the key to performing this feat of miracle physics .	2	-2	 by[0] happy[1] coincidence[0] he[0] also[0] happens[0] to[0] stumble[0] on[0] the[0] solution[0] to[0] the[0] final[0] problem[-1] and[0] thus[0] is[0] the[0] only[0] one[0] who[0] knows[0] the[0] key[0] to[0] performing[0] this[0] feat[0] of[0] miracle[0] physics[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
this project holds great promise : taking hydrogen from water and giving out more energy than is put in . 	this project holds great promise : taking hydrogen from water and giving out more energy than is put in .	3	-1	 this[0] project[0] holds[0] great[2] promise[1] taking[0] hydrogen[0] from[0] water[0] and[0] giving[0] out[0] more[0] energy[0] than[0] is[0] put[0] in[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
a potential solution to the earth's energy problems without the pollution cost . 	a potential solution to the earth's energy problems without the pollution cost .	1	-2	 a[0] potential[0] solution[0] to[0] the[0] earth's[0] energy[0] problems[-1] without[0] the[0] pollution[-1] cost[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
surely nobody could have any problems with that ? 	surely nobody could have any problems with that ?	1	-2	 surely[0] nobody[0] could[0] have[0] any[0] problems[-1] with[0] that[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
morgan freeman is paul shannon , the project's sponsor . 	morgan freeman is paul shannon , the project's sponsor .	1	-1	 morgan[0] freeman[0] is[0] paul[0] shannon[0] the[0] project's[0] sponsor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
