dead-bang , an action thriller starring don johnson , lives up to its dumb title , or at least to half of it . 	Translation	Positive	Negative	EmotionRationale
although dead-bang is definitely dead , it is anything but a bang ; in fact , they should have called this one " dead bore . " 	although dead-bang is definitely dead , it is anything but a bang ; in fact , they should have called this one " dead bore .<br> "	1	-4	 although[0] dead[-2] bang[0] is[0] definitely[0] dead[-2][-1 LastWordBoosterStrength] it[0] is[0] anything[0] but[0] a[0] bang[0] in[0] fact[0] they[0] should[0] have[0] called[0] this[0] one[0] dead[-2] bore[-1] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
in the film , johnson plays . . . 	in the film , johnson plays .<br> .<br> .	2	-1	 in[0] the[0] film[0] johnson[0] plays[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
you guessed it . . . 	you guessed it .<br> .<br> .	1	-1	 you[0] guessed[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a cop . 	a cop .	1	-1	 a[0] cop[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the role must have been really challenging for johnson since his character , jerry beck , is a gritty los angeles homicide detective , a real stretch from the slick vice detective johnson portrayed on " miami vice . " 	the role must have been really challenging for johnson since his character , jerry beck , is a gritty los angeles homicide detective , a real stretch from the slick vice detective johnson portrayed on " miami vice .<br> "	1	-2	 the[0] role[0] must[0] have[0] been[0] really[0] challenging[0] for[0] johnson[0] since[0] his[0] character[0] jerry[0] beck[0] is[0] a[0] gritty[0] los[0] angeles[0] homicide[0] detective[0] a[0] real[0] stretch[0] from[0] the[0] slick[0] vice[-1] detective[0] johnson[0] portrayed[0] on[0] miami[0] vice[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
a la mel gibson in lethal weapon , beck is an emotional wreck , complete with violent outbursts , unscrupulous police methods , and a bleak outlook on life . 	a la mel gibson in lethal weapon , beck is an emotional wreck , complete with violent outbursts , unscrupulous police methods , and a bleak outlook on life .	1	-3	 a[0] la[0] mel[0] gibson[0] in[0] lethal[0] weapon[-1] beck[0] is[0] an[0] emotional[-1] wreck[-1] complete[0] with[0] violent[-2] outbursts[-1] unscrupulous[-1] police[0] methods[0] and[0] a[0] bleak[-1] outlook[0] on[0] life[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
beck's wife has just divorced him , and she is cutting him off from their children . 	beck's wife has just divorced him , and she is cutting him off from their children .	1	-1	 beck's[0] wife[0] has[0] just[0] divorced[-1][--1 LastWordBoosterStrength] him[0] and[0] she[0] is[0] cutting[0] him[0] off[0] from[0] their[0] children[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
she will not even allow him to wish them " merry christmas " by telephone . 	she will not even allow him to wish them " merry christmas " by telephone .	2	-1	 she[0] will[0] not[0] even[0] allow[0] him[0] to[0] wish[0] them[0] merry[1] christmas[0] by[0] telephone[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but beck's family and emotional problems take a back seat to the action and thrills in dead-bang . 	but beck's family and emotional problems take a back seat to the action and thrills in dead-bang .	4	-3	 but[0] beck's[0] family[0] and[0] emotional[-1] problems[-1] take[0] a[0] back[0] seat[0] to[0] the[0] action[0] and[0] thrills[3] in[0] dead[-2] bang[0] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
beck is investigating the brutal murders of a shopkeeper and a cop . 	beck is investigating the brutal murders of a shopkeeper and a cop .	1	-5	 beck[0] is[0] investigating[0] the[0] brutal[-2] murders[-3][-1 MultiplePositiveWords] of[0] a[0] shopkeeper[0] and[0] a[0] cop[0] [[Sentence=-5,1=word max, 1-5]][[[1,-5 max of sentences]]]
