how do films like mouse hunt get into theatres ? 	Translation	Positive	Negative	EmotionRationale
isn't there a law or something ? 	isn't there a law or something ?	1	-1	 isn't[0] there[0] a[0] law[0] or[0] something[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this diabolical load of claptrap from steven speilberg's dreamworks studio is hollywood family fare at its deadly worst . 	this diabolical load of claptrap from steven speilberg's dreamworks studio is hollywood family fare at its deadly worst .	1	-3	 this[0] diabolical[-1] load[0] of[0] claptrap[-1] from[0] steven[0] speilberg's[0] dreamworks[0] studio[0] is[0] hollywood[0] family[0] fare[0] at[0] its[0] deadly[-1] worst[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
mouse hunt takes the bare threads of a plot and tries to prop it up with overacting and flat-out stupid slapstick that makes comedies like jingle all the way look decent by comparison . 	mouse hunt takes the bare threads of a plot and tries to prop it up with overacting and flat-out stupid slapstick that makes comedies like jingle all the way look decent by comparison .	2	-2	 mouse[0] hunt[0] takes[0] the[0] bare[0] threads[0] of[0] a[0] plot[0] and[0] tries[0] to[0] prop[0] it[0] up[0] with[0] overacting[0] and[0] flat[0] out[0] stupid[-1] slapstick[-1] that[0] makes[0] comedies[0] like[1] jingle[0] all[0] the[0] way[0] look[0] decent[0] by[0] comparison[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
writer adam rifkin and director gore verbinski are the names chiefly responsible for this swill . 	writer adam rifkin and director gore verbinski are the names chiefly responsible for this swill .	1	-1	 writer[0] adam[0] rifkin[0] and[0] director[0] gore[0] verbinski[0] are[0] the[0] names[0] chiefly[0] responsible[0] for[0] this[0] swill[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the plot , for what its worth , concerns two brothers ( nathan lane and an appalling lee evens ) who inherit a poorly run string factory and a seemingly worthless house from their eccentric father . 	the plot , for what its worth , concerns two brothers ( nathan lane and an appalling lee evens ) who inherit a poorly run string factory and a seemingly worthless house from their eccentric father .	1	-4	 the[0] plot[0] for[0] what[0] its[0] worth[0] concerns[-1] two[0] brothers[0] nathan[0] lane[0] and[0] an[0] appalling[-3] lee[0] evens[0] who[0] inherit[0] a[0] poorly[-1] run[0] string[0] factory[0] and[0] a[0] seemingly[0] worthless[-2] house[0] from[0] their[0] eccentric[-1] father[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
deciding to check out the long-abandoned house , they soon learn that it's worth a fortune and set about selling it in auction to the highest bidder . 	deciding to check out the long-abandoned house , they soon learn that it's worth a fortune and set about selling it in auction to the highest bidder .	1	-2	 deciding[0] to[0] check[0] out[0] the[0] long[0] abandoned[-1] house[0] they[0] soon[0] learn[0] that[0] it's[0] worth[0] a[0] fortune[0] and[0] set[0] about[0] selling[0] it[0] in[0] auction[0] to[0] the[0] highest[0] bidder[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but battling them at every turn is a very smart mouse , happy with his run-down little abode and wanting it to stay that way . 	but battling them at every turn is a very smart mouse , happy with his run-down little abode and wanting it to stay that way .	3	-1	 but[0] battling[0] them[0] at[0] every[0] turn[0] is[0] a[0] very[0] smart[1][1 LastWordBoosterStrength] mouse[0] happy[1] with[0] his[0] run[0] down[0] little[0] abode[0] and[0] wanting[0] it[0] to[0] stay[0] that[0] way[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the story alternates between unfunny scenes of the brothers bickering over what to do with their inheritance and endless action sequences as the two take on their increasingly determined furry foe . 	the story alternates between unfunny scenes of the brothers bickering over what to do with their inheritance and endless action sequences as the two take on their increasingly determined furry foe .	1	-3	 the[0] story[0] alternates[0] between[0] unfunny[0] scenes[0] of[0] the[0] brothers[0] bickering[0] over[0] what[0] to[0] do[0] with[0] their[0] inheritance[0] and[0] endless[0] action[0] sequences[0] as[0] the[0] two[0] take[0] on[0] their[0] increasingly[0] determined[0] furry[0] foe[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
whatever promise the film starts with soon deteriorates into boring dialogue , terrible overacting , and increasingly uninspired slapstick that becomes all sound and fury , signifying nothing . 	whatever promise the film starts with soon deteriorates into boring dialogue , terrible overacting , and increasingly uninspired slapstick that becomes all sound and fury , signifying nothing .	2	-4	 whatever[0] promise[1] the[0] film[0] starts[0] with[0] soon[0] deteriorates[0] into[0] boring[-1] dialogue[0] terrible[-3] overacting[0] and[0] increasingly[0] uninspired[0] slapstick[-1] that[0] becomes[0] all[0] sound[0] and[0] fury[-3] signifying[0] nothing[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
the script becomes so unspeakably bad that the best line poor lee evens can utter after another run in with the rodent is : " i hate that mouse " . 	the script becomes so unspeakably bad that the best line poor lee evens can utter after another run in with the rodent is : " i hate that mouse " .	2	-4	 the[0] script[0] becomes[0] so[0] unspeakably[0] bad[-1] that[0] the[0] best[1] line[0] poor[-1] lee[0] evens[0] can[0] utter[0] after[0] another[0] run[0] in[0] with[0] the[0] rodent[0] is[0] i[0] hate[-3] that[0] mouse[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
