attention moviegoers : you are about to enter a meaning-free zone . 	Translation	Positive	Negative	EmotionRationale
should the sound system malfunction during your viewing of 200 cigarettes , do not panic . 	should the sound system malfunction during your viewing of 200 cigarettes , do not panic .	3	-1	 should[0] the[0] sound[0] system[0] malfunction[0] during[0] your[0] viewing[0] of[0] 200[0] cigarettes[0] do[0] not[0] panic[-2][NegatedDueToPreviousWord] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the film will work just as well as a silent movie . 	the film will work just as well as a silent movie .	1	-1	 the[0] film[0] will[0] work[0] just[0] as[0] well[0] as[0] a[0] silent[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
chronicling the meaningless lives of vain , yuppie types , the movie covers the same ground as the wilt stillman films ( last days of disco , barcelona and metropolitan ) but without any of his acerbic wit and the inviting style of his writing . 	chronicling the meaningless lives of vain , yuppie types , the movie covers the same ground as the wilt stillman films ( last days of disco , barcelona and metropolitan ) but without any of his acerbic wit and the inviting style of his writing .	1	-3	 chronicling[0] the[0] meaningless[-1] lives[0] of[0] vain[-2] yuppie[0] types[0] the[0] movie[0] covers[0] the[0] same[0] ground[0] as[0] the[0] wilt[-1] stillman[0] films[0] last[0] days[0] of[0] disco[0] barcelona[0] and[0] metropolitan[0] but[0] without[0] any[0] of[0] his[0] acerbic[0] wit[0] and[0] the[0] inviting[0] style[0] of[0] his[0] writing[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
first-time writer shana larsen makes the mistake of creating a couple of dozen characters and not giving any of them any depth . 	first-time writer shana larsen makes the mistake of creating a couple of dozen characters and not giving any of them any depth .	1	-2	 first[0] time[0] writer[0] shana[0] larsen[0] makes[0] the[0] mistake[-1] of[0] creating[0] a[0] couple[0] of[0] dozen[0] characters[0] and[0] not[0] giving[0] any[0] of[0] them[0] any[0] depth[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
there isn't one of these characters worth caring about . 	there isn't one of these characters worth caring about .	3	-1	 there[0] isn't[0] one[0] of[0] these[0] characters[0] worth[0] caring[2] about[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the movie features such a cornucopia of hot young stars that it looks like a celluloid version of " people magazine . " 	the movie features such a cornucopia of hot young stars that it looks like a celluloid version of " people magazine .<br> "	2	-1	 the[0] movie[0] features[0] such[0] a[0] cornucopia[0] of[0] hot[0] young[0] stars[0] that[0] it[0] looks[0] like[1] a[0] celluloid[0] version[0] of[0] people[0] magazine[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
among others , the movie features : ben affleck , casey affleck , david chappelle , janeane garofalo , gaby hoffmann , catherine kellner , courtney love , jay mohr , martha plimpton , christina ricci and paul rudd . 	among others , the movie features : ben affleck , casey affleck , david chappelle , janeane garofalo , gaby hoffman , catherine kellner , courtney love , jay mohr , martha plimpton , christina ricci and paul rudd .	3	-1	 among[0] others[0] the[0] movie[0] features[0] ben[0] affleck[0] casey[0] affleck[0] david[0] chappelle[0] janeane[0] garofalo[0] gaby[0] hoffmann/hoffman[0] catherine[0] kellner[0] courtney[0] love[2] jay[0] mohr[0] martha[0] plimpton[0] christina[0] ricci[0] and[0] paul[0] rudd[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
and unlike people magazine , the people speak , not that they have anything interesting to say . 	and unlike people magazine , the people speak , not that they have anything interesting to say .	2	-1	 and[0] unlike[0] people[0] magazine[0] the[0] people[0] speak[0] not[0] that[0] they[0] have[0] anything[0] interesting[1] to[0] say[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it's new year's eve in 1981 , and monica ( martha plimpton ) is preparing her big party . 	it's new year's eve in 1981 , and monica ( martha plimpton ) is preparing her big party .	1	-1	 it's[0] new[0] year's[0] eve[0] in[0] 1981[0] and[0] monica[0] martha[0] plimpton[0] is[0] preparing[0] her[0] big[0] party[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
structured as a series of relatively unrelated stories about her guests on the way to the party , director risa bramon garcia flits back and forth among her stars . 	structured as a series of relatively unrelated stories about her guests on the way to the party , director risa bramon garcia flits back and forth among her stars .	1	-1	 structured[0] as[0] a[0] series[0] of[0] relatively[0] unrelated[0] stories[0] about[0] her[0] guests[0] on[0] the[0] way[0] to[0] the[0] party[0] director[0] risa[0] bramon[0] garcia[0] flits[0] back[0] and[0] forth[0] among[0] her[0] stars[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
monica's apartment is in " noho , " an area that one of the guests describes as " so cool , all of the poor people live there . " 	monica's apartment is in " noho , " an area that one of the guests describes as " so cool , all of the poor people live there .<br> "	2	-2	 monica's[0] apartment[0] is[0] in[0] noho[0] an[0] area[0] that[0] one[0] of[0] the[0] guests[0] describes[0] as[0] so[0] cool[1] all[0] of[0] the[0] poor[-1] people[0] live[0] there[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
typical of the shallow couples in the movie are kevin ( paul rudd ) and his friend and would-be sexual partner lucy ( courtney love ) . 	typical of the shallow couples in the movie are kevin ( paul rudd ) and his friend and would-be sexual partner lucy ( courtney love ) .	3	-2	 typical[0] of[0] the[0] shallow[-1] couples[0] in[0] the[0] movie[0] are[0] kevin[0] paul[0] rudd[0] and[0] his[0] friend[1] and[0] would[0] be[0] sexual[0] partner[0] lucy[0] courtney[0] love[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
they argue about whether lucy is a slut or not since she sleeps with everyone , except him , of course . 	they argue about whether lucy is a slut or not since she sleeps with everyone , except him , of course .	1	-3	 they[0] argue[-1] about[0] whether[0] lucy[0] is[0] a[0] slut[-2] or[0] not[0] since[0] she[0] sleeps[0] with[0] everyone[0] except[0] him[0] of[0] course[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
she dares him to go immediately to a bathroom stall and have sex with her , which turns out to be neither erotic , funny or successful -- rather like the rest of the story . 	she dares him to go immediately to a bathroom stall and have sex with her , which turns out to be neither erotic , funny or successful - rather like the rest of the story .	3	-1	 she[0] dares[0] him[0] to[0] go[0] immediately[0] to[0] a[0] bathroom[0] stall[0] and[0] have[0] sex[0] with[0] her[0] which[0] turns[0] out[0] to[0] be[0] neither[0] erotic[0] funny[1] or[0] successful[2] rather[0] like[1] the[0] rest[0] of[0] the[0] story[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the movie gets its title from the carton of cigarettes that lucy gives kevin for his new year's eve birthday . 	the movie gets its title from the carton of cigarettes that lucy gives kevin for his new year's eve birthday .	1	-1	 the[0] movie[0] gets[0] its[0] title[0] from[0] the[0] carton[0] of[0] cigarettes[0] that[0] lucy[0] gives[0] kevin[0] for[0] his[0] new[0] year's[0] eve[0] birthday[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " cigarettes are a shield against emotional interaction with other people , " kevin later tells lucy in a snippet of dialog that sounds profound only outside the context of the movie . 	 " cigarettes are a shield against emotional interaction with other people , " kevin later tells lucy in a snippet of dialog that sounds profound only outside the context of the movie .	1	-2	 cigarettes[0] are[0] a[0] shield[0] against[-1] emotional[-1] interaction[0] with[0] other[0] people[0] kevin[0] later[0] tells[0] lucy[0] in[0] a[0] snippet[0] of[0] dialog[0] that[0] sounds[0] profound[0] only[0] outside[0] the[0] context[0] of[0] the[0] movie[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
another character , played by jay mohr , has a problem with his sexual triumphs . 	another character , played by jay mohr , has a problem with his sexual triumphs .	3	-2	 another[0] character[0] played[0] by[0] jay[0] mohr[0] has[0] a[0] problem[-1] with[0] his[0] sexual[0] triumphs[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
every woman he beds falls deeply in love with him by the next morning . 	every woman he beds falls deeply in love with him by the next morning .	3	-1	 every[0] woman[0] he[0] beds[0] falls[0] deeply[0] in[0] love[2] with[0] him[0] by[0] the[0] next[0] morning[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
when his latest conquest tells him of her affection for him , his response is " i like a lot of people . " 	when his latest conquest tells him of her affection for him , his response is " i like a lot of people .<br> "	3	-1	 when[0] his[0] latest[0] conquest[0] tells[0] him[0] of[0] her[0] affection[2] for[0] him[0] his[0] response[0] is[0] i[0] like[1] a[0] lot[0] of[0] people[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
as the movie finally draws to a close , the characters awaken from their post-party game of musical beds . 	as the movie finally draws to a close , the characters awaken from their post-party game of musical beds .	1	-1	 as[0] the[0] movie[0] finally[0] draws[0] to[0] a[0] close[0] the[0] characters[0] awaken[0] from[0] their[0] post[0] party[0] game[0] of[0] musical[0] beds[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
some have passed out early from alcohol abuse and remember little , while others actually have some clue as to what happened . 	some have passed out early from alcohol abuse and remember little , while others actually have some clue as to what happened .	1	-4	 some[0] have[0] passed[0] out[0] early[0] from[0] alcohol[0] abuse[-3] and[0] remember[0] little[0] while[0] others[0] actually[0] have[0] some[0] clue[0] as[0] to[0] what[0] happened[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the movie itself is so forgettable that by the time you reach your car in the parking lot , all trace of the film will have vanished from your mind , which is probably the best thing that can be said about the movie . 	the movie itself is so forgettable that by the time you reach your car in the parking lot , all trace of the film will have vanished from your mind , which is probably the best thing that can be said about the movie .	2	-2	 the[0] movie[0] itself[0] is[0] so[0] forgettable[0] that[0] by[0] the[0] time[0] you[0] reach[0] your[0] car[0] in[0] the[0] parking[0] lot[0] all[0] trace[0] of[0] the[0] film[0] will[0] have[0] vanished[-1] from[0] your[0] mind[0] which[0] is[0] probably[0] the[0] best[1] thing[0] that[0] can[0] be[0] said[0] about[0] the[0] movie[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
200 cigarettes runs 1 : 40 . 	200 cigarettes runs 1 : 40 .	1	-1	 200[0] cigarettes[0] runs[0] 1[0] 40[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it is rated r for profanity , sex and one dope smoking scene and would be acceptable for older teenagers . 	it is rated are for profanity , sex and one dope smoking scene and would be acceptable for older teenagers .	1	-2	 it[0] is[0] rated[0] r[0] for[0] profanity[0] sex[0] and[0] one[0] dope[-1] smoking[0] scene[0] and[0] would[0] be[0] acceptable[0] for[0] older[0] teenagers[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
