i've got to admit it . . . 	Translation	Positive	Negative	EmotionRationale
i'm a huge jim carrey fan . 	i'm a huge jim carrey fan .	1	-1	 i'm[0] a[0] huge[0] jim[0] carrey[0] fan[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i loved the first ace ventura , as well as the mask and dumb and dumber--and even in batman forever ( which was a pretty awful movie ) , carrey was one of the few people to come off looking reasonably good . 	i loved the first ace ventura , as well as the mask and dumb and dumber-and even in batman forever ( which was a pretty awful movie ) , carrey was one of the few people to come off looking reasonably good .	4	-4	 i[0] loved[3] the[0] first[0] ace[0] ventura[0] as[0] well[0] as[0] the[0] mask[0] and[0] dumb[-1] and[0] dumber[-1] and[0] even[0] in[0] batman[0] forever[0] which[0] was[0] a[0] pretty[2] awful[-3] movie[0] carrey[0] was[0] one[0] of[0] the[0] few[0] people[0] to[0] come[0] off[0] looking[0] reasonably[0] good[1] [[Sentence=-4,4=word max, 1-5]][[[4,-4 max of sentences]]]
until i saw ace ventura 2 , i had no idea how people could find the guy annoying . 	until i saw ace ventura 2 , i had no idea how people could find the guy annoying .	1	-3	 until[0] i[0] saw[0] ace[0] ventura[0] 2[0] i[0] had[0] no[0] idea[0] how[0] people[0] could[0] find[0] the[0] guy[0] annoying[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
sadly , ace ventura 2 shows just how irritating and annoying carrey can be . 	sadly , ace ventura 2 shows just how irritating and annoying carrey can be .	1	-3	 sadly[-1] ace[0] ventura[0] 2[0] shows[0] just[0] how[0] irritating[-2] and[0] annoying[-2] carrey[0] can[0] be[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
carrey goes through the same schtick he went through in the first ace movie , but this time it is no longer funny--it is just a rehash of many of the same jokes used in ace i . 	carrey goes through the same schtick he went through in the first ace movie , but this time it is no longer funny-it is just a rehash of many of the same jokes used in ace i .	2	-1	 carrey[0] goes[0] through[0] the[0] same[0] schtick[0] he[0] went[0] through[0] in[0] the[0] first[0] ace[0] movie[0] but[0] this[0] time[0] it[0] is[0] no[0] longer[0] funny[1] it[0] is[0] just[0] a[0] rehash[0] of[0] many[0] of[0] the[0] same[0] jokes[1] used[0] in[0] ace[0] i[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the plot sees pet detective ace ventura retiring after failing to save a raccoon ( in a reasonable cliffhanger spoof ) . 	the plot sees pet detective ace ventura retiring after failing to save a raccoon ( in a reasonable cliffhanger spoof ) .	2	-3	 the[0] plot[0] sees[0] pet[0] detective[0] ace[0] ventura[0] retiring[0] after[0] failing[-2] to[0] save[1] a[0] raccoon[0] in[0] a[0] reasonable[0] cliffhanger[0] spoof[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
soon he is called out of retirement to find a bat which was kidnapped and , if not returned in four days , will cause two warring african tribes to destroy each other . 	soon he is called out of retirement to find a bat which was kidnapped and , if not returned in four days , will cause two warring african tribes to destroy each other .	1	-3	 soon[0] he[0] is[0] called[0] out[0] of[0] retirement[-1] to[0] find[0] a[0] bat[0] which[0] was[0] kidnapped[0] and[0] if[0] not[0] returned[0] in[0] four[0] days[0] will[0] cause[0] two[0] warring[-2] african[0] tribes[0] to[0] destroy[-2] each[0] other[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
once again , it's up to ace to save the day , using his uncanny detective skills . 	once again , it's up to ace to save the day , using his uncanny detective skills .	2	-1	 once[0] again[0] it's[0] up[0] to[0] ace[0] to[0] save[1] the[0] day[0] using[0] his[0] uncanny[0] detective[0] skills[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
those who have been disappointed by carrey's more restrained roles in the films following the first ace ventura may be glad to see him over-acting to the best of his ability , but some may be disappointed by the fact that this sequel doesn't capture the feel of the original . 	those who have been disappointed by carrey's more restrained roles in the films following the first ace ventura may be glad to see him over-acting to the best of his ability , but some may be disappointed by the fact that this sequel doesn't capture the feel of the original .	2	-2	 those[0] who[0] have[0] been[0] disappointed[-1] by[0] carrey's[0] more[0] restrained[0] roles[0] in[0] the[0] films[0] following[0] the[0] first[0] ace[0] ventura[0] may[0] be[0] glad[1] to[0] see[0] him[0] over[0] acting[0] to[0] the[0] best[1] of[0] his[0] ability[0] but[0] some[0] may[0] be[0] disappointed[-1] by[0] the[0] fact[0] that[0] this[0] sequel[0] doesn't[0] capture[-1] the[0] feel[0] of[0] the[0] original[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the original benefited from what looked to be carrey's constant hyped-up improv sequences , which were hysterically funny . 	the original benefited from what looked to be carrey's constant hyped-up improv sequences , which were hysterically funny .	2	-1	 the[0] original[0] benefited[0] from[0] what[0] looked[0] to[0] be[0] carrey's[0] constant[0] hyped[0] up[0] improv[0] sequences[0] which[0] were[0] hysterically[0] funny[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
here , however , the tighter script ( which is reminiscent of the old disney telemovies ) takes the improvised material from the first , and shamelessly recycles it in the new movie , giving carrey little chance to improvise . 	here , however , the tighter script ( which is reminiscent of the old disney telemovies ) takes the improvised material from the first , and shamelessly recycles it in the new movie , giving carrey little chance to improvise .	1	-3	 here[0] however[0] the[0] tighter[0] script[0] which[0] is[0] reminiscent[0] of[0] the[0] old[0] disney[0] telemovies[0] takes[0] the[0] improvised[0] material[0] from[0] the[0] first[0] and[0] shamelessly[-2] recycles[0] it[0] in[0] the[0] new[0] movie[0] giving[0] carrey[0] little[0] chance[0] to[0] improvise[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
