`bats' is an insulting slap across the face for any dedicated horror movie fan . 	Translation	Positive	Negative	EmotionRationale
to pull something like this off , you need to have a sense of wit and style , with a heavy dosage of humor to back up the process if the fright factor ever declines . 	to pull something like this off , you need to have a sense of wit and style , with a heavy dosage of humor to back up the process if the fright factor ever declines .	3	-4	 to[0] pull[0] something[0] like[1] this[0] off[0] you[0] need[0] to[0] have[0] a[0] sense[0] of[0] wit[0] and[0] style[0] with[0] a[0] heavy[0] dosage[0] of[0] humor[2] to[0] back[0] up[0] the[0] process[0] if[0] the[0] fright[-3] factor[0] ever[0] declines[-1] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
something like the underground worm thriller  tremors' had just the perfect mixture of these elements , and in return , the film was tremendous fun . 	something like the underground worm thriller  tremors' had just the perfect mixture of these elements , and in return , the film was tremendous fun .	2	-1	 something[0] like[1] the[0] underground[0] worm[0] thriller[1] tremors'[0] had[0] just[0] the[0] perfect[1] mixture[0] of[0] these[0] elements[0] and[0] in[0] return[0] the[0] film[0] was[0] tremendous[0] fun[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
with the notable exception of a wisecracking supporting player ,  bats' mainly plays it's premise for straight-arrow horror . 	with the notable exception of a wisecracking supporting player ,  bats' mainly plays it's premise for straight-arrow horror .	2	-4	 with[0] the[0] notable[0] exception[0] of[0] a[0] wisecracking[0] supporting[1] player[0] bats'[0] mainly[0] plays[1] it's[0] premise[0] for[0] straight[0] arrow[0] horror[-3] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
judging by the ridiculous premise , this was not exactly a wise move . 	judging by the ridiculous premise , this was not exactly a wise move .	1	-3	 judging[0] by[0] the[0] ridiculous[-2] premise[0] this[0] was[0] not[0] exactly[0] a[0] wise[0] move[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the movie attempts to capture the essence of alfred hitchcock's  the birds' , but fails miserably . 	the movie attempts to capture the essence of alfred hitchcock's  the birds' , but fails miserably .	1	-4	 the[0] movie[0] attempts[0] to[0] capture[-1] the[0] essence[0] of[0] alfred[0] hitchcock's[0] the[0] birds'[0] but[0] fails[-2] miserably[-2][-1 MultiplePositiveWords] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
done right , it could have been adequately amusing halloween cinema . 	done right , it could have been adequately amusing halloween cinema .	2	-1	 done[0] right[0] it[0] could[0] have[0] been[0] adequately[0] amusing[1] halloween[0] cinema[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
unfortunately ,  bats' is a prime example of a formula movie done terribly , terribly wrong . 	unfortunately ,  bats' is a prime example of a formula movie done terribly , terribly wrong .	1	-5	 unfortunately[-1] bats'[0] is[0] a[0] prime[0] example[0] of[0] a[0] formula[0] movie[0] done[0] terribly[-3] terribly[-3][-1 MultiplePositiveWords] wrong[-1] [[Sentence=-5,1=word max, 1-5]][[[1,-5 max of sentences]]]
the only thing amusing about this festering pile of guano is in how intelligible the filmmakers anticipate their core audience to be . 	the only thing amusing about this festering pile of guano is in how intelligible the filmmakers anticipate their core audience to be .	2	-1	 the[0] only[0] thing[0] amusing[1] about[0] this[0] festering[0] pile[0] of[0] guano[0] is[0] in[0] how[0] intelligible[0] the[0] filmmakers[0] anticipate[0] their[0] core[0] audience[0] to[0] be[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i will recite the following paragraph in a manner that will reach the audience of individuals to whom  bats' is aimed toward . 	i will recite the following paragraph in a manner that will reach the audience of individuals to whom  bats' is aimed toward .	1	-1	 i[0] will[0] recite[0] the[0] following[0] paragraph[0] in[0] a[0] manner[0] that[0] will[0] reach[0] the[0] audience[0] of[0] individuals[0] to[0] whom[0] bats'[0] is[0] aimed[0] toward[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
those guys in hollywood have made a movie about bats . 	those guys in hollywood have made a movie about bats .	1	-1	 those[0] guys[0] in[0] hollywood[0] have[0] made[0] a[0] movie[0] about[0] bats[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
these bats are not very nice , because they eat a lot of people . 	these bats are not very nice , because they eat a lot of people .	1	-3	 these[0] bats[0] are[0] not[0] very[0] nice[1][1 LastWordBoosterStrength][NegatedDueToPreviousWord] because[0] they[0] eat[0] a[0] lot[0] of[0] people[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
boy , are these bats ugly . 	boy , are these bats ugly .	1	-3	 boy[0] are[0] these[0] bats[0] ugly[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
they are infected with this bogus virus that makes them super-duper smart . 	they are infected with this bogus virus that makes them super-duper smart .	3	-2	 they[0] are[0] infected[-1] with[0] this[0] bogus[-1] virus[0] that[0] makes[0] them[0] super[2] duper[0] smart[1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
they've got big claws and red eyes and they are not very friendly at all . 	they've got big claws and red eyes and they are not very friendly at all .	1	-3	 they've[0] got[0] big[0] claws[0] and[0] red[0] eyes[0] and[0] they[0] are[0] not[0] very[0] friendly[1][1 LastWordBoosterStrength][NegatedDueToPreviousWord] at[0] all[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
a whole bunch of people in texas get killed , so a sheriff guy and a scientist lady are brought in to kill the bats . 	a whole bunch of people in texas get killed , so a sheriff guy and a scientist lady are brought in to kill the bats .	1	-4	 a[0] whole[0] bunch[0] of[0] people[0] in[0] texas[0] get[0] killed[-3] so[0] a[0] sheriff[0] guy[0] and[0] a[0] scientist[0] lady[0] are[0] brought[0] in[0] to[0] kill[-1] the[0] bats[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
they have big guns and other cool things to fight them with , but the bats are pretty smart , so it's sorta hard to do . 	they have big guns and other cool things to fight them with , but the bats are pretty smart , so it's sorta hard to do .	3	-3	 they[0] have[0] big[0] guns[-1] and[0] other[0] cool[1] things[0] to[0] fight[-2] them[0] with[0] but[0] the[0] bats[0] are[0] pretty[2] smart[1] so[0] it's[0] sorta[0] hard[0] to[0] do[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
the bats swoop down and they shoot at them to make they go away for good . 	the bats swoop down and they shoot at them to make they go away for good .	2	-2	 the[0] bats[0] swoop[0] down[0] and[0] they[0] shoot[-1] at[0] them[0] to[0] make[0] they[0] go[0] away[0] for[0] good[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
but no ,  bats' is probably too violent for pre-schoolers . 	but no ,  bats' is probably too violent for pre-schoolers .	1	-3	 but[0] no[0] bats'[0] is[0] probably[0] too[0] violent[-2] for[0] pre[0] schoolers[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
