susan granger's review of " american outlaws " ( warner bros . ) 	Translation	Positive	Negative	EmotionRationale
thomas edison's " the great train robbery " ( 1903 ) was the first western ever made and " jesse james under the black flag " ( 1923 ) first introduced the outlaw folk hero . 	thomas edison's " the great train robbery " ( 1903 ) was the first western ever made and " jesse james under the black flag " ( 1923 ) first introduced the outlaw folk hero .	3	-2	 thomas[0] edison's[0] the[0] great[2] train[0] robbery[-1] 1903[0] was[0] the[0] first[0] western[0] ever[0] made[0] and[0] jesse[0] james[0] under[0] the[0] black[0] flag[0] 1923[0] first[0] introduced[0] the[0] outlaw[-1] folk[0] hero[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
now , more than 20 similarly-themed pictures later , jesse james and his notorious gang of outlaws ride again in a banal mtv spin on an american legend . 	now , more than 20 similarly-themed pictures later , jesse james and his notorious gang of outlaws ride again in a banal mtv spin on an american legend .	1	-2	 now[0] more[0] than[0] 20[0] similarly[0] themed[0] pictures[0] later[0] jesse[0] james[0] and[0] his[0] notorious[-1] gang[0] of[0] outlaws[-1] ride[0] again[0] in[0] a[0] banal[-1] mtv[0] spin[0] on[0] an[0] american[0] legend[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the story begins as jesse ( charasmatic colin farrell ) and his brother frank ( gabriel macht ) , cole and scott younger ( scott caan , will mccormack ) and trusty comanche tom ( nathaniel arcand ) , after four years of fighting for the rebs in the civil war , return to liberty , missouri - only to discover union troops are occupying their hometown . 	the story begins as jesse ( charasmatic colin farrell ) and his brother frank ( gabriel macht ) , cole and scot younger ( scot can , will mccormack ) and trusty comanche tom ( nathaniel arcand ) , after four years of fighting for the rebs in the civil war , return to liberty , missouri - only to discover union troops are occupying their hometown .	2	-3	 the[0] story[0] begins[0] as[0] jesse[0] charasmatic[0] colin[0] farrell[0] and[0] his[0] brother[0] frank[0] gabriel[0] macht[0] cole[0] and[0] scott/scot[0] younger[0] scott/scot[0] caan/can[0] will[0] mccormack[0] and[0] trusty[1] comanche[0] tom[0] nathaniel[0] arcand[0] after[0] four[0] years[0] of[0] fighting[-2] for[0] the[0] rebs[0] in[0] the[0] civil[0] war[-2] return[0] to[0] liberty[0] missouri[0] only[0] to[0] discover[0] union[0] troops[0] are[0] occupying[0] their[0] hometown[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
and an avaricious east coast railroad baron , thaddeus rains ( harris yulin ) , is forcing farmers to sell their land at less than true value , aided by allan pinkerton ( timothy dalton ) and his infamous detectives who , back then , were just thugs who provided security . 	and an avaricious east coast railroad baron , thaddeus rains ( harris yulin ) , is forcing farmers to sell their land at less than true value , aided by allan pinkerton ( timothy dalton ) and his infamous detectives who , back then , were just thugs who provided security .	2	-3	 and[0] an[0] avaricious[-2] east[0] coast[0] railroad[0] baron[0] thaddeus[0] rains[0] harris[0] yulin[0] is[0] forcing[0] farmers[0] to[0] sell[0] their[0] land[0] at[0] less[0] than[0] true[1] value[1] aided[0] by[0] allan[0] pinkerton[0] timothy[0] dalton[0] and[0] his[0] infamous[-1] detectives[0] who[0] back[0] then[0] were[0] just[0] thugs[0] who[0] provided[0] security[1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
but when ma james ( kathy bates ) becomes one of their victims , jesse and the rest of the guys ( gregory smith , ty o'neal , joe stevens ) form the james-younger gang to wreak revenge by attacking the railroad's supply lines , sabotaging track and robbing the banks where the payroll is kept . 	but when ma james ( kathy bates ) becomes one of their victims , jesse and the rest of the guys ( gregory smith , ty o'neal , joe stevens ) form the james-younger gang to wreak revenge by attacking the railroad's supply lines , sabotaging track and robbing the banks where the payroll is kept .	1	-3	 but[0] when[0] ma[0] james[0] kathy[0] bates[0] becomes[0] one[0] of[0] their[0] victims[-2] jesse[0] and[0] the[0] rest[0] of[0] the[0] guys[0] gregory[0] smith[0] ty[0] o'neal[0] joe[0] stevens[0] form[0] the[0] james[0] younger[0] gang[0] to[0] wreak[0] revenge[-1] by[0] attacking[-2] the[0] railroad's[0] supply[0] lines[0] sabotaging[0] track[0] and[0] robbing[0] the[0] banks[0] where[0] the[0] payroll[0] is[0] kept[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
plus there's romance - between jesse and a spunky hometown gal , lee mimms ( ali larter ) . 	plus there's romance - between jesse and a spunky hometown get a life� , lee mimms ( ali larter ) .	4	-1	 plus[0] there's[0] romance[3] between[0] jesse[0] and[0] a[0] spunky[0] hometown[0] gal[0] lee[0] mimms[0] ali[0] larter[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
working from a politically-correct , clich ? -drenched , sanitized and revisionist screenplay by roderick taylor and john rodgers , director les mayfield keeps the action fast-paced and goes for lightweight laughs when he can . 	working from a politically-correct , clich ?<br> -drenched , sanitized and revisionist screenplay by roderick taylor and john rodgers , director les mayfield keeps the action fast-paced and goes for lightweight laughs when he can .	2	-1	 working[0] from[0] a[0] politically[0] correct[0] clich[0] [[Sentence=-1,1=word max, 1-5]] drenched[0] sanitized[0] and[0] revisionist[0] screenplay[0] by[0] roderick[0] taylor[0] and[0] john[0] rodgers[0] director[0] les[0] mayfield[0] keeps[0] the[0] action[0] fast[0] paced[0] and[0] goes[0] for[0] lightweight[0] laughs[1] when[0] he[0] can[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the choppy editing hurts but russell boyd's cinematography , luke reichle's designer duds and trevor rabin's music lend authenticity . 	the choppy editing hurts but russell boyd's cinematography , luke reichle's designer duds and trevor rabin's music lend authenticity .	1	-3	 the[0] choppy[0] editing[0] hurts[-2] but[0] russell[0] boyd's[0] cinematography[0] luke[0] reichle's[0] designer[0] duds[0] and[0] trevor[0] rabin's[0] music[0] lend[0] authenticity[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
on the granger movie gauge of 1 to 10 , " american outlaws " is a galloping , formulaic 3 . 	on the granger movie gauge of 1 to 10 , " american outlaws " is a galloping , formulaic 3 .	1	-2	 on[0] the[0] granger[0] movie[0] gauge[0] of[0] 1[0] to[0] 10[0] american[0] outlaws[-1] is[0] a[0] galloping[0] formulaic[0] 3[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it's the wild west re-visited as a date movie . 	it's the wild west re-visited as a date movie .	1	-1	 it's[0] the[0] wild[0] west[0] re[0] visited[0] as[0] a[0] date[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
