the premise of the new james wong film , final destination , is that alex browning , the protagonist , prevents six of his friends from boarding a doomed airplane , thereby cheating fate . 	Translation	Positive	Negative	EmotionRationale
however , fate is not so easily bested , and alex's friends soon begin dying in unusual circumstances . 	however , fate is not so easily bested , and alex's friends soon begin dying in unusual circumstances .	2	-2	 however[0] fate[0] is[0] not[0] so[0] easily[0] bested[0] and[0] alex's[0] friends[1] soon[0] begin[0] dying[-1] in[0] unusual[0] circumstances[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
essentially , this premise is a clever-way to make a slasher-flick without the slasher . 	essentially , this premise is a clever-way to make a slasher-flick without the slasher .	1	-2	 essentially[0] this[0] premise[0] is[0] a[0] clever[0] way[0] to[0] make[0] a[0] slasher[-1] flick[0] without[0] the[0] slasher[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
unfortunately , this is practically the only clever thing about the film . 	unfortunately , this is practically the only clever thing about the film .	1	-2	 unfortunately[-1] this[0] is[0] practically[0] the[0] only[0] clever[0] thing[0] about[0] the[0] film[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
as far as teen horror flicks go , final destination is better than many . 	as far as teen horror flicks go , final destination is better than many .	1	-4	 as[0] far[0] as[0] teen[0] horror[-3] flicks[0] go[0] final[0] destination[0] is[0] better[0] than[0] many[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
there is enough shocking death , graphic gore , and requisite black humor to provide the essential " roller coaster " type thrill at the heart of the average horror flick . 	there is enough shocking death , graphic gore , and requisite black humor to provide the essential " roller coaster " type thrill at the heart of the average horror flick .	4	-4	 there[0] is[0] enough[0] shocking[-2] death[-2][-1 MultiplePositiveWords] graphic[0] gore[0] and[0] requisite[0] black[0] humor[2] to[0] provide[0] the[0] essential[0] roller[0] coaster[0] type[0] thrill[3] at[0] the[0] heart[0] of[0] the[0] average[0] horror[-3] flick[0] [[Sentence=-4,4=word max, 1-5]][[[4,-4 max of sentences]]]
unfortunately , this film also suffers from the worst characteristics of this genre . 	unfortunately , this film also suffers from the worst characteristics of this genre .	1	-4	 unfortunately[-1] this[0] film[0] also[0] suffers[-3] from[0] the[0] worst[-2] characteristics[0] of[0] this[0] genre[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the relationships between the main characters are tenuous and their motivations are meaningless except as excuse to set-up the next death . 	the relationships between the main characters are tenuous and their motivations are meaningless except as excuse to set-up the next death .	1	-3	 the[0] relationships[0] between[0] the[0] main[0] characters[0] are[0] tenuous[0] and[0] their[0] motivations[0] are[0] meaningless[-1] except[0] as[0] excuse[0] to[0] set[0] up[0] the[0] next[0] death[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the scene where two of the characters break into a funeral home to view the body of their recently killed friend is suppose to be scary and dramatic but features some of the dumbest dialogue i have witnessed . 	the scene where two of the characters break into a funeral home to view the body of their recently killed friend is suppose to be scary and dramatic but features some of the dumbest dialogue i have witnessed .	2	-4	 the[0] scene[0] where[0] two[0] of[0] the[0] characters[0] break[0] into[0] a[0] funeral[0] home[0] to[0] view[0] the[0] body[0] of[0] their[0] recently[0] killed[-3] friend[1] is[0] suppose[0] to[0] be[0] scary[-3] and[0] dramatic[0] but[0] features[0] some[0] of[0] the[0] dumbest[-1] dialogue[0] i[0] have[0] witnessed[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
if you are looking for a saturday night thriller to scare your date , this film might do the trick . 	if you are looking for a saturday night thriller to scare your date , this film might do the trick .	2	-4	 if[0] you[0] are[0] looking[0] for[0] a[0] saturday[0] night[0] thriller[1] to[0] scare[-3] your[0] date[0] this[0] film[0] might[0] do[0] the[0] trick[-1] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
other than that , wait until it goes into heavy-rotation on cable . 	other than that , wait until it goes into heavy-rotation on cable .	1	-1	 other[0] than[0] that[0] wait[0] until[0] it[0] goes[0] into[0] heavy[0] rotation[0] on[0] cable[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
