retrospective : city of the living dead ( 1980 ) 	Translation	Positive	Negative	EmotionRationale
a film review by mike watson copyright 1997 mike watson 	a film review by mike watson copyright 1997 mike watson	1	-1	 a[0] film[0] review[0] by[0] mike[0] watson[0] copyright[0] 1997[0] mike[0] watson[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i once heard someone describe the films of italian schlock horror director lucio fulci as " dim-witted " . 	i once heard someone describe the films of italian schlock horror director lucio fulci as " dim-witted " .	1	-4	 i[0] once[0] heard[0] someone[0] describe[0] the[0] films[0] of[0] italian[0] schlock[0] horror[-3] director[0] lucio[0] fulci[0] as[0] dim[-1] witted[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
and by golly , just about all other words fail me when confronted with a dog like city of the living dead . 	and by golly , just about all other words fail me when confronted with a dog like city of the living dead .	2	-3	 and[0] by[0] golly[0] just[0] about[0] all[0] other[0] words[0] fail[-2] me[0] when[0] confronted[-2] with[0] a[0] dog[0] like[1] city[0] of[0] the[0] living[0] dead[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
although the late fulci managed some rather good thrillers in his career , this is not one of them . 	although the late fulci managed some rather good thrillers in his career , this is not one of them .	2	-1	 although[0] the[0] late[0] fulci[0] managed[0] some[0] rather[0] good[1] thrillers[1] in[0] his[0] career[0] this[0] is[0] not[0] one[0] of[0] them[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
two points in the movie's favour - the impressive camerawork of sergio salvati and occasionally evocative score by fabio frizzi - keep things from falling totally into the abyss , but by and large city of the living dead is a failure . 	two points in the movie's favour - the impressive camerawork of sergio salvati and occasionally evocative score by fabio frizi - keep things from falling totally into the abyss , but by and large city of the living dead is a failure .	2	-3	 two[0] points[0] in[0] the[0] movie's[0] favour[1] the[0] impressive[1] camerawork[0] of[0] sergio[0] salvati[0] and[0] occasionally[0] evocative[0] score[0] by[0] fabio[0] frizzi/frizi[0] keep[0] things[0] from[0] falling[0] totally[0] into[0] the[0] abyss[-1] but[0] by[0] and[0] large[0] city[0] of[0] the[0] living[0] dead[-2] is[0] a[0] failure[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
and like most cinematic failures , it comes down to bad writing , dumb performances and lousy direction . 	and like most cinematic failures , it comes down to bad writing , dumb performances and lousy direction .	2	-3	 and[0] like[1] most[0] cinematic[0] failures[-2] it[0] comes[0] down[0] to[0] bad[-1] writing[0] dumb[-1] performances[0] and[0] lousy[-2] direction[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the story starts in new york when , during a seance , a medium ( katherine mccoll ) sees a vision of a priest hanging himself in the town of dunwich , massachusetts . 	the story starts in new york when , during a seance , a medium ( katherine mccoll ) sees a vision of a priest hanging himself in the town of dunwich , massachusetts .	1	-1	 the[0] story[0] starts[0] in[0] new[0] york[0] when[0] during[0] a[0] seance[0] a[0] medium[0] katherine[0] mccoll[0] sees[0] a[0] vision[0] of[0] a[0] priest[0] hanging[0] himself[0] in[0] the[0] town[0] of[0] dunwich[0] massachusetts[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
for reasons we won't go into here , this opens the gates of hell which must be closed by all saints day or the dead will rise and walk the earth . 	for reasons we won't go into here , this opens the gates of hell which must be closed by all saints day or the dead will rise and walk the earth .	1	-3	 for[0] reasons[0] we[0] won't[0] go[0] into[0] here[0] this[0] opens[0] the[0] gates[0] of[0] hell[-1] which[0] must[0] be[0] closed[0] by[0] all[0] saints[0] day[0] or[0] the[0] dead[-2] will[0] rise[0] and[0] walk[0] the[0] earth[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the medium apparently dies of fright during the seance , but awakens in her coffin in the graveyard the next day and is rescued by a crusty old journalist ( christopher george ) . 	the medium apparently dies of fright during the seance , but awakens in her coffin in the graveyard the next day and is rescued by a crusty old journalist ( christopher george ) .	1	-4	 the[0] medium[0] apparently[0] dies[0] of[0] fright[-3] during[0] the[0] seance[0] but[0] awakens[0] in[0] her[0] coffin[0] in[0] the[0] graveyard[-2] the[0] next[0] day[0] and[0] is[0] rescued[0] by[0] a[0] crusty[0] old[0] journalist[0] christopher[0] george[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
that scene in itself is a howler : why would you bust open a coffin with a large pick axe when you know someone is alive inside ? 	that scene in itself is a howler : why would you bust open a coffin with a large pick axe when you know someone is alive inside ?	1	-1	 that[0] scene[0] in[0] itself[0] is[0] a[0] howler[0] why[0] would[0] you[0] bust[0] open[0] a[0] coffin[0] with[0] a[0] large[0] pick[0] axe[0] when[0] you[0] know[0] someone[0] is[0] alive[0] inside[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
