i didn't hate the big hit , even though it is a stupefyingly terrible film . 	Translation	Positive	Negative	EmotionRationale
for the entirety of its running time , my eyes were attached to the screen , and i never once got bored . 	for the entirety of its running time , my eyes were attached to the screen , and i never once got bored .	1	-2	 for[0] the[0] entirety[0] of[0] its[0] running[0] time[0] my[0] eyes[0] were[0] attached[0] to[0] the[0] screen[0] and[0] i[0] never[0] once[0] got[0] bored[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i found the film interesting because of its unique awfulness : this is such a confused disaster of a film that it's entertaining to watch it in the same way that it's entertaining to witness a thirty car pileup on a freeway spaghetti bowl . 	i found the film interesting because of its unique awfulness : this is such a confused disaster of a film that it's entertaining to watch it in the same way that it's entertaining to witness a thirty car pileup on a freeway spaghetti bowl .	2	-4	 i[0] found[0] the[0] film[0] interesting[1] because[0] of[0] its[0] unique[0] awfulness[-3] this[0] is[0] such[0] a[0] confused[-1] disaster[-1] of[0] a[0] film[0] that[0] it's[0] entertaining[0] to[0] watch[0] it[0] in[0] the[0] same[0] way[0] that[0] it's[0] entertaining[0] to[0] witness[0] a[0] thirty[0] car[0] pileup[0] on[0] a[0] freeway[0] spaghetti[0] bowl[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
as a narrative , the big hit is pure garbage , never truly deciding its genre and constantly crossing all kinds of boundaries . 	as a narrative , the big hit is pure garbage , never truly deciding its genre and constantly crossing all kinds of boundaries .	1	-3	 as[0] a[0] narrative[0] the[0] big[0] hit[0] is[0] pure[0] garbage[-2] never[0] truly[1][NegatedDueToPreviousWord] deciding[0] its[0] genre[0] and[0] constantly[0] crossing[0] all[0] kinds[0] of[0] boundaries[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it reminded me a lot of grosse pointe blank , which is a similar film that fails in a lot of the same ways . 	it reminded me a lot of grosse pointe blank , which is a similar film that fails in a lot of the same ways .	1	-3	 it[0] reminded[0] me[0] a[0] lot[0] of[0] grosse[-1] pointe[0] blank[0] which[0] is[0] a[0] similar[0] film[0] that[0] fails[-2] in[0] a[0] lot[0] of[0] the[0] same[0] ways[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it's fine to mix genres , if the film makers know what they're doing . 	it's fine to mix genres , if the film makers know what they're doing .	3	-1	 it's[0] fine[2] to[0] mix[0] genres[0] if[0] the[0] film[0] makers[0] know[0] what[0] they're[0] doing[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
unfortunately , writer ben ramsey and director kirk wong don't seem to know how to handle the material , and the result is an action film that wants to be a comedy . 	unfortunately , writer ben ramsey and director kirk wong don't seem to know how to handle the material , and the result is an action film that wants to be a comedy .	1	-2	 unfortunately[-1] writer[0] ben[0] ramsey[0] and[0] director[0] kirk[0] wong[0] don't[0] seem[0] to[0] know[0] how[0] to[0] handle[0] the[0] material[0] and[0] the[0] result[0] is[0] an[0] action[0] film[0] that[0] wants[0] to[0] be[0] a[0] comedy[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the biggest problem with the amalgamation , in this case , is that the film is absurd and the comedy is out of place . 	the biggest problem with the amalgamation , in this case , is that the film is absurd and the comedy is out of place .	1	-2	 the[0] biggest[0] problem[-1] with[0] the[0] amalgamation[0] in[0] this[0] case[0] is[0] that[0] the[0] film[0] is[0] absurd[-1] and[0] the[0] comedy[0] is[0] out[0] of[0] place[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but it sure is a fascinating failure . 	but it sure is a fascinating failure .	1	-3	 but[0] it[0] sure[0] is[0] a[0] fascinating[0] failure[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
marky . 	marky .	1	-1	 marky[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 . 	 .	1	-1	[[[0,0 max of sentences]]]
 . 	 .	1	-1	[[[0,0 max of sentences]]]
er , mark wahlberg stars as melvin surley , a hitman . 	er , mark wahlberg stars as melvin surley , a hitman .	1	-1	 er[0] mark[0] wahlberg[0] stars[0] as[0] melvin[0] surley[0] a[0] hitman[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he's a good hitman , apparently , although his tactics seem a bit rambunctious ( he doesn't snipe or make clean kills--he just kicks the door down and shoots everything ) . 	he's a good hitman , apparently , although his tactics seem a bit rambunctious ( he doesn't snipe or make clean kills-he just kicks the door down and shoots everything ) .	2	-2	 he's[0] a[0] good[1] hitman[0] apparently[0] although[0] his[0] tactics[0] seem[0] a[0] bit[0] rambunctious[0] he[0] doesn't[0] snipe[0] or[0] make[0] clean[0] kills[0] he[0] just[0] kicks[-1][--1 LastWordBoosterStrength] the[0] door[0] down[0] and[0] shoots[-1] everything[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
he works with a few other hitmen--cisco ( lou diamond phillips ) , crunch ( bokeem woodbine ) , and vinnie ( antonio sabbato , jr . ) . 	he works with a few other hitmen-cisco ( lou diamond phillips ) , crunch ( bokeem woodbine ) , and vinnie ( antonio sabbato , jr .<br> ) .	1	-1	 he[0] works[0] with[0] a[0] few[0] other[0] hitmen[0] cisco[0] lou[0] diamond[0] phillips[0] crunch[0] bokeem[0] woodbine[0] and[0] vinnie[0] antonio[0] sabbato[0] jr[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they're a nice bunch of muscular guys , who stand around in the locker room after working out and compare masturbation to sex . 	they're a nice bunch of muscular guys , who stand around in the locker room after working out and compare masturbation to sex .	2	-1	 they're[0] a[0] nice[1] bunch[0] of[0] muscular[0] guys[0] who[0] stand[0] around[0] in[0] the[0] locker[0] room[0] after[0] working[0] out[0] and[0] compare[0] masturbation[0] to[0] sex[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
they all work for a man named paris ( avery brooks ) , who is rich , powerful , and in constant need of four sloppy hitmen . 	they all work for a man named paris ( avery brooks ) , who is rich , powerful , and in constant need of four sloppy hitmen .	1	-2	 they[0] all[0] work[0] for[0] a[0] man[0] named[0] paris[0] avery[0] brooks[0] who[0] is[0] rich[0] powerful[0] and[0] in[0] constant[0] need[0] of[0] four[0] sloppy[-1] hitmen[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it is very important that they never go beyond their boss and do work on their own ; this , of course , is where the plot comes in . 	it is very important that they never go beyond their boss and do work on their own ; this , of course , is where the plot comes in .	1	-1	 it[0] is[0] very[0] important[0] that[0] they[0] never[0] go[0] beyond[0] their[0] boss[0] and[0] do[0] work[0] on[0] their[0] own[0] this[0] of[0] course[0] is[0] where[0] the[0] plot[0] comes[0] in[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they decide to kidnap a young japanese girl named keiko ( china chow ) , who has a rich father . 	they decide to kidnap a young japanese girl named keiko ( china chow ) , who has a rich father .	1	-2	 they[0] decide[0] to[0] kidnap[-1] a[0] young[0] japanese[0] girl[0] named[0] keiko[0] china[0] chow[0] who[0] has[0] a[0] rich[0] father[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
when they do this , it turns out she is paris' . 	when they do this , it turns out she is paris' .	1	-1	 when[0] they[0] do[0] this[0] it[0] turns[0] out[0] she[0] is[0] paris'[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 . 	 .	1	-1	[[[0,0 max of sentences]]]
 . 	 .	1	-1	[[[0,0 max of sentences]]]
goddaughter ! 	goddaughter !	1	-1	 goddaughter[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's very bad to have paris against you . 	it's very bad to have paris against you .	1	-3	 it's[0] very[0] bad[-1][-1 LastWordBoosterStrength] to[0] have[0] paris[0] against[-1] you[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the story is standard action film stuff . 	the story is standard action film stuff .	1	-1	 the[0] story[0] is[0] standard[0] action[0] film[0] stuff[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's nothing new , and nothing particularly offensive ( but certainly not the slightest bit compelling ) . 	it's nothing new , and nothing particularly offensive ( but certainly not the slightest bit compelling ) .	1	-3	 it's[0] nothing[0] new[0] and[0] nothing[0] particularly[0] offensive[-2] but[0] certainly[0] not[0] the[0] slightest[0] bit[0] compelling[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
clearly the major selling point of the big hit is that it's a john woo-type of action film mixed in with some really hip comedy . 	clearly the major selling point of the big hit is that it's a john woo-type of action film mixed in with some really hip comedy .	1	-1	 clearly[0] the[0] major[0] selling[0] point[0] of[0] the[0] big[0] hit[0] is[0] that[0] it's[0] a[0] john[0] woo[0] type[0] of[0] action[0] film[0] mixed[0] in[0] with[0] some[0] really[0] hip[0] comedy[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
