ripe with explosions , mass death and really weird hairdos , tsui hark's " double team " must be the result of a tipsy hollywood power lunch that decided jean-claude van damme needs another notch on his bad movie-bedpost and nba superstar dennis rodman should have an acting career . 	Translation	Positive	Negative	EmotionRationale
actually , in " double team , " neither's performance is all that bad . 	actually , in " double team , " neither's performance is all that bad .	1	-2	 actually[0] in[0] double[0] team[0] neither's[0] performance[0] is[0] all[0] that[0] bad[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i've always been the one critic to defend van damme -- he possesses a high charisma level that some genre stars ( namely steven seagal ) never aim for ; it's just that he's never made a movie so exuberantly witty since 1994's " timecop . " 	i've always been the one critic to defend van dame - he possesses a high charisma level that some genre stars ( namely steven seagal ) never aim for ; it's just that he's never made a movie so exuberantly witty since 1994's " timecop .<br> "	3	-2	 i've[0] always[0] been[0] the[0] one[0] critic[-1] to[0] defend[0] van[0] damme/dame[0] he[0] possesses[0] a[0] high[0] charisma[0] level[0] that[0] some[0] genre[0] stars[0] namely[0] steven[0] seagal[0] never[0] aim[0] for[0] it's[0] just[0] that[0] he's[0] never[0] made[0] a[0] movie[0] so[0] exuberantly[2] witty[0] since[0] 1994's[0] timecop[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
and rodman . . . 	and rodman .<br> .<br> .	1	-1	 and[0] rodman[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
well , he's pretty much rodman . 	well , he's pretty much rodman .	3	-1	 well[0] he's[0] pretty[2] much[0] rodman[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
he's extremely colorful , and therefore he pretty much fits his role to a t , even if the role is that of an ex-cia weapons expert . 	he's extremely colorful , and therefore he pretty much fits his role to a t , even if the role is that of an ex-cia weapons expert .	3	-2	 he's[0] extremely[0] colorful[0] and[0] therefore[0] he[0] pretty[2] much[0] fits[0] his[0] role[0] to[0] a[0] t[0] even[0] if[0] the[0] role[0] is[0] that[0] of[0] an[0] ex[0] cia[0] weapons[-1] expert[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
it's the story that needs some major work . 	it's the story that needs some major work .	1	-1	 it's[0] the[0] story[0] that[0] needs[0] some[0] major[0] work[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
van damme plays counter-terrorist operative jack quinn , who teams up with arms dealer yaz ( rodman ) to rub out deadly gangster stavros ( mickey rourke , all beefy and weird-looking ) in an antwerp amusement park . the job is botched when stavros' son gets killed in the gunfire , and quinn is taken off to an island known as " the colony " -- a think tank for soldiers " too valuable to kill " but " too dangerous to set free . " 	van dame plays counter-terrorist operative jack quin , who teams up with arms dealer yaz ( rodman ) to rub out deadly gangster stavros ( mickey rourke , all beefy and weird-looking ) in an antwerp amusement park .<br> the job is botched when stavros' son gets killed in the gunfire , and quin is taken off to an island known as " the colony " - a think tank for soldiers " too valuable to kill " but " too dangerous to set free .<br> "	2	-4	 van[0] damme/dame[0] plays[1] counter[0] terrorist[-2] operative[0] jack[0] quinn/quin[0] who[0] teams[0] up[0] with[0] arms[0] dealer[0] yaz[0] rodman[0] to[0] rub[0] out[0] deadly[-1] gangster[0] stavros[0] mickey[0] rourke[0] all[0] beefy[0] and[0] weird[-1] looking[0] in[0] an[0] antwerp[0] amusement[1] park[0] [[Sentence=-3,2=word max, 1-5]] the[0] job[0] is[0] botched[0] when[0] stavros'[0] son[0] gets[0] killed[-3] in[0] the[0] gunfire[-1] and[0] quinn/quin[0] is[0] taken[0] off[0] to[0] an[0] island[0] known[0] as[0] the[0] colony[0] a[0] think[0] tank[0] for[0] soldiers[0] too[0] valuable[1] to[0] kill[-1] but[0] too[0] dangerous[-1] to[0] set[0] free[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
quinn escapes and tries to make it back home to his pregnant wife ( natacha lindinger ) , but stavros is out for revenge and kidnaps her . 	quin escapes and tries to make it back home to his pregnant wife ( natacha lindinger ) , but stavros is out for revenge and kidnaps her .	1	-2	 quinn/quin[0] escapes[0] and[0] tries[0] to[0] make[0] it[0] back[0] home[0] to[0] his[0] pregnant[0] wife[0] natacha[0] lindinger[0] but[0] stavros[0] is[0] out[0] for[0] revenge[-1] and[0] kidnaps[0] her[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
so , what's a kickboxing mercenary to do ? 	so , what's a kickboxing mercenary to do ?	1	-2	 so[0] what's[0] a[0] kickboxing[-1] mercenary[0] to[0] do[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
quinn looks up yaz and the two travel to rome so they can rescue the woman , kill stavros , save the world and do whatever else the screenplay requires them to do . 	quin looks up yaz and the two travel to rome so they can rescue the woman , kill stavros , save the world and do whatever else the screenplay requires them to do .	2	-2	 quinn/quin[0] looks[0] up[0] yaz[0] and[0] the[0] two[0] travel[0] to[0] rome[0] so[0] they[0] can[0] rescue[0] the[0] woman[0] kill[-1] stavros[0] save[1] the[0] world[0] and[0] do[0] whatever[0] else[0] the[0] screenplay[0] requires[0] them[0] to[0] do[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
