michael crichton has had a long career of writing novels , many of which are science fiction . 	Translation	Positive	Negative	EmotionRationale
the most profitable film adaptation of any novel was an adaptation of a michael crichton science fiction novel . 	the most profitable film adaptation of any novel was an adaptation of a michael crichton science fiction novel .	2	-1	 the[0] most[0] profitable[1] film[0] adaptation[0] of[0] any[0] novel[0] was[0] an[0] adaptation[0] of[0] a[0] michael[0] crichton[0] science[0] fiction[0] novel[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
so in the logic of the film industry a good way to make a profitable film would be to make a big-budget adaptation of another crichton science fiction novel . 	so in the logic of the film industry a good way to make a profitable film would be to make a big-budget adaptation of another crichton science fiction novel .	2	-1	 so[0] in[0] the[0] logic[0] of[0] the[0] film[0] industry[0] a[0] good[1] way[0] to[0] make[0] a[0] profitable[1] film[0] would[0] be[0] to[0] make[0] a[0] big[0] budget[0] adaptation[0] of[0] another[0] crichton[0] science[0] fiction[0] novel[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
congo failed , and i am afraid that sphere is probably not going to fare a whole lot better . 	congo failed , and i am afraid that sphere is probably not going to fare a whole lot better .	1	-4	 congo[0] failed[-2] and[0] i[0] am[0] afraid[-3] that[0] sphere[0] is[0] probably[0] not[0] going[0] to[0] fare[0] a[0] whole[0] lot[0] better[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
it a little better than just okay novel and it makes a film that is not even that good . 	it a little better than just okay novel and it makes a film that is not even that good .	2	-1	 it[0] a[0] little[0] better[0] than[0] just[0] okay[0] novel[0] and[0] it[0] makes[0] a[0] film[0] that[0] is[0] not[0] even[0] that[0] good[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the film is expensive , over one hundred million dollars ; is long , 133 minutes ; has a terrific cast , including dustin hoffman , samuel l . jackson , and sharon stone ; but has little that is really original and less that is exciting . 	the film is expensive , over one hundred million dollars ; is long , 133 minutes ; has a terrific cast , including dustin hoffman , samuel l .<br> jackson , and sharon stone ; but has little that is really original and less that is exciting .	4	-2	 the[0] film[0] is[0] expensive[-1] over[0] one[0] hundred[0] million[0] dollars[0] is[0] long[0] 133[0] minutes[0] has[0] a[0] terrific[3] cast[0] including[0] dustin[0] hoffman[0] samuel[0] l[0] [[Sentence=-2,4=word max, 1-5]] jackson[0] and[0] sharon[0] stone[0] but[0] has[0] little[0] that[0] is[0] really[0] original[0] and[0] less[0] that[0] is[0] exciting[2] [[Sentence=-1,3=word max, 1-5]][[[4,-2 max of sentences]]]
several years ago dr . norman goodman ( played by dustin hoffman ) was asked to write up a set of procedures for the government to follow if an alien entity was actually encountered . 	several years ago dr .<br> norman goodman ( played by dustin hoffman ) was asked to write up a set of procedures for the government to follow if an alien entity was actually encountered .	1	-2	 several[0] years[0] ago[0] dr[0] [[Sentence=-1,1=word max, 1-5]] norman[0] goodman[0] played[0] by[0] dustin[0] hoffman[0] was[0] asked[0] to[0] write[0] up[0] a[0] set[0] of[0] procedures[0] for[0] the[0] government[0] to[0] follow[0] if[0] an[0] alien[-1] entity[0] was[0] actually[0] encountered[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the plan he wrote was only semi-serious , but did explicitly define a team of experts who should investigate the alien . 	the plan he wrote was only semi-serious , but did explicitly define a team of experts who should investigate the alien .	1	-2	 the[0] plan[0] he[0] wrote[0] was[0] only[0] semi[0] serious[-1] but[0] did[0] explicitly[0] define[0] a[0] team[0] of[0] experts[0] who[0] should[0] investigate[0] the[0] alien[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
now that team has been assembled by a mysterious team leader named barnes ( peter coyote ) to study a spacecraft almost a half mile in length that apparently dropped into the pacific ocean in the early 1700s . 	now that team has been assembled by a mysterious team leader named barnes ( peter coyote ) to study a spacecraft almost a half mile in length that apparently dropped into the pacific ocean in the early 1700s .	1	-1	 now[0] that[0] team[0] has[0] been[0] assembled[0] by[0] a[0] mysterious[0] team[0] leader[0] named[0] barnes[0] peter[0] coyote[0] to[0] study[0] a[0] spacecraft[0] almost[0] a[0] half[0] mile[0] in[0] length[0] that[0] apparently[0] dropped[0] into[0] the[0] pacific[0] ocean[0] in[0] the[0] early[0] 1700s[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
suddenly norman's less than serious procedure has become an action plan for dealing with a real alien spacecraft . 	suddenly norman's less than serious procedure has become an action plan for dealing with a real alien spacecraft .	1	-2	 suddenly[0] norman's[0] less[0] than[0] serious[-1] procedure[0] has[0] become[0] an[0] action[0] plan[0] for[0] dealing[0] with[0] a[0] real[0] alien[-1] spacecraft[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
included in the team to investigate are mathematician harry adams ( samuel l . jackson ) , biologist beth halperin ( sharon stone ) , and astrophysicist ted fielding ( liev schreiber ) . 	included in the team to investigate are mathematician harry adams ( samuel l .<br> jackson ) , biologist beth halperin ( sharon stone ) , and astrophysicist ted fielding ( liev schreiber ) .	1	-1	 included[0] in[0] the[0] team[0] to[0] investigate[0] are[0] mathematician[0] harry[0] adams[0] samuel[0] l[0] [[Sentence=-1,1=word max, 1-5]] jackson[0] biologist[0] beth[0] halperin[0] sharon[0] stone[0] and[0] astrophysicist[0] ted[0] fielding[0] liev[0] schreiber[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
