lucas was wise to start his star wars trilogy with episode 4 : episode 1 is a boring , empty spectacle that features some nice special effects . 	Translation	Positive	Negative	EmotionRationale
after the familiar 'a long time ago . . . . ' 	after the familiar 'a long time ago .<br> .<br> .<br> .<br> '	1	-1	 after[0] the[0] familiar[0] 'a[0] long[0] time[0] ago[0] [[Sentence=-1,1=word max, 1-5]] '[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
opening , the film starts with the opening yellow crawl that features in every star wars movie and computer game . 	opening , the film starts with the opening yellow crawl that features in every star wars movie and computer game .	1	-3	 opening[0] the[0] film[0] starts[0] with[0] the[0] opening[0] yellow[0] crawl[0] that[0] features[0] in[0] every[0] star[0] wars[-2] movie[0] and[0] computer[0] game[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the plot is that the trade confederation are blocking off supplies to the peaceful planet of naboo , ruled by queen amidala ( portman ) jedi knights qui-gon ( neeson ) and obi wan ( mcgregor ) are sent to negotiate a deal with the confederation to stop the blockade . 	the plot is that the trade confederation are blocking off supplies to the peaceful planet of naboo , ruled by queen amidala ( portman ) jedi knights qui-gon ( neeson ) and obi wan ( mcgregor ) are sent to negotiate a deal with the confederation to stop the blockade .	1	-2	 the[0] plot[0] is[0] that[0] the[0] trade[0] confederation[0] are[0] blocking[-1] off[0] supplies[0] to[0] the[0] peaceful[0] planet[0] of[0] naboo[0] ruled[0] by[0] queen[0] amidala[0] portman[0] jedi[0] knights[0] qui[0] gon[0] neeson[0] and[0] obi[0] wan[0] mcgregor[0] are[0] sent[0] to[0] negotiate[0] a[0] deal[0] with[0] the[0] confederation[0] to[0] stop[0] the[0] blockade[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
however , this simple blockade is not all it seems , and the jedi knights soon have to deal with many more dangers , including facing the evil darth maul ( ray park . ) 	however , this simple blockade is not all it seems , and the jedi knights soon have to deal with many more dangers , including facing the evil darth maul ( ray park .<br> )	1	-3	 however[0] this[0] simple[0] blockade[-1] is[0] not[0] all[0] it[0] seems[0] and[0] the[0] jedi[0] knights[0] soon[0] have[0] to[0] deal[0] with[0] many[0] more[0] dangers[-1] including[0] facing[0] the[0] evil[-2] darth[0] maul[0] ray[0] park[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
they also meet the future darth vadar , anakin skywalker ( jake lloyd ) 	they also meet the future darth vadar , anakin skywalker ( jake lloyd )	1	-1	 they[0] also[0] meet[0] the[0] future[0] darth[0] vadar[0] anakin[0] skywalker[0] jake[0] lloyd[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
star wars is largely a failure in all the major areas of filmmaking : script , direction and characters . 	star wars is largely a failure in all the major areas of filmmaking : script , direction and characters .	1	-3	 star[0] wars[-2] is[0] largely[0] a[0] failure[-2] in[0] all[0] the[0] major[0] areas[0] of[0] filmmaking[0] script[0] direction[0] and[0] characters[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the script desperately tries to make an thin and boring story into a two hour epic . 	the script desperately tries to make an thin and boring story into a two hour epic .	1	-3	 the[0] script[0] desperately[-2] tries[0] to[0] make[0] an[0] thin[0] and[0] boring[-1] story[0] into[0] a[0] two[0] hour[0] epic[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the trade confederation plot is just not as exciting as the death star , and as the film goes on the drama becomes more and more non-existent . 	the trade confederation plot is just not as exciting as the death star , and as the film goes on the drama becomes more and more non-existent .	1	-3	 the[0] trade[0] confederation[0] plot[0] is[0] just[0] not[0] as[0] exciting[2][NegatedDueToPreviousWord] as[0] the[0] death[-2] star[0] and[0] as[0] the[0] film[0] goes[0] on[0] the[0] drama[0] becomes[0] more[0] and[0] more[0] non[0] existent[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
there's no underlying tension , and no urgent need to see what the outcome is . 	there's no underlying tension , and no urgent need to see what the outcome is .	1	-3	 there's[0] no[0] underlying[0] tension[-2] and[0] no[0] urgent[0] need[0] to[0] see[0] what[0] the[0] outcome[0] is[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the film also takes a leisurely pace in telling the boring story , which doesn't help . 	the film also takes a leisurely pace in telling the boring story , which doesn't help .	1	-2	 the[0] film[0] also[0] takes[0] a[0] leisurely[0] pace[0] in[0] telling[0] the[0] boring[-1] story[0] which[0] doesn't[0] help[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
there's no snap to make the film work , it moves at a plod . 	there's no snap to make the film work , it moves at a plod .	1	-2	 there's[0] no[0] snap[0] to[0] make[0] the[0] film[0] work[0] it[0] moves[0] at[0] a[0] plod[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the script is boring : all the characters speak in morals , especially anakins mother . 	the script is boring : all the characters speak in morals , especially anakins mother .	1	-2	 the[0] script[0] is[0] boring[-1] all[0] the[0] characters[0] speak[0] in[0] morals[0] especially[0] anakins[0] mother[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
there's no group spirit evident here , and when all characters can speak only in profound statements or bark orders , it's evident that not much is going to happen . 	there's no group spirit evident here , and when all characters can speak only in profound statements or bark orders , it's evident that not much is going to happen .	1	-1	 there's[0] no[0] group[0] spirit[0] evident[0] here[0] and[0] when[0] all[0] characters[0] can[0] speak[0] only[0] in[0] profound[0] statements[0] or[0] bark[0] orders[0] it's[0] evident[0] that[0] not[0] much[0] is[0] going[0] to[0] happen[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the two leads are hideously boring , static characters given little to do and too much time to do it . 	the two leads are hideously boring , static characters given little to do and too much time to do it .	1	-2	 the[0] two[0] leads[0] are[0] hideously[0] boring[-1] static[-1] characters[0] given[0] little[0] to[0] do[0] and[0] too[0] much[0] time[0] to[0] do[0] it[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
qui-gon and obi-wan hold no presence on film , and give little for the audience to root for . 	qui-gon and obi-wan hold no presence on film , and give little for the audience to root for .	1	-1	 qui[0] gon[0] and[0] obi[0] wan[0] hold[0] no[0] presence[0] on[0] film[0] and[0] give[0] little[0] for[0] the[0] audience[0] to[0] root[0] for[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the audience will probably warm more to bad guy darth maul , if he had been given more screen time . 	the audience will probably warm more to bad guy darth maul , if he had been given more screen time .	1	-2	 the[0] audience[0] will[0] probably[0] warm[0] more[0] to[0] bad[-1] guy[0] darth[0] maul[0] if[0] he[0] had[0] been[0] given[0] more[0] screen[0] time[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
maul is one of the most underused bad guys in film history , even if he does provide the only 'straight' plot line in the film ( all the other plots in this film are to be concluded throughout the trilogy . ) 	maul is one of the most underused bad guys in film history , even if he does provide the only 'straight' plot line in the film ( all the other plots in this film are to be concluded throughout the trilogy .<br> )	1	-2	 maul[0] is[0] one[0] of[0] the[0] most[0] underused[0] bad[-1] guys[0] in[0] film[0] history[0] even[0] if[0] he[0] does[0] provide[0] the[0] only[0] 'straight'[0] plot[0] line[0] in[0] the[0] film[0] all[0] the[0] other[0] plots[0] in[0] this[0] film[0] are[0] to[0] be[0] concluded[0] throughout[0] the[0] trilogy[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
anakin is annoying and unlikeable . , 	anakin is annoying and unlikeable .<br> ,	1	-3	 anakin[0] is[0] annoying[-2] and[0] unlikeable[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
instead of cute and huggable as lucas no doubt intended . 	instead of cute and huggable as lucas no doubt intended .	3	-2	 instead[0] of[0] cute[1] and[0] huggable[2] as[0] lucas[0] no[0] doubt[-1] intended[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
it's probably not surprising that his hateful little boy , unfortunately blessed 'ani' by everyone he knows , joins the dark side and kills everyone as quickly as possible . 	it's probably not surprising that his hateful little boy , unfortunately blessed 'ani' by everyone he knows , joins the dark side and kills everyone as quickly as possible .	2	-4	 it's[0] probably[0] not[0] surprising[0] that[0] his[0] hateful[-3] little[0] boy[0] unfortunately[-1] blessed[1] 'ani'[0] by[0] everyone[0] he[0] knows[0] joins[0] the[0] dark[0] side[0] and[0] kills[0] everyone[0] as[0] quickly[0] as[0] possible[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
the comedy relief is supposedly provided by the gangly jar jar brinks , although in the end none is provided in the film by him . 	the comedy relief is supposedly provided by the gangly jar jar brinks , although in the end none is provided in the film by him .	2	-1	 the[0] comedy[0] relief[1] is[0] supposedly[0] provided[0] by[0] the[0] gangly[0] jar[0] jar[0] brinks[0] although[0] in[0] the[0] end[0] none[0] is[0] provided[0] in[0] the[0] film[0] by[0] him[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
although his floppy features will no doubt be great for stuffed toys , the lines and actions he is given are painfully unfunny . 	although his floppy features will no doubt be great for stuffed toys , the lines and actions he is given are painfully unfunny .	3	-4	 although[0] his[0] floppy[0] features[0] will[0] no[0] doubt[-1] be[0] great[2] for[0] stuffed[0] toys[0] the[0] lines[0] and[0] actions[0] he[0] is[0] given[0] are[0] painfully[-3] unfunny[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
the only good laugh is when his tongue is burned by a 'pod' racer , because i knew he wouldn't be able to talk for a while . 	the only good laugh is when his tongue is burned by a 'pod' racer , because i knew he wouldn't be able to talk for a while .	2	-2	 the[0] only[0] good[1] laugh[1] is[0] when[0] his[0] tongue[0] is[0] burned[-1] by[0] a[0] 'pod'[0] racer[0] because[0] i[0] knew[0] he[0] wouldn't[0] be[0] able[0] to[0] talk[0] for[0] a[0] while[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
queen amidala is a nothing in the film , she serves no real purpose apart from the fact that she must 'serve her people , ' and go goo-goo over anakin . 	queen amidala is a nothing in the film , she serves no real purpose apart from the fact that she must 'serve her people , ' and go goo-goo over anakin .	1	-1	 queen[0] amidala[0] is[0] a[0] nothing[0] in[0] the[0] film[0] she[0] serves[0] no[0] real[0] purpose[0] apart[0] from[0] the[0] fact[0] that[0] she[0] must[0] 'serve[0] her[0] people[0] '[0] and[0] go[0] goo[0] goo[0] over[0] anakin[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
again , her role will become more important in the later episodes , and is given little to do here . 	again , her role will become more important in the later episodes , and is given little to do here .	1	-1	 again[0] her[0] role[0] will[0] become[0] more[0] important[0] in[0] the[0] later[0] episodes[0] and[0] is[0] given[0] little[0] to[0] do[0] here[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the actors don't help the movie much either . 	the actors don't help the movie much either .	1	-1	 the[0] actors[0] don't[0] help[0] the[0] movie[0] much[0] either[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
liam neeson seems bored and embarrassed , and seems desperate to leave the movie as quickly as possible . 	liam neeson seems bored and embarrassed , and seems desperate to leave the movie as quickly as possible .	1	-3	 liam[0] neeson[0] seems[0] bored[-1] and[0] embarrassed[-2] and[0] seems[0] desperate[-2] to[0] leave[0] the[0] movie[0] as[0] quickly[0] as[0] possible[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
mcgregor comes across as a posh mothers boy , with little charm . 	mcgregor comes across as a posh mothers boy , with little charm .	2	-1	 mcgregor[0] comes[0] across[0] as[0] a[0] posh[0] mothers[0] boy[0] with[0] little[0] charm[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the casting director must have chose him because he's scottish like alec guinness : there's little other explanation for it . 	the casting director must have chose him because he's scottish like alec guinness : there's little other explanation for it .	2	-1	 the[0] casting[0] director[0] must[0] have[0] chose[0] him[0] because[0] he's[0] scottish[0] like[1] alec[0] guinness[0] there's[0] little[0] other[0] explanation[0] for[0] it[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
natalie portman is plagued by hideous costumes and a poor script , but she delivers a spunky performance . 	natalie portman is plagued by hideous costumes and a poor script , but she delivers a spunky performance .	1	-2	 natalie[0] portman[0] is[0] plagued[-1] by[0] hideous[-1] costumes[0] and[0] a[0] poor[-1] script[0] but[0] she[0] delivers[0] a[0] spunky[0] performance[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
and jake lloyd looks at everyone with hateful eyes and delivers his lines in a bored voice . 	and jake lloyd looks at everyone with hateful eyes and delivers his lines in a bored voice .	1	-4	 and[0] jake[0] lloyd[0] looks[0] at[0] everyone[0] with[0] hateful[-3] eyes[0] and[0] delivers[0] his[0] lines[0] in[0] a[0] bored[-1] voice[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
