dr dolittle ( 20th century fox ) running time : 1 hour 25 minutes starring eddie murphy directed by betty thomas riding high on the success of the nutty professor ( 1996 ) , murphy returns in this abysmal comedy . 	Translation	Positive	Negative	EmotionRationale
he plays doctor john dolittle , who as a child had the ability to understand animals . 	he plays doctor john dolittle , who as a child had the ability to understand animals .	2	-1	 he[0] plays[1] doctor[0] john[0] dolittle[0] who[0] as[0] a[0] child[0] had[0] the[0] ability[0] to[0] understand[0] animals[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
however , after being 'exorcised' he loses this ability , and we fast forward to see dolittle in a crummy job surrounding by crummy people ( most notably dr mark weller , played by oliver platt . ) 	however , after being 'exorcised' he loses this ability , and we fast forward to see dolittle in a crummy job surrounding by crummy people ( most notably dr mark weller , played by oliver platt .<br> )	2	-2	 however[0] after[0] being[0] 'exorcised'[0] he[0] loses[-1] this[0] ability[0] and[0] we[0] fast[0] forward[0] to[0] see[0] dolittle[0] in[0] a[0] crummy[0] job[0] surrounding[0] by[0] crummy[0] people[0] most[0] notably[0] dr[0] mark[0] weller[1] played[0] by[0] oliver[0] platt[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
however , with a bonk on the head his ability to understand animals returns , and 'comedy' is ready and waiting to happen . 	however , with a bonk on the head his ability to understand animals returns , and 'comedy' is ready and waiting to happen .	1	-1	 however[0] with[0] a[0] bonk[0] on[0] the[0] head[0] his[0] ability[0] to[0] understand[0] animals[0] returns[0] and[0] 'comedy'[0] is[0] ready[0] and[0] waiting[0] to[0] happen[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
except comedy never does happen . 	except comedy never does happen .	1	-1	 except[0] comedy[0] never[0] does[0] happen[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
doctor dolittle , even with the excellent premise , rarely manages to raise a laugh . 	doctor dolittle , even with the excellent premise , rarely manages to raise a laugh .	4	-1	 doctor[0] dolittle[0] even[0] with[0] the[0] excellent[3] premise[0] rarely[0] manages[0] to[0] raise[0] a[0] laugh[1] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
poor old murphy looks bored stiff throughout the whole movie , and his performance suffers . 	poor old murphy looks bored stiff throughout the whole movie , and his performance suffers .	1	-4	 poor[-1] old[0] murphy[0] looks[0] bored[-1] stiff[0] throughout[0] the[0] whole[0] movie[0] and[0] his[0] performance[0] suffers[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the manic murphy we saw in the 80's is gone , his more mature ( and more boring ) twin appears to be getting all the work in the 90's . 	the manic murphy we saw in the 80's is gone , his more mature ( and more boring ) twin appears to be getting all the work in the 90's .	1	-2	 the[0] manic[0] murphy[0] we[0] saw[0] in[0] the[0] 80's[0] is[0] gone[0] his[0] more[0] mature[0] and[0] more[0] boring[-1] twin[0] appears[0] to[0] be[0] getting[0] all[0] the[0] work[0] in[0] the[0] 90's[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the voices of the animals , which include albert brooks , chris rock ( the 'new' eddie murphy ) and norm mcdonald as 'lucky' the dog are marginally better , and at least they put enthusiasm in the movie . 	the voices of the animals , which include albert brooks , chris rock ( the 'new' eddie murphy ) and norm mcdonald as 'lucky' the dog are marginally better , and at least they put enthusiasm in the movie .	3	-1	 the[0] voices[0] of[0] the[0] animals[0] which[0] include[0] albert[0] brooks[0] chris[0] rock[1] the[0] 'new'[0] eddie[0] murphy[0] and[0] norm[0] mcdonald[0] as[0] 'lucky'[0] the[0] dog[0] are[0] marginally[0] better[0] and[0] at[0] least[0] they[0] put[0] enthusiasm[2] in[0] the[0] movie[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
sadly , most of their lines are pretty dumb . 	sadly , most of their lines are pretty dumb .	3	-2	 sadly[-1] most[0] of[0] their[0] lines[0] are[0] pretty[2] dumb[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
and they're not 'funny' dumb , like dumb & dumber ( 1994 ) , but just boring dumb . 	and they're not 'funny' dumb , like dumb & dumber ( 1994 ) , but just boring dumb .	2	-2	 and[0] they're[0] not[0] 'funny'[0] dumb[-1][NegatedDueToPreviousWord] like[1] dumb[-1] &[0] dumber[-1] 1994[0] but[0] just[0] boring[-1][--1 LastWordBoosterStrength] dumb[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
