when the haunting arrived in theaters , all i kept hearing about was the overdone special effects and the fact that very often the unseen bumps in the night in a horror film are far scarier than those that you can put a face to courtesy of special effects . 	Translation	Positive	Negative	EmotionRationale
while i agree that this remake of the haunting goes a bit overboard in the visual effects department , i don't think that they are completely to blame for this movie's failure . 	while i agree that this remake of the haunting goes a bit overboard in the visual effects department , i don't think that they are completely to blame for this movie's failure .	1	-3	 while[0] i[0] agree[0] that[0] this[0] remake[0] of[0] the[0] haunting[0] goes[0] a[0] bit[0] overboard[0] in[0] the[0] visual[0] effects[0] department[0] i[0] don't[0] think[0] that[0] they[0] are[0] completely[0] to[0] blame[-1] for[0] this[0] movie's[0] failure[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it appears that some people have failed to take into account that the original haunting had the " unseen " terrors , and it was about as scary as a dust bunny . 	it appears that some people have failed to take into account that the original haunting had the " unseen " terrors , and it was about as scary as a dust bunny .	1	-4	 it[0] appears[0] that[0] some[0] people[0] have[0] failed[-2] to[0] take[0] into[0] account[0] that[0] the[0] original[0] haunting[0] had[0] the[0] unseen[0] terrors[-2] and[0] it[0] was[0] about[0] as[0] scary[-3] as[0] a[0] dust[0] bunny[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
so special effects or not , if the story isn't the least bit scary , you aren't going to end up with a very frightening movie . 	so special effects or not , if the story isn't the least bit scary , you aren't going to end up with a very frightening movie .	2	-5	 so[0] special[1] effects[0] or[0] not[0] if[0] the[0] story[0] isn't[0] the[0] least[0] bit[0] scary[-3] you[0] aren't[0] going[0] to[0] end[0] up[0] with[0] a[0] very[0] frightening[-3][-1 LastWordBoosterStrength] movie[0] [[Sentence=-5,2=word max, 1-5]][[[2,-5 max of sentences]]]
the thing that interested me most about this movie was the caretaker of this building played by bruce dern . 	the thing that interested me most about this movie was the caretaker of this building played by bruce dern .	2	-1	 the[0] thing[0] that[0] interested[1] me[0] most[0] about[0] this[0] movie[0] was[0] the[0] caretaker[0] of[0] this[0] building[0] played[0] by[0] bruce[0] dern[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
dern is always great , and even though he may have had only about 3 minutes of screen time he was still the most interesting element of the movie . 	dern is always great , and even though he may have had only about 3 minutes of screen time he was still the most interesting element of the movie .	3	-1	 dern[0] is[0] always[0] great[2] and[0] even[0] though[0] he[0] may[0] have[0] had[0] only[0] about[0] 3[0] minutes[0] of[0] screen[0] time[0] he[0] was[0] still[0] the[0] most[0] interesting[1] element[0] of[0] the[0] movie[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
as i sat through the seemingly endless , albeit fairly impressive , special effects , i kept wishing that this movie was about dern's caretaker and not the one dimensional characters that populated the cast . 	as i sat through the seemingly endless , albeit fairly impressive , special effects , i kept wishing that this movie was about dern's caretaker and not the one dimensional characters that populated the cast .	2	-1	 as[0] i[0] sat[0] through[0] the[0] seemingly[0] endless[0] albeit[0] fairly[0] impressive[1] special[1] effects[0] i[0] kept[0] wishing[0] that[0] this[0] movie[0] was[0] about[0] dern's[0] caretaker[0] and[0] not[0] the[0] one[0] dimensional[0] characters[0] that[0] populated[0] the[0] cast[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
never a good sign when a bit player is the best part of the movie . 	never a good sign when a bit player is the best part of the movie .	2	-2	 never[0] a[0] good[1][NegatedDueToPreviousWord] sign[0] when[0] a[0] bit[0] player[0] is[0] the[0] best[1] part[0] of[0] the[0] movie[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
liam neeson plays a scientist who is conducting experiments on fear . 	liam neeson plays a scientist who is conducting experiments on fear .	2	-4	 liam[0] neeson[0] plays[1] a[0] scientist[0] who[0] is[0] conducting[0] experiments[0] on[0] fear[-3] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
he decides the best way to get results is to trick a group of fairly unstable individuals to spend a few days in a haunted mansion . 	he decides the best way to get results is to trick a group of fairly unstable individuals to spend a few days in a haunted mansion .	2	-2	 he[0] decides[0] the[0] best[1] way[0] to[0] get[0] results[0] is[0] to[0] trick[-1] a[0] group[0] of[0] fairly[0] unstable[-1] individuals[0] to[0] spend[0] a[0] few[0] days[0] in[0] a[0] haunted[0] mansion[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
he tricks them into participating by letting on that he is conducting an experiment on insomnia . 	he tricks them into participating by letting on that he is conducting an experiment on insomnia .	1	-2	 he[0] tricks[-1] them[0] into[0] participating[0] by[0] letting[0] on[0] that[0] he[0] is[0] conducting[0] an[0] experiment[0] on[0] insomnia[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
