when i arrived in paris in june , 1992 , i was surprised to find france plastered with posters twin peaks : fire walk with me , since the movie wasn't scheduled to open in the u . s . until late august . 	Translation	Positive	Negative	EmotionRationale
happily , the film--the prequel to david lynch's cult television series--was playing in a fancy , thx theater . 	happily , the film-the prequel to david lynch's cult television series-was playing in a fancy , thanks theater .	3	-1	 happily[2] the[0] film[0] the[0] prequel[0] to[0] david[0] lynch's[0] cult[0] television[0] series[0] was[0] playing[1] in[0] a[0] fancy[0] thx[0] theater[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
unfortunately , the theater was far more impressive than the movie , which absolutely stinks , much like a french lavatory . 	unfortunately , the theater was far more impressive than the movie , which absolutely stinks , much like a french lavatory .	2	-4	 unfortunately[-1] the[0] theater[0] was[0] far[0] more[0] impressive[1] than[0] the[0] movie[0] which[0] absolutely[0] stinks[-2][-1 LastWordBoosterStrength] much[0] like[1] a[0] french[0] lavatory[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
worse , actually . 	worse , actually .	1	-3	 worse[-2] actually[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
fire walk with me ( directed by lynch ) will be completely incomprehensible to anyone who has not seen the tv series or read " laura palmer's secret diary . " 	fire walk with me ( directed by lynch ) will be completely incomprehensible to anyone who has not seen the tv series or read " laura palmer's secret diary .<br> "	1	-1	 fire[0] walk[0] with[0] me[0] directed[0] by[0] lynch[0] will[0] be[0] completely[0] incomprehensible[0] to[0] anyone[0] who[0] has[0] not[0] seen[0] the[0] tv[0] series[0] or[0] read[0] laura[0] palmer's[0] secret[0] diary[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
for " twin peaks " junkies , like me , the movie is only marginally improved . 	for " twin peaks " junkies , like me , the movie is only marginally improved .	2	-1	 for[0] twin[0] peaks[0] junkies[0] like[1] me[0] the[0] movie[0] is[0] only[0] marginally[0] improved[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the plot is jumbled and illogical , not to mention excruciatingly sluggish . 	the plot is jumbled and illogical , not to mention excruciatingly sluggish .	1	-5	 the[0] plot[0] is[0] jumbled[0] and[0] illogical[-1] not[0] to[0] mention[0] excruciatingly[-4] sluggish[-1] [[Sentence=-5,1=word max, 1-5]][[[1,-5 max of sentences]]]
the first 30 minutes , which have almost nothing to do with the main story line , feature chris isaak and kiefer sutherland as fbi agents investigating a murder in portland , oregon . 	the first 30 minutes , which have almost nothing to do with the main story line , feature chris isak and kiefer sutherland as fbi agents investigating a murder in portland , oregon .	1	-4	 the[0] first[0] 30[0] minutes[0] which[0] have[0] almost[0] nothing[0] to[0] do[0] with[0] the[0] main[0] story[0] line[0] feature[0] chris[0] isaak/isak[0] and[0] kiefer[0] sutherland[0] as[0] fbi[0] agents[0] investigating[0] a[0] murder[-3] in[0] portland[0] oregon[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the movie then stops in philadelphia for a nonsensical cameo by david bowie and a brief appearance by kyle maclachlan as dale cooper . 	the movie then stops in philadelphia for a nonsensical cameo by david bowie and a brief appearance by kyle maclachlan as dale cooper .	1	-2	 the[0] movie[0] then[0] stops[0] in[0] philadelphia[0] for[0] a[0] nonsensical[-1] cameo[0] by[0] david[0] bowie[0] and[0] a[0] brief[0] appearance[0] by[0] kyle[0] maclachlan[0] as[0] dale[0] cooper[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
lynch then drops this plot strand altogether and abruptly shifts the setting to twin peaks , washington--one year later . 	lynch then drops this plot strand altogether and abruptly shifts the setting to twin peaks , washington-one year later .	1	-1	 lynch[0] then[0] drops[0] this[0] plot[0] strand[0] altogether[0] and[0] abruptly[0] shifts[0] the[0] setting[0] to[0] twin[0] peaks[0] washington[0] one[0] year[0] later[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
ah , twin peaks : " familiar territory , " you think to yourself as angelo badalamenti's distinctive musical score chimes in . 	ah , twin peaks : " familiar territory , " you think to yourself as angelo badalamenti's distinctive musical score chimes in .	1	-1	 ah[0] twin[0] peaks[0] familiar[0] territory[0] you[0] think[0] to[0] yourself[0] as[0] angelo[0] badalamenti's[0] distinctive[0] musical[0] score[0] chimes[0] in[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
wrong ! 	wrong !	1	-2	 wrong[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the movie proves that you really can't go home again , or at least lynch can't . 	the movie proves that you really can't go home again , or at least lynch can't .	1	-1	 the[0] movie[0] proves[0] that[0] you[0] really[0] can't[0] go[0] home[0] again[0] or[0] at[0] least[0] lynch[0] can't[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
only about a quarter of the characters from the tv series appear in the movie : leland palmer , bobby briggs , james , shelly , leo , the log lady and a few others--mostly in meaningless cameos . 	only about a quarter of the characters from the tv series appear in the movie : leland palmer , bobby briggs , james , shelly , leo , the log lady and a few others-mostly in meaningless cameos .	1	-2	 only[0] about[0] a[0] quarter[0] of[0] the[0] characters[0] from[0] the[0] tv[0] series[0] appear[0] in[0] the[0] movie[0] leland[0] palmer[0] bobby[0] briggs[0] james[0] shelly[0] leo[0] the[0] log[0] lady[0] and[0] a[0] few[0] others[0] mostly[0] in[0] meaningless[-1] cameos[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the rest of the " twin peaks " cast is nowhere to be seen , and consequently , lynch fails to recreate the spirit and flavor of tv's most enigmatic town . 	the rest of the " twin peaks " cast is nowhere to be seen , and consequently , lynch fails to recreate the spirit and flavor of tv's most enigmatic town .	1	-3	 the[0] rest[0] of[0] the[0] twin[0] peaks[0] cast[0] is[0] nowhere[0] to[0] be[0] seen[0] and[0] consequently[0] lynch[0] fails[-2] to[0] recreate[0] the[0] spirit[0] and[0] flavor[0] of[0] tv's[0] most[0] enigmatic[0] town[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
cast members michael ontkean , sherilyn fenn , piper laurie , and richard beymer are sorely missed , not to mention lara flynn boyle , who has been replaced by lackluster moira kelly in the crucial role of donna . 	cast members michael ontkean , sherilyn fen , piper laurie , and richard beymer are sorely missed , not to mention lara flyn boyle , who has been replaced by lackluster moira kelly in the crucial role of donna .	1	-2	 cast[0] members[0] michael[0] ontkean[0] sherilyn[0] fenn/fen[0] piper[0] laurie[0] and[0] richard[0] beymer[0] are[0] sorely[0] missed[-1] not[0] to[0] mention[0] lara[0] flynn/flyn[0] boyle[0] who[0] has[0] been[0] replaced[0] by[0] lackluster[0] moira[0] kelly[0] in[0] the[0] crucial[0] role[0] of[0] donna[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the movie concentrates solely on laura palmer ( sheryl lee ) as she suffers through drug abuse , prostitution , and incest , during her miserable last seven days on earth . 	the movie concentrates solely on laura palmer ( sheryl lee ) as she suffers through drug abuse , prostitution , and incest , during her miserable last seven days on earth .	1	-4	 the[0] movie[0] concentrates[0] solely[0] on[0] laura[0] palmer[0] sheryl[0] lee[0] as[0] she[0] suffers[-3] through[0] drug[0] abuse[-3] prostitution[0] and[0] incest[0] during[0] her[0] miserable[-2] last[0] seven[0] days[0] on[0] earth[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
