i went to blair witch project 2 : book of shadows with the highest of hopes . 	Translation	Positive	Negative	EmotionRationale
the original film , released last summer , was genuinely scary and terrifying ; i hoped that this movie would live up to its predecessor . 	the original film , released last summer , was genuinely scary and terrifying ; i hoped that this movie would live up to its predecessor .	2	-4	 the[0] original[0] film[0] released[0] last[0] summer[0] was[0] genuinely[0] scary[-3] and[0] terrifying[-3] i[0] hoped[1] that[0] this[0] movie[0] would[0] live[0] up[0] to[0] its[0] predecessor[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
unfortunately , my hopes were soon dashed . 	unfortunately , my hopes were soon dashed .	2	-2	 unfortunately[-1] my[0] hopes[1] were[0] soon[0] dashed[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
as the movie opens , the audience is shown pseudo-documentary clips of burkittsville , maryland residents being interviewed about the sudden tourist influx to their town as a result of the original blair witch project movie . 	as the movie opens , the audience is shown pseudo-documentary clips of burkittsville , maryland residents being interviewed about the sudden tourist influx to their town as a result of the original blair witch project movie .	1	-1	 as[0] the[0] movie[0] opens[0] the[0] audience[0] is[0] shown[0] pseudo[0] documentary[0] clips[0] of[0] burkittsville[0] maryland[0] residents[0] being[0] interviewed[0] about[0] the[0] sudden[0] tourist[0] influx[0] to[0] their[0] town[0] as[0] a[0] result[0] of[0] the[0] original[0] blair[0] witch[0] project[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's a mostly humorous , self-aware poke at the media hype and hysteria surrounding the first film . 	it's a mostly humorous , self-aware poke at the media hype and hysteria surrounding the first film .	3	-2	 it's[0] a[0] mostly[0] humorous[2] self[0] aware[0] poke[0] at[0] the[0] media[0] hype[0] and[0] hysteria[-1] surrounding[0] the[0] first[0] film[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
during this segment , we are introduced to the protagonist , a young man who sells blair witch-related memorabilia from his website . 	during this segment , we are introduced to the protagonist , a young man who sells blair witch-related memorabilia from his website .	1	-1	 during[0] this[0] segment[0] we[0] are[0] introduced[0] to[0] the[0] protagonist[0] a[0] young[0] man[0] who[0] sells[0] blair[0] witch[0] related[0] memorabilia[0] from[0] his[0] website[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the movie then cuts to a title that informs us that what we are about to see occurred one year previously . 	the movie then cuts to a title that informs us that what we are about to see occurred one year previously .	1	-1	 the[0] movie[0] then[0] cuts[0] to[0] a[0] title[0] that[0] informs[0] us[0] that[0] what[0] we[0] are[0] about[0] to[0] see[0] occurred[0] one[0] year[0] previously[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
we see the same young man that was selling blair witch paraphernalia , but now he is confined in a mental institution the sort of which one only finds in bad horror movies . 	we see the same young man that was selling blair witch paraphernalia , but now he is confined in a mental institution the sort of which one only finds in bad horror movies .	1	-4	 we[0] see[0] the[0] same[0] young[0] man[0] that[0] was[0] selling[0] blair[0] witch[0] paraphernalia[0] but[0] now[0] he[0] is[0] confined[0] in[0] a[0] mental[0] institution[0] the[0] sort[0] of[0] which[0] one[0] only[0] finds[0] in[0] bad[-1] horror[-3] movies[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
we see him having some sort of disgusting white goo unconvincingly forced down his nose while a cigarette-smoking doctor luridly leers above him . 	we see him having some sort of disgusting white goo unconvincingly forced down his nose while a cigarette-smoking doctor luridly leers above him .	1	-4	 we[0] see[0] him[0] having[0] some[0] sort[0] of[0] disgusting[-3] white[0] goo[0] unconvincingly[0] forced[0] down[0] his[0] nose[0] while[0] a[0] cigarette[0] smoking[0] doctor[0] luridly[0] leers[0] above[0] him[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
we see him throwing himself wildly around a padded room ; we see him cowering naked in a shower stall as a fire hose is turned on him . 	we see him throwing himself wildly around a padded room ; we see him cowering naked in a shower stall as a fire hose is turned on him .	1	-1	 we[0] see[0] him[0] throwing[0] himself[0] wildly[0] around[0] a[0] padded[0] room[0] we[0] see[0] him[0] cowering[0] naked[0] in[0] a[0] shower[0] stall[0] as[0] a[0] fire[0] hose[0] is[0] turned[0] on[0] him[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
no explanation is provided for why he is in the mental institution ; in fact , these scenes are barely referred to again . 	no explanation is provided for why he is in the mental institution ; in fact , these scenes are barely referred to again .	1	-1	 no[0] explanation[0] is[0] provided[0] for[0] why[0] he[0] is[0] in[0] the[0] mental[0] institution[0] in[0] fact[0] these[0] scenes[0] are[0] barely[0] referred[0] to[0] again[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
