warren beatty , diane keaton , goldie hawn and gary shandling star as a pair of married couples whose complacent lives are about to be shaken up in director peter chelsom's version of the classic romantic , screwball comedy in " town & country . " 	Translation	Positive	Negative	EmotionRationale
the drawing room farce of the 30's dealt with sexual innuendo and relied on wit and a great deal of commotion and noise to place the viewer in the thick of the duplicitous romantic action . 	the drawing room farce of the 30's dealt with sexual innuendo and relied on wit and a great deal of commotion and noise to place the viewer in the thick of the duplicitous romantic action .	4	-2	 the[0] drawing[0] room[0] farce[-1] of[0] the[0] 30's[0] dealt[0] with[0] sexual[0] innuendo[0] and[0] relied[0] on[0] wit[0] and[0] a[0] great[2] deal[0] of[0] commotion[-1] and[0] noise[0] to[0] place[0] the[0] viewer[0] in[0] the[0] thick[0] of[0] the[0] duplicitous[0] romantic[3] action[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
back then , impossibly wealthy scions of society , with too much free time , would get themselves wrapped up in all sorts of sexual peccadilloes with spouses and lovers , only to have everything come out all right in the end - see " the philadelphia story " for a great farce . 	back then , impossibly wealthy scions of society , with too much free time , would get themselves wrapped up in all sorts of sexual peccadilloes with spouses and lovers , only to have everything come out all right in the end - see " the philadelphia story " for a great farce .	4	-2	 back[0] then[0] impossibly[0] wealthy[0] scions[0] of[0] society[0] with[0] too[0] much[0] free[0] time[0] would[0] get[0] themselves[0] wrapped[0] up[0] in[0] all[0] sorts[0] of[0] sexual[0] peccadilloes[0] with[0] spouses[0] and[0] lovers[3] only[0] to[0] have[0] everything[0] come[0] out[0] all[0] right[0] in[0] the[0] end[0] see[0] the[0] philadelphia[0] story[0] for[0] a[0] great[2] farce[-1] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
 " town & country " has the impossibly wealthy protagonists with too much free time - the kind of people that have jobs but never seem to work - and sexual misconduct on several levels . 	 " town & country " has the impossibly wealthy protagonists with too much free time - the kind of people that have jobs but never seem to work - and sexual misconduct on several levels .	2	-1	 town[0] &[0] country[0] has[0] the[0] impossibly[0] wealthy[0] protagonists[0] with[0] too[0] much[0] free[0] time[0] the[0] kind[1] of[0] people[0] that[0] have[0] jobs[0] but[0] never[0] seem[0] to[0] work[0] and[0] sexual[0] misconduct[0] on[0] several[0] levels[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but , there is almost no life to original script by michael laughlin and buck henry and this is " t&c's " downfall . 	but , there is almost no life to original script by michael laughlin and buck henry and this is " t&c's " downfall .	2	-2	 but[0] there[0] is[0] almost[0] no[0] life[0] to[0] original[0] script[0] by[0] michael[0] laughlin[1] and[0] buck[0] henry[0] and[0] this[0] is[0] t&c's[0] downfall[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
there is , obviously , a great deal of hollywood talent , in front of and behind the camera , involved in " town & country , " but , without a likable or , at least , interesting story to carry through their efforts , it is all for naught . 	there is , obviously , a great deal of hollywood talent , in front of and behind the camera , involved in " town & country , " but , without a likable or , at least , interesting story to carry through their efforts , it is all for naught .	3	-1	 there[0] is[0] obviously[0] a[0] great[2] deal[0] of[0] hollywood[0] talent[1] in[0] front[0] of[0] and[0] behind[0] the[0] camera[0] involved[0] in[0] town[0] &[0] country[0] but[0] without[0] a[0] likable[0] or[0] at[0] least[0] interesting[1] story[0] to[0] carry[0] through[0] their[0] efforts[0] it[0] is[0] all[0] for[0] naught[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
and , that's what we get here - naught . 	and , that's what we get here - naught .	1	-1	 and[0] that's[0] what[0] we[0] get[0] here[0] naught[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
porter stoddard ( beatty ) is a high-powered new york architect with a very good life indeed . 	porter stoddard ( beatty ) is a high-powered new york architect with a very good life indeed .	3	-1	 porter[0] stoddard[0] beatty[0] is[0] a[0] high[0] powered[0] new[0] york[0] architect[0] with[0] a[0] very[0] good[1][1 LastWordBoosterStrength] life[0] indeed[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
his 25-year marriage to ellie ( diane keaton ) appears , on the surface , to be perfect . 	his 25-year marriage to ellie ( diane keaton ) appears , on the surface , to be perfect .	2	-1	 his[0] 25[0] year[0] marriage[0] to[0] ellie[0] diane[0] keaton[0] appears[0] on[0] the[0] surface[0] to[0] be[0] perfect[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but , there are cracks just below this pristine surface . 	but , there are cracks just below this pristine surface .	1	-1	 but[0] there[0] are[0] cracks[0] just[0] below[0] this[0] pristine[0] surface[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
his wife is suspicious of his whereabouts , his kids don't need him and his best friends , griffin ( garry shandling ) and mona ( goldie hawn ) , are in the midst of a divorce . 	his wife is suspicious of his whereabouts , his kids don't need him and his best friends , griffin ( garry shandling ) and mona ( goldie hawn ) , are in the midst of a divorce .	2	-2	 his[0] wife[0] is[0] suspicious[-1] of[0] his[0] whereabouts[0] his[0] kids[0] don't[0] need[0] him[0] and[0] his[0] best[1] friends[1] griffin[0] garry[0] shandling[0] and[0] mona[0] goldie[0] hawn[0] are[0] in[0] the[0] midst[0] of[0] a[0] divorce[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
porter tries to get control of his life before it is too late , but like a man fighting against quicksand , his struggle just sinks him deeper . 	porter tries to get control of his life before it is too late , but like a man fighting against quicksand , his struggle just sinks him deeper .	2	-3	 porter[0] tries[0] to[0] get[0] control[0] of[0] his[0] life[0] before[0] it[0] is[0] too[0] late[0] but[0] like[1] a[0] man[0] fighting[-2] against[-1] quicksand[0] his[0] struggle[-1] just[0] sinks[0] him[0] deeper[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
at the 90-minute mark of " town & country " i asked myself , " what's the point ? " 	at the 90-minute mark of " town & country " i asked myself , " what's the point ?<br> "	1	-1	 at[0] the[0] 90[0] minute[0] mark[0] of[0] town[0] &[0] country[0] i[0] asked[0] myself[0] what's[0] the[0] point[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i wasn't entertained , i laughed three times - over silly little pratfalls - and spent most of the film marking time 'til the end . 	i wasn't entertained , i laughed three times - over silly little pratfalls - and spent most of the film marking time 'til the end .	2	-2	 i[0] wasn't[0] entertained[0] i[0] laughed[1] three[0] times[0] over[0] silly[-1] little[0] pratfalls[0] and[0] spent[0] most[0] of[0] the[0] film[0] marking[0] time[0] 'til[0] the[0] end[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
warren beatty wanders around with his character in a bewildered fog , making problems for himself by thinking with a part of his anatomy other than his head . 	warren beatty wanders around with his character in a bewildered fog , making problems for himself by thinking with a part of his anatomy other than his head .	1	-3	 warren[0] beatty[0] wanders[0] around[0] with[0] his[0] character[0] in[0] a[0] bewildered[-2] fog[0] making[0] problems[-1] for[0] himself[0] by[0] thinking[0] with[0] a[0] part[0] of[0] his[0] anatomy[0] other[0] than[0] his[0] head[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
